sortid,genelist,drdist,FC,pValues,pAdjusted
2127,HBB,8.13043134288733e-13,628.209468360015,1.22531129584955e-138,7.36044495416826e-135
4047,R3HDM4,7.25770422469706e-13,560.776952688962,5.6964709750228e-124,1.7109350573481e-120
2098,GUK1,7.02011833006781e-13,542.419536918463,5.61137787058142e-120,1.12358489561942e-116
1766,FBXO7,5.83160163259846e-13,450.58708533428,5.37464459702891e-100,8.07137252358817e-97
3116,MT-ND4L,5.75775641841991e-13,444.881328679607,9.37765219192035e-99,1.12663113433731e-95
4710,SLC25A37,5.05173228425606e-13,390.329358769619,7.01738872964271e-87,7.02557568316063e-84
2132,HBM,4.55479134972232e-13,351.932502917331,1.60809973569843e-78,1.37997930176293e-75
57,AC130456.3,3.57524823908034e-13,276.246696000033,4.93770922320377e-62,3.70760241297313e-59
5171,TESC,3.39749134062118e-13,262.512053646028,4.86360569959101e-59,3.24618660416036e-56
2134,HBQ1,3.38585167002328e-13,261.612697760736,7.63819323517586e-59,4.58826267637014e-56
5024,STRADB,3.12502136865518e-13,241.459269480699,1.89026885614068e-54,1.03225863807609e-51
2101,GYPC,2.78519576942298e-13,215.202155924782,1.00685560837905e-48,5.04015136627746e-46
4711,SLC25A39,2.51811033930837e-13,194.565416127971,3.20523439548185e-44,1.48106484720457e-41
192,ALAS2,2.32772986813405e-13,179.855395276842,5.21186866419684e-41,2.2362639332736e-38
4830,SNCA,1.89415915091132e-13,146.35493038438,1.08579716346036e-33,4.34825570727092e-31
5168,TENT5C,1.64545011477983e-13,127.138069091876,1.73288644593714e-29,6.50590555046525e-27
1732,FAM210B,1.53865934413663e-13,118.886726644933,1.10884156445848e-27,3.91812428100122e-25
5585,UBB,1.45343614771501e-13,112.301833831983,3.06851739969713e-26,1.02403244555448e-23
122,ADIPOR1,1.38259358096545e-13,106.828081048382,4.85511978033914e-25,1.53498444844722e-22
5472,TRIM58,1.22235774469938e-13,94.4472287580554,2.51714267175321e-22,7.56023801461076e-20
1630,EPB41,1.1316727363879e-13,87.44032119596,8.6861540435057e-21,2.48465368282565e-18
2972,MKRN1,4.14082494501449e-14,31.9946793420145,1.54595427296332e-08,4.22115787167758e-06
2128,HBD,4.0645925903178e-14,31.4056590920897,2.09369773311154e-08,5.46819229687e-06
1296,DCAF12,4.02787850157489e-14,31.1219824063419,2.4231167402914e-08,6.06485927455435e-06
3608,PDZK1IP1,2.08480732661042e-14,16.1085635810546,5.98129577962445e-05,0.0143718574992816
1406,DMTN,1.24441447203205e-14,9.6151473510524,0.00192978978222645,0.445855662378242
2125,HBA1,1.18426918568288e-14,9.15042614785538,0.00248660148610297,0.553222782482241
