TF	target	importance
WT1pKTS	FOXL2	0.33128521957208684
DKK1	DMRT1	0.3290175308784303
DMRT1	DKK1	0.3244982039467449
FOXL2	WT1pKTS	0.2844658773883043
UGR	CBX2	0.2804679718122683
FGF9	PGD2	0.25908808693527957
CTNNB1	RSPO1	0.25749824900788565
CBX2	UGR	0.25735916127940145
DKK1	SRY	0.25601892103306
DHH	FGF9	0.2503955677249279
PGD2	AMH	0.24899805190934143
RSPO1	CTNNB1	0.2424128583832511
FGF9	DHH	0.229194368361448
PGD2	FGF9	0.22613566549578032
PGD2	DHH	0.2250756963637514
RSPO1	WNT4	0.22453261424297027
DHH	AMH	0.22433246826436531
DMRT1	SRY	0.22010302612459526
AMH	DHH	0.20805587198198083
SRY	DMRT1	0.20349757134860938
AMH	PGD2	0.20252558935950304
DHH	PGD2	0.20249598453221423
FGF9	SOX9	0.2013574507727526
FOXL2	CTNNB1	0.19978480420620962
SRY	DKK1	0.1978034154475526
RSPO1	NR5A1	0.19765882489883102
FGF9	AMH	0.18173505295939027
AMH	FGF9	0.176961501831043
CTNNB1	WNT4	0.1758543519979957
WNT4	NR0B1	0.17387203181218888
GATA4	WT1mKTS	0.1726435535446697
WT1mKTS	GATA4	0.1725698082139716
CTNNB1	FOXL2	0.16932418239914554
DHH	SOX9	0.16924610457028963
PGD2	SOX9	0.16284279476505467
WNT4	RSPO1	0.15215531717652658
SRY	UGR	0.14888129200340786
NR5A1	RSPO1	0.14806517553224602
NR0B1	WNT4	0.1478436709579154
RSPO1	NR0B1	0.14425848084301018
NR5A1	FOXL2	0.13851167099014702
SRY	WT1pKTS	0.13338336752560262
CTNNB1	WT1pKTS	0.1317733857690917
NR5A1	WT1pKTS	0.12932514946069062
FOXL2	NR5A1	0.12775757012047068
SOX9	DKK1	0.1276181062673739
FOXL2	RSPO1	0.125555822978517
SOX9	DMRT1	0.12331725931804981
SOX9	FGF9	0.11840658795973433
AMH	SOX9	0.11577973287369502
CTNNB1	NR5A1	0.11482014562964701
SOX9	DHH	0.11235249135313188
SOX9	AMH	0.1109402515668133
WT1pKTS	NR5A1	0.10767243347901824
RSPO1	FOXL2	0.1047856052144859
SOX9	PGD2	0.10422376806805168
SOX9	SRY	0.10184923919649522
NR5A1	CTNNB1	0.10118978329285172
WT1pKTS	WT1mKTS	0.10020912497404356
UGR	GATA4	0.0984735751370908
WT1pKTS	CTNNB1	0.09685273367193409
WNT4	CTNNB1	0.09676370110672393
CTNNB1	NR0B1	0.09381667653912122
NR0B1	UGR	0.09206867672226268
NR5A1	CBX2	0.0920397941496197
UGR	WT1mKTS	0.09052564279694818
WT1pKTS	GATA4	0.0848279078766737
WT1pKTS	SRY	0.08433508121468081
DKK1	CBX2	0.0834453813389645
UGR	NR0B1	0.08064077794968934
DKK1	SOX9	0.08036727506098501
DMRT1	SOX9	0.08010072393744337
NR0B1	RSPO1	0.07833964674915858
NR5A1	WT1mKTS	0.07584607872639301
NR5A1	GATA4	0.07563855328544819
DMRT1	CBX2	0.07510773956275239
NR0B1	GATA4	0.07317118576166991
CBX2	WT1mKTS	0.07256747813681212
AMH	NR0B1	0.07105908909599623
RSPO1	CBX2	0.07018322982842574
WNT4	UGR	0.06941964883632566
NR0B1	WT1mKTS	0.06817712402245533
SOX9	WNT4	0.06714773539701376
DHH	DKK1	0.06563206154082599
SRY	FOXL2	0.06517515512738394
RSPO1	WT1pKTS	0.06478514247478746
CBX2	GATA4	0.06392944176127913
PGD2	DMRT1	0.06196681310650444
NR0B1	AMH	0.06145047544425736
FOXL2	WNT4	0.05936969696600814
FGF9	DMRT1	0.05887531816010277
FGF9	DKK1	0.05773653379488015
PGD2	NR0B1	0.05759779197318913
CTNNB1	CBX2	0.05755754193334412
DKK1	FGF9	0.05659895151415994
NR5A1	WNT4	0.05654153347105897
DHH	DMRT1	0.05622505886353475
PGD2	DKK1	0.05560813699712077
NR5A1	NR0B1	0.055557946027942264
DKK1	AMH	0.05530049737151342
SRY	NR0B1	0.055265130951673645
RSPO1	UGR	0.05496057849093496
SRY	CTNNB1	0.05407393177291709
NR0B1	NR5A1	0.05341710934094387
SRY	NR5A1	0.05341169730992135
SOX9	NR5A1	0.05156380226112813
DKK1	PGD2	0.051074283371138264
DMRT1	PGD2	0.05105627366605705
DKK1	UGR	0.05043728007840271
WNT4	NR5A1	0.04920654776546248
DKK1	DHH	0.049205285478766146
WT1pKTS	RSPO1	0.04919942342104384
DMRT1	FGF9	0.04917208163540037
WNT4	GATA4	0.04856662743891118
DMRT1	UGR	0.04834919697400611
SRY	GATA4	0.04820567425856923
NR0B1	PGD2	0.0476779242354581
FGF9	NR0B1	0.0471310034303742
SRY	WT1mKTS	0.04643408629131337
DHH	NR0B1	0.04613117062736067
DMRT1	DHH	0.04604058912228329
CBX2	NR5A1	0.045560539103834154
FGF9	SRY	0.0454920827674518
NR0B1	CTNNB1	0.045386467005531846
DKK1	CTNNB1	0.045360043412212926
WNT4	FOXL2	0.045185986273001376
SOX9	CBX2	0.044935214186266025
WNT4	WT1mKTS	0.044923182184861916
WT1pKTS	CBX2	0.04446689407375964
NR5A1	SOX9	0.04439955650390001
SRY	CBX2	0.04424086951784846
UGR	WNT4	0.04370440053409676
CTNNB1	UGR	0.042632893513309095
WT1mKTS	UGR	0.041160065461363804
DMRT1	WT1mKTS	0.04074955259232227
DMRT1	CTNNB1	0.040504450571714444
SRY	SOX9	0.040421277353507805
NR0B1	FGF9	0.039939793744322306
DKK1	WT1pKTS	0.03954805143516445
RSPO1	GATA4	0.039133627393058625
DMRT1	WT1pKTS	0.03907238577587135
CTNNB1	GATA4	0.03889917098556256
DHH	SRY	0.03875871020987707
DMRT1	AMH	0.03847249474340766
DKK1	WT1mKTS	0.0381590576906382
DKK1	WNT4	0.03775376826371025
NR0B1	DHH	0.03768511179620328
DMRT1	GATA4	0.037452936988004615
WT1mKTS	WT1pKTS	0.03713620572369041
DMRT1	WNT4	0.03709176685286174
RSPO1	WT1mKTS	0.03702220174265518
GATA4	UGR	0.03699259903344729
WNT4	SOX9	0.035420239939470986
CTNNB1	WT1mKTS	0.03537140386446569
CTNNB1	SRY	0.03491319663706218
SOX9	GATA4	0.03477363402087315
DKK1	GATA4	0.03463147312895411
AMH	DKK1	0.03297689640294746
CBX2	NR0B1	0.03290671326889687
SOX9	UGR	0.03251080212856361
SOX9	WT1mKTS	0.032266503946381524
FOXL2	WT1mKTS	0.032092578252305264
WT1mKTS	CBX2	0.03200165101183358
DMRT1	NR5A1	0.03152836239415936
PGD2	SRY	0.03152425465834903
DHH	GATA4	0.03047350621389837
AMH	GATA4	0.030056623692975477
SRY	RSPO1	0.030042552364438806
FOXL2	GATA4	0.02987715719726219
PGD2	GATA4	0.029777993888083623
FOXL2	CBX2	0.029717391079586136
DKK1	NR5A1	0.02958151319146677
DHH	WT1mKTS	0.02956941211706462
FGF9	GATA4	0.02954110275771354
AMH	WT1mKTS	0.029046192030010798
PGD2	WT1mKTS	0.02845806899931786
AMH	DMRT1	0.02798996997156717
NR0B1	FOXL2	0.027316853301974923
UGR	SRY	0.027115477130405553
CBX2	RSPO1	0.026824867465377718
WNT4	CBX2	0.02605285182717553
SRY	DHH	0.02595636004466286
FGF9	WT1mKTS	0.025938758087341928
DKK1	FOXL2	0.025934706292015035
SRY	PGD2	0.025757710046427164
GATA4	WT1pKTS	0.025756991274053245
DMRT1	FOXL2	0.025661877557963318
NR0B1	SRY	0.025258943644195907
NR0B1	CBX2	0.02513082778103077
CTNNB1	DMRT1	0.024856136333595256
FGF9	NR5A1	0.02438625258236452
FGF9	WNT4	0.024291461705767615
GATA4	CBX2	0.024161318939027246
CBX2	SRY	0.024081679642111716
SOX9	RSPO1	0.023983925527719007
WT1mKTS	NR0B1	0.023558924977687364
GATA4	NR0B1	0.023312788581313863
CTNNB1	DKK1	0.02328622142373229
RSPO1	SOX9	0.023251494983050732
UGR	RSPO1	0.022987524154846877
SRY	FGF9	0.02297210131367455
NR5A1	UGR	0.022673966442480716
CBX2	DKK1	0.02256816760598793
CBX2	CTNNB1	0.022518460335482455
SRY	AMH	0.022418253548065096
CBX2	DMRT1	0.022269705629489406
GATA4	NR5A1	0.022104278815460187
AMH	SRY	0.022049475108635783
