Gene1	Gene2	EdgeWeight
WNT4	UGR	360
RSPO1	CBX2	359
CTNNB1	CBX2	358
FOXL2	SRY	357
FOXL2	NR5A1	356
UGR	UGR	355
DKK1	FOXL2	354
WT1pKTS	FOXL2	353
NR0B1	CTNNB1	352
GATA4	RSPO1	351
FOXL2	FOXL2	350
NR5A1	FOXL2	349
DKK1	WT1pKTS	348
DMRT1	FOXL2	347
CBX2	RSPO1	346
WNT4	CTNNB1	345
NR0B1	SRY	344
SRY	UGR	343
SOX9	FOXL2	342
SOX9	WT1pKTS	341
CBX2	CTNNB1	340
CTNNB1	FOXL2	339
WT1mKTS	SRY	338
WT1mKTS	RSPO1	337
PGD2	CTNNB1	336
GATA4	CBX2	335
NR5A1	WT1pKTS	334
CBX2	NR5A1	333
DMRT1	WT1pKTS	332
DKK1	WNT4	331
RSPO1	SRY	330
CTNNB1	SRY	329
UGR	RSPO1	328
PGD2	UGR	327
NR0B1	FOXL2	326
NR5A1	RSPO1	325
UGR	CTNNB1	324
RSPO1	NR5A1	323
FGF9	GATA4	322
WT1pKTS	WT1pKTS	321
WT1mKTS	CTNNB1	320
WT1pKTS	NR5A1	319
PGD2	WT1mKTS	318
NR0B1	WNT4	317
WT1pKTS	SRY	316
SRY	FOXL2	315
DHH	WNT4	314
GATA4	CTNNB1	313
UGR	SRY	312
GATA4	NR0B1	311
FGF9	CTNNB1	310
GATA4	SRY	309
CTNNB1	NR5A1	308
CBX2	CBX2	307
SRY	NR5A1	306
CBX2	UGR	305
DHH	RSPO1	304
WT1mKTS	CBX2	303
RSPO1	RSPO1	302
SRY	WT1pKTS	301
DMRT1	CBX2	300
UGR	NR0B1	299
WT1pKTS	CBX2	298
FOXL2	WT1mKTS	297
DHH	CBX2	296
WNT4	SRY	295
CBX2	SRY	294
WNT4	CBX2	293
FOXL2	GATA4	292
WNT4	RSPO1	291
UGR	CBX2	290
AMH	NR5A1	289
DKK1	CTNNB1	288
SOX9	SRY	287
DKK1	RSPO1	286
NR0B1	CBX2	285
PGD2	CBX2	284
WNT4	GATA4	283
FGF9	WNT4	282
RSPO1	UGR	281
DMRT1	RSPO1	280
FGF9	UGR	279
DKK1	SRY	278
WT1pKTS	UGR	277
NR5A1	CTNNB1	276
RSPO1	GATA4	275
DHH	CTNNB1	274
SOX9	WNT4	273
UGR	WNT4	272
AMH	CTNNB1	271
AMH	WT1pKTS	270
CTNNB1	WNT4	269
PGD2	NR5A1	268
GATA4	WT1mKTS	267
FGF9	CBX2	266
NR5A1	CBX2	265
SOX9	GATA4	264
PGD2	NR0B1	263
GATA4	WT1pKTS	262
NR5A1	UGR	261
AMH	SRY	260
WT1pKTS	RSPO1	259
DMRT1	SRY	258
DMRT1	CTNNB1	257
RSPO1	WT1pKTS	256
WNT4	NR5A1	255
SOX9	RSPO1	254
SOX9	CTNNB1	253
CBX2	NR0B1	252
WT1mKTS	WT1pKTS	251
DMRT1	GATA4	250
SRY	WNT4	249
DHH	UGR	248
DHH	NR5A1	247
PGD2	GATA4	246
WT1pKTS	NR0B1	245
AMH	NR0B1	244
DHH	WT1mKTS	243
CBX2	WNT4	242
FOXL2	CTNNB1	241
NR0B1	RSPO1	240
AMH	CBX2	239
NR0B1	NR5A1	238
SRY	SRY	237
WT1pKTS	CTNNB1	236
AMH	WNT4	235
SRY	NR0B1	234
NR5A1	NR0B1	233
NR0B1	UGR	232
DHH	WT1pKTS	231
NR0B1	WT1mKTS	230
NR5A1	SRY	229
SRY	RSPO1	228
DHH	GATA4	227
AMH	UGR	226
WT1mKTS	WT1mKTS	225
PGD2	WNT4	224
NR5A1	NR5A1	223
GATA4	FOXL2	222
AMH	WT1mKTS	221
AMH	RSPO1	220
CTNNB1	WT1pKTS	219
CTNNB1	WT1mKTS	218
FGF9	RSPO1	217
DKK1	NR5A1	216
PGD2	FOXL2	215
SOX9	CBX2	214
DHH	SRY	213
FGF9	FOXL2	212
AMH	FOXL2	211
CBX2	GATA4	210
FOXL2	WNT4	209
WT1mKTS	GATA4	208
PGD2	RSPO1	207
DHH	NR0B1	206
AMH	GATA4	205
CTNNB1	RSPO1	204
UGR	NR5A1	203
DMRT1	NR5A1	202
GATA4	UGR	201
FGF9	WT1mKTS	200
WT1mKTS	NR5A1	199
PGD2	WT1pKTS	198
DMRT1	UGR	197
SRY	CTNNB1	196
FGF9	NR0B1	195
FGF9	SRY	194
WT1mKTS	WNT4	193
SRY	CBX2	192
FOXL2	RSPO1	191
FGF9	NR5A1	190
DHH	FOXL2	189
DMRT1	WNT4	188
CTNNB1	NR0B1	187
SOX9	WT1mKTS	186
FGF9	WT1pKTS	185
SOX9	NR5A1	184
SRY	GATA4	183
DKK1	CBX2	182
NR5A1	GATA4	181
NR0B1	WT1pKTS	180
FOXL2	NR0B1	179
WNT4	WNT4	178
DKK1	UGR	177
FOXL2	WT1pKTS	176
RSPO1	FOXL2	175
WT1mKTS	NR0B1	174
CBX2	WT1pKTS	173
WNT4	WT1pKTS	172
UGR	GATA4	171
