Gene1	Gene2	EdgeWeight
WNT4	UGR	360
UGR	UGR	360
RSPO1	CBX2	359
SOX9	RSPO1	359
WNT4	RSPO1	358
CTNNB1	CBX2	358
SOX9	WNT4	357
FOXL2	SRY	357
FOXL2	NR5A1	356
CBX2	NR5A1	356
CBX2	CBX2	355
DKK1	FOXL2	354
CTNNB1	SRY	354
WT1mKTS	CBX2	353
WT1pKTS	FOXL2	353
NR0B1	CTNNB1	352
CTNNB1	RSPO1	352
RSPO1	CTNNB1	351
GATA4	RSPO1	351
FOXL2	FOXL2	350
WNT4	SOX9	350
NR0B1	SOX9	349
NR5A1	FOXL2	349
CBX2	DMRT1	348
DKK1	WT1pKTS	348
WT1pKTS	WT1mKTS	347
DMRT1	FOXL2	347
GATA4	DMRT1	346
CBX2	RSPO1	346
WNT4	CTNNB1	345
DHH	DHH	345
NR0B1	SRY	344
RSPO1	SOX9	344
DKK1	DKK1	343
SRY	UGR	343
WT1mKTS	WNT4	342
SOX9	FOXL2	342
SOX9	WT1pKTS	341
WT1pKTS	SRY	341
CBX2	CTNNB1	340
NR5A1	WNT4	340
SRY	SRY	339
CTNNB1	FOXL2	339
WT1mKTS	SRY	338
RSPO1	UGR	338
NR5A1	DMRT1	337
WT1mKTS	RSPO1	337
PGD2	CTNNB1	336
DKK1	NR5A1	336
GATA4	CBX2	335
NR5A1	WT1pKTS	334
DKK1	GATA4	333
DMRT1	WT1pKTS	332
PGD2	PGD2	332
AMH	SRY	331
DKK1	WNT4	331
RSPO1	SRY	330
UGR	RSPO1	330
NR5A1	DKK1	329
PGD2	WT1mKTS	328
PGD2	UGR	327
SOX9	PGD2	327
NR0B1	WT1pKTS	326
NR0B1	FOXL2	326
DMRT1	DKK1	325
NR5A1	RSPO1	325
UGR	CTNNB1	324
FGF9	SRY	324
AMH	WT1mKTS	323
RSPO1	NR5A1	323
FGF9	GATA4	322
AMH	DMRT1	322
WT1pKTS	WT1pKTS	321
DKK1	RSPO1	321
WT1mKTS	CTNNB1	320
WNT4	DKK1	320
SRY	DKK1	319
WT1pKTS	NR5A1	319
DMRT1	SRY	318
NR0B1	WNT4	317
CBX2	UGR	317
WNT4	DMRT1	316
SRY	FOXL2	315
AMH	PGD2	315
DHH	WNT4	314
SRY	CTNNB1	314
GATA4	CTNNB1	313
AMH	AMH	313
UGR	SRY	312
UGR	NR0B1	312
GATA4	NR0B1	311
DMRT1	RSPO1	311
UGR	CBX2	310
FGF9	CTNNB1	310
GATA4	SRY	309
DHH	SRY	309
CTNNB1	NR5A1	308
DMRT1	DMRT1	307
FOXL2	WT1mKTS	306
SRY	NR5A1	306
