Gene1	Gene2	EdgeWeight
UGR	CBX2	218.2111702321843
FOXL2	WT1pKTS	161.41774281494824
DMRT1	DKK1	156.05807199367908
WT1pKTS	FOXL2	153.33420144043458
CBX2	UGR	151.05112801107148
FGF9	AMH	140.43452315455932
DKK1	DMRT1	135.73838120772078
RSPO1	CTNNB1	133.45237143463686
SRY	DKK1	127.29535972933223
SOX9	PGD2	125.70315255296002
SRY	WT1pKTS	124.69790863564668
RSPO1	NR5A1	122.7919194189432
DHH	PGD2	114.48277405937029
SRY	DMRT1	110.10883603276196
GATA4	WT1mKTS	109.56666316412777
WNT4	RSPO1	107.57559001334887
SOX9	DKK1	105.15265045189129
AMH	FGF9	102.18515035979091
NR5A1	RSPO1	101.6278317239349
DMRT1	SRY	100.60813315117129
CTNNB1	WT1pKTS	99.53787276073366
AMH	PGD2	98.79818801151414
DKK1	SRY	98.75064416826515
PGD2	DHH	96.81865052262816
CTNNB1	NR5A1	96.11441578968328
SOX9	DMRT1	93.76729665226765
DHH	FGF9	92.00790465923436
RSPO1	WNT4	91.35262041372611
NR5A1	WT1pKTS	91.27543748939102
PGD2	FGF9	88.23740401859413
WT1mKTS	GATA4	88.10426461810266
NR5A1	CBX2	87.59408484794909
CTNNB1	RSPO1	87.49443036732511
CTNNB1	FOXL2	86.75682192515299
WNT4	NR0B1	84.11547797657406
DHH	AMH	83.88245860762598
CTNNB1	CBX2	81.83668830742573
NR5A1	FOXL2	80.51063232886094
CTNNB1	DKK1	79.57132258143584
NR0B1	PGD2	77.26148647161679
RSPO1	CBX2	76.47378859993766
NR0B1	UGR	76.17347083059778
NR0B1	RSPO1	76.10123653043786
CTNNB1	UGR	76.00776455659356
WT1pKTS	CTNNB1	75.6546991682903
SOX9	FGF9	74.81212785655094
FOXL2	RSPO1	73.42354819151274
SRY	UGR	73.30868557987151
SOX9	SRY	73.0365187925504
RSPO1	WT1pKTS	71.80977019740953
RSPO1	NR0B1	71.78302193055251
DKK1	CBX2	67.29904811333317
NR0B1	WNT4	66.9086353024382
WT1pKTS	NR5A1	66.10349508625525
WT1pKTS	RSPO1	65.52275780214256
NR5A1	CTNNB1	65.4994216026586
FGF9	PGD2	64.8238813031923
AMH	NR0B1	63.812485823015635
CTNNB1	WNT4	63.2928349297896
DHH	DMRT1	63.19789493110599
SRY	FOXL2	62.612260088013656
SOX9	NR5A1	62.542004071629975
CTNNB1	SRY	62.431259782783144
DHH	SOX9	62.32223927517847
FOXL2	SRY	61.49342020460639
FOXL2	CTNNB1	61.26688987907972
NR0B1	NR5A1	60.97418614447058
FOXL2	NR5A1	59.90255746402949
WNT4	CTNNB1	59.68420779914722
NR0B1	CTNNB1	59.64886336592106
DMRT1	CBX2	59.26342063822778
SOX9	AMH	59.086178457736864
UGR	WT1mKTS	59.055034770629746
AMH	SOX9	58.57359039590996
WT1pKTS	SRY	58.38955299393704
SOX9	DHH	56.16754041195478
PGD2	SOX9	55.78041657492427
FGF9	DHH	55.60159335653688
WT1pKTS	CBX2	55.30225527059693
NR0B1	DHH	53.98209228030645
RSPO1	FOXL2	52.40536651634768
PGD2	NR0B1	52.222208129393465
WT1pKTS	DMRT1	51.832774817843635
DHH	DKK1	51.811281966771666
UGR	RSPO1	51.78448477060218
UGR	NR0B1	51.656646208654834
DKK1	WT1pKTS	51.43020019766581
PGD2	AMH	51.10571245786504
SRY	NR5A1	50.67701020095726
FGF9	NR5A1	50.29232449372932
FGF9	DKK1	49.59320567215216
FOXL2	WNT4	49.467978466768805
WNT4	DKK1	49.358582544553954
AMH	DKK1	49.07618117858236
CBX2	NR5A1	48.77167180237153
FGF9	SOX9	48.69565628441145
WNT4	GATA4	48.596602356050866
CTNNB1	DMRT1	48.531436951627725
RSPO1	UGR	47.994683051778466
WT1pKTS	DKK1	47.92328760996121
PGD2	DKK1	47.54876865585314
NR0B1	WT1mKTS	47.2888323541224
FGF9	NR0B1	46.99521827201371
DKK1	SOX9	46.74798485522039
AMH	DHH	46.453098524692656
WNT4	UGR	46.34590000256182
NR0B1	AMH	45.914917008923034
DMRT1	SOX9	45.74857117994961
DKK1	UGR	45.704377593069545
NR0B1	CBX2	45.326624526043844
WNT4	CBX2	45.324711042954796
UGR	SRY	45.31431798935852
DKK1	AMH	44.948861432179505
DKK1	PGD2	44.70154426878656
FGF9	DMRT1	44.31784829460335
UGR	GATA4	44.03739790458957
SRY	CTNNB1	44.007347938523424
CBX2	DMRT1	43.08381357224759
NR5A1	NR0B1	43.01190646134304
WT1pKTS	WT1mKTS	42.22694445248858
WNT4	SOX9	42.09435722201261
WNT4	WT1mKTS	42.02926738303775
DMRT1	WNT4	41.924222669659926
DMRT1	FGF9	41.862432051684046
UGR	DKK1	41.54457362426936
CTNNB1	NR0B1	41.53847997758458
DMRT1	WT1pKTS	41.300756111179034
AMH	WNT4	41.025869394231854
SOX9	WNT4	40.641399819444935
DMRT1	PGD2	40.60856987806852
SOX9	NR0B1	40.25222327339756
PGD2	SRY	40.197020096289094
UGR	WNT4	39.998305720239905
NR0B1	FGF9	39.77510976088313
AMH	SRY	39.685886780025456
RSPO1	SRY	39.24875213895036
NR5A1	UGR	39.11078803359309
DKK1	CTNNB1	38.654113655447404
DKK1	FGF9	38.570624358253106
WNT4	NR5A1	38.25605378000447
FOXL2	CBX2	37.997570805536846
DMRT1	UGR	37.90560883204318
PGD2	NR5A1	37.602522945269335
WT1pKTS	GATA4	36.947532774998976
CBX2	RSPO1	36.58492815402376
WNT4	FOXL2	36.361415051749645
AMH	DMRT1	36.270723730464404
PGD2	WNT4	36.234592029900455
CBX2	NR0B1	35.674734126757606
PGD2	DMRT1	35.57741258776801
CBX2	WT1mKTS	35.46610527459672
WNT4	DMRT1	34.72807562281271
FGF9	WNT4	34.25276691339363
