Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.151891	0.999997	0.272784
FGF9	+	DMRT1	0.021197	0.459880	0.017507
RSPO1	+	DMRT1	0.022226	0.203371	0.008118
DHH	-	DMRT1	-0.010934	0.415157	-0.008152
CTNNB1	-	DMRT1	-0.001623	0.082875	-0.000242
PGD2	+	DMRT1	0.009325	0.431621	0.007228
WT1mKTS	+	DMRT1	0.015769	0.109401	0.003098
SRY	+	DMRT1	0.025316	0.269984	0.012275
DKK1	+	DMRT1	0.129891	0.999260	0.233101
WNT4	+	DMRT1	0.020288	0.162060	0.005905
CBX2	-	DMRT1	-0.015453	0.140547	-0.003900
AMH	-	DMRT1	-0.025008	0.447991	-0.020121
NR0B1	+	DMRT1	0.014625	0.108415	0.002848
NR5A1	+	DMRT1	0.025323	0.405353	0.018435
WT1pKTS	-	DMRT1	-0.003168	0.069055	-0.000393
FOXL2	-	DMRT1	-0.033558	0.982823	-0.059233
UGR	+	DMRT1	0.003751	0.034212	0.000230
SOX9	+	DMRT1	0.011877	0.345880	0.007378
GATA4	-	DMRT1	-0.013927	0.220542	-0.005516
DMRT1	+	FGF9	0.004490	0.237273	0.001913
FGF9	+	FGF9	0.004088	0.437109	0.003210
RSPO1	+	FGF9	0.004800	0.091652	0.000790
DHH	-	FGF9	-0.003093	0.411480	-0.002286
CTNNB1	-	FGF9	-0.004157	0.156883	-0.001171
PGD2	+	FGF9	0.001872	0.427980	0.001439
WT1mKTS	+	FGF9	0.000603	0.083085	0.000090
SRY	+	FGF9	0.003621	0.059510	0.000387
DKK1	+	FGF9	0.007060	0.293153	0.003717
WNT4	+	FGF9	0.004536	0.085983	0.000701
CBX2	-	FGF9	-0.001152	0.050498	-0.000105
AMH	+	FGF9	0.002784	0.403097	0.002016
NR0B1	+	FGF9	0.001808	0.075855	0.000246
NR5A1	+	FGF9	0.002472	0.068655	0.000305
WT1pKTS	-	FGF9	-0.001067	0.055554	-0.000106
FOXL2	+	FGF9	0.004803	0.101144	0.000872
UGR	+	FGF9	0.014014	0.968865	0.024384
SOX9	+	FGF9	0.037375	0.961324	0.064526
GATA4	+	FGF9	0.009284	0.144546	0.002410
DMRT1	+	RSPO1	0.164663	0.654186	0.193458
FGF9	+	RSPO1	0.077971	0.474397	0.066429
RSPO1	+	RSPO1	0.512450	1.000000	0.920322
DHH	+	RSPO1	0.017668	0.408666	0.012967
CTNNB1	+	RSPO1	0.210649	0.999847	0.378252
PGD2	+	RSPO1	0.044352	0.441544	0.035170
WT1mKTS	+	RSPO1	0.004322	0.080983	0.000629
SRY	-	RSPO1	-0.215477	1.000000	-0.386981
DKK1	+	RSPO1	0.150688	0.595706	0.161212
WNT4	+	RSPO1	0.166812	0.839589	0.251525
CBX2	-	RSPO1	-0.214133	1.000000	-0.384567
AMH	+	RSPO1	0.075130	0.446234	0.060210
NR0B1	+	RSPO1	0.107123	0.055730	0.010722
NR5A1	-	RSPO1	-0.189063	1.000000	-0.339543
WT1pKTS	+	RSPO1	0.175613	0.999876	0.315349
FOXL2	+	RSPO1	0.199574	0.999977	0.358411
UGR	+	RSPO1	0.031001	0.073839	0.004111
SOX9	-	RSPO1	-0.206845	0.724111	-0.268991
GATA4	+	RSPO1	0.247943	1.000000	0.445287
DMRT1	+	DHH	0.002270	0.196090	0.000799
FGF9	+	DHH	0.003071	0.432426	0.002385
RSPO1	-	DHH	-0.001419	0.083312	-0.000212
DHH	+	DHH	0.000737	0.406444	0.000538
CTNNB1	+	DHH	0.002567	0.079878	0.000368
PGD2	-	DHH	-0.000120	0.426318	-0.000092
WT1mKTS	+	DHH	0.006448	0.104008	0.001204
SRY	-	DHH	-0.003134	0.045468	-0.000256
DKK1	-	DHH	-0.002646	0.217191	-0.001032
WNT4	-	DHH	-0.001035	0.088628	-0.000165
CBX2	-	DHH	-0.001434	0.050690	-0.000131
AMH	+	DHH	0.013877	0.486865	0.012134
NR0B1	+	DHH	0.009606	0.225169	0.003885
NR5A1	+	DHH	0.002928	0.075059	0.000395
WT1pKTS	+	DHH	0.000574	0.047232	0.000049
FOXL2	+	DHH	0.002743	0.074173	0.000365
UGR	+	DHH	0.013258	0.813660	0.019374
SOX9	-	DHH	-0.005320	0.315168	-0.003011
GATA4	+	DHH	0.005133	0.091970	0.000848
DMRT1	+	CTNNB1	0.084102	0.321405	0.048545
FGF9	-	CTNNB1	-0.084071	0.477018	-0.072023
RSPO1	+	CTNNB1	0.337094	1.000000	0.605395
DHH	-	CTNNB1	-0.168688	0.587440	-0.177966
CTNNB1	+	CTNNB1	0.418104	1.000000	0.750883
PGD2	+	CTNNB1	0.122389	0.520961	0.114508
WT1mKTS	+	CTNNB1	0.165967	0.857381	0.255555
SRY	-	CTNNB1	-0.216475	1.000000	-0.388772
DKK1	+	CTNNB1	0.099381	0.376781	0.067248
WNT4	+	CTNNB1	0.066249	0.057250	0.006811
CBX2	-	CTNNB1	-0.227769	1.000000	-0.409055
AMH	+	CTNNB1	0.242098	0.721083	0.313519
NR0B1	+	CTNNB1	0.155558	0.782813	0.218695
NR5A1	-	CTNNB1	-0.174742	0.999984	-0.313818
WT1pKTS	+	CTNNB1	0.065530	0.154469	0.018179
FOXL2	+	CTNNB1	0.155525	0.975177	0.272378
UGR	-	CTNNB1	-0.010726	0.049094	-0.000946
SOX9	-	CTNNB1	-0.020490	0.310618	-0.011430
GATA4	+	CTNNB1	0.246987	1.000000	0.443569
DMRT1	-	PGD2	-0.000728	0.191246	-0.000250
FGF9	+	PGD2	0.000126	0.427878	0.000097
RSPO1	+	PGD2	0.001252	0.075816	0.000171
DHH	+	PGD2	0.022524	0.629582	0.025467
CTNNB1	+	PGD2	0.001555	0.078017	0.000218
PGD2	+	PGD2	0.004007	0.434415	0.003126
WT1mKTS	+	PGD2	0.005024	0.077104	0.000696
SRY	-	PGD2	-0.002817	0.043386	-0.000219
DKK1	-	PGD2	-0.000562	0.209785	-0.000212
WNT4	+	PGD2	0.001479	0.077032	0.000205
CBX2	-	PGD2	-0.005313	0.135702	-0.001295
AMH	+	PGD2	0.005448	0.415565	0.004066
NR0B1	+	PGD2	0.000399	0.075967	0.000054
NR5A1	+	PGD2	0.000038	0.051126	0.000003
WT1pKTS	+	PGD2	0.009596	0.346986	0.005980
FOXL2	+	PGD2	0.005256	0.126740	0.001196
UGR	+	PGD2	0.009992	0.336033	0.006030
SOX9	+	PGD2	0.002793	0.299486	0.001502
GATA4	+	PGD2	0.004979	0.075868	0.000678
DMRT1	+	WT1mKTS	0.086467	0.315498	0.048993
FGF9	+	WT1mKTS	0.086145	0.469741	0.072674
RSPO1	+	WT1mKTS	0.031765	0.066430	0.003790
DHH	+	WT1mKTS	0.139704	0.515487	0.129335
CTNNB1	+	WT1mKTS	0.278796	1.000000	0.500696
PGD2	+	WT1mKTS	0.142987	0.531298	0.136434
WT1mKTS	+	WT1mKTS	0.459307	1.000000	0.824881
SRY	+	WT1mKTS	0.348925	0.000000	0.000000
DKK1	+	WT1mKTS	0.160221	0.536236	0.154299
WNT4	+	WT1mKTS	0.083764	0.045431	0.006834
CBX2	+	WT1mKTS	0.089387	0.237324	0.038098
AMH	+	WT1mKTS	0.203721	0.612466	0.224081
NR0B1	+	WT1mKTS	0.086052	0.047038	0.007269
NR5A1	+	WT1mKTS	0.253916	1.000000	0.456013
WT1pKTS	+	WT1mKTS	0.253900	1.000000	0.455986
FOXL2	+	WT1mKTS	0.252436	1.000000	0.453355
UGR	+	WT1mKTS	0.092088	0.261668	0.043275
SOX9	+	WT1mKTS	0.086352	0.376325	0.058361
GATA4	+	WT1mKTS	0.339635	1.000000	0.609958
DMRT1	+	SRY	0.245114	0.879236	0.387046
FGF9	+	SRY	0.091491	0.480399	0.078935
RSPO1	-	SRY	-0.109916	0.972043	-0.191882
DHH	-	SRY	-0.072860	0.443368	-0.058015
CTNNB1	-	SRY	-0.140165	0.999715	-0.251654
PGD2	+	SRY	0.063257	0.451839	0.051331
WT1mKTS	-	SRY	-0.008423	0.098316	-0.001487
SRY	+	SRY	0.359111	1.000000	0.644936
DKK1	+	SRY	0.301216	0.968102	0.523705
WNT4	+	SRY	0.203295	0.999944	0.365082
CBX2	-	SRY	-0.081152	0.372483	-0.054286
AMH	+	SRY	0.050164	0.417078	0.037575
NR0B1	+	SRY	0.033487	0.069069	0.004154
NR5A1	+	SRY	0.317732	1.000000	0.570623
WT1pKTS	+	SRY	0.013489	0.055684	0.001349
FOXL2	-	SRY	-0.002526	0.054669	-0.000248
UGR	+	SRY	0.425941	0.000000	0.000000
SOX9	-	SRY	-0.012183	0.325889	-0.007130
GATA4	+	SRY	0.050737	0.061485	0.005603
DMRT1	+	DKK1	0.155988	1.000000	0.280143
FGF9	+	DKK1	0.029879	0.499120	0.026783
RSPO1	+	DKK1	0.004702	0.070347	0.000594
DHH	-	DKK1	-0.011196	0.417076	-0.008386
CTNNB1	-	DKK1	-0.001450	0.078662	-0.000205
PGD2	+	DKK1	0.009074	0.432181	0.007043
WT1mKTS	+	DKK1	0.009062	0.071322	0.001161
SRY	+	DKK1	0.025925	0.337727	0.015724
DKK1	+	DKK1	0.134764	0.999898	0.242001
WNT4	+	DKK1	0.031128	0.437380	0.024451
CBX2	-	DKK1	-0.012850	0.124158	-0.002865
AMH	-	DKK1	-0.023113	0.447788	-0.018588
NR0B1	+	DKK1	0.011789	0.077391	0.001639
NR5A1	+	DKK1	0.021066	0.269253	0.010187
WT1pKTS	-	DKK1	-0.005634	0.082328	-0.000833
FOXL2	-	DKK1	-0.027033	0.954857	-0.046357
UGR	+	DKK1	0.005574	0.043368	0.000434
SOX9	+	DKK1	0.016744	0.366800	0.011030
GATA4	-	DKK1	-0.008979	0.169735	-0.002737
DMRT1	+	WNT4	0.027460	0.224770	0.011085
FGF9	+	WNT4	0.103278	0.488667	0.090638
RSPO1	+	WNT4	0.191121	0.991601	0.340357
DHH	+	WNT4	0.122364	0.495148	0.108812
CTNNB1	+	WNT4	0.101228	0.124854	0.022698
PGD2	+	WNT4	0.212705	0.637288	0.243445
WT1mKTS	+	WNT4	0.103220	0.058877	0.010914
SRY	-	WNT4	-0.067639	0.163805	-0.019898
DKK1	+	WNT4	0.117259	0.400398	0.084319
WNT4	+	WNT4	0.495408	1.000000	0.889715
CBX2	+	WNT4	0.322038	0.000000	0.000000
AMH	-	WNT4	-0.006378	0.399518	-0.004576
NR0B1	+	WNT4	0.303277	1.000000	0.544663
NR5A1	+	WNT4	0.223724	1.000000	0.401792
WT1pKTS	+	WNT4	0.104436	0.355344	0.066648
FOXL2	+	WNT4	0.107597	0.239164	0.046215
UGR	-	WNT4	-0.291893	1.000000	-0.524218
SOX9	+	WNT4	0.162403	0.534791	0.155979
GATA4	+	WNT4	0.239203	0.999977	0.429582
DMRT1	-	CBX2	-0.067303	0.290957	-0.035168
FGF9	+	CBX2	0.096230	0.500669	0.086526
RSPO1	-	CBX2	-0.092796	0.961623	-0.160259
DHH	+	CBX2	0.130815	0.541994	0.127333
CTNNB1	-	CBX2	-0.099550	0.982634	-0.175680
PGD2	+	CBX2	0.099642	0.503355	0.090075
WT1mKTS	+	CBX2	0.082028	0.019228	0.002833
SRY	+	CBX2	0.221473	0.000000	0.000000
DKK1	+	CBX2	0.057279	0.284319	0.029247
WNT4	-	CBX2	-0.083034	0.957743	-0.142821
CBX2	+	CBX2	0.556816	1.000000	1.000000
AMH	+	CBX2	0.094390	0.476433	0.080763
NR0B1	-	CBX2	-0.047793	0.420804	-0.036119
NR5A1	+	CBX2	0.233150	1.000000	0.418719
WT1pKTS	+	CBX2	0.113770	0.245347	0.050130
FOXL2	+	CBX2	0.150203	0.997250	0.269012
UGR	+	CBX2	0.176499	0.999001	0.316662
SOX9	+	CBX2	0.012449	0.302271	0.006758
GATA4	+	CBX2	0.120867	0.026991	0.005859
DMRT1	+	AMH	0.007210	0.243653	0.003155
FGF9	+	AMH	0.008434	0.457619	0.006931
RSPO1	-	AMH	-0.002129	0.087413	-0.000334
DHH	+	AMH	0.019768	0.558319	0.019821
CTNNB1	+	AMH	0.003907	0.093766	0.000658
PGD2	+	AMH	0.003991	0.433050	0.003104
WT1mKTS	+	AMH	0.006675	0.119887	0.001437
SRY	-	AMH	-0.002326	0.031465	-0.000131
DKK1	-	AMH	-0.003317	0.225696	-0.001344
WNT4	+	AMH	0.000371	0.077098	0.000051
CBX2	-	AMH	-0.003260	0.072652	-0.000425
AMH	+	AMH	0.004512	0.408456	0.003310
NR0B1	+	AMH	0.002623	0.082027	0.000386
NR5A1	+	AMH	0.000968	0.045750	0.000080
WT1pKTS	+	AMH	0.000634	0.042746	0.000049
FOXL2	-	AMH	-0.001076	0.052792	-0.000102
UGR	+	AMH	0.011015	0.417377	0.008256
SOX9	-	AMH	-0.005679	0.318552	-0.003249
GATA4	+	AMH	0.011936	0.615851	0.013202
DMRT1	+	NR0B1	0.129457	0.389135	0.090472
FGF9	+	NR0B1	0.237152	0.646781	0.275469
RSPO1	+	NR0B1	0.128948	0.178501	0.041337
DHH	+	NR0B1	0.203686	0.592531	0.216751
CTNNB1	+	NR0B1	0.145952	0.311480	0.081645
PGD2	+	NR0B1	0.088942	0.465092	0.074291
WT1mKTS	+	NR0B1	0.160513	0.205320	0.059187
SRY	-	NR0B1	-0.056659	0.107251	-0.010913
DKK1	-	NR0B1	-0.057772	0.272292	-0.028252
WNT4	+	NR0B1	0.363655	1.000000	0.653098
CBX2	+	NR0B1	0.274634	0.000000	0.000000
AMH	+	NR0B1	0.139188	0.497792	0.124433
NR0B1	+	NR0B1	0.439404	1.000000	0.789136
NR5A1	+	NR0B1	0.178165	0.989610	0.316647
WT1pKTS	+	NR0B1	0.249193	1.000000	0.447532
FOXL2	+	NR0B1	0.277062	1.000000	0.497582
UGR	-	NR0B1	-0.323611	1.000000	-0.581180
SOX9	+	NR0B1	0.120186	0.414967	0.089568
GATA4	+	NR0B1	0.101922	0.044066	0.008066
DMRT1	-	NR5A1	-0.009824	0.207051	-0.003653
FGF9	-	NR5A1	-0.013270	0.430088	-0.010250
RSPO1	-	NR5A1	-0.173664	1.000000	-0.311887
DHH	+	NR5A1	0.145467	0.554781	0.144936
CTNNB1	-	NR5A1	-0.143790	0.999965	-0.258226
PGD2	-	NR5A1	-0.021079	0.429891	-0.016274
WT1mKTS	-	NR5A1	-0.228762	0.000000	-0.000000
SRY	+	NR5A1	0.297357	1.000000	0.534030
DKK1	-	NR5A1	-0.012879	0.229637	-0.005312
WNT4	+	NR5A1	0.034010	0.059793	0.003652
CBX2	+	NR5A1	0.137275	0.884850	0.218148
AMH	+	NR5A1	0.039423	0.411929	0.029165
NR0B1	+	NR5A1	0.026418	0.061893	0.002936
NR5A1	+	NR5A1	0.496510	1.000000	0.891694
WT1pKTS	+	NR5A1	0.224016	1.000000	0.402315
FOXL2	+	NR5A1	0.013620	0.070347	0.001721
UGR	+	NR5A1	0.179350	0.999740	0.322015
SOX9	-	NR5A1	-0.140057	0.521798	-0.131249
GATA4	+	NR5A1	0.242424	1.000000	0.435375
DMRT1	+	WT1pKTS	0.013857	0.198898	0.004950
FGF9	+	WT1pKTS	0.003208	0.428224	0.002467
RSPO1	+	WT1pKTS	0.085155	0.116334	0.017791
DHH	+	WT1pKTS	0.132127	0.530498	0.125882
CTNNB1	+	WT1pKTS	0.004749	0.078481	0.000669
PGD2	+	WT1pKTS	0.374752	0.910440	0.612751
WT1mKTS	+	WT1pKTS	0.247154	1.000000	0.443870
SRY	+	WT1pKTS	0.176390	0.000000	0.000000
DKK1	+	WT1pKTS	0.036595	0.234911	0.015439
WNT4	+	WT1pKTS	0.060832	0.044580	0.004870
CBX2	+	WT1pKTS	0.038755	0.082612	0.005750
AMH	+	WT1pKTS	0.005104	0.398847	0.003656
NR0B1	+	WT1pKTS	0.079360	0.045920	0.006545
NR5A1	+	WT1pKTS	0.247110	1.000000	0.443792
WT1pKTS	+	WT1pKTS	0.553082	1.000000	0.993294
FOXL2	-	WT1pKTS	-0.319084	1.000000	-0.573051
UGR	+	WT1pKTS	0.068036	0.171569	0.020964
SOX9	-	WT1pKTS	-0.024012	0.303110	-0.013071
GATA4	+	WT1pKTS	0.132813	0.053003	0.012642
DMRT1	-	FOXL2	-0.074035	0.364631	-0.048482
FGF9	+	FOXL2	0.086325	0.508172	0.078784
RSPO1	+	FOXL2	0.122649	0.676626	0.149040
DHH	-	FOXL2	-0.016154	0.409664	-0.011885
CTNNB1	+	FOXL2	0.101132	0.191559	0.034792
PGD2	-	FOXL2	-0.088303	0.511107	-0.081054
WT1mKTS	+	FOXL2	0.113709	0.124373	0.025399
SRY	-	FOXL2	-0.019612	0.045016	-0.001586
DKK1	-	FOXL2	-0.107839	0.523826	-0.101450
WNT4	+	FOXL2	0.010800	0.063820	0.001238
CBX2	-	FOXL2	-0.201309	0.000000	-0.000000
AMH	-	FOXL2	-0.131717	0.587796	-0.139046
NR0B1	+	FOXL2	0.056316	0.034488	0.003488
NR5A1	+	FOXL2	0.009498	0.062404	0.001064
WT1pKTS	-	FOXL2	-0.283722	1.000000	-0.509543
FOXL2	+	FOXL2	0.547252	1.000000	0.982823
UGR	+	FOXL2	0.018430	0.053784	0.001780
SOX9	+	FOXL2	0.083869	0.433064	0.065229
GATA4	+	FOXL2	0.240634	1.000000	0.432161
DMRT1	+	UGR	0.013237	0.214255	0.005093
FGF9	+	UGR	0.085731	0.513502	0.079062
RSPO1	+	UGR	0.068746	0.184415	0.022768
DHH	+	UGR	0.097595	0.522556	0.091590
CTNNB1	+	UGR	0.062879	0.149666	0.016901
PGD2	+	UGR	0.131455	0.605006	0.142832
WT1mKTS	+	UGR	0.112171	0.002410	0.000486
SRY	+	UGR	0.179880	0.000000	0.000000
DKK1	+	UGR	0.076611	0.377572	0.051949
WNT4	-	UGR	-0.145686	1.000000	-0.261640
CBX2	+	UGR	0.147772	0.987508	0.262072
AMH	+	UGR	0.142387	0.625718	0.160007
NR0B1	-	UGR	-0.113761	0.999999	-0.204306
NR5A1	+	UGR	0.125454	0.624215	0.140639
WT1pKTS	+	UGR	0.005030	0.050373	0.000455
FOXL2	+	UGR	0.026562	0.078744	0.003756
UGR	+	UGR	0.552708	1.000000	0.992621
SOX9	+	UGR	0.047316	0.347482	0.029527
GATA4	+	UGR	0.138742	0.008034	0.002002
DMRT1	+	SOX9	0.073560	0.998490	0.131909
FGF9	+	SOX9	0.011925	0.450929	0.009657
RSPO1	-	SOX9	-0.007324	0.177029	-0.002328
DHH	-	SOX9	-0.024623	0.509064	-0.022511
CTNNB1	-	SOX9	-0.006080	0.145391	-0.001588
PGD2	+	SOX9	0.017242	0.474557	0.014695
WT1mKTS	+	SOX9	0.011769	0.068151	0.001440
SRY	+	SOX9	0.010546	0.111242	0.002107
DKK1	+	SOX9	0.043314	0.789283	0.061397
WNT4	+	SOX9	0.016315	0.109746	0.003216
CBX2	-	SOX9	-0.008703	0.119625	-0.001870
AMH	-	SOX9	-0.007096	0.407517	-0.005193
NR0B1	+	SOX9	0.003899	0.069835	0.000489
NR5A1	+	SOX9	0.017028	0.407703	0.012468
WT1pKTS	-	SOX9	-0.001639	0.054363	-0.000160
FOXL2	-	SOX9	-0.000419	0.047622	-0.000036
UGR	+	SOX9	0.003703	0.039399	0.000262
SOX9	+	SOX9	0.097474	0.999145	0.174906
GATA4	-	SOX9	-0.001999	0.095762	-0.000344
DMRT1	+	GATA4	0.082310	0.304075	0.044949
FGF9	+	GATA4	0.146884	0.555842	0.146626
RSPO1	+	GATA4	0.212120	0.999954	0.380934
DHH	+	GATA4	0.037681	0.416848	0.028209
CTNNB1	+	GATA4	0.111369	0.174303	0.034862
PGD2	+	GATA4	0.125231	0.522683	0.117554
WT1mKTS	+	GATA4	0.274017	1.000000	0.492114
SRY	+	GATA4	0.030650	0.054460	0.002998
DKK1	+	GATA4	0.045084	0.254633	0.020617
WNT4	+	GATA4	0.180861	0.952599	0.309417
CBX2	+	GATA4	0.082559	0.237256	0.035178
AMH	+	GATA4	0.198223	0.632703	0.225238
NR0B1	+	GATA4	0.042778	0.052949	0.004068
NR5A1	+	GATA4	0.259754	1.000000	0.466498
WT1pKTS	+	GATA4	0.236586	1.000000	0.424890
FOXL2	+	GATA4	0.298831	1.000000	0.536677
UGR	+	GATA4	0.208158	0.999999	0.373835
SOX9	+	GATA4	0.036878	0.315735	0.020911
GATA4	+	GATA4	0.430792	1.000000	0.773670
