Gene1	Gene2	Score
DKK1	AMH	0.957582155827255
DKK1	PGD2	0.956145674815124
DKK1	DMRT1	0.955132225248418
DMRT1	DKK1	0.955132225248418
DKK1	FGF9	0.955018371848797
DMRT1	AMH	0.954835195994743
DMRT1	PGD2	0.952756546148248
DKK1	DHH	0.952743193498636
DMRT1	FGF9	0.952289868373418
DMRT1	DHH	0.948501230814857
DKK1	SOX9	0.946904632899572
SOX9	AMH	0.944423467937636
DMRT1	SOX9	0.94394603704722
SOX9	PGD2	0.942973965420299
SOX9	FGF9	0.939334958914115
SOX9	DHH	0.934117898833586
UGR	WNT4	0.890952284730977
NR0B1	DKK1	0.877681023416033
NR0B1	WNT4	-0.875837111000897
NR0B1	DMRT1	0.871973357182353
SRY	DKK1	0.856185908709511
SRY	DMRT1	0.854265042634586
UGR	DKK1	-0.852544349428537
UGR	DMRT1	-0.851900437080646
SRY	SOX9	0.848307347431142
SRY	PGD2	0.848132254809261
NR0B1	SOX9	0.847666464463432
SRY	FGF9	0.847088320983206
SRY	DHH	0.846763986137885
SRY	AMH	0.846568403937778
DKK1	NR0B1	-0.845330520155451
DMRT1	NR0B1	-0.843332330014747
NR0B1	SRY	0.838704211815509
NR0B1	UGR	-0.836240537376429
UGR	SOX9	-0.83174560475841
SRY	NR0B1	0.821779832932735
NR0B1	CBX2	-0.808446536655558
UGR	NR0B1	-0.804622544428683
SRY	WNT4	-0.797745142584531
NR0B1	PGD2	0.795477764645694
UGR	CBX2	0.794976710486602
CTNNB1	RSPO1	0.791072837973524
NR0B1	DHH	0.790036226716046
UGR	RSPO1	0.788846820266864
NR0B1	FGF9	0.786224760215019
NR0B1	AMH	0.781464032356894
UGR	SRY	-0.777385167055022
CBX2	WNT4	0.776581506333782
SRY	CBX2	-0.761643086474585
WNT4	NR0B1	0.761633792598313
SRY	UGR	-0.755965609175501
DKK1	SRY	0.750910383111467
GATA4	UGR	-0.747974296766065
WT1pKTS	WT1mKTS	0.747041775937741
WT1mKTS	WT1pKTS	0.747041775937741
WT1pKTS	UGR	-0.746777923652679
DMRT1	SRY	0.74627682305934
UGR	PGD2	-0.74583249094712
UGR	FGF9	-0.744944109352783
UGR	DHH	-0.743182739417481
WT1mKTS	UGR	-0.740339864501709
RSPO1	NR5A1	-0.735597184492023
CBX2	NR0B1	0.735127063342762
UGR	AMH	-0.729900643848554
WT1pKTS	DKK1	0.726222991618543
WT1mKTS	DKK1	0.71375311328273
NR5A1	WNT4	0.711046824512138
WT1pKTS	DMRT1	0.709486425098648
GATA4	DKK1	0.706900632189503
WT1mKTS	DMRT1	0.703235705699111
CBX2	AMH	-0.703003235465517
GATA4	DMRT1	0.699080904359274
CBX2	PGD2	-0.698523055354622
CBX2	DKK1	-0.697648537780371
CBX2	DHH	-0.697563938502785
CBX2	FGF9	-0.697147699325698
WNT4	RSPO1	0.696070657035452
CBX2	DMRT1	-0.695008266659051
GATA4	WT1pKTS	0.681574380725284
WT1pKTS	GATA4	0.681574380725284
WT1pKTS	CBX2	-0.681253060068953
GATA4	WT1mKTS	0.678102216609255
WT1mKTS	GATA4	0.678102216609255
CBX2	SOX9	-0.677113926117253
GATA4	CBX2	-0.673924561561031
WT1mKTS	CBX2	-0.668017883603981
GATA4	SRY	0.66587371230398
CBX2	RSPO1	0.662739162500335
WT1pKTS	SRY	0.660784419831825
RSPO1	SOX9	0.655328135207084
DKK1	CBX2	-0.652384982353011
DMRT1	CBX2	-0.649647692197378
WNT4	NR5A1	-0.642347630732505
DKK1	WNT4	-0.641881866724673
CBX2	UGR	0.640656251441857
DMRT1	WNT4	-0.640327359920929
RSPO1	DMRT1	0.639871981302854
WT1mKTS	SRY	0.639503180199365
WT1pKTS	NR0B1	0.637383681006059
CBX2	NR5A1	-0.635054578771957
RSPO1	DKK1	0.633197232488716
WNT4	DMRT1	0.62860092063944
NR5A1	NR0B1	0.627447518412828
NR0B1	RSPO1	-0.626829455758285
CTNNB1	NR5A1	-0.623357940589305
RSPO1	CTNNB1	0.620565527970939
CBX2	SRY	-0.619754796928481
UGR	CTNNB1	0.618873141799464
WNT4	DKK1	0.617119678575627
RSPO1	WNT4	0.616235894516561
GATA4	NR0B1	0.613936857187757
RSPO1	PGD2	0.607721740892842
WNT4	UGR	-0.606671398996778
RSPO1	DHH	0.605406512867528
RSPO1	NR0B1	-0.603096737787396
RSPO1	FGF9	0.60194688560115
WT1mKTS	NR0B1	0.600267989457049
UGR	NR5A1	-0.599581882237814
RSPO1	AMH	0.597326420019391
NR0B1	WT1pKTS	0.589604044119435
NR0B1	GATA4	0.581660632923561
NR0B1	WT1mKTS	0.581118567048377
WT1pKTS	WNT4	-0.574256443951057
SOX9	DKK1	0.56350454607469
WNT4	CBX2	-0.561544710540887
SRY	RSPO1	-0.557132796090864
SOX9	DMRT1	0.54990376703975
GATA4	WNT4	-0.549457404997192
DKK1	UGR	-0.548684676340528
CBX2	CTNNB1	0.546870829436853
DMRT1	UGR	-0.546498481810629
WNT4	SRY	0.540745414228752
WT1mKTS	WNT4	-0.535688845970839
WT1pKTS	SOX9	0.52862942396568
WNT4	SOX9	0.521956964028821
NR5A1	SOX9	-0.520765746405319
NR5A1	RSPO1	0.520269444220365
GATA4	SOX9	0.515375664540974
NR5A1	CBX2	0.512390398701742
CTNNB1	WNT4	0.512013544365989
WT1mKTS	SOX9	0.51104978463396
WNT4	CTNNB1	0.509053652307518
RSPO1	SRY	0.508997137259076
NR5A1	DHH	-0.507178189702055
NR5A1	PGD2	-0.505694786725579
NR5A1	DMRT1	-0.504993062914162
NR5A1	DKK1	-0.503832584172235
SRY	WT1pKTS	0.503387688338053
NR0B1	CTNNB1	-0.502529774537773
NR5A1	FGF9	-0.499972851866746
NR5A1	AMH	-0.495443770221907
SRY	WT1mKTS	0.494575336315543
RSPO1	CBX2	-0.488575975772326
SRY	GATA4	0.48729995759548
DMRT1	NR5A1	-0.482062590259309
DKK1	NR5A1	-0.476483775207747
SRY	NR5A1	0.47460176020747
WT1mKTS	PGD2	0.469127336100706
CTNNB1	SOX9	0.468387981141245
CTNNB1	DMRT1	0.468115346873686
SOX9	NR0B1	-0.467333811474579
WT1mKTS	DHH	0.466567254389583
GATA4	FGF9	0.46586354533568
