Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
NR5A1	WT1pKTS	0.295147273865249	3.75587884015709e-41
WT1pKTS	NR5A1	0.295147273865249	3.75587884015742e-41
CTNNB1	WNT4	0.28988015264406	1.07649228821074e-39
WNT4	CTNNB1	0.289880152644059	1.07649228821089e-39
WNT4	RSPO1	0.264411043063308	4.47512334269658e-33
RSPO1	WNT4	0.264411043063308	4.47512334269658e-33
DKK1	DMRT1	0.264068993178923	5.43195815501855e-33
DMRT1	DKK1	0.264068993178923	5.43195815501917e-33
CTNNB1	RSPO1	0.256439007838896	3.80241657060233e-31
RSPO1	CTNNB1	0.256439007838896	3.80241657060254e-31
DKK1	SRY	0.250831612278747	7.89325418096482e-30
SRY	DKK1	0.250831612278747	7.89325418096573e-30
WT1pKTS	SRY	0.2419339076108	8.33096685111017e-28
SRY	WT1pKTS	0.2419339076108	8.33096685111095e-28
NR0B1	WNT4	0.23671593452337	1.17400603069873e-26
WNT4	NR0B1	0.23671593452337	1.17400603069876e-26
SRY	DMRT1	0.234076127024123	4.36950249140131e-26
DMRT1	SRY	0.234076127024123	4.36950249140191e-26
CBX2	NR5A1	0.206062557548986	1.86111776796116e-20
NR5A1	CBX2	0.206062557548986	1.86111776796122e-20
UGR	CBX2	0.173477978626796	7.29206215166453e-15
CBX2	UGR	0.173477978626796	7.29206215166469e-15
AMH	DHH	0.166160648183213	9.58956470690727e-14
DHH	AMH	0.166160648183213	9.5895647069077e-14
SOX9	DKK1	0.164150706945665	1.90767699215133e-13
DKK1	SOX9	0.164150706945665	1.90767699215146e-13
CTNNB1	FOXL2	0.16148999100593	4.67970929291322e-13
FOXL2	CTNNB1	0.16148999100593	4.67970929291353e-13
AMH	PGD2	0.155505620310915	3.33496128001635e-12
PGD2	AMH	0.155505620310915	3.33496128001645e-12
DHH	FGF9	0.155001044335309	3.9220165036199e-12
FGF9	DHH	0.155001044335309	3.92201650361999e-12
SRY	NR0B1	0.154715118189087	4.29843689141825e-12
NR0B1	SRY	0.154715118189087	4.29843689141838e-12
SRY	NR5A1	0.148977487362459	2.60811618917325e-11
NR5A1	SRY	0.148977487362458	2.60811618917336e-11
DMRT1	SOX9	0.144039147146497	1.16537521792909e-10
SOX9	DMRT1	0.144039147146496	1.16537521792915e-10
DHH	PGD2	0.137828917503963	7.12850971627257e-10
PGD2	DHH	0.137828917503963	7.12850971627263e-10
GATA4	SRY	0.13223685292875	3.40272630063940e-09
SRY	GATA4	0.13223685292875	3.40272630063945e-09
WT1mKTS	GATA4	0.131842152064521	3.79046107422271e-09
GATA4	WT1mKTS	0.131842152064521	3.79046107422276e-09
SOX9	NR5A1	0.126339624367054	1.65083985938215e-08
NR5A1	SOX9	0.126339624367053	1.65083985938219e-08
RSPO1	NR0B1	0.121050280295392	6.40994973914238e-08
NR0B1	RSPO1	0.121050280295392	6.40994973914263e-08
AMH	FGF9	0.11529005598286	2.63411613910454e-07
FGF9	AMH	0.11529005598286	2.63411613910459e-07
NR0B1	CTNNB1	0.114024417470614	3.56145013120421e-07
CTNNB1	NR0B1	0.114024417470614	3.56145013120443e-07
NR0B1	WT1mKTS	0.111729580602531	6.10376955746429e-07
WT1mKTS	NR0B1	0.111729580602531	6.10376955746435e-07
FOXL2	RSPO1	0.106060049141956	2.20870690036142e-06
RSPO1	FOXL2	0.106060049141956	2.20870690036152e-06
DMRT1	WT1pKTS	0.105271818032764	2.62785222929964e-06
WT1pKTS	DMRT1	0.105271818032764	2.62785222929977e-06
DHH	SOX9	0.104825557275362	2.89793182853424e-06
SOX9	DHH	0.104825557275362	2.89793182853433e-06
SRY	SOX9	0.102689569169936	4.60347428497001e-06
SOX9	SRY	0.102689569169936	4.60347428497014e-06
NR5A1	FGF9	0.100800579848086	6.87999444409949e-06
FGF9	NR5A1	0.100800579848086	6.87999444409949e-06
FGF9	PGD2	0.100655947623948	7.09289316311549e-06
PGD2	FGF9	0.100655947623948	7.09289316311561e-06
PGD2	SOX9	0.0992615319302226	9.49536339945332e-06
SOX9	PGD2	0.0992615319302225	9.49536339945345e-06
DHH	FOXL2	0.0981633908630059	1.19156055060301e-05
FOXL2	DHH	0.0981633908630059	1.19156055060302e-05
