Gene1	Gene2	EdgeWeight
DHH	AMH	11459
FGF9	AMH	11446
PGD2	AMH	11436
AMH	FOXL2	10794
FGF9	FOXL2	10766
PGD2	FOXL2	10648
DHH	FOXL2	10496
WT1pKTS	FOXL2	10003
SOX9	FOXL2	9408
FOXL2	AMH	9094
DKK1	FOXL2	9003
DMRT1	FOXL2	8959
SOX9	AMH	8721
NR0B1	FOXL2	8487
SRY	FOXL2	8391
UGR	FOXL2	8193
UGR	AMH	8130
RSPO1	FOXL2	8122
CTNNB1	FOXL2	8115
DKK1	AMH	8094
DMRT1	AMH	8056
NR5A1	FOXL2	8008
CTNNB1	AMH	7740
NR0B1	AMH	7704
RSPO1	AMH	7619
WT1mKTS	FOXL2	7606
GATA4	FOXL2	7585
WNT4	FOXL2	7554
CBX2	FOXL2	7492
SRY	AMH	7337
CBX2	AMH	7333
WNT4	AMH	7318
WT1pKTS	AMH	7116
NR5A1	AMH	6961
WT1mKTS	AMH	6681
GATA4	AMH	6639
DKK1	DMRT1	1058
DMRT1	DKK1	962
RSPO1	SOX9	651
RSPO1	CTNNB1	571
FOXL2	DMRT1	529
FOXL2	DKK1	520
DMRT1	SOX9	501
DKK1	SOX9	499
UGR	DMRT1	468
FOXL2	SOX9	468
UGR	DKK1	458
FOXL2	WT1pKTS	430
NR5A1	SOX9	418
DKK1	CTNNB1	404
WNT4	SOX9	404
CBX2	SOX9	403
CTNNB1	DKK1	398
CTNNB1	SOX9	396
CTNNB1	DMRT1	395
AMH	DMRT1	391
UGR	SOX9	383
AMH	DKK1	375
FGF9	DMRT1	373
PGD2	DMRT1	373
DMRT1	CTNNB1	372
FGF9	CTNNB1	368
PGD2	CTNNB1	368
FGF9	NR0B1	367
CBX2	DMRT1	366
AMH	CTNNB1	365
AMH	NR0B1	360
DHH	CTNNB1	360
FGF9	DKK1	353
PGD2	NR0B1	351
PGD2	DKK1	346
WNT4	CTNNB1	342
DHH	DMRT1	339
DHH	DKK1	334
CBX2	DKK1	317
FOXL2	NR0B1	317
SOX9	CTNNB1	314
SOX9	DMRT1	307
SOX9	DKK1	296
AMH	SOX9	276
UGR	NR0B1	272
FOXL2	CTNNB1	271
PGD2	SOX9	267
FGF9	SOX9	267
UGR	WT1pKTS	265
FGF9	RSPO1	262
PGD2	RSPO1	262
AMH	RSPO1	260
SOX9	RSPO1	256
DHH	RSPO1	255
FGF9	WNT4	251
PGD2	WNT4	249
DHH	SOX9	248
AMH	WNT4	247
SRY	SOX9	246
NR0B1	SOX9	245
DHH	WNT4	242
AMH	WT1pKTS	242
FGF9	WT1pKTS	238
DHH	NR0B1	237
PGD2	WT1pKTS	233
NR0B1	DKK1	225
NR0B1	DMRT1	225
SRY	DKK1	222
SRY	DMRT1	222
WT1pKTS	SOX9	221
UGR	WNT4	212
DHH	WT1pKTS	210
AMH	GATA4	209
FOXL2	NR5A1	206
RSPO1	DKK1	202
FOXL2	GATA4	200
SOX9	NR0B1	200
WT1pKTS	DMRT1	199
SOX9	WNT4	199
FOXL2	RSPO1	197
FGF9	GATA4	197
WT1pKTS	DKK1	196
RSPO1	DMRT1	195
CTNNB1	WT1pKTS	194
RSPO1	WT1pKTS	193
UGR	CTNNB1	192
CTNNB1	NR0B1	192
RSPO1	NR0B1	191
CBX2	WT1pKTS	191
FOXL2	SRY	190
PGD2	GATA4	190
NR0B1	CTNNB1	190
FOXL2	WNT4	188
CTNNB1	RSPO1	178
WNT4	DKK1	177
WNT4	DMRT1	175
SOX9	WT1pKTS	174
UGR	SRY	173
FOXL2	WT1mKTS	170
DHH	GATA4	169
WNT4	WT1pKTS	168
WNT4	NR0B1	165
AMH	WT1mKTS	163
NR0B1	WT1pKTS	159
NR5A1	WT1pKTS	156
WNT4	RSPO1	155
DKK1	NR0B1	155
NR0B1	RSPO1	154
UGR	NR5A1	152
DMRT1	NR0B1	150
CTNNB1	WNT4	147
RSPO1	WNT4	146
AMH	NR5A1	146
UGR	RSPO1	146
AMH	SRY	142
GATA4	DKK1	142
CBX2	NR5A1	141
FGF9	NR5A1	138
PGD2	NR5A1	138
GATA4	DMRT1	137
CBX2	NR0B1	135
SRY	NR0B1	134
WT1mKTS	NR0B1	134
DHH	NR5A1	132
WT1mKTS	DMRT1	132
FGF9	SRY	132
UGR	WT1mKTS	128
DHH	SRY	126
PGD2	SRY	126
SRY	WT1pKTS	125
WT1mKTS	DKK1	125
WT1mKTS	WT1pKTS	125
GATA4	SOX9	125
FGF9	WT1mKTS	124
WT1mKTS	SOX9	124
SOX9	NR5A1	122
SRY	CTNNB1	122
NR5A1	CTNNB1	120
PGD2	WT1mKTS	118
CTNNB1	NR5A1	118
GATA4	WT1pKTS	117
DKK1	WT1pKTS	112
SOX9	SRY	111
RSPO1	NR5A1	108
DMRT1	WT1pKTS	104
DHH	WT1mKTS	102
DKK1	RSPO1	100
NR5A1	DMRT1	98
NR5A1	DKK1	97
DMRT1	RSPO1	94
WT1mKTS	CTNNB1	93
WT1pKTS	CTNNB1	93
DKK1	SRY	92
GATA4	NR0B1	87
DMRT1	SRY	84
GATA4	CTNNB1	83
NR5A1	RSPO1	82
CTNNB1	SRY	77
DKK1	WNT4	70
CBX2	SRY	67
CBX2	CTNNB1	66
DMRT1	WNT4	66
WNT4	NR5A1	65
