Gene1	Gene2	EdgeWeight
UGR	UGR	45.5811181187004
WNT4	UGR	40.8838739752879
CBX2	UGR	40.6172989690515
WT1mKTS	UGR	36.1576276186446
GATA4	UGR	34.918151614162895
WT1pKTS	UGR	32.1306940894339
UGR	CBX2	25.106901262854198
WNT4	CBX2	24.990952281560897
CBX2	CBX2	22.2054545402351
UGR	WNT4	19.110520685088197
DMRT1	UGR	19.085770282054103
DKK1	UGR	18.340253017447502
WNT4	WNT4	18.10942346956
WT1mKTS	CBX2	17.2027707773764
NR0B1	UGR	16.7724135298418
GATA4	CBX2	16.653651886270403
WNT4	GATA4	15.518762033099598
UGR	GATA4	15.2215176238476
WT1pKTS	CBX2	14.9461841262716
WT1mKTS	WNT4	14.4269585113063
GATA4	WNT4	14.297102233767
CBX2	WNT4	12.538592807077501
WT1pKTS	WNT4	12.437294724890302
DMRT1	WNT4	12.178960611902301
CBX2	GATA4	11.5946129707557
DKK1	WNT4	11.513655651043502
GATA4	GATA4	11.3325591392259
NR5A1	UGR	11.1855119367015
DKK1	CBX2	10.9104648124876
SRY	UGR	10.8638716146119
DMRT1	CBX2	10.708697028312
WT1mKTS	GATA4	10.3059062107766
NR0B1	CBX2	10.116921467665199
WNT4	NR0B1	8.80349549315038
UGR	RSPO1	8.74558449081356
WT1pKTS	GATA4	8.73314265436148
FGF9	UGR	8.45303429281791
WNT4	SRY	8.28972097205077
PGD2	UGR	8.26768236790163
AMH	UGR	8.24034277928763
UGR	SRY	8.01762683190533
UGR	NR0B1	7.83821964522427
WNT4	RSPO1	7.73772642963029
DHH	UGR	7.4943467086063595
UGR	PGD2	7.13026997026034
DMRT1	GATA4	7.10824042289121
WNT4	DHH	7.01080538300959
CTNNB1	UGR	6.603423441913691
DKK1	GATA4	6.270084404080619
DMRT1	RSPO1	6.2430969782566
WNT4	PGD2	6.14064800293151
DKK1	RSPO1	6.039529526120339
GATA4	RSPO1	5.993112531114651
NR5A1	WT1mKTS	5.98331495419803
UGR	DHH	5.8963389605900804
WT1mKTS	RSPO1	5.811618455562019
GATA4	PGD2	5.78189076306526
DKK1	NR0B1	5.75917090408429
WT1mKTS	SRY	5.754452274468321
UGR	WT1mKTS	5.682346448083661
PGD2	WNT4	5.674237165605611
SRY	CBX2	5.65886233417248
FGF9	WNT4	5.60826938748639
CBX2	SRY	5.49276544038395
DMRT1	NR0B1	5.4426925891257
NR0B1	NR0B1	5.4129087410729895
NR0B1	GATA4	5.336756042110389
DMRT1	PGD2	5.311501686874791
DMRT1	SRY	5.166860580114751
AMH	WNT4	5.16545491755612
RSPO1	WT1mKTS	5.16152946246785
WNT4	WT1pKTS	5.1233717259665195
WT1mKTS	NR0B1	5.111122384620519
GATA4	NR0B1	5.089402011989691
WT1mKTS	WT1mKTS	5.07527092350419
WT1pKTS	NR0B1	5.023107607187519
DKK1	PGD2	4.9960875567479
WT1mKTS	PGD2	4.9402614667933
DHH	WNT4	4.92091527150213
GATA4	SRY	4.883117053364621
AMH	CBX2	4.84424637033765
NR5A1	CBX2	4.828505652926349
CBX2	DHH	4.8172662892062
NR0B1	WNT4	4.7324829006149605
WT1pKTS	RSPO1	4.6225900667705595
CBX2	RSPO1	4.59968883476263
WT1pKTS	PGD2	4.549892126426769
WNT4	SOX9	4.51822189125446
RSPO1	RSPO1	4.51524180058619
