Gene1	Gene2	EdgeWeight
UGR	UGR	45.5811181187004
WNT4	UGR	40.8838739752879
CBX2	UGR	40.6172989690515
WT1mKTS	UGR	36.1576276186446
GATA4	UGR	34.91815161416289
WT1pKTS	UGR	32.1306940894339
SRY	UGR	30.2426728644561
NR0B1	UGR	26.136169460266
UGR	CBX2	25.106901262854198
WNT4	CBX2	24.990952281560894
CBX2	CBX2	22.2054545402351
UGR	WNT4	19.110520685088197
DMRT1	UGR	19.085770282054106
DKK1	UGR	18.340253017447505
WNT4	WNT4	18.10942346956
WT1mKTS	CBX2	17.2027707773764
CTNNB1	UGR	16.8878068191572
GATA4	CBX2	16.653651886270403
SRY	CBX2	16.2722869324491
WNT4	GATA4	15.518762033099597
UGR	GATA4	15.2215176238476
NR0B1	CBX2	14.9829992483616
WT1pKTS	CBX2	14.9461841262716
RSPO1	UGR	14.4719214037426
WT1mKTS	WNT4	14.4269585113063
GATA4	WNT4	14.297102233767
UGR	SRY	14.283883612786903
SRY	SRY	12.920650722291901
CBX2	WNT4	12.538592807077501
WT1pKTS	WNT4	12.437294724890304
DMRT1	WNT4	12.178960611902301
SRY	WNT4	11.8084787411547
CBX2	GATA4	11.5946129707557
DKK1	WNT4	11.513655651043502
GATA4	GATA4	11.3325591392259
NR5A1	UGR	11.1855119367015
CTNNB1	NR0B1	11.152928798203304
SRY	NR0B1	10.9134617080779
DKK1	CBX2	10.9104648124876
DMRT1	CBX2	10.708697028312
RSPO1	NR0B1	10.4667010902296
CBX2	SRY	10.416955055179
WT1mKTS	GATA4	10.3059062107766
UGR	CTNNB1	10.2102123680661
CTNNB1	WNT4	10.1830811132144
FOXL2	UGR	10.157955960333
WNT4	SRY	9.936174531479391
NR0B1	NR0B1	9.77703453631232
NR0B1	SRY	9.57271338146384
CTNNB1	CTNNB1	9.511665087874428
GATA4	SRY	8.87271310264468
WNT4	NR0B1	8.80349549315038
UGR	RSPO1	8.74558449081356
WT1pKTS	GATA4	8.73314265436148
SRY	CTNNB1	8.594067151887161
NR5A1	NR0B1	8.49206971916399
FGF9	UGR	8.45303429281791
NR0B1	WNT4	8.30412358680329
PGD2	UGR	8.26768236790163
AMH	UGR	8.24034277928763
WT1mKTS	SRY	8.16950092735811
RSPO1	WNT4	8.15481069739572
FOXL2	CBX2	7.998960063396879
SRY	WT1pKTS	7.85557185848606
UGR	NR0B1	7.83821964522427
UGR	WT1pKTS	7.820799147973571
WNT4	RSPO1	7.73772642963029
NR5A1	GATA4	7.54065152153839
DHH	UGR	7.494346708606359
RSPO1	CTNNB1	7.34877797461228
UGR	PGD2	7.13026997026034
DMRT1	GATA4	7.10824042289121
GATA4	CTNNB1	7.0974562607325495
NR5A1	WNT4	7.0820811796935095
NR0B1	CTNNB1	7.061935931403379
WNT4	DHH	7.01080538300959
CTNNB1	CBX2	6.636935395860862
CTNNB1	WT1pKTS	6.51845208930545
WT1mKTS	CTNNB1	6.5038459964831
RSPO1	CBX2	6.314189028266242
CTNNB1	DMRT1	6.287662929621639
DKK1	GATA4	6.2700844040806185
DMRT1	RSPO1	6.2430969782566
RSPO1	WT1pKTS	6.221748492961639
WNT4	PGD2	6.14064800293151
DKK1	RSPO1	6.039529526120338
GATA4	RSPO1	5.993112531114651
WNT4	CTNNB1	5.990050833648598
NR5A1	WT1mKTS	5.98331495419803
