Gene1	Gene2	corVal
DMRT1	DMRT1	1
FGF9	FGF9	1
RSPO1	RSPO1	1
DHH	DHH	1
CTNNB1	CTNNB1	1
PGD2	PGD2	1
WT1mKTS	WT1mKTS	1
SRY	SRY	1
DKK1	DKK1	1
WNT4	WNT4	1
CBX2	CBX2	1
AMH	AMH	1
NR0B1	NR0B1	1
NR5A1	NR5A1	1
WT1pKTS	WT1pKTS	1
FOXL2	FOXL2	1
UGR	UGR	1
SOX9	SOX9	1
GATA4	GATA4	1
CBX2	UGR	0.753865855898351
UGR	CBX2	0.69860798881984
DMRT1	DKK1	0.572494431229497
DKK1	DMRT1	0.568928696158318
WT1mKTS	NR0B1	0.55967603434222
CBX2	NR5A1	0.508821952299421
SRY	DMRT1	0.458656234086374
DMRT1	SRY	0.458452127552612
SRY	DKK1	0.440687656042498
DKK1	SRY	0.433622814909827
CTNNB1	RSPO1	0.425006891175538
RSPO1	CTNNB1	0.421448141259453
NR5A1	CBX2	0.405676986891799
WT1mKTS	CBX2	0.403124206441764
GATA4	NR0B1	0.399378235730653
AMH	FGF9	0.390671477023268
AMH	DHH	0.390356078463944
FGF9	AMH	0.390082649771808
AMH	PGD2	0.389681540008465
DHH	AMH	0.388364590990931
PGD2	AMH	0.387930687044569
FGF9	DHH	0.384366885471313
DHH	FGF9	0.382977645038137
FGF9	PGD2	0.381448161266841
WNT4	RSPO1	0.38138711437771
PGD2	FGF9	0.380448936981247
PGD2	DHH	0.380068748889574
DHH	PGD2	0.379744727354398
GATA4	WT1mKTS	0.376283813453912
WT1mKTS	CTNNB1	0.373262058951608
SOX9	NR5A1	0.369190044077685
WT1mKTS	GATA4	0.354143211672213
WT1pKTS	NR5A1	0.337061871029445
RSPO1	WNT4	0.333836881007267
WNT4	NR0B1	0.319263371633226
NR0B1	WNT4	0.309267907384874
SRY	NR0B1	0.308790981994843
NR5A1	SOX9	0.307472235175832
GATA4	CBX2	0.30706420000034
NR5A1	WT1pKTS	0.296273543004766
WT1mKTS	SOX9	0.291050770714958
WNT4	CTNNB1	0.290385844063055
FOXL2	CTNNB1	0.289670387220761
CBX2	WNT4	0.281470154600917
WT1mKTS	RSPO1	0.28108497186629
NR0B1	SRY	0.2780423276038
WT1pKTS	WNT4	0.273541615943586
GATA4	RSPO1	0.269756356994354
CTNNB1	WNT4	0.26339786306629
GATA4	WNT4	0.245276780203505
WT1mKTS	FOXL2	0.242845414316381
WT1mKTS	WT1pKTS	0.240299955169614
GATA4	NR5A1	0.237688983540849
RSPO1	NR0B1	0.232433207843268
CTNNB1	FOXL2	0.230605379054633
GATA4	CTNNB1	0.228266900366864
SRY	CBX2	0.221459463909831
WT1pKTS	SRY	0.216075508095456
GATA4	SRY	0.211810089473938
SOX9	FGF9	0.210693303587954
NR0B1	RSPO1	0.207746702897398
SOX9	DHH	0.207226972538755
SOX9	NR0B1	0.207123109744315
WNT4	WT1pKTS	0.204222016116274
GATA4	SOX9	0.198847914232577
