Gene1	Gene2	EdgeWeight
DMRT1	DMRT1	1.0
AMH	AMH	1.0
FGF9	FGF9	1.0
GATA4	GATA4	1.0
SOX9	SOX9	1.0
UGR	UGR	1.0
FOXL2	FOXL2	1.0
WT1pKTS	WT1pKTS	1.0
NR5A1	NR5A1	1.0
NR0B1	NR0B1	1.0
WT1pKTS	FOXL2	-1.0
CBX2	CBX2	1.0
PGD2	PGD2	1.0
RSPO1	RSPO1	1.0
DHH	DHH	1.0
CTNNB1	CTNNB1	1.0
WNT4	WNT4	1.0
WT1mKTS	WT1mKTS	1.0
DKK1	DKK1	1.0
SRY	SRY	1.0
FOXL2	WT1pKTS	-0.976382423888176
CBX2	UGR	0.753865855898351
UGR	CBX2	0.69860798881984
NR5A1	RSPO1	-0.603463910161952
UGR	WNT4	-0.589762344878157
DMRT1	DKK1	0.5724944312294971
DKK1	DMRT1	0.568928696158318
WT1mKTS	NR0B1	0.55967603434222
RSPO1	NR5A1	-0.5167009876176211
CBX2	NR5A1	0.5088219522994211
WNT4	UGR	-0.48452736430862503
SRY	DMRT1	0.45865623408637396
DMRT1	SRY	0.45845212755261205
SRY	DKK1	0.440687656042498
UGR	NR0B1	-0.43730294651059004
DKK1	SRY	0.433622814909827
CTNNB1	RSPO1	0.4250068911755379
RSPO1	CTNNB1	0.4214481412594529
NR5A1	CBX2	0.40567698689179904
WT1mKTS	CBX2	0.403124206441764
GATA4	NR0B1	0.39937823573065295
AMH	FGF9	0.390671477023268
AMH	DHH	0.390356078463944
FGF9	AMH	0.390082649771808
AMH	PGD2	0.38968154000846505
DHH	AMH	0.388364590990931
PGD2	AMH	0.38793068704456896
SOX9	WNT4	-0.38550509454109705
CBX2	CTNNB1	-0.384824498855699
FGF9	DHH	0.384366885471313
DHH	FGF9	0.38297764503813697
FGF9	PGD2	0.381448161266841
WNT4	RSPO1	0.38138711437771
PGD2	FGF9	0.380448936981247
PGD2	DHH	0.380068748889574
DHH	PGD2	0.3797447273543979
