SourceGENES,TargetGENES,Interaction,Edges
SRY,FOXL2,1,activation
WT1mKTS,FOXL2,0.81645242862623,repression
GATA4,FOXL2,0.712085392083705,repression
UGR,FOXL2,0.644446582446861,activation
NR0B1,SOX9,0.54028986698031,activation
DHH,SOX9,0.51027005152304,activation
NR0B1,FOXL2,0.496669369927311,activation
FGF9,SOX9,0.483400868647892,activation
WNT4,FOXL2,0.438512868238548,repression
DHH,FGF9,0.360310901371824,activation
WNT4,GATA4,0.357423965071964,activation
DHH,PGD2,0.349175548016847,activation
NR0B1,NR5A1,0.347752656285611,repression
WNT4,NR5A1,0.346303152086227,activation
UGR,WNT4,0.345117152222945,repression
SRY,NR0B1,0.34277902008083,activation
UGR,GATA4,0.325061858562396,activation
WT1pKTS,FOXL2,0.32425608256579,activation
UGR,SRY,0.323262710281436,repression
WNT4,WT1mKTS,0.321785188496835,activation
DHH,AMH,0.317587634976929,activation
WNT4,CBX2,0.308473148497985,activation
NR0B1,GATA4,0.296808138989336,activation
UGR,NR0B1,0.276857008469971,repression
FGF9,FGF9,0.272138316170051,activation
DHH,DHH,0.271931944205967,activation
NR0B1,WT1mKTS,0.266595093943973,activation
SRY,GATA4,0.26653837855486,activation
UGR,WT1mKTS,0.266295984593028,activation
FGF9,AMH,0.26170318450397,activation
FGF9,PGD2,0.260075620028614,activation
NR0B1,WNT4,0.256966495864492,activation
SRY,WT1pKTS,0.256062119920981,activation
CBX2,NR0B1,0.249889562163667,activation
FOXL2,FOXL2,0.248788293488947,activation
CBX2,SRY,0.242776021840933,repression
WT1pKTS,PGD2,0.241755214985807,activation
CBX2,WNT4,0.23652123026543,activation
SRY,PGD2,0.235679551080355,activation
WNT4,WT1pKTS,0.233539915915302,activation
NR5A1,DMRT1,0.227736384269645,repression
WNT4,WNT4,0.226506575612257,activation
SRY,WT1mKTS,0.217922477723061,activation
WT1pKTS,AMH,0.214128706182854,activation
NR0B1,WT1pKTS,0.211675791002156,activation
UGR,WT1pKTS,0.20682909524024,activation
NR5A1,CTNNB1,0.205411613969922,repression
UGR,UGR,0.20324256370995,activation
CBX2,UGR,0.20208551729495,activation
GATA4,WT1pKTS,0.199751383553117,activation
SRY,DHH,0.199602299255353,activation
WT1mKTS,WT1pKTS,0.196869560311501,activation
WNT4,UGR,0.196801606210219,repression
WT1pKTS,DHH,0.182059488426051,activation
WNT4,DMRT1,0.182003908612989,repression
FGF9,DHH,0.180994104808824,activation
NR0B1,UGR,0.178765723002918,repression
UGR,NR5A1,0.171115072340315,repression
NR0B1,PGD2,0.164667033509784,repression
CBX2,GATA4,0.162217885992827,activation
WT1pKTS,FGF9,0.162077422876747,activation
NR5A1,DKK1,0.160510853211423,repression
GATA4,GATA4,0.159970207646227,activation
GATA4,WT1mKTS,0.158702514835833,activation
SRY,AMH,0.156931812896197,activation
NR5A1,CBX2,0.156868310278992,activation
CBX2,CBX2,0.156651721036349,activation
UGR,CBX2,0.154091796449053,activation
WT1mKTS,GATA4,0.149775262846194,activation
FOXL2,DHH,0.147029089075219,activation
SRY,SRY,0.143275752597943,activation
GATA4,CBX2,0.139862721256005,activation
SRY,FGF9,0.134515005526158,activation
FOXL2,FGF9,0.134110858455792,repression
FOXL2,PGD2,0.133631501269177,activation
WT1mKTS,WT1mKTS,0.132519159479368,activation
GATA4,NR5A1,0.128744908530556,activation
SRY,UGR,0.128694389070052,repression
CBX2,WT1mKTS,0.126690776289688,activation
NR0B1,AMH,0.125134618378848,repression
NR0B1,CBX2,0.122212614337232,activation
NR5A1,FOXL2,0.121667116174579,activation
WNT4,SRY,0.116272367564196,activation
WT1pKTS,NR0B1,0.116162935999965,activation
WNT4,DKK1,0.11224534054118,repression
FOXL2,AMH,0.109128731343687,activation
NR0B1,NR0B1,0.108603978508828,activation
WT1mKTS,NR5A1,0.107025420347349,activation
WT1mKTS,DHH,0.101185104852418,activation
SRY,CBX2,0.0951242599096914,repression
WT1mKTS,CBX2,0.0909470203879068,activation
GATA4,UGR,0.0871611018534859,activation
WNT4,NR0B1,0.086691705080288,activation
WT1pKTS,WT1pKTS,0.0850709764826783,activation
NR0B1,FGF9,0.0818563093778387,repression
WNT4,CTNNB1,0.0801825893317078,activation
NR5A1,UGR,0.076384270099406,repression
SRY,NR5A1,0.0741997776014668,activation
WT1pKTS,GATA4,0.0718591827384526,activation
GATA4,DHH,0.0699821269089366,activation
WT1pKTS,WT1mKTS,0.065528332277022,activation
CBX2,NR5A1,0.0653917993470297,activation
CBX2,WT1pKTS,0.0634935496109865,activation
NR5A1,WT1pKTS,0.0558710890421084,activation
GATA4,AMH,0.0530574616303938,activation
WT1mKTS,FGF9,0.0493641362516592,activation
NR5A1,WT1mKTS,0.0471930778152651,activation
NR0B1,DHH,0.0463337185879613,repression
