"METHOD","AUPRC_GSD","AUROC_GSD","TIME_GSD"
"SCNS",0.249058406480542,0.56833696082311,0.000103763394557195
"GRNVBEM",0.255270806564858,0.564676493866245,0.0122895416000983
"SCODE",0.278339587333332,0.572813612979818,0.00051476606456196
"GRISLI",0.280683837133938,0.55109814008706,0.0167308014053873
"SINCERITIES",0.239076515408243,0.556242580134547,0.308641975308642
"SCINGE",0.276404053561737,0.601083300356154,0.00169136053041066
"GENIE3",0.292068551484043,0.606450336367234,0.00506585612968592
"GRNBOOST2",0.289727634325333,0.609616145627226,0.032916392363397
"LEAP",0.312525901004862,0.631677878907796,0.0239980801535877
"PPCOR",0.311661417387787,0.595691531460229,3.03030303030303
"PIDC",0.322473569393016,0.636723387415908,0.0874890638670166
"SCTENIFOLDNET",0.293665780978993,0.647111199050257,0.480769230769231
