"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","2-LTR circle formation",0.00143636910299528,0.0201123587879497,0.45505986738723,0.922440537745605,1.89450182891019,3,"BANF1;XRCC6;XRCC5"
"2","4-1BB-dependent immune response",0.715481171548117,0.944815825375171,0.0445728197389611,-0.237929589184744,-0.80378653918289,12,"MAPK14;MAPK8;CHUK"
"3","ABC transporters",0.102601156069364,0.433238844054958,0.166927614483698,-0.473778787346192,-1.45493980574944,9,"PEX19;ABCC1;ABCD4;ABCC10;ABCC5"
"4","ABCA transporters in lipid homeostasis",0.00326533517120911,0.0366219898432529,0.431707695803346,-0.99819074696304,-1.32291608700824,1,"PEX19"
"5","ACE inhibitor pathway",0.157248157248157,0.534705486116309,0.176688379093616,0.648061469046733,1.33098404516764,3,"ATP6AP2;BDKRB1"
"6","ADP signalling through P2Y purinoceptor 1",0.103109656301146,0.433238844054958,0.178214035527272,-0.623362439234667,-1.39403781293754,4,"MAPK14;GNG2;SRC"
"7","ADP signalling through P2Y purinoceptor 12",0.258426966292135,0.65880580957504,0.169564507120916,0.26021832403243,1.17757807152805,15,"GNB1;GNB2;GNAS;GNG11;GNAI2;GNG5"
"8","ADP-ribosylation factor",0.0283505154639175,0.18453148011782,0.315321531175811,-0.403049208389544,-1.63992411970979,21,"ASAP2;COPA;ARHGAP5;GBF1;ARAP1;ARFGEF1;ARFGAP3;ARHGAP1;CYTH3"
"9","AKAP95 role in mitosis and chromosome dynamics",0.0039487402580238,0.0413100596888742,0.407017918923954,0.523041363346269,2.02284721603376,11,"CCNB1;H3F3B;DDX5;PPP2CA;CDK1;NCAPD2"
"10","AKT phosphorylation of cytosolic targets",0.859135285913529,0.978097690104072,0.0361203928719609,-0.195301998664088,-0.659779719452289,12,"AKT3;CHUK;TSC2;AKT1S1"
"11","AKT phosphorylation of nuclear targets",0.728455284552846,0.944871225415596,0.0507849260434988,-0.316617943483888,-0.762757151296001,5,"AKT3;CREB1"
"12","AKT signaling pathway",0.197879858657244,0.581072381127564,0.190017828585152,0.276678226394033,1.23213620767273,14,"YWHAH;HSP90AA1;PPP2CA;NFKBIA;AKT1;BAD;IKBKB;RELA;PDPK1;PIK3R1"
