"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0,10,0.499,0.515,0.532,0.408,0.449,0.489
0,50,0.556,0.565,0.574,0.495,0.519,0.543
0,100,0.566,0.578,0.59,0.483,0.522,0.561
0,500,0.631,0.643,0.655,0.594,0.62,0.645
0,1000,0.658,0.666,0.674,0.602,0.625,0.648
0,2000,0.686,0.689,0.693,0.631,0.651,0.671
0,3000,0.686,0.689,0.691,0.633,0.656,0.678
0.05,10,0.499,0.515,0.532,0.408,0.449,0.489
0.05,50,0.556,0.565,0.574,0.495,0.519,0.543
0.05,100,0.566,0.578,0.59,0.483,0.522,0.561
0.05,500,0.631,0.643,0.655,0.594,0.62,0.645
0.05,1000,0.658,0.666,0.674,0.602,0.625,0.648
0.05,2000,0.686,0.689,0.693,0.631,0.651,0.671
0.05,3000,0.686,0.689,0.691,0.633,0.656,0.678
0.1,10,0.499,0.515,0.532,0.408,0.449,0.489
0.1,50,0.556,0.565,0.574,0.495,0.519,0.543
0.1,100,0.566,0.578,0.59,0.483,0.522,0.561
0.1,500,0.631,0.643,0.655,0.594,0.62,0.645
0.1,1000,0.658,0.666,0.674,0.602,0.625,0.648
0.1,2000,0.686,0.689,0.693,0.631,0.651,0.671
0.1,3000,0.686,0.689,0.691,0.633,0.656,0.678
0.15,10,0.499,0.515,0.532,0.408,0.449,0.489
0.15,50,0.556,0.565,0.574,0.495,0.519,0.543
0.15,100,0.566,0.578,0.59,0.483,0.522,0.561
0.15,500,0.632,0.646,0.659,0.57,0.607,0.644
0.15,1000,0.66,0.668,0.675,0.569,0.611,0.653
0.15,2000,0.69,0.696,0.702,0.587,0.63,0.673
0.15,3000,0.69,0.695,0.701,0.593,0.631,0.668
0.2,10,0.499,0.515,0.532,0.408,0.449,0.489
0.2,50,0.556,0.565,0.574,0.495,0.519,0.543
0.2,100,0.566,0.578,0.59,0.483,0.522,0.561
0.2,500,0.636,0.65,0.665,0.534,0.583,0.631
0.2,1000,0.666,0.673,0.679,0.563,0.603,0.644
0.2,2000,0.694,0.705,0.715,0.562,0.611,0.659
0.2,3000,0.701,0.709,0.717,0.581,0.602,0.622
0.25,10,0.499,0.515,0.532,0.408,0.449,0.489
0.25,50,0.556,0.565,0.574,0.495,0.519,0.543
0.25,100,0.574,0.586,0.598,0.411,0.455,0.5
0.25,500,0.648,0.659,0.669,0.509,0.561,0.612
0.25,1000,0.679,0.688,0.696,0.531,0.559,0.587
0.25,2000,0.707,0.713,0.718,0.546,0.59,0.634
0.25,3000,0.715,0.719,0.723,0.534,0.567,0.6
0.3,10,0.499,0.515,0.532,0.408,0.449,0.489
0.3,50,0.556,0.565,0.574,0.495,0.519,0.543
0.3,100,0.574,0.586,0.598,0.411,0.455,0.5
0.3,500,0.659,0.673,0.687,0.477,0.515,0.553
0.3,1000,0.687,0.694,0.701,0.5,0.537,0.575
0.3,2000,0.714,0.723,0.732,0.504,0.56,0.616
0.3,3000,0.724,0.728,0.733,0.518,0.536,0.554
0.35,10,0.499,0.515,0.532,0.408,0.449,0.489
0.35,50,0.556,0.567,0.577,0.468,0.51,0.552
0.35,100,0.575,0.587,0.599,0.393,0.439,0.486
0.35,500,0.663,0.678,0.692,0.478,0.509,0.541
0.35,1000,0.693,0.705,0.717,0.472,0.516,0.559
0.35,2000,0.728,0.733,0.737,0.498,0.529,0.561
0.35,3000,0.727,0.735,0.743,0.506,0.53,0.554
0.4,10,0.499,0.515,0.532,0.408,0.449,0.489
0.4,50,0.567,0.58,0.593,0.441,0.483,0.524
0.4,100,0.586,0.598,0.611,0.393,0.439,0.486
0.4,500,0.674,0.686,0.698,0.431,0.476,0.521
0.4,1000,0.707,0.716,0.724,0.457,0.48,0.503
0.4,2000,0.731,0.741,0.75,0.473,0.511,0.549
0.4,3000,0.734,0.743,0.752,0.471,0.5,0.529
0.45,10,0.499,0.515,0.532,0.408,0.449,0.489
0.45,50,0.567,0.583,0.599,0.384,0.456,0.529
0.45,100,0.589,0.601,0.614,0.393,0.439,0.486
0.45,500,0.677,0.694,0.711,0.435,0.463,0.49
0.45,1000,0.708,0.721,0.735,0.437,0.467,0.498
0.45,2000,0.745,0.754,0.762,0.447,0.477,0.507
0.45,3000,0.752,0.758,0.765,0.439,0.463,0.488
0.5,10,0.499,0.515,0.532,0.408,0.449,0.489
0.5,50,0.576,0.59,0.604,0.358,0.4,0.441
0.5,100,0.592,0.604,0.615,0.379,0.433,0.488
0.5,500,0.68,0.702,0.724,0.425,0.458,0.492
0.5,1000,0.728,0.737,0.746,0.391,0.42,0.449
0.5,2000,0.755,0.766,0.777,0.4,0.448,0.496
0.5,3000,0.763,0.772,0.78,0.397,0.428,0.459
0.55,10,0.499,0.515,0.532,0.408,0.449,0.489
0.55,50,0.578,0.592,0.605,0.368,0.388,0.408
0.55,100,0.593,0.604,0.616,0.365,0.427,0.489
0.55,500,0.699,0.716,0.734,0.389,0.421,0.452
0.55,1000,0.735,0.743,0.751,0.385,0.414,0.442
0.55,2000,0.775,0.781,0.786,0.379,0.408,0.438
0.55,3000,0.775,0.782,0.788,0.373,0.401,0.429
0.6,10,0.499,0.515,0.532,0.408,0.449,0.489
0.6,50,0.581,0.598,0.616,0.368,0.388,0.408
0.6,100,0.609,0.625,0.641,0.331,0.362,0.394
0.6,500,0.707,0.725,0.743,0.382,0.403,0.425
0.6,1000,0.755,0.763,0.771,0.341,0.366,0.391
0.6,2000,0.781,0.793,0.805,0.339,0.374,0.409
0.6,3000,0.793,0.799,0.805,0.338,0.362,0.386
0.65,10,0.496,0.518,0.539,0.41,0.437,0.465
0.65,50,0.588,0.603,0.617,0.368,0.388,0.408
0.65,100,0.612,0.631,0.651,0.287,0.323,0.36
0.65,500,0.724,0.742,0.76,0.33,0.365,0.399
0.65,1000,0.764,0.774,0.783,0.319,0.347,0.376
0.65,2000,0.797,0.807,0.816,0.322,0.343,0.363
0.65,3000,0.803,0.811,0.818,0.312,0.331,0.35
0.7,10,0.506,0.532,0.558,0.33,0.373,0.415
0.7,50,0.599,0.614,0.629,0.35,0.373,0.396
0.7,100,0.621,0.637,0.653,0.278,0.315,0.351
0.7,500,0.734,0.755,0.775,0.312,0.339,0.365
0.7,1000,0.778,0.79,0.803,0.283,0.308,0.334
0.7,2000,0.806,0.818,0.83,0.29,0.317,0.344
0.7,3000,0.821,0.827,0.832,0.272,0.289,0.306
0.75,10,0.522,0.544,0.567,0.297,0.318,0.338
0.75,50,0.605,0.626,0.648,0.308,0.322,0.336
0.75,100,0.63,0.648,0.665,0.276,0.309,0.343
0.75,500,0.75,0.767,0.785,0.29,0.31,0.331
0.75,1000,0.793,0.807,0.821,0.259,0.277,0.295
0.75,2000,0.816,0.83,0.844,0.258,0.286,0.313
0.75,3000,0.834,0.842,0.851,0.242,0.26,0.277
0.8,10,0.527,0.555,0.583,0.238,0.254,0.27
0.8,50,0.616,0.636,0.657,0.271,0.29,0.309
0.8,100,0.64,0.658,0.675,0.243,0.267,0.291
0.8,500,0.759,0.779,0.799,0.258,0.273,0.289
0.8,1000,0.809,0.821,0.833,0.231,0.254,0.276
0.8,2000,0.833,0.847,0.861,0.224,0.244,0.263
0.8,3000,0.85,0.858,0.865,0.215,0.229,0.242
0.85,10,0.534,0.566,0.598,0.176,0.188,0.201
0.85,50,0.641,0.662,0.684,0.211,0.221,0.231
0.85,100,0.651,0.667,0.684,0.216,0.226,0.236
0.85,500,0.765,0.79,0.814,0.222,0.236,0.25
0.85,1000,0.822,0.838,0.853,0.202,0.216,0.23
0.85,2000,0.848,0.862,0.877,0.189,0.205,0.221
0.85,3000,0.864,0.873,0.882,0.177,0.193,0.208
0.9,10,0.548,0.579,0.61,0.122,0.13,0.138
0.9,50,0.673,0.697,0.72,0.151,0.159,0.166
0.9,100,0.68,0.702,0.724,0.155,0.162,0.169
0.9,500,0.793,0.814,0.835,0.164,0.17,0.176
0.9,1000,0.826,0.846,0.867,0.165,0.173,0.181
0.9,2000,0.86,0.877,0.893,0.153,0.162,0.17
0.9,3000,0.877,0.892,0.908,0.137,0.149,0.162
0.95,10,0.59,0.632,0.674,0.071,0.077,0.082
0.95,50,0.718,0.753,0.787,0.088,0.092,0.096
0.95,100,0.731,0.757,0.784,0.09,0.095,0.099
0.95,500,0.824,0.847,0.871,0.101,0.108,0.115
0.95,1000,0.861,0.882,0.902,0.098,0.104,0.109
0.95,2000,0.893,0.907,0.921,0.093,0.097,0.102
0.95,3000,0.888,0.906,0.924,0.093,0.095,0.097
1,10,0.99,0.995,1,0.02,0.02,0.02
1,50,1,1,1,0.02,0.02,0.02
1,100,0.996,0.999,1.002,0.02,0.02,0.02
1,500,1,1,1,0.02,0.02,0.02
1,1000,1,1,1,0.02,0.02,0.02
1,2000,1,1,1,0.02,0.02,0.02
1,3000,1,1,1,0.02,0.02,0.02
