"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0,10,0.502,0.517,0.532,0.449,0.471,0.492
0,50,0.532,0.544,0.555,0.444,0.478,0.513
0,100,0.555,0.564,0.573,0.42,0.466,0.512
0,500,0.629,0.639,0.649,0.362,0.398,0.434
0,1000,0.7,0.709,0.718,0.134,0.147,0.159
0,2000,0.669,0.679,0.689,0.046,0.052,0.057
0,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.05,10,0.503,0.517,0.532,0.446,0.469,0.491
0.05,50,0.532,0.544,0.555,0.444,0.478,0.513
0.05,100,0.555,0.564,0.573,0.42,0.466,0.512
0.05,500,0.629,0.639,0.649,0.362,0.398,0.434
0.05,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.05,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.05,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.1,10,0.503,0.517,0.532,0.437,0.459,0.481
0.1,50,0.532,0.544,0.555,0.444,0.478,0.513
0.1,100,0.555,0.564,0.573,0.42,0.466,0.512
0.1,500,0.629,0.639,0.649,0.362,0.398,0.434
0.1,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.1,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.1,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.15,10,0.503,0.518,0.534,0.421,0.438,0.456
0.15,50,0.533,0.544,0.555,0.444,0.478,0.513
0.15,100,0.555,0.564,0.573,0.42,0.466,0.512
0.15,500,0.629,0.639,0.649,0.362,0.398,0.434
0.15,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.15,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.15,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.2,10,0.504,0.519,0.534,0.412,0.432,0.452
0.2,50,0.533,0.544,0.555,0.444,0.478,0.513
0.2,100,0.555,0.564,0.573,0.42,0.466,0.512
0.2,500,0.629,0.639,0.649,0.362,0.398,0.434
0.2,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.2,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.2,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.25,10,0.504,0.52,0.536,0.383,0.409,0.434
0.25,50,0.535,0.546,0.557,0.385,0.448,0.511
0.25,100,0.555,0.564,0.573,0.42,0.466,0.512
0.25,500,0.629,0.639,0.649,0.362,0.398,0.434
0.25,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.25,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.25,3000,0.645,0.656,0.668,-0.085,0.093,0.27
0.3,10,0.505,0.521,0.536,0.358,0.392,0.426
0.3,50,0.535,0.546,0.557,0.385,0.448,0.511
