"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0,10,0.509,0.523,0.537,0.402,0.44,0.478
0,50,0.581,0.609,0.637,0.619,0.647,0.675
0,100,0.591,0.629,0.667,0.672,0.72,0.768
0,500,0.716,0.74,0.764,0.924,0.945,0.966
0,1000,0.72,0.745,0.77,0.958,0.97,0.982
0,2000,0.752,0.766,0.78,0.967,0.981,0.995
0,3000,0.745,0.762,0.779,0.982,0.991,1
0.05,10,0.509,0.523,0.537,0.402,0.44,0.478
0.05,50,0.581,0.609,0.637,0.619,0.647,0.675
0.05,100,0.591,0.629,0.667,0.672,0.72,0.768
0.05,500,0.716,0.74,0.764,0.924,0.945,0.966
0.05,1000,0.72,0.745,0.77,0.958,0.97,0.982
0.05,2000,0.752,0.766,0.78,0.967,0.981,0.995
0.05,3000,0.745,0.762,0.779,0.982,0.991,1
0.1,10,0.51,0.524,0.538,0.402,0.437,0.472
0.1,50,0.58,0.612,0.644,0.602,0.628,0.654
0.1,100,0.592,0.634,0.676,0.662,0.702,0.742
0.1,500,0.728,0.75,0.772,0.913,0.935,0.957
0.1,1000,0.734,0.756,0.778,0.952,0.964,0.976
0.1,2000,0.763,0.777,0.791,0.964,0.977,0.99
0.1,3000,0.758,0.775,0.792,0.979,0.989,0.999
0.15,10,0.51,0.524,0.538,0.398,0.431,0.464
0.15,50,0.585,0.618,0.651,0.574,0.602,0.63
0.15,100,0.601,0.642,0.683,0.631,0.676,0.721
0.15,500,0.739,0.763,0.787,0.896,0.921,0.946
0.15,1000,0.748,0.772,0.796,0.941,0.955,0.969
0.15,2000,0.776,0.791,0.806,0.959,0.972,0.985
0.15,3000,0.774,0.79,0.806,0.973,0.986,0.999
0.2,10,0.514,0.528,0.542,0.385,0.411,0.437
0.2,50,0.591,0.625,0.659,0.555,0.58,0.605
0.2,100,0.604,0.646,0.688,0.623,0.661,0.699
0.2,500,0.75,0.774,0.798,0.875,0.904,0.933
0.2,1000,0.762,0.784,0.806,0.925,0.945,0.965
0.2,2000,0.789,0.805,0.821,0.948,0.966,0.984
0.2,3000,0.793,0.807,0.821,0.971,0.983,0.995
0.25,10,0.515,0.529,0.543,0.372,0.392,0.412
0.25,50,0.593,0.627,0.661,0.531,0.556,0.581
0.25,100,0.611,0.653,0.695,0.589,0.633,0.677
0.25,500,0.761,0.785,0.809,0.858,0.887,0.916
0.25,1000,0.777,0.8,0.823,0.907,0.927,0.947
0.25,2000,0.802,0.819,0.836,0.938,0.956,0.974
0.25,3000,0.816,0.826,0.836,0.962,0.977,0.992
0.3,10,0.517,0.53,0.543,0.353,0.367,0.381
0.3,50,0.598,0.634,0.67,0.503,0.528,0.553
0.3,100,0.618,0.662,0.706,0.559,0.604,0.649
0.3,500,0.778,0.801,0.824,0.828,0.858,0.888
0.3,1000,0.792,0.814,0.836,0.886,0.911,0.936
0.3,2000,0.822,0.836,0.85,0.926,0.944,0.962
0.3,3000,0.829,0.844,0.859,0.951,0.968,0.985
0.35,10,0.516,0.532,0.548,0.332,0.342,0.352
0.35,50,0.604,0.639,0.674,0.474,0.499,0.524
0.35,100,0.623,0.668,0.713,0.531,0.574,0.617
0.35,500,0.788,0.811,0.834,0.801,0.83,0.859
0.35,1000,0.808,0.827,0.846,0.859,0.885,0.911
0.35,2000,0.841,0.852,0.863,0.904,0.927,0.95
