"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0,10,0.518,0.528,0.538,0.374,0.423,0.472
0,50,0.554,0.565,0.576,0.573,0.582,0.591
0,100,0.556,0.568,0.58,0.597,0.608,0.619
0,500,0.622,0.634,0.646,0.698,0.709,0.72
0,1000,0.651,0.662,0.673,0.737,0.75,0.763
0,2000,0.68,0.687,0.694,0.782,0.789,0.796
0,3000,0.688,0.695,0.702,0.795,0.801,0.807
0.05,10,0.518,0.528,0.538,0.375,0.422,0.469
0.05,50,0.554,0.565,0.576,0.573,0.582,0.591
0.05,100,0.556,0.568,0.58,0.597,0.608,0.619
0.05,500,0.622,0.634,0.646,0.698,0.709,0.72
0.05,1000,0.651,0.662,0.673,0.737,0.75,0.763
0.05,2000,0.68,0.687,0.694,0.782,0.789,0.796
0.05,3000,0.688,0.695,0.702,0.795,0.801,0.807
0.1,10,0.518,0.528,0.538,0.375,0.419,0.463
0.1,50,0.558,0.568,0.578,0.552,0.56,0.568
0.1,100,0.556,0.568,0.58,0.597,0.608,0.619
0.1,500,0.622,0.634,0.646,0.698,0.709,0.72
0.1,1000,0.651,0.662,0.673,0.737,0.75,0.763
0.1,2000,0.68,0.687,0.694,0.782,0.789,0.796
0.1,3000,0.688,0.695,0.702,0.795,0.801,0.807
0.15,10,0.515,0.528,0.541,0.373,0.41,0.447
0.15,50,0.559,0.571,0.583,0.527,0.534,0.541
0.15,100,0.564,0.575,0.586,0.56,0.573,0.586
0.15,500,0.622,0.634,0.646,0.698,0.709,0.72
0.15,1000,0.651,0.662,0.673,0.737,0.75,0.763
0.15,2000,0.68,0.687,0.694,0.782,0.789,0.796
0.15,3000,0.688,0.695,0.702,0.795,0.801,0.807
0.2,10,0.516,0.529,0.542,0.36,0.386,0.412
0.2,50,0.564,0.576,0.588,0.498,0.507,0.516
0.2,100,0.563,0.578,0.593,0.522,0.536,0.55
0.2,500,0.628,0.636,0.644,0.682,0.704,0.726
0.2,1000,0.651,0.662,0.673,0.737,0.75,0.763
0.2,2000,0.68,0.687,0.694,0.782,0.789,0.796
0.2,3000,0.688,0.695,0.702,0.795,0.801,0.807
0.25,10,0.519,0.531,0.543,0.338,0.364,0.39
0.25,50,0.565,0.578,0.591,0.473,0.48,0.487
0.25,100,0.566,0.58,0.594,0.504,0.526,0.548
0.25,500,0.642,0.654,0.666,0.63,0.643,0.656
0.25,1000,0.652,0.669,0.686,0.69,0.726,0.762
0.25,2000,0.68,0.687,0.694,0.782,0.789,0.796
0.25,3000,0.688,0.695,0.702,0.795,0.801,0.807
0.3,10,0.517,0.531,0.545,0.32,0.342,0.364
0.3,50,0.567,0.581,0.595,0.449,0.457,0.465
0.3,100,0.57,0.584,0.598,0.49,0.501,0.512
0.3,500,0.642,0.654,0.666,0.63,0.643,0.656
0.3,1000,0.675,0.688,0.701,0.662,0.673,0.684
0.3,2000,0.708,0.72,0.732,0.685,0.71,0.735
0.3,3000,0.688,0.695,0.702,0.795,0.801,0.807
0.35,10,0.517,0.531,0.545,0.296,0.321,0.346
0.35,50,0.574,0.586,0.598,0.422,0.434,0.446
0.35,100,0.575,0.589,0.603,0.456,0.466,0.476
0.35,500,0.654,0.671,0.688,0.562,0.582,0.602
0.35,1000,0.675,0.688,0.701,0.662,0.673,0.684
0.35,2000,0.716,0.723,0.73,0.696,0.702,0.708
0.35,3000,0.733,0.74,0.747,0.701,0.706,0.711
0.4,10,0.519,0.534,0.549,0.289,0.312,0.335
0.4,50,0.579,0.59,0.601,0.398,0.409,0.42
0.4,100,0.579,0.595,0.611,0.418,0.428,0.438
0.4,500,0.661,0.674,0.687,0.565,0.576,0.587
0.4,1000,0.674,0.693,0.712,0.623,0.657,0.691
0.4,2000,0.716,0.723,0.73,0.696,0.702,0.708
0.4,3000,0.733,0.74,0.747,0.701,0.706,0.711
0.45,10,0.521,0.537,0.553,0.271,0.298,0.325
0.45,50,0.582,0.592,0.602,0.373,0.384,0.395
0.45,100,0.585,0.599,0.613,0.397,0.416,0.435
0.45,500,0.664,0.675,0.686,0.549,0.57,0.591
0.45,1000,0.705,0.718,0.731,0.574,0.585,0.596
0.45,2000,0.713,0.726,0.739,0.667,0.693,0.719
0.45,3000,0.733,0.74,0.747,0.701,0.706,0.711
0.5,10,0.521,0.539,0.557,0.264,0.286,0.308
0.5,50,0.588,0.6,0.612,0.34,0.356,0.372
0.5,100,0.586,0.6,0.614,0.377,0.391,0.405
0.5,500,0.678,0.696,0.714,0.496,0.506,0.516
0.5,1000,0.705,0.718,0.731,0.574,0.585,0.596
0.5,2000,0.758,0.765,0.772,0.599,0.606,0.613
0.5,3000,0.763,0.779,0.795,0.576,0.609,0.642
0.55,10,0.524,0.542,0.56,0.249,0.269,0.289
0.55,50,0.595,0.606,0.617,0.314,0.322,0.33
0.55,100,0.59,0.606,0.622,0.349,0.359,0.369
0.55,500,0.678,0.696,0.714,0.496,0.506,0.516
0.55,1000,0.724,0.743,0.762,0.481,0.514,0.547
0.55,2000,0.758,0.765,0.772,0.599,0.606,0.613
0.55,3000,0.775,0.783,0.791,0.588,0.598,0.608
0.6,10,0.526,0.546,0.566,0.234,0.251,0.268
0.6,50,0.599,0.61,0.621,0.287,0.295,0.303
0.6,100,0.599,0.612,0.625,0.318,0.328,0.338
0.6,500,0.707,0.722,0.737,0.43,0.437,0.444
0.6,1000,0.735,0.749,0.763,0.483,0.495,0.507
0.6,2000,0.758,0.765,0.772,0.599,0.606,0.613
0.6,3000,0.775,0.783,0.791,0.588,0.598,0.608
0.65,10,0.526,0.549,0.572,0.217,0.232,0.247
0.65,50,0.603,0.617,0.631,0.258,0.272,0.286
0.65,100,0.604,0.619,0.634,0.286,0.296,0.306
0.65,500,0.712,0.724,0.736,0.408,0.43,0.452
0.65,1000,0.735,0.756,0.777,0.446,0.478,0.51
0.65,2000,0.802,0.807,0.812,0.49,0.498,0.506
0.65,3000,0.815,0.83,0.845,0.463,0.497,0.531
0.7,10,0.525,0.55,0.575,0.199,0.216,0.233
0.7,50,0.61,0.624,0.638,0.23,0.239,0.248
0.7,100,0.608,0.626,0.644,0.253,0.264,0.275
0.7,500,0.728,0.743,0.758,0.365,0.371,0.377
0.7,1000,0.77,0.782,0.794,0.398,0.41,0.422
0.7,2000,0.802,0.807,0.812,0.49,0.498,0.506
0.7,3000,0.83,0.835,0.84,0.474,0.485,0.496
0.75,10,0.527,0.556,0.585,0.18,0.192,0.204
0.75,50,0.617,0.632,0.647,0.195,0.203,0.211
0.75,100,0.62,0.639,0.658,0.215,0.223,0.231
0.75,500,0.752,0.767,0.782,0.303,0.309,0.315
0.75,1000,0.792,0.807,0.822,0.33,0.356,0.382
0.75,2000,0.834,0.847,0.86,0.39,0.398,0.406
0.75,3000,0.828,0.848,0.868,0.407,0.455,0.503
0.8,10,0.533,0.566,0.599,0.155,0.169,0.183
0.8,50,0.624,0.64,0.656,0.158,0.172,0.186
0.8,100,0.631,0.651,0.671,0.182,0.193,0.204
0.8,500,0.77,0.784,0.798,0.248,0.272,0.296
0.8,1000,0.806,0.818,0.83,0.32,0.333,0.346
0.8,2000,0.83,0.851,0.872,0.364,0.39,0.416
0.8,3000,0.872,0.881,0.89,0.369,0.38,0.391
0.85,10,0.537,0.574,0.611,0.132,0.142,0.152
0.85,50,0.635,0.653,0.671,0.136,0.144,0.152
0.85,100,0.649,0.668,0.687,0.143,0.154,0.165
0.85,500,0.797,0.811,0.825,0.202,0.223,0.244
0.85,1000,0.837,0.853,0.869,0.248,0.262,0.276
0.85,2000,0.877,0.889,0.901,0.299,0.31,0.321
0.85,3000,0.909,0.917,0.925,0.277,0.285,0.293
0.9,10,0.556,0.593,0.63,0.096,0.103,0.11
0.9,50,0.646,0.671,0.696,0.098,0.105,0.112
0.9,100,0.673,0.692,0.711,0.108,0.117,0.126
0.9,500,0.827,0.848,0.869,0.162,0.167,0.172
0.9,1000,0.877,0.888,0.899,0.184,0.2,0.216
0.9,2000,0.911,0.93,0.949,0.202,0.223,0.244
0.9,3000,0.94,0.948,0.956,0.202,0.21,0.218
0.95,10,0.593,0.639,0.685,0.062,0.067,0.072
0.95,50,0.704,0.727,0.75,0.061,0.066,0.071
0.95,100,0.721,0.758,0.795,0.065,0.071,0.077
0.95,500,0.887,0.911,0.935,0.09,0.098,0.106
0.95,1000,0.928,0.948,0.968,0.102,0.11,0.118
0.95,2000,0.969,0.979,0.989,0.097,0.11,0.123
0.95,3000,0.98,0.987,0.994,0.112,0.117,0.122
1,10,0.808,0.85,0.892,0.018,0.022,0.026
1,50,1,1,1,0.02,0.02,0.02
1,100,1,1,1,0.02,0.02,0.02
1,500,1,1,1,0.02,0.02,0.02
1,1000,1,1,1,0.02,0.02,0.02
1,2000,1,1,1,0.02,0.02,0.02
1,3000,1,1,1,0.02,0.02,0.02
