"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0,10,0.558,0.585,0.612,0.511,0.538,0.565
0,50,0.667,0.689,0.711,0.605,0.626,0.647
0,100,0.715,0.738,0.761,0.647,0.671,0.695
0,500,0.755,0.776,0.797,0.676,0.696,0.716
0,1000,0.782,0.789,0.796,0.692,0.701,0.71
0,2000,0.788,0.793,0.798,0.708,0.711,0.714
0,3000,0.79,0.795,0.8,0.703,0.709,0.715
0.05,10,0.564,0.589,0.614,0.495,0.52,0.545
0.05,50,0.667,0.689,0.711,0.605,0.626,0.647
0.05,100,0.715,0.738,0.761,0.647,0.671,0.695
0.05,500,0.755,0.776,0.797,0.676,0.696,0.716
0.05,1000,0.782,0.789,0.796,0.692,0.701,0.71
0.05,2000,0.788,0.793,0.798,0.708,0.711,0.714
0.05,3000,0.79,0.795,0.8,0.703,0.709,0.715
0.1,10,0.567,0.593,0.619,0.471,0.497,0.523
0.1,50,0.676,0.701,0.726,0.573,0.593,0.613
0.1,100,0.725,0.748,0.771,0.617,0.643,0.669
0.1,500,0.769,0.791,0.813,0.639,0.664,0.689
0.1,1000,0.792,0.801,0.81,0.664,0.672,0.68
0.1,2000,0.8,0.807,0.814,0.67,0.677,0.684
0.1,3000,0.802,0.807,0.812,0.67,0.677,0.684
0.15,10,0.566,0.595,0.624,0.445,0.47,0.495
0.15,50,0.689,0.712,0.735,0.542,0.562,0.582
0.15,100,0.731,0.761,0.791,0.59,0.612,0.634
0.15,500,0.779,0.801,0.823,0.61,0.634,0.658
0.15,1000,0.808,0.815,0.822,0.631,0.64,0.649
0.15,2000,0.813,0.819,0.825,0.638,0.645,0.652
0.15,3000,0.816,0.822,0.828,0.636,0.643,0.65
0.2,10,0.571,0.601,0.631,0.421,0.447,0.473
0.2,50,0.694,0.718,0.742,0.518,0.54,0.562
0.2,100,0.742,0.772,0.802,0.562,0.582,0.602
0.2,500,0.787,0.812,0.837,0.591,0.61,0.629
0.2,1000,0.822,0.83,0.838,0.599,0.608,0.617
0.2,2000,0.829,0.834,0.839,0.609,0.614,0.619
0.2,3000,0.829,0.834,0.839,0.604,0.613,0.622
0.25,10,0.571,0.605,0.639,0.398,0.423,0.448
0.25,50,0.699,0.726,0.753,0.498,0.517,0.536
0.25,100,0.752,0.784,0.816,0.528,0.549,0.57
0.25,500,0.807,0.828,0.849,0.56,0.579,0.598
0.25,1000,0.832,0.84,0.848,0.564,0.576,0.588
0.25,2000,0.84,0.847,0.854,0.569,0.58,0.591
0.25,3000,0.839,0.846,0.853,0.576,0.583,0.59
0.3,10,0.574,0.609,0.644,0.377,0.399,0.421
0.3,50,0.709,0.737,0.765,0.47,0.483,0.496
0.3,100,0.764,0.793,0.822,0.502,0.523,0.544
0.3,500,0.816,0.839,0.862,0.528,0.548,0.568
0.3,1000,0.846,0.852,0.858,0.531,0.543,0.555
0.3,2000,0.855,0.86,0.865,0.543,0.55,0.557
0.3,3000,0.849,0.857,0.865,0.543,0.552,0.561
0.35,10,0.577,0.614,0.651,0.358,0.378,0.398
0.35,50,0.718,0.746,0.774,0.44,0.456,0.472
0.35,100,0.775,0.807,0.839,0.47,0.489,0.508
0.35,500,0.826,0.849,0.872,0.494,0.514,0.534
0.35,1000,0.854,0.864,0.874,0.502,0.515,0.528
0.35,2000,0.868,0.873,0.878,0.513,0.52,0.527
0.35,3000,0.864,0.871,0.878,0.512,0.521,0.53
0.4,10,0.581,0.619,0.657,0.333,0.354,0.375
0.4,50,0.727,0.755,0.783,0.417,0.43,0.443
0.4,100,0.781,0.815,0.849,0.448,0.464,0.48
0.4,500,0.836,0.861,0.886,0.463,0.479,0.495
0.4,1000,0.867,0.875,0.883,0.472,0.482,0.492
0.4,2000,0.878,0.883,0.888,0.481,0.486,0.491
0.4,3000,0.876,0.883,0.89,0.477,0.485,0.493
0.45,10,0.585,0.627,0.669,0.312,0.331,0.35
0.45,50,0.737,0.766,0.795,0.38,0.398,0.416
