"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0,10,0.55,0.591,0.632,0.535,0.578,0.621
0,50,0.714,0.734,0.754,0.689,0.706,0.723
0,100,0.735,0.76,0.785,0.709,0.736,0.763
0,500,0.792,0.816,0.84,0.763,0.789,0.815
0,1000,0.802,0.83,0.858,0.774,0.8,0.826
0,2000,0.807,0.832,0.857,0.775,0.803,0.831
0,3000,0.826,0.838,0.85,0.79,0.801,0.812
0.05,10,0.549,0.592,0.635,0.531,0.574,0.617
0.05,50,0.715,0.735,0.755,0.687,0.705,0.723
0.05,100,0.735,0.76,0.785,0.709,0.736,0.763
0.05,500,0.792,0.817,0.842,0.765,0.785,0.805
0.05,1000,0.802,0.831,0.86,0.773,0.799,0.825
0.05,2000,0.805,0.833,0.861,0.776,0.802,0.828
0.05,3000,0.826,0.838,0.85,0.79,0.801,0.812
0.1,10,0.552,0.597,0.642,0.505,0.547,0.589
0.1,50,0.724,0.745,0.766,0.657,0.677,0.697
0.1,100,0.75,0.775,0.8,0.673,0.702,0.731
0.1,500,0.807,0.833,0.859,0.728,0.753,0.778
0.1,1000,0.821,0.848,0.875,0.74,0.765,0.79
0.1,2000,0.827,0.852,0.877,0.74,0.766,0.792
0.1,3000,0.845,0.855,0.865,0.753,0.765,0.777
0.15,10,0.554,0.601,0.648,0.483,0.523,0.563
0.15,50,0.734,0.754,0.774,0.639,0.656,0.673
0.15,100,0.757,0.784,0.811,0.653,0.677,0.701
0.15,500,0.82,0.845,0.87,0.702,0.722,0.742
0.15,1000,0.832,0.861,0.89,0.718,0.734,0.75
0.15,2000,0.841,0.866,0.891,0.718,0.74,0.762
0.15,3000,0.854,0.865,0.876,0.729,0.738,0.747
0.2,10,0.557,0.606,0.655,0.46,0.497,0.534
0.2,50,0.744,0.767,0.79,0.604,0.619,0.634
0.2,100,0.772,0.797,0.822,0.62,0.643,0.666
0.2,500,0.828,0.856,0.884,0.673,0.691,0.709
0.2,1000,0.845,0.871,0.897,0.674,0.698,0.722
0.2,2000,0.849,0.875,0.901,0.686,0.711,0.736
0.2,3000,0.869,0.879,0.889,0.693,0.702,0.711
