"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Reactome_2016.58","Assembly of the pre-replicative complex_Homo sapiens_R-HSA-68867","3/67",0.00204241722865281,0.0538775579282552,0,0,11.9402985074627,73.9536866457152,"PSMB3;UBC;PSMB1"
"Reactome_2016.55","Activation of NF-kappaB in B cells_Homo sapiens_R-HSA-1169091","3/66",0.00195619952171806,0.0544179139677934,0,0,12.1212121212121,75.5969903951919,"PSMB3;UBC;PSMB1"
"Reactome_2016.48","Asymmetric localization of PCP proteins_Homo sapiens_R-HSA-4608870","3/63",0.00171131331431708,0.0545481118938568,0,0,12.6984126984127,80.8951642308012,"PSMB3;UBC;PSMB1"
"Reactome_2016.60","Adaptive Immune System_Homo sapiens_R-HSA-1280218","9/762",0.00214045939636494,0.0545817146073061,0,0,3.1496062992126,19.359794651302,"DYNC1H1;ACTR1B;PSMB3;UBC;PSMB1;NEDD4L;PTPRJ;CSK;CTSB"
"Reactome_2016.57","Regulation of RAS by GAPs_Homo sapiens_R-HSA-5658442","3/67",0.00204241722865281,0.054822778242786,0,0,11.9402985074627,73.9536866457152,"PSMB3;UBC;PSMB1"
"Reactome_2016.53","Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898","4/140",0.00190278779971787,0.054929534595629,0,0,7.61904761904762,47.7290301346966,"MAP2K4;MEF2C;UBC;CTSB"
"Reactome_2016.52","G1/S DNA Damage Checkpoints_Homo sapiens_R-HSA-69615","3/65",0.00187229142066934,0.0550885744927711,0,0,12.3076923076923,77.2995967951767,"PSMB3;UBC;PSMB1"
"Reactome_2016.59","Cyclin E associated events during G1/S transition_Homo sapiens_R-HSA-69202","3/68",0.00213096679699279,0.0552606643965926,0,0,11.7647058823529,72.3668177286863,"PSMB3;UBC;PSMB1"
"Reactome_2016.40","Signaling by VEGF_Homo sapiens_R-HSA-194138","6/328",0.00144758777816803,0.055370232514927,0,0,4.8780487804878,31.8919839469966,"NRP1;ROCK2;PSMB3;UBC;PSMB1;CSK"
"Reactome_2016.54","APC/C:Cdc20 mediated degradation of Securin_Homo sapiens_R-HSA-174154","3/66",0.00195619952171806,0.0554256531153451,0,0,12.1212121212121,75.5969903951919,"PSMB3;UBC;PSMB1"
"Reactome_2016.41","MAP kinase activation in TLR cascade_Homo sapiens_R-HSA-450294","3/60",0.00148659214872875,0.0554752679891461,0,0,13.3333333333333,86.8169190273069,"MAP2K4;MEF2C;UBC"
"Reactome_2016.39","SCF(Skp2)-mediated degradation of p27/p21_Homo sapiens_R-HSA-187577","3/59",0.00141605511811928,0.0555529315569873,0,0,13.5593220338983,88.9475302948162,"PSMB3;UBC;PSMB1"
"Reactome_2016.50","RHO GTPases Activate ROCKs_Homo sapiens_R-HSA-5627117","2/17",0.0018194589583724,0.0556754441261955,0,0,31.3725490196078,197.936191300648,"ROCK2;MYH10"
"Reactome_2016.47","p53-Dependent G1 DNA Damage Response_Homo sapiens_R-HSA-69563","3/63",0.00171131331431708,0.055708710019258,0,0,12.6984126984127,80.8951642308012,"PSMB3;UBC;PSMB1"
"Reactome_2016.61","Cyclin A:Cdk2-associated events at S phase entry_Homo sapiens_R-HSA-69656","3/69",0.00222187014436022,0.0557288741126415,0,0,11.5942028985507,70.8336931055586,"PSMB3;UBC;PSMB1"
"Reactome_2016.56","Semaphorin interactions_Homo sapiens_R-HSA-373755","3/67",0.00204241722865281,0.0558017564256929,0,0,11.9402985074627,73.9536866457152,"NRP1;ROCK2;MYH10"
"Reactome_2016.49","Hedgehog ligand biogenesis_Homo sapiens_R-HSA-5358346","3/64",0.00179067033037836,0.0559127674587528,0,0,12.5,79.0645655373382,"PSMB3;UBC;PSMB1"
"Reactome_2016.51","ER-Phagosome pathway_Homo sapiens_R-HSA-1236974","3/65",0.00187229142066934,0.0561687426200803,0,0,12.3076923076923,77.2995967951767,"PSMB3;UBC;PSMB1"
"Reactome_2016.63","Orc1 removal from chromatin_Homo sapiens_R-HSA-68949","3/70",0.00231514885500918,0.0562250436216516,0,0,11.4285714285714,69.3517862090418,"PSMB3;UBC;PSMB1"
"Reactome_2016.69","Cellular responses to stress_Homo sapiens_R-HSA-2262752","6/367",0.00254570713341178,0.0564482886104351,0,0,4.35967302452316,26.0418389778536,"MAP2K4;PRKAB2;HSPH1;RRAGD;UBC;HSPA12A"
"Reactome_2016.68","TRAF6 Mediated Induction of proinflammatory cytokines_Homo sapiens_R-HSA-168180","3/72",0.00250891704649456,0.0564506335461276,0,0,11.1111111111111,66.5322674946893,"MAP2K4;MEF2C;UBC"
"Reactome_2016.65","Cdc20:Phospho-APC/C mediated degradation of Cyclin A_Homo sapiens_R-HSA-174184","3/71",0.00241082418175347,0.056747092278197,0,0,11.2676056338028,67.9187223190169,"PSMB3;UBC;PSMB1"
"Reactome_2016.42","Dectin-1 mediated noncanonical NF-kB signaling_Homo sapiens_R-HSA-5607761","3/61",0.00155929802850381,0.0568029996097818,0,0,13.1147540983607,84.7674693865072,"PSMB3;UBC;PSMB1"
"Reactome_2016.44","Autodegradation of Cdh1 by Cdh1:APC/C_Homo sapiens_R-HSA-174084","3/62",0.00163419709025163,0.0568254897292043,0,0,12.9032258064516,82.7948860845042,"PSMB3;UBC;PSMB1"
"Reactome_2016.46","p53-Dependent G1/S DNA damage checkpoint_Homo sapiens_R-HSA-69580","3/63",0.00171131331431708,0.0569197689327201,0,0,12.6984126984127,80.8951642308012,"PSMB3;UBC;PSMB1"
"Reactome_2016.38","The role of GTSE1 in G2/M progression after G2 checkpoint_Homo sapiens_R-HSA-8852276","3/59",0.00141605511811928,0.0570148508084869,0,0,13.5593220338983,88.9475302948162,"PSMB3;UBC;PSMB1"
"Reactome_2016.70","Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834","3/73",0.00260944804663231,0.0570350787335348,0,0,10.958904109589,65.1903184262784,"UBC;PMEPA1;NEDD4L"
"Reactome_2016.62","Switching of origins to a post-replicative state_Homo sapiens_R-HSA-69052","3/70",0.00231514885500918,0.0571318991639363,0,0,11.4285714285714,69.3517862090418,"PSMB3;UBC;PSMB1"
"Reactome_2016.43","MAP3K8 (TPL2)-dependent MAPK1/3 activation_Homo sapiens_R-HSA-5684264","2/16",0.00160930543834722,0.0572613330388663,0,0,33.3333333333333,214.398419927362,"MAP2K4;UBC"
"Reactome_2016.67","Removal of licensing factors from origins_Homo sapiens_R-HSA-69300","3/72",0.00250891704649456,0.0572931803154728,0,0,11.1111111111111,66.5322674946893,"PSMB3;UBC;PSMB1"
"Reactome_2016.64","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1_Homo sapiens_R-HSA-174178","3/71",0.00241082418175347,0.0576337655950439,0,0,11.2676056338028,67.9187223190169,"PSMB3;UBC;PSMB1"
"Reactome_2016.66","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint_Homo sapiens_R-HSA-179419","3/72",0.00250891704649456,0.0581612588051011,0,0,11.1111111111111,66.5322674946893,"PSMB3;UBC;PSMB1"
"Reactome_2016.45","Circadian Clock_Homo sapiens_R-HSA-400253","3/63",0.00171131331431708,0.0581846526867806,0,0,12.6984126984127,80.8951642308012,"MEF2C;UBC;FBXL3"
"Reactome_2016.29","Signaling by Insulin receptor_Homo sapiens_R-HSA-74752","6/311",0.0011029635615458,0.058190836178106,0,0,5.14469453376206,35.0341071383993,"PRKAB2;PSMB3;RRAGD;UBC;PSMB1;CSK"
"Reactome_2016.71","APC/C:Cdc20 mediated degradation of mitotic proteins_Homo sapiens_R-HSA-176409","3/74",0.00271243745472347,0.0584511169820692,0,0,10.8108108108108,63.8908931734904,"PSMB3;UBC;PSMB1"
