"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"BioPlanet_2019.1","Downregulation of SMAD2/3-SMAD4 transcriptional activity","2/23",0.00040428492626814,0.610470238664891,0,0,66.8896321070234,522.634827126708,"UBE2D3;NEDD4L"
"Reactome_2016.1","Downregulation of SMAD2/3:SMAD4 transcriptional activity_Homo sapiens_R-HSA-2173795","2/23",0.00040428492626814,0.618555937190254,0,0,66.8896321070234,522.634827126708,"UBE2D3;NEDD4L"
"KEGG_2019_Mouse.2","Endocytosis","3/269",0.00497621531257744,0.753896619855481,0,0,8.57878181298256,45.4940147635306,"NEDD4L;AGAP3;ARFGAP1"
"BioPlanet_2019.2","Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer","2/41",0.00129163245887013,0.975182506446945,0,0,37.5234521575985,249.600314771145,"UBE2D3;NEDD4L"
"KEGG_2019_Mouse.1","Adipocytokine signaling pathway","2/71",0.00382174112768619,1,0,0,21.6684723726977,120.62945108597,"PRKAA2;ACSL4"
"KEGG_2019_Mouse.3","Ubiquitin mediated proteolysis","2/138",0.0137838274757931,1,0,0,11.1482720178372,47.762088027877,"UBE2D3;NEDD4L"
"KEGG_2019_Mouse.4","Fatty acid biosynthesis","1/14",0.0180526816175867,1,0,0,54.9450549450549,220.574782371803,"ACSL4"
"KEGG_2019_Mouse.5","Tight junction","2/167",0.0197520806303287,1,0,0,9.21234454168586,36.1538134022357,"PRKAA2;NEDD4L"
"KEGG_2019_Mouse.6","Thermogenesis","2/231",0.0359889471593974,1,0,0,6.66000666000666,22.1414812588573,"PRKAA2;ACSL4"
"KEGG_2019_Mouse.7","Circadian rhythm","1/30",0.0383007358905154,1,0,0,25.6410256410256,83.6483633109883,"PRKAA2"
"KEGG_2019_Mouse.8","Glyoxylate and dicarboxylate metabolism","1/31",0.0395528195360064,1,0,0,24.8138957816377,80.1518187814432,"GCSH"
"KEGG_2019_Mouse.9","Aldosterone-regulated sodium reabsorption","1/38",0.048273621231532,1,0,0,20.2429149797571,61.3536439633485,"NEDD4L"
"BioPlanet_2019.3","Signaling by TGF-beta receptor complex","2/66",0.00331201729336869,1,0,0,23.3100233100233,133.104844313404,"UBE2D3;NEDD4L"
"BioPlanet_2019.4","Adipocytokine signaling pathway","2/67",0.00341120574394432,1,0,0,22.9621125143513,130.440630530095,"PRKAA2;ACSL4"
"BioPlanet_2019.5","AMPK inhibition of chREBP transcriptional activation activity","1/5",0.00648368936979889,1,0,0,153.846153846154,775.148551298983,"PRKAA2"
"BioPlanet_2019.6","Internal ribosome entry pathway","1/7",0.00906584433411521,1,0,0,109.89010989011,516.839702956574,"EIF4A1"
"BioPlanet_2019.7","mTOR signaling pathway","2/113",0.00941211515438816,1,0,0,13.6147038801906,63.5229077378352,"EIF4A1;PRKAA2"
"BioPlanet_2019.8","Import of palmitoyl-CoA into the mitochondrial matrix","1/8",0.0103545017362566,1,0,0,96.1538461538462,439.455183026086,"PRKAA2"
"BioPlanet_2019.9","Rheb GTPase activity by AMPK regulation","1/10",0.0129269855424659,1,0,0,76.9230769230769,334.495250006092,"PRKAA2"
"BioPlanet_2019.10","COPI-mediated vesicle transport","1/10",0.0129269855424659,1,0,0,76.9230769230769,334.495250006092,"ARFGAP1"
"BioPlanet_2019.11","Ubiquitin-mediated proteolysis","2/136",0.0134070112584439,1,0,0,11.3122171945701,48.7780257988615,"UBE2D3;NEDD4L"
"BioPlanet_2019.12","Reversal of insulin resistance by leptin","1/11",0.0142108156769532,1,0,0,69.9300699300699,297.465170412955,"PRKAA2"
"BioPlanet_2019.13","Activation of DNA fragmentation factor","1/13",0.0167736618234459,1,0,0,59.1715976331361,241.890258661604,"HIST1H1C"
"BioPlanet_2019.14","Fatty acid, triacylglycerol, and ketone body metabolism","2/173",0.0211008556991401,1,0,0,8.89284126278346,34.3125094251739,"PRKAA2;ACSL4"
"BioPlanet_2019.15","ABCA transporters in lipid homeostasis","1/17",0.0218801506534414,1,0,0,45.2488687782805,172.94911384667,"ABCA3"
"BioPlanet_2019.16","Energy-dependent regulation of mTOR by LKB1-AMPK","1/17",0.0218801506534414,1,0,0,45.2488687782805,172.94911384667,"PRKAA2"
"BioPlanet_2019.17","Eukaryotic protein translation","1/17",0.0218801506534414,1,0,0,45.2488687782805,172.94911384667,"EIF4A1"
"BioPlanet_2019.18","Activated AMPK stimulation of fatty-acid oxidation in muscle","1/18",0.0231527832149217,1,0,0,42.7350427350427,160.92479830811,"PRKAA2"
"BioPlanet_2019.19","Fatty acyl-CoA biosynthesis","1/18",0.0231527832149217,1,0,0,42.7350427350427,160.92479830811,"ACSL4"
"BioPlanet_2019.20","Lipid and lipoprotein metabolism","3/489",0.0248868031491406,1,0,0,4.7192071731949,17.430002878803,"PRKAA2;ACSL4;CSNK1G2"
"BioPlanet_2019.21","ChREBP regulation by carbohydrates and cAMP","1/21",0.0269611361380806,1,0,0,36.6300366300366,132.357467113764,"PRKAA2"
"BioPlanet_2019.22","Endocytosis","2/201",0.0278828080274238,1,0,0,7.65403750478377,27.399502333087,"NEDD4L;ARFGAP1"
"BioPlanet_2019.23","Mitochondrial fatty acid beta-oxidation","1/23",0.0294921031126647,1,0,0,33.4448160535117,117.847248915322,"ACSL4"
"BioPlanet_2019.24","Deadenylation of mRNA","1/23",0.0294921031126647,1,0,0,33.4448160535117,117.847248915322,"EIF4A1"
"BioPlanet_2019.25","Signaling by bone morphogenetic protein (BMP)","1/23",0.0294921031126647,1,0,0,33.4448160535117,117.847248915322,"UBE2D3"
"BioPlanet_2019.26","Cellular response to hypoxia","1/25",0.0320167398038226,1,0,0,30.7692307692308,105.89219674129,"UBE2D3"
"BioPlanet_2019.27","Fatty acid biosynthesis","1/25",0.0320167398038226,1,0,0,30.7692307692308,105.89219674129,"ACSL4"
"BioPlanet_2019.28","Interaction between L1-type proteins and ankyrins","1/26",0.0332766890274869,1,0,0,29.5857988165681,100.677460246603,"SPTBN4"
"BioPlanet_2019.29","eIF4E and p70 S6 kinase regulation","1/27",0.0345350613606547,1,0,0,28.4900284900285,95.8911737799315,"EIF4A1"
"BioPlanet_2019.30","TGF-beta receptor activation of SMADs","1/28",0.0357918586912164,1,0,0,27.4725274725275,91.484473140031,"NEDD4L"
"BioPlanet_2019.31","PKB-mediated events","1/28",0.0357918586912164,1,0,0,27.4725274725275,91.484473140031,"PRKAA2"
"BioPlanet_2019.32","ADP-ribosylation factor","1/29",0.0370470829069465,1,0,0,26.525198938992,87.4155348619438,"ARFGAP1"
"BioPlanet_2019.33","BARD1 signaling events","1/29",0.0370470829069465,1,0,0,26.525198938992,87.4155348619438,"UBE2D3"
"BioPlanet_2019.34","Sphingolipid de novo biosynthesis","1/32",0.0408033357136717,1,0,0,24.0384615384615,76.898832769855,"CSNK1G2"
"BioPlanet_2019.35","Negative regulators of RIG-I/MDA5 signaling","1/33",0.0420522863055334,1,0,0,23.3100233100233,73.8657697650985,"UBE2D3"
"BioPlanet_2019.36","Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins","2/255",0.0430520627328252,1,0,0,6.03318250377074,18.976441233426,"UBE2D3;NEDD4L"
"BioPlanet_2019.37","TOR signaling","1/34",0.0432996732000933,1,0,0,22.6244343891403,71.0319047815414,"PRKAA2"
"BioPlanet_2019.38","Fatty acid beta oxidation","1/34",0.0432996732000933,1,0,0,22.6244343891403,71.0319047815414,"ACSL4"
"BioPlanet_2019.39","Autophagy regulation","1/35",0.0445454982675267,1,0,0,21.978021978022,68.3789929485805,"PRKAA2"
"BioPlanet_2019.40","Triglyceride biosynthesis","1/38",0.048273621231532,1,0,0,20.2429149797571,61.3536439633485,"ACSL4"
"Reactome_2016.2","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer_Homo sapiens_R-HSA-2173793","2/44",0.00148653936899232,1,0,0,34.965034965035,227.667987116181,"UBE2D3;NEDD4L"
"Reactome_2016.3","Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834","2/73",0.00403522924105536,1,0,0,21.0748155953635,116.178970826665,"UBE2D3;NEDD4L"
"Reactome_2016.4","COPI-mediated anterograde transport_Homo sapiens_R-HSA-6807878","2/78",0.00459270450497578,1,0,0,19.723865877712,106.179215220107,"SPTBN4;ARFGAP1"
"Reactome_2016.5","AMPK inhibits chREBP transcriptional activation activity_Homo sapiens_R-HSA-163680","1/8",0.0103545017362566,1,0,0,96.1538461538462,439.455183026086,"PRKAA2"
"Reactome_2016.6","Cellular responses to stress_Homo sapiens_R-HSA-2262752","3/367",0.0116533703781484,1,0,0,6.2879899392161,27.9951362689063,"PRKAA2;UBE2D3;HIST1H1C"
