"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.2","Parkinson disease","7/144",3.16349752573311e-09,4.79269875148566e-07,0,0,29.4612794612795,576.604012063554,"COX4I1;ATP6;ND1;CYTB;COX7C;ND2;ND4"
"BioPlanet_2019.1","Electron transport chain","7/105",3.42673420639016e-10,5.17436865164914e-07,0,0,40.4040404040404,880.575484797565,"COX4I1;ATP6;ND1;CYTB;COX7C;ND2;ND4"
"KEGG_2019_Mouse.1","Oxidative phosphorylation","7/134",1.91179719172261e-09,5.79274549091951e-07,0,0,31.6598824061511,635.579170938605,"COX4I1;ATP6;ND1;CYTB;COX7C;ND2;ND4"
"BioPlanet_2019.3","Oxidative phosphorylation","7/136",2.120915891432e-09,1.06752766535411e-06,0,0,31.1942959001783,622.994316938877,"COX4I1;ATP6;ND1;CYTB;COX7C;ND2;ND4"
"BioPlanet_2019.2","Parkinson's disease","7/131",1.63110775727941e-09,1.23148635674595e-06,0,0,32.3849178811011,655.276637200257,"COX4I1;ATP6;ND1;CYTB;COX7C;ND2;ND4"
"KEGG_2019_Mouse.3","Thermogenesis","7/231",8.28267679531472e-08,8.36550356326787e-06,0,0,18.3654729109275,299.476851117393,"COX4I1;ATP6;ND1;CYTB;COX7C;ND2;ND4"
"KEGG_2019_Mouse.4","Cardiac muscle contraction","4/78",8.03670248272579e-06,0.000608780213066479,0,0,31.0800310800311,364.615126584859,"COX4I1;CYTB;ATP1B1;COX7C"
"BioPlanet_2019.4","Cardiac muscle contraction","4/80",8.89022603898673e-06,0.00335606032971749,0,0,30.3030303030303,352.441154016787,"COX4I1;CYTB;ATP1B1;COX7C"
"KEGG_2019_Mouse.5","Retrograde endocannabinoid signaling","4/150",0.000105006376375356,0.0063633864083466,0,0,16.1616161616162,148.06447648107,"GRIA2;ND1;ND2;ND4"
"KEGG_2019_Mouse.6","Alzheimer disease","4/175",0.000190079437329989,0.00959901158516445,0,0,13.8528138528139,118.691857758879,"COX4I1;ATP6;CYTB;COX7C"
"KEGG_2019_Mouse.7","Huntington disease","4/192",0.000270873488102469,0.0117249524135783,0,0,12.6262626262626,103.710336864337,"COX4I1;ATP6;CYTB;COX7C"
"BioPlanet_2019.5","Alzheimer's disease","4/169",0.00016627011205592,0.0502135738408879,0,0,14.3446297292451,124.825489129965,"COX4I1;ATP6;CYTB;COX7C"
"BioPlanet_2019.6","Huntington's disease","4/184",0.000230283030231952,0.0579545626083745,0,0,13.1752305665349,110.358385235063,"COX4I1;ATP6;CYTB;COX7C"
"KEGG_2019_Mouse.8","Non-alcoholic fatty liver disease (NAFLD)","3/151",0.00194952327419027,0.0738381940099563,0,0,12.0409391932571,75.1375124752503,"COX4I1;CYTB;COX7C"
"KEGG_2019_Mouse.9","Mineral absorption","2/44",0.00239157855411733,0.0805164779886166,0,0,27.5482093663912,166.275527497721,"ATP2B1;ATP1B1"
"KEGG_2019_Mouse.10","Endocrine and other factor-regulated calcium reabsorption","2/55",0.00371195788944094,0.11247232405006,0,0,22.0385674931129,123.332139031668,"ATP2B1;ATP1B1"
"KEGG_2019_Mouse.11","cAMP signaling pathway","3/211",0.00500248342409518,0.137795679772804,0,0,8.61697544161999,45.6511917710993,"GRIA2;ATP2B1;ATP1B1"
"KEGG_2019_Mouse.12","Salivary secretion","2/78",0.00733106299177252,0.185109340542256,0,0,15.5400155400155,76.3890404701858,"ATP2B1;ATP1B1"
"BioPlanet_2019.7","Metabolism","9/1615",0.000926679907143793,0.199898094255304,0,0,3.37742752603434,23.5876240419874,"COX4I1;GAD1;ATP6;ND1;CKB;CYTB;COX7C;ND2;ND4"
"KEGG_2019_Mouse.14","Pancreatic secretion","2/105",0.0129652946671575,0.280606020296337,0,0,11.5440115440115,50.164261268166,"ATP2B1;ATP1B1"
"KEGG_2019_Mouse.13","Aldosterone synthesis and secretion","2/102",0.0122691797110066,0.285966265571922,0,0,11.883541295306,52.2954827773356,"ATP2B1;ATP1B1"
"BioPlanet_2019.8","Ion transport by P-type ATPases","2/36",0.00160587952101566,0.303109759591706,0,0,33.6700336700337,216.635814286838,"ATP2B1;ATP1B1"
"KEGG_2019_Mouse.15","Taurine and hypotaurine metabolism","1/11",0.0180053225963932,0.363707516447142,0,0,55.0964187327824,221.327155096249,"GAD1"
