"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.2","Apoptosis","4/141",0.00128609501501225,0.194843394774356,0,0,8.46829681380332,56.366209562821,"AKT2;TRAF2;RAF1;BOK"
"KEGG_2019_Mouse.24","Chronic myeloid leukemia","2/76",0.0268728410411346,0.339269618144325,0,0,7.85545954438335,28.4103623653915,"AKT2;RAF1"
"KEGG_2019_Mouse.26","Focal adhesion","3/199",0.0291960070572181,0.340245774551426,0,0,4.50011250281257,15.9021525103463,"AKT2;TLN2;RAF1"
"KEGG_2019_Mouse.25","Chemokine signaling pathway","3/197",0.028453109392713,0.344851685839682,0,0,4.54579892416092,16.1807614113522,"AKT2;PARD3;RAF1"
"KEGG_2019_Mouse.23","Pancreatic cancer","2/75",0.0262214831473971,0.34543953885484,0,0,7.96019900497512,28.9844874566913,"AKT2;RAF1"
"KEGG_2019_Mouse.21","Prolactin signaling pathway","2/72",0.0243070987594967,0.350716710672738,0,0,8.29187396351575,30.8207864119143,"AKT2;RAF1"
"KEGG_2019_Mouse.31","Progesterone-mediated oocyte maturation","2/90",0.0366554020700173,0.358276994426298,0,0,6.6334991708126,21.9316382443162,"AKT2;RAF1"
"KEGG_2019_Mouse.22","Glioma","2/75",0.0262214831473971,0.361141336075515,0,0,7.96019900497512,28.9844874566913,"AKT2;RAF1"
"KEGG_2019_Mouse.32","Small cell lung cancer","2/92",0.0381496718162142,0.361229705009778,0,0,6.48929266709929,21.1955751054316,"AKT2;TRAF2"
"KEGG_2019_Mouse.27","ErbB signaling pathway","2/84",0.0323146978766202,0.362642720615405,0,0,7.10732054015636,24.3939808787079,"AKT2;RAF1"
"KEGG_2019_Mouse.30","Kaposi sarcoma-associated herpesvirus infection","3/216",0.0359237302074671,0.362829675095418,0,0,4.14593698175788,13.790867302211,"AKT2;TRAF2;RAF1"
"KEGG_2019_Mouse.1","Human immunodeficiency virus 1 infection","5/238",0.00121257550585146,0.367410378272992,0,0,6.27116518249091,42.1109285352084,"DDB1;AKT2;TRAF2;RAF1;B2M"
"KEGG_2019_Mouse.29","Colorectal cancer","2/88",0.0351845673167786,0.367618065413239,0,0,6.7842605156038,22.707922123586,"AKT2;RAF1"
"KEGG_2019_Mouse.20","Melanoma","2/72",0.0243070987594967,0.368252546206375,0,0,8.29187396351575,30.8207864119143,"AKT2;RAF1"
"BioPlanet_2019.2","Nef-mediated downregulation of MHC class I complex cell surface expression","2/10",0.000488933997674309,0.369145168244103,0,0,59.7014925373134,455.121376219725,"PACS1;B2M"
"KEGG_2019_Mouse.28","Fc gamma R-mediated phagocytosis","2/87",0.0344580544182128,0.372885374597089,0,0,6.86224052153028,23.1121119136119,"AKT2;RAF1"
"KEGG_2019_Mouse.34","Prostate cancer","2/97",0.0419854617032781,0.374164555767449,0,0,6.15479304508386,19.5133520267391,"AKT2;RAF1"
