"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Reactome_2016.1","Peptide chain elongation_Homo sapiens_R-HSA-156902","26/84",1.88693538846566e-58,2.88701114435246e-55,0,0,193.452380952381,25712.7196099199,"RPL3;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL13;RPL15;RPS12;RPL19;RPS9;RPS6;RPL13A;RPS3A;EEF2;EEF1A1;RPL27A;RPL26;RPL28"
"Reactome_2016.2","Eukaryotic Translation Elongation_Homo sapiens_R-HSA-156842","26/89",1.11293035161034e-57,8.51391718981912e-55,0,0,182.584269662921,23944.1657232785,"RPL3;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL13;RPL15;RPS12;RPL19;RPS9;RPS6;RPL13A;RPS3A;EEF2;EEF1A1;RPL27A;RPL26;RPL28"
"Reactome_2016.3","Viral mRNA Translation_Homo sapiens_R-HSA-192823","24/84",2.45737530580345e-52,1.25326140595976e-49,0,0,178.571428571429,21220.5948221789,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
"Reactome_2016.5","Eukaryotic Translation Termination_Homo sapiens_R-HSA-72764","24/87",6.5522677826049e-52,2.0049939414771e-49,0,0,172.413793103448,20319.7609688989,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
"Reactome_2016.4","Selenocysteine synthesis_Homo sapiens_R-HSA-2408557","24/87",6.5522677826049e-52,2.50624242684638e-49,0,0,172.413793103448,20319.7609688989,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
"Reactome_2016.6","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975956","24/89",1.23272648957246e-51,3.14345254840976e-49,0,0,168.539325842697,19756.6198935312,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
"Reactome_2016.7","Translation_Homo sapiens_R-HSA-72766","26/151",6.02661230261197e-51,1.31724526042804e-48,0,0,107.615894039735,12444.2343630905,"RPL3;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL13;RPL15;RPS12;RPL19;RPS9;RPS6;RPL13A;RPS3A;EEF2;EEF1A1;RPL27A;RPL26;RPL28"
"Reactome_2016.8","Formation of a pool of free 40S subunits_Homo sapiens_R-HSA-72689","24/96",9.94961142260446e-51,1.9028631845731e-48,0,0,156.25,17989.735350827,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
"BioPlanet_2019.1","Translation","26/151",6.02661230261197e-51,9.10018457694407e-48,0,0,107.615894039735,12444.2343630905,"RPL3;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL13;RPL15;RPS12;RPL19;RPS9;RPS6;RPL13A;RPS3A;EEF2;EEF1A1;RPL27A;RPL26;RPL28"
"Reactome_2016.12","3' -UTR-mediated translational regulation_Homo sapiens_R-HSA-157279","24/106",1.476204875393e-49,1.88216121612608e-47,0,0,141.509433962264,15910.923825806,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
"Reactome_2016.11","L13a-mediated translational silencing of Ceruloplasmin expression_Homo sapiens_R-HSA-156827","24/106",1.476204875393e-49,2.05326678122845e-47,0,0,141.509433962264,15910.923825806,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
"Reactome_2016.14","GTP hydrolysis and joining of the 60S ribosomal subunit_Homo sapiens_R-HSA-72706","24/107",1.90237644076269e-49,2.07902568169065e-47,0,0,140.18691588785,15726.668087914,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
"Reactome_2016.13","SRP-dependent cotranslational protein targeting to membrane_Homo sapiens_R-HSA-1799339","24/107",1.90237644076269e-49,2.23895073412839e-47,0,0,140.18691588785,15726.668087914,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12;RPL19"
