"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"BioPlanet_2019.2","AP-1 transcription factor network","3/70",3.82179018082285e-05,0.0288545158652125,0,0,45.1127819548872,458.896534664796,"MT2A;JUND;FOS"
"BioPlanet_2019.1","Cross-presentation of particulate exogenous antigens (phagosomes)","2/8",2.38586182572885e-05,0.0360265135685056,0,0,263.157894736842,2800.88554036715,"ITGB5;CYBA"
"Reactome_2016.1","Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973","2/8",2.38586182572885e-05,0.0365036859336514,0,0,263.157894736842,2800.88554036715,"ITGB5;CYBA"
"BioPlanet_2019.3","B cell survival pathway","2/16",0.000101790085166479,0.0512343428671276,0,0,131.578947368421,1209.55234918583,"JUND;FOS"
"KEGG_2019_Mouse.1","Osteoclast differentiation","3/128",0.000230187798383811,0.0697469029102948,0,0,24.6710526315789,206.659911204662,"JUND;CYBA;FOS"
"BioPlanet_2019.5","Oxidative stress","2/27",0.000295888922652129,0.089358454640943,0,0,77.9727095516569,633.569312700096,"CYBA;FOS"
"BioPlanet_2019.4","Integrin family cell surface interactions","2/26",0.000274126293026632,0.103482675617554,0,0,80.9716599190283,664.123209256188,"ITGB5;ITGAE"
"KEGG_2019_Mouse.4","IL-17 signaling pathway","2/91",0.00332932363730791,0.252196265526074,0,0,23.1347599768652,131.983484269274,"JUND;FOS"
"KEGG_2019_Mouse.2","Leishmaniasis","2/67",0.00182214389788663,0.276054800529825,0,0,31.4218381775334,198.20083284459,"CYBA;FOS"
"KEGG_2019_Mouse.5","Parathyroid hormone synthesis, secretion and action","2/107",0.00456915993151446,0.276891091849777,0,0,19.6753566158387,106.019201444155,"JUND;FOS"
"BioPlanet_2019.7","ATF2 transcription factor network","2/59",0.00141647463282005,0.305553813651182,0,0,35.6824264049955,234.061878580039,"JUND;FOS"
"KEGG_2019_Mouse.3","Arachidonic acid metabolism","2/89",0.0031873929583685,0.321926688795219,0,0,23.6546422235364,135.979939698398,"PTGIS;CBR3"
"BioPlanet_2019.6","Arachidonic acid metabolism","2/58",0.001369232764901,0.344590245833419,0,0,36.2976406533575,239.328665032114,"PTGIS;CBR3"
"BioPlanet_2019.8","Leishmaniasis","2/72",0.00210052068763106,0.396473279790363,0,0,29.2397660818713,180.279825102206,"CYBA;FOS"
"BioPlanet_2019.11","Integrin cell surface interactions","2/85",0.00291234533445353,0.399785586820439,0,0,24.7678018575851,144.614156422308,"ITGB5;ITGAE"
"KEGG_2019_Mouse.6","Fluid shear stress and atherosclerosis","2/143",0.0080157963567419,0.404797716015466,0,0,14.7221199852779,71.0539733464909,"CYBA;FOS"
"BioPlanet_2019.10","SMAD2/3 nuclear pathway","2/82",0.00271381293221151,0.409785752763938,0,0,25.6739409499358,151.717603258333,"ITGB5;FOS"
"BioPlanet_2019.9","Antigen processing: cross presentation","2/79",0.00252196570502967,0.423129801621644,0,0,26.6489007328448,159.432821848228,"ITGB5;CYBA"
"BioPlanet_2019.13","Integrin-mediated cell adhesion","2/100",0.00400404563880334,0.465085301122542,0,0,21.0526315789474,116.220000406139,"ITGB5;ITGAE"
"BioPlanet_2019.12","TSH regulation of gene expression","2/97",0.00377261785685041,0.474721080320344,0,0,21.703743895822,121.106589837506,"CYBA;FOS"
"BioPlanet_2019.15","FOSB gene expression and drug abuse","1/5",0.00474139160939957,0.477300088679557,0,0,210.526315789474,1126.61570481745,"JUND"
"BioPlanet_2019.14","Cytochrome P450 metabolism of eicosanoids","1/5",0.00474139160939957,0.511392952156668,0,0,210.526315789474,1126.61570481745,"PTGIS"
"BioPlanet_2019.16","Interleukin-1 regulation of extracellular matrix","2/120",0.00571067013521271,0.5389444940107,0,0,17.5438596491228,90.6213842195978,"MT2A;FOS"
"KEGG_2019_Mouse.7","Phagosome","2/180",0.0124563228277127,0.539180830970991,0,0,11.6959064327485,51.2927126004663,"ITGB5;CYBA"
"BioPlanet_2019.17","PDGFB signaling pathway","2/129",0.00656980377717787,0.583553159031681,0,0,16.3198694410445,82.0117717408244,"JUND;FOS"
"BioPlanet_2019.19","EGF/EGFR signaling pathway","2/141",0.0078011638602984,0.619987233107926,0,0,14.9309443822322,72.4670749318246,"JUND;FOS"
"BioPlanet_2019.18","TSP1-induced apoptosis in microvascular endothelial cell","1/8",0.00757601220630419,0.635543246195518,0,0,131.578947368421,642.469514726192,"FOS"
