"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"BioPlanet_2019.4","Signaling by PDGF","3/122",0.00159860071252527,0.603471768978289,0,0,12.9421915444349,83.3299385727458,"COL5A2;RAPGEF1;ITPR3"
"BioPlanet_2019.3","Reelin signaling pathway","2/29",0.00138166752085505,0.695439318830376,0,0,36.2976406533575,239.000514004818,"RAPGEF1;MAP3K11"
"BioPlanet_2019.2","PIP2 hydrolysis","2/25",0.00102583671197477,0.774506717540953,0,0,42.1052631578947,289.778808211425,"DGKA;ITPR3"
"KEGG_2019_Mouse.7","MAPK signaling pathway","3/294",0.0181526406157317,0.785750015223814,0,0,5.37056928034372,21.5302859311688,"GNA12;TAOK2;MAP3K11"
"KEGG_2019_Mouse.11","Apoptosis","2/141",0.0294000302372037,0.809837196533884,0,0,7.46547219111609,26.3289255405876,"ITPR3;BOK"
"KEGG_2019_Mouse.12","Phospholipase D signaling pathway","2/149",0.032534652461455,0.821499974651739,0,0,7.06464146944543,24.1995727875821,"DGKA;GNA12"
"KEGG_2019_Mouse.10","Vascular smooth muscle contraction","2/140",0.0290172701629217,0.879223285936529,0,0,7.5187969924812,26.6155195743584,"GNA12;ITPR3"
"KEGG_2019_Mouse.6","Parathyroid hormone synthesis, secretion and action","2/107",0.0175861325993337,0.888099696266354,0,0,9.83767830791933,39.7505618101616,"GNA12;ITPR3"
"KEGG_2019_Mouse.9","Estrogen signaling pathway","2/134",0.02676393750603,0.901052562703009,0,0,7.85545954438335,28.4422616894377,"GABBR2;ITPR3"
"KEGG_2019_Mouse.5","Choline metabolism in cancer","2/99",0.0151867674658198,0.920318108428677,0,0,10.6326422115896,44.5223901302268,"SLC44A2;DGKA"
"KEGG_2019_Mouse.8","Non-homologous end-joining","1/13",0.0244274496995067,0.925189657368816,0,0,40.4858299595142,150.285335681082,"POLL"
"KEGG_2019_Mouse.13","cGMP-PKG signaling pathway","2/172",0.0422328911763004,0.984351232801464,0,0,6.11995104039168,19.3669274771304,"GNA12;ITPR3"
"KEGG_2019_Mouse.1","Long-term depression","2/61",0.00599410507431672,1,0,0,17.2562553925798,88.2998926717045,"GNA12;ITPR3"
"KEGG_2019_Mouse.2","Taste transduction","2/88",0.0121417710358743,1,0,0,11.9617224880383,52.7643973642579,"GABBR2;ITPR3"
"KEGG_2019_Mouse.3","Human cytomegalovirus infection","3/255",0.0124383698595733,1,0,0,6.19195046439628,27.1638962259124,"GNA12;ITPR3;B2M"
"KEGG_2019_Mouse.4","Phosphatidylinositol signaling system","2/98",0.0148976436191686,1,0,0,10.7411385606874,45.1831603104372,"DGKA;ITPR3"
"BioPlanet_2019.1","Interferon-gamma signaling pathway","3/97",0.000824830761740504,1,0,0,16.2778079218665,115.577845848465,"RAPGEF1;B2M;MAP3K11"
"BioPlanet_2019.5","Amyloids","2/51",0.00422635517856509,1,0,0,20.639834881321,112.825909541381,"H2AFZ;B2M"
"BioPlanet_2019.6","RNA polymerase I transcription","2/55",0.00489901241495532,1,0,0,19.1387559808612,101.793715639184,"H2AFZ;POLR1A"
"BioPlanet_2019.7","Collagen biosynthesis and modifying enzymes","2/64",0.00657976183787515,1,0,0,16.4473684210526,82.6275777821014,"BMP1;COL5A2"
"BioPlanet_2019.8","Platelet activation, signaling and aggregation","3/205",0.00687596817596766,1,0,0,7.70218228498075,38.3547328863866,"DGKA;GNA12;ITPR3"
"BioPlanet_2019.9","cAMP cell motility pathway inferred from amoeba model","2/67",0.00719043736305205,1,0,0,15.7109190887667,77.5334372308823,"DGKA;ITPR3"
"BioPlanet_2019.10","Long-term depression","2/70",0.00782584342812174,1,0,0,15.0375939849624,72.9371994289175,"GNA12;ITPR3"
"BioPlanet_2019.11","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","2/71",0.00804309164380493,1,0,0,14.8257968865827,71.5039545870052,"ITPR3;BOK"
"BioPlanet_2019.12","Disease","5/674",0.00856509851139722,1,0,0,3.90441980321724,18.5852711449697,"POM121;TATDN2;H2AFZ;ITPR3;B2M"
"BioPlanet_2019.13","Phosphatidylinositol signaling system","2/78",0.00963899749456228,1,0,0,13.4952766531714,62.6442398125166,"DGKA;ITPR3"
"BioPlanet_2019.14","Differentiation pathway in PC12 cells","2/84",0.0111097256828233,1,0,0,12.531328320802,56.3901549705567,"ANXA2;RAPGEF1"
"BioPlanet_2019.15","Extracellular matrix organization","2/93",0.0134886956340835,1,0,0,11.3186191284663,48.7368795105614,"BMP1;COL5A2"
"BioPlanet_2019.16","RNA polymerase I, RNA polymerase III, and mitochondrial transcription","2/95",0.0140449012921475,1,0,0,11.0803324099723,47.2631118717076,"H2AFZ;POLR1A"
"BioPlanet_2019.17","Pyrimidine metabolism","2/100",0.0154783132235365,1,0,0,10.5263157894737,43.8770040173209,"POLR1A;TK2"
"BioPlanet_2019.18","Immune system signaling by interferons, interleukins, prolactin, and growth hormones","3/280",0.0159593213009872,1,0,0,5.6390977443609,23.3329636063843,"POM121;RAPGEF1;B2M"
"BioPlanet_2019.19","Pyrimidine salvage reactions","1/9",0.0169738449956947,1,0,0,58.4795321637427,238.367347914798,"TK2"
"BioPlanet_2019.20","Elevation of cytosolic calcium levels","1/9",0.0169738449956947,1,0,0,58.4795321637427,238.367347914798,"ITPR3"
"BioPlanet_2019.21","Endosomal/vacuolar pathway","1/9",0.0169738449956947,1,0,0,58.4795321637427,238.367347914798,"B2M"
"BioPlanet_2019.22","Nef-mediated downregulation of MHC class I complex cell surface expression","1/10",0.0188424272009397,1,0,0,52.6315789473684,209.03390451634,"B2M"
"BioPlanet_2019.23","Vascular smooth muscle contraction","2/116",0.0204645620033943,1,0,0,9.07441016333938,35.2909307758192,"GNA12;ITPR3"
"BioPlanet_2019.24","Stress fiber formation mediated by Rho-selective guanine exchange factor AKAP13","1/11",0.0207075512732703,1,0,0,47.8468899521531,185.514681790549,"GNA12"
