"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Alzheimer disease","10/175",4.97193094927529e-12,1.50649507763041e-09,0,0,25.3968253968254,661.008579816986,"PPP3CA;COX7B;NDUFA4;ATP2A2;CYTB;COX6A1;ATP5G1;GRIN2B;CALM2;COX6B1"
"KEGG_2019_Mouse.2","Parkinson disease","9/144",2.87147714060923e-11,4.35028786802299e-09,0,0,27.7777777777778,674.266928956328,"COX7B;UBB;NDUFA4;CYTB;COX6A1;ATP5G1;ADCY5;COX6B1;ND4"
"BioPlanet_2019.1","Alzheimer's disease","10/169",3.50803053696198e-12,5.29712611081259e-09,0,0,26.2984878369494,693.648029888422,"PPP3CA;COX7B;NDUFA4;ATP2A2;CYTB;COX6A1;ATP5G1;GRIN2B;CALM2;COX6B1"
"KEGG_2019_Mouse.3","Thermogenesis","9/231",1.93212891236326e-09,1.95145020148689e-07,0,0,17.3160173160173,347.439712182794,"COX7B;NDUFA4;CYTB;COX6A1;ATP5G1;ACTB;ADCY5;COX6B1;ND4"
"BioPlanet_2019.2","Parkinson's disease","8/131",4.80027251606814e-10,3.62420574963144e-07,0,0,27.1416454622562,582.383124395789,"COX7B;UBB;NDUFA4;CYTB;COX6A1;ATP5G1;COX6B1;ND4"
"KEGG_2019_Mouse.4","Oxidative phosphorylation","7/134",1.89967341801784e-08,1.43900261414851e-06,0,0,23.2172470978441,412.779407312285,"COX7B;NDUFA4;CYTB;COX6A1;ATP5G1;COX6B1;ND4"
"BioPlanet_2019.3","Electron transport chain","7/105",3.45733933363322e-09,1.74019413126205e-06,0,0,29.6296296296296,577.267156219594,"COX7B;NDUFA4;CYTB;COX6A1;ATP5G1;COX6B1;ND4"
"BioPlanet_2019.4","Oxidative phosphorylation","7/136",2.10525035102741e-08,7.94732007512846e-06,0,0,22.8758169934641,404.358576686266,"COX7B;NDUFA4;CYTB;COX6A1;ATP5G1;COX6B1;ND4"
"KEGG_2019_Mouse.5","Huntington disease","7/192",2.24478483549619e-07,1.36033961031069e-05,0,0,16.2037037037037,248.070374611225,"COX7B;NDUFA4;CYTB;COX6A1;ATP5G1;GRIN2B;COX6B1"
"KEGG_2019_Mouse.6","Amphetamine addiction","5/68",4.30116069262872e-07,2.1720861497775e-05,0,0,32.6797385620915,479.059174384466,"PPP3CA;PPP1R1B;GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.7","Cardiac muscle contraction","5/78",8.56677349993499e-07,3.70818910068615e-05,0,0,28.4900284900285,398.011523561068,"COX7B;ATP2A2;CYTB;COX6A1;COX6B1"
"BioPlanet_2019.5","Huntington's disease","7/184",1.68064388386312e-07,5.07554452926662e-05,0,0,16.9082125603865,263.749832529858,"COX7B;NDUFA4;CYTB;COX6A1;ATP5G1;GRIN2B;COX6B1"
"KEGG_2019_Mouse.8","Cocaine addiction","4/48",4.0467531235196e-06,0.000153270774553305,0,0,37.037037037037,459.910951713846,"PPP1R1B;RGS9;GRIN2B;ADCY5"
"BioPlanet_2019.7","Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins","5/81",1.03452494292523e-06,0.000223161809116728,0,0,27.4348422496571,378.095150314374,"COX7B;NDUFA4;COX6A1;ATP5G1;COX6B1"
"BioPlanet_2019.6","Cardiac muscle contraction","5/80",9.72284781056905e-07,0.000244691669899321,0,0,27.7777777777778,384.544919188087,"COX7B;ATP2A2;CYTB;COX6A1;COX6B1"
"KEGG_2019_Mouse.9","Dopaminergic synapse","5/135",1.27937328927012e-05,0.000430722340720942,0,0,16.4609053497942,185.457697525898,"PPP3CA;PPP1R1B;GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.10","Non-alcoholic fatty liver disease (NAFLD)","5/151",2.19843865142442e-05,0.000666126911381598,0,0,14.7167034584253,157.839265054643,"COX7B;NDUFA4;CYTB;COX6A1;COX6B1"
"BioPlanet_2019.8","Tricarboxylic acid (TCA) cycle and respiratory electron transport","5/117",6.37113279614241e-06,0.00120255131527188,0,0,18.9933523266857,227.231401162416,"COX7B;NDUFA4;COX6A1;ATP5G1;COX6B1"
"BioPlanet_2019.9","Nitric oxide signaling pathway","3/22",1.59075449140609e-05,0.00266893253558133,0,0,60.6060606060606,669.619214447973,"PPP3CA;GRIN2B;CALM2"
"KEGG_2019_Mouse.11","cAMP signaling pathway","5/211",0.000108030258821018,0.00297574258388804,0,0,10.5318588730911,96.1885118042428,"PPP1R1B;ATP2A2;GRIN2B;CALM2;ADCY5"
"BioPlanet_2019.10","Myometrial relaxation and contraction pathways","5/155",2.49315990912096e-05,0.00376467146277265,0,0,14.336917562724,151.96235869873,"ATP2A2;RGS9;CALM2;ACTB;ADCY5"
"Reactome_2016.1","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins._Homo sapiens_R-HSA-163200","5/109",4.50206974656483e-06,0.0068881667122442,0,0,20.3873598369011,250.98824308356,"COX7B;NDUFA4;COX6A1;ATP5G1;COX6B1"
"BioPlanet_2019.11","G-protein signaling pathways","4/95",6.13034752705245e-05,0.00841529524168109,0,0,18.7134502923977,181.514367696811,"PPP3CA;AKAP5;CALM2;ADCY5"
"KEGG_2019_Mouse.12","Adrenergic signaling in cardiomyocytes","4/148",0.000338851492647245,0.00855600018934292,0,0,12.012012012012,95.9753588150571,"ATP2A2;CALM2;SCN4B;ADCY5"
"KEGG_2019_Mouse.13","Oxytocin signaling pathway","4/154",0.000393988271577727,0.00918295740677318,0,0,11.5440115440115,90.4956931218312,"PPP3CA;CALM2;ACTB;ADCY5"
"KEGG_2019_Mouse.14","Long-term potentiation","3/67",0.000461052636846343,0.00997849635460299,0,0,19.9004975124378,152.875588891056,"PPP3CA;GRIN2B;CALM2"
"KEGG_2019_Mouse.16","Gastric acid secretion","3/74",0.000617071257736804,0.0116857869433907,0,0,18.018018018018,133.162631532758,"CALM2;ACTB;ADCY5"
"KEGG_2019_Mouse.17","Renin secretion","3/76",0.000667102109019667,0.0118901140607623,0,0,17.5438596491228,128.290656785601,"PPP3CA;CALM2;ADCY5"
"KEGG_2019_Mouse.15","cGMP-PKG signaling pathway","4/172",0.000597776661191607,0.0120750885560705,0,0,10.3359173126615,76.7162103363462,"PPP3CA;ATP2A2;CALM2;ADCY5"
"KEGG_2019_Mouse.18","Alcoholism","4/199",0.00102985371869526,0.0173358709313701,0,0,8.93355667225014,61.4480268677673,"PPP1R1B;GRIN2B;CALM2;ADCY5"
"Reactome_2016.4","Respiratory electron transport_Homo sapiens_R-HSA-611105","4/88",4.54212878504465e-05,0.0173736426027958,0,0,20.2020202020202,202.010700352117,"COX7B;NDUFA4;COX6A1;COX6B1"
"KEGG_2019_Mouse.19","Dilated cardiomyopathy (DCM)","3/90",0.00109060757125476,0.0173923207415891,0,0,14.8148148148148,101.052153084631,"ATP2A2;ACTB;ADCY5"
"Reactome_2016.2","The citric acid (TCA) cycle and respiratory electron transport_Homo sapiens_R-HSA-1428517","5/153",2.34219350277657e-05,0.0179177802962407,0,0,14.5243282498184,154.856028762983,"COX7B;NDUFA4;COX6A1;ATP5G1;COX6B1"
