"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Arginine biosynthesis","2/19",0.00106031340178179,0.321274960739883,0,0,41.2796697626419,282.732332404511,"ACY1;GLUL"
"KEGG_2019_Mouse.2","Insulin secretion","2/86",0.0203313528196393,1,0,0,9.11992704058367,35.5275067080134,"RAB3A;RAPGEF4"
"KEGG_2019_Mouse.3","GABAergic synapse","2/90",0.0221351857372418,1,0,0,8.71459694989107,33.2077282938758,"GABRB2;GLUL"
"KEGG_2019_Mouse.4","Nitrogen metabolism","1/17",0.042493268979737,1,0,0,23.0680507497116,72.8583527691369,"GLUL"
"BioPlanet_2019.1","Deadenylation of mRNA","2/23",0.00155857794659698,1,0,0,34.1005967604433,220.425624762148,"EIF4E;PAIP1"
"BioPlanet_2019.2","Transport of mature mRNAs derived from intronless transcripts","2/38",0.00422635517856509,1,0,0,20.6398348813209,112.825909541381,"CPSF3;EIF4E"
"BioPlanet_2019.3","Deadenylation-dependent mRNA decay","2/49",0.00694485540309864,1,0,0,16.0064025610244,79.5478851265426,"EIF4E;PAIP1"
"BioPlanet_2019.4","Translation factors","2/50",0.00722250262714212,1,0,0,15.6862745098039,77.342019794193,"EIF4E;PAIP1"
"BioPlanet_2019.5","Arginine and proline metabolism","2/54",0.0083825352441557,1,0,0,14.5243282498184,69.4495987674735,"ACY1;GLUL"
"BioPlanet_2019.6","Transport of mature transcript to cytoplasm","2/55",0.00868477441968517,1,0,0,14.2602495543672,67.6817661772577,"CPSF3;EIF4E"
"BioPlanet_2019.7","ATF2 transcription factor network","2/59",0.00994188290783623,1,0,0,13.2934529744101,61.2960963629783,"HRK;NF1"
"BioPlanet_2019.8","Transmission across chemical synapses","3/190",0.0125818116211034,1,0,0,6.19195046439628,27.0928980188308,"GABRB2;RAB3A;GLUL"
"BioPlanet_2019.9","Activation of TRKA receptors","1/6",0.0152045515346865,1,0,0,65.359477124183,273.605258358337,"ADORA2A"
"BioPlanet_2019.10","eIF4E release","1/6",0.0152045515346865,1,0,0,65.359477124183,273.605258358337,"EIF4E"
"BioPlanet_2019.11","Signaling events mediated by hepatocyte growth factor receptor (c-Met)","2/79",0.0173329423728316,1,0,0,9.92802184164805,40.2595820773071,"EGR1;EIF4E"
"BioPlanet_2019.12","SARS coronavirus protease","1/7",0.0177165217463899,1,0,0,56.0224089635854,225.952809119309,"EIF4E"
"BioPlanet_2019.13","Internal ribosome entry pathway","1/7",0.0177165217463899,1,0,0,56.0224089635854,225.952809119309,"EIF4E"
"BioPlanet_2019.14","Polyadenylation of mRNA","1/9",0.0227216338446064,1,0,0,43.5729847494553,164.899249478874,"CPSF3"
"BioPlanet_2019.15","Inactivation of Cdc42 and Rac","1/9",0.0227216338446064,1,0,0,43.5729847494553,164.899249478874,"SRGAP3"
"BioPlanet_2019.16","TSH regulation of gene expression","2/97",0.02544494293956,1,0,0,8.08570851020821,29.6845624535673,"EGR1;CXCL14"
"BioPlanet_2019.17","Acetylcholine neurotransmitter release cycle","1/11",0.0277017430592619,1,0,0,35.650623885918,127.852404329465,"RAB3A"
"BioPlanet_2019.18","Mammalian target of rapamycin complex 1 (mTORC1)-mediated signaling","1/11",0.0277017430592619,1,0,0,35.650623885918,127.852404329465,"EIF4E"
"BioPlanet_2019.19","Norepinephrine neurotransmitter release cycle","1/11",0.0277017430592619,1,0,0,35.650623885918,127.852404329465,"RAB3A"
"BioPlanet_2019.20","GABA (A) receptor activation","1/12",0.0301824596395909,1,0,0,32.6797385620915,114.395239541532,"GABRB2"
"BioPlanet_2019.21","Dopamine neurotransmitter release cycle","1/12",0.0301824596395909,1,0,0,32.6797385620915,114.395239541532,"RAB3A"
"BioPlanet_2019.22","Rab GTPases mark targets in the endocytotic machinery","1/12",0.0301824596395909,1,0,0,32.6797385620915,114.395239541532,"RAB3A"
"BioPlanet_2019.23","Nucleotide G-protein coupled receptors (GPCRs)","1/12",0.0301824596395909,1,0,0,32.6797385620915,114.395239541532,"ADORA2A"
"BioPlanet_2019.24","MAP kinase downregulation by phosphorylation of MEK1 by Cdk5/p35","1/13",0.0326569711233982,1,0,0,30.1659125188537,103.218610418678,"EGR1"
"BioPlanet_2019.25","Intronless pre-mRNA processing","1/14",0.035125292681812,1,0,0,28.0112044817927,93.80486887352,"CPSF3"
"BioPlanet_2019.26","Neuronal system","3/283",0.0354681571313342,1,0,0,4.15713988775722,13.8811888058449,"GABRB2;RAB3A;GLUL"
"BioPlanet_2019.27","Gene expression","6/968",0.0357210953460804,1,0,0,2.43072435585805,8.09920724030167,"TRAM1;CPSF3;PSME1;EEF1E1;EIF4E;PAIP1"
"BioPlanet_2019.28","Prolactin regulation of apoptosis","2/118",0.0364742851199215,1,0,0,6.64672648720505,22.0082936785977,"EGR1;SH3RF2"
"BioPlanet_2019.29","Glutamate neurotransmitter release cycle","1/16",0.0400434265231352,1,0,0,24.5098039215686,78.8674203601908,"RAB3A"
"BioPlanet_2019.30","Amino acid biosynthesis and interconversion (transamination)","1/16",0.0400434265231352,1,0,0,24.5098039215686,78.8674203601908,"GLUL"
"BioPlanet_2019.31","N-glycan precursor substrate biosynthesis","1/16",0.0400434265231352,1,0,0,24.5098039215686,78.8674203601908,"DPM3"
"BioPlanet_2019.32","Rap1 signaling","1/16",0.0400434265231352,1,0,0,24.5098039215686,78.8674203601908,"RAPGEF4"
"BioPlanet_2019.33","Nucleotide-like (purinergic) G-protein coupled receptors","1/16",0.0400434265231352,1,0,0,24.5098039215686,78.8674203601908,"ADORA2A"
"BioPlanet_2019.34","Chromatin remodeling by hSWI/SNF ATP-dependent complexes","1/17",0.042493268979737,1,0,0,23.0680507497116,72.8583527691369,"NF1"
"BioPlanet_2019.35","Eukaryotic protein translation","1/17",0.042493268979737,1,0,0,23.0680507497116,72.8583527691369,"EIF4E"
"BioPlanet_2019.36","Serotonin receptor 4/6/7 and NR3C signaling","1/18",0.0449369818711913,1,0,0,21.7864923747277,67.5924656547874,"EGR1"
"BioPlanet_2019.37","MAPK signaling pathway","3/314",0.0459320645427072,1,0,0,3.74672161858374,11.5421200145734,"NF1;EIF4E;CACNG5"
"BioPlanet_2019.38","GABA biosynthesis, release, reuptake and degradation","1/19",0.0473745801991261,1,0,0,20.6398348813209,62.9446744448086,"RAB3A"
"BioPlanet_2019.39","Signaling by NODAL","1/19",0.0473745801991261,1,0,0,20.6398348813209,62.9446744448086,"DRAP1"
"BioPlanet_2019.40","Capped intron-containing pre-mRNA processing","2/138",0.0483757782960733,1,0,0,5.68343279340722,17.2137313950207,"CPSF3;EIF4E"
"BioPlanet_2019.41","Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway","1/20",0.0498060789247287,1,0,0,19.6078431372549,58.8160438360677,"EIF4E"
"BioPlanet_2019.42","Hypertrophy pathway","1/20",0.0498060789247287,1,0,0,19.6078431372549,58.8160438360677,"EIF4E"
"BioPlanet_2019.43","Urea cycle and metabolism of amino groups","1/20",0.0498060789247287,1,0,0,19.6078431372549,58.8160438360677,"ACY1"
