"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Reactome_2016.4","Synthesis And Processing Of GAG, GAGPOL Polyproteins_Homo sapiens_R-HSA-174495","2/11",0.000135179206066121,0.0517060463202911,0,0,113.636363636364,1012.37604630342,"UBB;VPS37A"
"Reactome_2016.5","Assembly Of The HIV Virion_Homo sapiens_R-HSA-175474","2/13",0.000191326293463452,0.0585458457998164,0,0,96.1538461538462,823.224061993726,"UBB;VPS37A"
"Reactome_2016.3","Membrane binding and targetting of GAG proteins_Homo sapiens_R-HSA-174490","2/11",0.000135179206066121,0.0689413950937215,0,0,113.636363636364,1012.37604630342,"UBB;VPS37A"
"Reactome_2016.6","TRAF6 mediated induction of TAK1 complex_Homo sapiens_R-HSA-937072","2/16",0.00029346780620414,0.0748342905820558,0,0,78.125,635.448641716077,"UBB;MAP3K7"
"Reactome_2016.7","Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138","3/88",0.000372243536191926,0.0813618014819494,0,0,21.3068181818182,168.23783204637,"EEA1;UBB;MAP3K7"
"Reactome_2016.2","IRAK2 mediated activation of TAK1 complex_Homo sapiens_R-HSA-937042","2/10",0.00011071162633,0.0846943941424497,0,0,125,1138.57271227499,"UBB;MAP3K7"
"BioPlanet_2019.2","Assembly of HIV virion","2/12",0.00016205318784161,0.122350156820416,0,0,104.166666666667,909.12353714658,"UBB;VPS37A"
"BioPlanet_2019.3","TRAF6-mediated induction of TAK1 complex","2/15",0.000257040841751126,0.1293772236814,0,0,83.3333333333333,688.856297364626,"UBB;MAP3K7"
"Reactome_2016.8","Budding and maturation of HIV virion_Homo sapiens_R-HSA-162588","2/25",0.000727107296837505,0.139059270520173,0,0,50,361.32182514118,"UBB;VPS37A"
"BioPlanet_2019.5","Downstream signaling events Of B cell receptor (BCR)","3/98",0.000510369747864654,0.154131663855126,0,0,19.1326530612245,145.032686845319,"UBB;RICTOR;MAP3K7"
"Reactome_2016.9","Endosomal Sorting Complex Required For Transport (ESCRT)_Homo sapiens_R-HSA-917729","2/28",0.000913416383582455,0.155280785209017,0,0,44.6428571428571,312.424942877435,"UBB;VPS37A"
"BioPlanet_2019.1","IRAK2-mediated activation of TAK1 complex","2/10",0.00011071162633,0.167174555758299,0,0,125,1138.57271227499,"UBB;MAP3K7"
