"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Synaptic vesicle cycle","3/77",0.00152762794425011,0.462871267107784,0,0,13.2071318511996,85.6355594523844,"UNC13C;STX1B;VAMP2"
"Reactome_2016.1","Neurotoxicity of clostridium toxins_Homo sapiens_R-HSA-168799","2/10",0.000379173204115083,0.580135002296076,0,0,67.7966101694915,534.068979954828,"STX1B;VAMP2"
"KEGG_2019_Mouse.2","SNARE interactions in vesicular transport","2/33",0.0042593156284662,0.64528631771263,0,0,20.5444273240883,112.144772104804,"STX1B;VAMP2"
"KEGG_2019_Mouse.3","Apelin signaling pathway","3/138",0.00788322979718726,0.796206209515914,0,0,7.36919675755343,35.6891494940879,"RYR2;PPARGC1A;MEF2D"
"BioPlanet_2019.5","Insulin regulation of blood glucose","2/27",0.00286378690586532,0.864863645571327,0,0,25.1098556183302,147.033532630973,"YWHAZ;VAMP2"
"KEGG_2019_Mouse.4","Adipocytokine signaling pathway","2/71",0.018662205384361,1,0,0,9.5488183337312,38.016279806597,"G6PC3;PPARGC1A"
"KEGG_2019_Mouse.5","Insulin secretion","2/86",0.0266887138390082,1,0,0,7.88332676389436,28.5653488813461,"RYR2;VAMP2"
"KEGG_2019_Mouse.6","Glucagon signaling pathway","2/102",0.0365061121411435,1,0,0,6.64672648720505,22.0024963542116,"G6PC3;PPARGC1A"
"KEGG_2019_Mouse.7","Insulin resistance","2/110",0.0418597819447667,1,0,0,6.1633281972265,19.5588891903419,"G6PC3;PPARGC1A"
"BioPlanet_2019.1","Botulinum neurotoxicity","2/18",0.00126977623094293,1,0,0,37.6647834274953,251.183223734234,"STX1B;VAMP2"
"BioPlanet_2019.2","Neuronal system","5/283",0.00146899066655625,1,0,0,5.9890998382943,39.067974698534,"GRIP1;STX1B;KCNQ5;KCNA6;VAMP2"
"BioPlanet_2019.3","CARM1 and regulation of the estrogen receptor","2/26",0.00265667718446402,1,0,0,26.0756192959583,154.64613079102,"GRIP1;PPARGC1A"
"BioPlanet_2019.4","PGC-1a regulation","2/26",0.00265667718446402,1,0,0,26.0756192959583,154.64613079102,"MEF2D;PPARGC1A"
"BioPlanet_2019.6","SNARE interactions in vesicular transport","2/36",0.00505341316836217,1,0,0,18.8323917137476,99.5798755004192,"STX1B;VAMP2"
"BioPlanet_2019.7","Voltage-gated potassium channels","2/43",0.00714815493615837,1,0,0,15.7666535277887,77.9014742840208,"KCNQ5;KCNA6"
"BioPlanet_2019.8","Energy metabolism","2/48",0.00884548607841087,1,0,0,14.1242937853107,66.7775140920626,"MEF2D;PPARGC1A"
"BioPlanet_2019.9","Calcineurin-dependent NFAT signaling role in lymphocytes","2/55",0.0114925151614889,1,0,0,12.326656394453,55.0515785643642,"YWHAZ;MEF2D"
"BioPlanet_2019.10","Circadian rhythm","2/62",0.0144432357741012,1,0,0,10.9349371241115,46.3371141229252,"PPARGC1A;MEF2D"
"BioPlanet_2019.11","Blockade of neurotransmitter release by botulinum toxin","1/5",0.0146645613684728,1,0,0,67.7966101694915,286.259083870776,"VAMP2"
"BioPlanet_2019.12","SIDS susceptibility pathways","2/67",0.0167295485483831,1,0,0,10.1188970402226,41.3921451950741,"RYR2;PPARGC1A"
"BioPlanet_2019.13","Abl role in Robo-Slit signaling","1/9",0.0262438698013582,1,0,0,37.6647834274953,137.111971698457,"CAP1"
"BioPlanet_2019.14","PPAR-gamma coactivator role in obesity and thermogenesis","1/9",0.0262438698013582,1,0,0,37.6647834274953,137.111971698457,"PPARGC1A"
"BioPlanet_2019.15","Glycoprotein 1b-IX-V activation signaling","1/10",0.0291177336711439,1,0,0,33.8983050847458,119.878233420663,"YWHAZ"
"BioPlanet_2019.16","Signal-dependent regulation of myogenesis by corepressor MITR","1/10",0.0291177336711439,1,0,0,33.8983050847458,119.878233420663,"MEF2D"
"BioPlanet_2019.17","Acetylcholine neurotransmitter release cycle","1/11",0.0319832597603845,1,0,0,30.8166409861325,106.087600787425,"VAMP2"
