"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clu",0,3.44611822335231,0.802,0.227,0,"0","Clu"
"Sprr1a",0,2.80145154343503,0.635,0.059,0,"0","Sprr1a"
"S100a6",0,2.49926402770999,0.989,0.557,0,"0","S100a6"
"Krt19",0,2.34431290368386,0.948,0.177,0,"0","Krt19"
"Msln",0,2.12915774233126,0.801,0.053,0,"0","Msln"
"Gsto1",0,2.11517056104195,0.845,0.178,0,"0","Gsto1"
"Krt7",0,1.96783365499336,0.972,0.202,0,"0","Krt7"
"Gsta4",0,1.93666595745311,0.692,0.164,0,"0","Gsta4"
"Krt8",0,1.9008133948892,0.953,0.236,0,"0","Krt8"
"Krt18",0,1.89582909623517,0.932,0.254,0,"0","Krt18"
"Igfbp2",0,1.80919412545397,0.458,0.108,0,"0","Igfbp2"
"Fxyd3",0,1.76358792219445,0.911,0.101,0,"0","Fxyd3"
"Cystm1",0,1.72519266201396,0.989,0.357,0,"0","Cystm1"
"2200002D01Rik",0,1.71855430499963,0.968,0.186,0,"0","2200002D01Rik"
"Mal",0,1.63555207068207,0.82,0.16,0,"0","Mal"
"Lmo7",0,1.59154019577299,0.946,0.239,0,"0","Lmo7"
"Ndnf",0,1.54493222688338,0.798,0.11,0,"0","Ndnf"
"Aqp5",0,1.5387051404586,0.745,0.215,0,"0","Aqp5"
"S100a11",0,1.4620761104493,0.999,0.94,0,"0","S100a11"
"Tff2",0,1.45356202787096,0.421,0.011,0,"0","Tff2"
"Spp1",0,1.42051754758517,0.421,0.033,0,"0","Spp1"
"Anxa3",0,1.40780017537105,0.981,0.466,0,"0","Anxa3"
"Tspan8",0,1.40716395530562,0.926,0.262,0,"0","Tspan8"
"Anxa1",0,1.40632664509977,0.944,0.27,0,"0","Anxa1"
"Lurap1l",0,1.35311600967626,0.866,0.255,0,"0","Lurap1l"
"Cd24a",0,1.29014132072481,0.767,0.211,0,"0","Cd24a"
"Pdzk1ip1",0,1.279745390168,0.794,0.17,0,"0","Pdzk1ip1"
"Lgals3",0,1.27621658399589,0.924,0.192,0,"0","Lgals3"
"Akap5",0,1.26157272170304,0.633,0.087,0,"0","Akap5"
"Ccnd2",0,1.23753584490146,0.874,0.521,0,"0","Ccnd2"
"Bcam",0,1.23321238128064,0.959,0.45,0,"0","Bcam"
"Gprc5a",0,1.22513643123146,0.799,0.193,0,"0","Gprc5a"
"Cldn18",0,1.21954386633521,0.944,0.364,0,"0","Cldn18"
"Tmsb4x",0,1.20941818470188,1,1,0,"0","Tmsb4x"
"Igfbp7",0,1.20196569600798,0.984,0.769,0,"0","Igfbp7"
"Clic3",0,1.19157341501133,0.817,0.292,0,"0","Clic3"
"Emp2",0,1.19153396878331,0.97,0.622,0,"0","Emp2"
"Epcam",0,1.18728619092463,0.904,0.282,0,"0","Epcam"
"Pdpn",0,1.17039837779718,0.608,0.096,0,"0","Pdpn"
"Tff1",0,1.1554069032123,0.264,0.006,0,"0","Tff1"
"Ezr",0,1.14128315801208,0.937,0.377,0,"0","Ezr"
"Spint2",0,1.13123752928216,0.989,0.462,0,"0","Spint2"
"Tacstd2",0,1.10218899655104,0.778,0.061,0,"0","Tacstd2"
"Pdgfa",0,1.08322761625642,0.866,0.276,0,"0","Pdgfa"
"Cryab",0,1.07510401938723,0.944,0.455,0,"0","Cryab"
"Serpinb6b",0,1.07062865401087,0.865,0.269,0,"0","Serpinb6b"
"Tnfrsf12a",0,1.06869430829746,0.807,0.244,0,"0","Tnfrsf12a"
"Cdh1",0,1.0552380264435,0.866,0.235,0,"0","Cdh1"
"Sprr2a3",0,1.03422654340259,0.353,0.009,0,"0","Sprr2a3"
"Mal2",0,1.02230406280956,0.883,0.196,0,"0","Mal2"
"Arl4c",0,1.01068645419458,0.849,0.235,0,"0","Arl4c"
"Cd2ap",0,1.00978000277439,0.792,0.275,0,"0","Cd2ap"
"Col4a4",0,1.00863121842329,0.437,0.075,0,"0","Col4a4"
"F3",0,0.996896626887054,0.614,0.089,0,"0","F3"
"Cldn7",0,0.984338264844148,0.877,0.248,0,"0","Cldn7"
"Ano1",0,0.973939306420718,0.781,0.086,0,"0","Ano1"
"Spock2",0,0.968943050050217,0.475,0.043,0,"0","Spock2"
"Col4a3",0,0.966976152734158,0.374,0.056,0,"0","Col4a3"
"Rab25",0,0.950726917615867,0.82,0.167,0,"0","Rab25"
"Lamc2",0,0.944164140226412,0.733,0.092,0,"0","Lamc2"
"Atp1b1",0,0.932655402833658,0.887,0.371,0,"0","Atp1b1"
"Cd9",0,0.92985537531777,0.972,0.593,0,"0","Cd9"
"S100a14",0,0.924455621633882,0.651,0.078,0,"0","S100a14"
"Wfdc2",0,0.919003992691473,0.985,0.455,0,"0","Wfdc2"
"Bsg",0,0.896041858476603,0.992,0.892,0,"0","Bsg"
"Tinagl1",0,0.891767137280391,0.769,0.208,0,"0","Tinagl1"
"Sema3e",0,0.887815016049073,0.678,0.061,0,"0","Sema3e"
"Cdkn2b",0,0.886723046815207,0.623,0.071,0,"0","Cdkn2b"
"Icam1",0,0.885422834089124,0.669,0.24,0,"0","Icam1"
"Slc39a8",0,0.852635674373758,0.686,0.182,0,"0","Slc39a8"
"Fam174b",0,0.849902769544362,0.688,0.12,0,"0","Fam174b"
"Gipc2",0,0.849327331643812,0.738,0.074,0,"0","Gipc2"
"Lgals4",0,0.840212987021128,0.351,0.029,0,"0","Lgals4"
"Dag1",0,0.819598244279993,0.875,0.432,0,"0","Dag1"
"Foxq1",0,0.814133778820704,0.606,0.128,0,"0","Foxq1"
"Stard10",0,0.79209785844233,0.739,0.193,0,"0","Stard10"
"Neat1",0,0.791330626476982,0.89,0.444,0,"0","Neat1"
"Tspan15",0,0.788508468575121,0.75,0.192,0,"0","Tspan15"
"Ahnak",0,0.78433997818356,0.938,0.548,0,"0","Ahnak"
"Anxa8",0,0.783715464556245,0.61,0.041,0,"0","Anxa8"
"Dstn",0,0.783377580286084,0.992,0.86,0,"0","Dstn"
"Cxcl16",0,0.782486934611602,0.73,0.149,0,"0","Cxcl16"
"Agrn",0,0.77510288353247,0.768,0.215,0,"0","Agrn"
"Fxyd6",0,0.774632789822144,0.423,0.05,0,"0","Fxyd6"
"Scara3",0,0.771449601791761,0.517,0.052,0,"0","Scara3"
"Lsr",0,0.765629383524788,0.76,0.14,0,"0","Lsr"
"Mbip",0,0.760529620799706,0.854,0.296,0,"0","Mbip"
"Bag1",0,0.753001959770909,0.907,0.622,0,"0","Bag1"
"Klf5",0,0.746431340027959,0.678,0.108,0,"0","Klf5"
"Lamb3",0,0.742217172094995,0.726,0.132,0,"0","Lamb3"
"Itgb6",0,0.734777124004092,0.591,0.035,0,"0","Itgb6"
"Sorbs2",0,0.733952366789937,0.478,0.026,0,"0","Sorbs2"
"Crb3",0,0.73101218375415,0.819,0.215,0,"0","Crb3"
"Perp",0,0.72904937684162,0.666,0.082,0,"0","Perp"
"Rdh10",0,0.711205360444618,0.497,0.11,0,"0","Rdh10"
"Alcam",0,0.709744573380103,0.905,0.355,0,"0","Alcam"
"Tmem238",0,0.707570905827081,0.836,0.263,0,"0","Tmem238"
"Psca",0,0.705156740472878,0.312,0.005,0,"0","Psca"
"Actg1",0,0.704951037766659,0.997,0.964,0,"0","Actg1"
"Vamp8",0,0.704713196555981,0.984,0.752,0,"0","Vamp8"
"Myh14",0,0.704608501605859,0.768,0.191,0,"0","Myh14"
"Akr1b8",0,0.700063365654412,0.582,0.09,0,"0","Akr1b8"
"Nme1",0,0.693816169823976,0.89,0.526,0,"0","Nme1"
"Cldn4",0,0.693478357386768,0.5,0.046,0,"0","Cldn4"
"Plpp2",0,0.690021290327195,0.667,0.114,0,"0","Plpp2"
"Serpinb9",0,0.682987106863307,0.613,0.162,0,"0","Serpinb9"
"Pcbd1",0,0.68215745356886,0.723,0.176,0,"0","Pcbd1"
"Prr15l",0,0.680148566080746,0.745,0.201,0,"0","Prr15l"
"Muc1",0,0.679849010123512,0.749,0.323,0,"0","Muc1"
"Cgn",0,0.679103246542494,0.677,0.104,0,"0","Cgn"
"Il18",0,0.678569542627719,0.405,0.033,0,"0","Il18"
"Cxadr",0,0.655913132751338,0.706,0.126,0,"0","Cxadr"
"Rabgap1l",0,0.654382239518159,0.71,0.183,0,"0","Rabgap1l"
"Pgap2",0,0.652752736952089,0.763,0.212,0,"0","Pgap2"
"Hmgcs2",0,0.651213710609502,0.504,0.051,0,"0","Hmgcs2"
"Tes",0,0.650395547189402,0.69,0.139,0,"0","Tes"
"Actn4",0,0.649257242107814,0.855,0.479,0,"0","Actn4"
"Lama3",0,0.645330160705505,0.498,0.061,0,"0","Lama3"
"Plp2",0,0.642847110707617,0.866,0.399,0,"0","Plp2"
"Ppp3ca",0,0.642430176797931,0.909,0.5,0,"0","Ppp3ca"
"Elf3",0,0.641870754760568,0.525,0.075,0,"0","Elf3"
"Smim6",0,0.635015788237999,0.598,0.169,0,"0","Smim6"
"Gm20186",0,0.633089593193187,0.451,0.036,0,"0","Gm20186"
"Mgst3",0,0.632005774119312,0.815,0.342,0,"0","Mgst3"
"Ptp4a2",0,0.626740839941491,0.873,0.529,0,"0","Ptp4a2"
