Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EGFR1 pathway	13/152	1.237640595337079E-11	1.8688372989589894E-8	0	0	13.68421052631579	343.6820838104597	DUSP4;ITGA3;LIF;DDX21;AREG;EREG;CLDN4;MYC;COTL1;TXNIP;LUC7L3;PHLDA1;HBEGF
Prolactin regulation of apoptosis	11/118	1.9780922705937077E-10	1.4934596642982494E-7	0	0	14.915254237288135	333.2622353130603	EEF1A1;DUSP4;HSP90AB1;HSPA5;MAFF;CITED4;HNRNPA1;CLDN1;PHLDA1;AREG;RBX1
T cell receptor regulation of apoptosis	19/603	6.635815002624308E-9	3.340026884654235E-6	0	0	5.041459369817579	94.93463416628157	HSP90AB1;HSPA5;MIF;YBX1;EEF2;DYNLL1;COX6C;HSPE1;MYC;DDIT3;PIM1;VDAC1;SEC61B;SLC25A5;PFDN4;HNRNPA1;GAPDH;IER2;HSPA1A
BDNF signaling pathway	13/261	9.87467395582733E-9	3.727689418324817E-6	0	0	7.96934865900383	146.90133521524243	DUSP4;HSPA5;DKK1;RND3;HERPUD1;MYC;DDIT3;MAFF;TXNIP;SRSF5;IER2;S100A11;HSPA1A
Parkinson's disease	9/131	1.3553004710245335E-7	4.0930074224940914E-5	0	0	10.992366412213741	173.83407907466653	UQCRB;NDUFS6;NDUFS5;NDUFB3;NDUFC2;VDAC1;SLC25A5;COX6C;SLC25A6
Huntington's disease	10/184	2.41743121508149E-7	6.0838685579550835E-5	0	0	8.695652173913043	132.4816535298378	UQCRB;NDUFS6;NDUFS5;NDUFB3;NDUFC2;POLR2F;VDAC1;SLC25A5;COX6C;SLC25A6
Electron transport chain	8/105	3.120001924304654E-7	6.730289865285755E-5	0	0	12.190476190476192	182.61652763273517	UQCRB;NDUFS6;NDUFS5;NDUFB3;NDUFC2;SLC25A5;COX6C;SLC25A6
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	7/81	7.454017947545761E-7	1.4069458875992622E-4	0	0	13.82716049382716	195.09214240970388	NDUFA13;UQCRB;NDUFS6;NDUFS5;NDUFB3;NDUFC2;COX6C
Protein processing in the endoplasmic reticulum	9/166	1.0099423571435262E-6	1.6944588436519162E-4	0	0	8.674698795180722	119.75957176662568	PPP1R15A;HSP90AB1;HSPA5;DDIT3;SEC61B;P4HB;RBX1;HERPUD1;HSPA1A
Tricarboxylic acid (TCA) cycle and respiratory electron transport	7/117	8.83017795603142E-6	0.0013333568713607444	0	0	9.572649572649572	111.400133647677	NDUFA13;UQCRB;NDUFS6;NDUFS5;NDUFB3;NDUFC2;COX6C
Translation factors	5/50	1.4884754838316752E-5	0.0020432708914416634	0	0	16.0	177.84276854427748	EIF4A2;EEF1B2;EEF1A1;EEF1D;EEF2
FSH regulation of apoptosis	9/263	4.156283933837204E-5	0.005229990616745148	0	0	5.475285171102661	55.23634170369182	AKAP12;PTP4A1;GPRC5A;ITGA3;STK17A;PAWR;DKK1;AREG;EREG
Disease	14/674	8.289818444197805E-5	0.009628942962106682	0	0	3.323442136498516	31.233368202490137	HSPA5;H3F3A;HMGA1;RBX1;HERPUD1;MYC;DDIT3;AP1S1;POLR2F;RICTOR;HDGF;SLC25A5;SLC25A6;HSPA1A
Alzheimer's disease	7/169	9.384799312845688E-5	0.010122176401712134	0	0	6.627218934911243	61.45972947016847	UQCRB;NDUFS6;NDUFS5;NDUFB3;NDUFC2;COX6C;GAPDH
Inflammasomes	3/17	1.5200872914051107E-4	0.015302212066811448	0	0	28.235294117647058	248.2326384059565	HSP90AB1;TXNIP;TXN
Interactions of HIV Vpr protein with host cellular proteins	4/44	1.6266856394468287E-4	0.015351845722279446	0	0	14.545454545454545	126.89157494186027	HMGA1;SLC25A5;HSPA1A;SLC25A6
Myc active pathway	5/85	1.9357819573573767E-4	0.017194298562409643	0	0	9.411764705882351	80.46897896279002	FOSL1;MYC;PIM1;HMGA1;GAPDH
Oxidative phosphorylation	6/136	2.1406869056695479E-4	0.01795798459756121	0	0	7.0588235294117645	59.64150783874602	UQCRB;NDUFS6;NDUFS5;NDUFB3;NDUFC2;COX6C
TGF-beta regulation of extracellular matrix	12/565	2.2303756352440882E-4	0.017725616890624067	0	0	3.398230088495575	28.572897487490863	FOSL1;TNFRSF12A;MYC;PIM1;PAWR;CLDN1;DKK1;AREG;F3;CTNNAL1;S100A11;HERPUD1
Interleukin-5 regulation of apoptosis	6/144	2.9149367986543655E-4	0.022007772829840462	0	0	6.666666666666666	54.269948225539636	DUSP4;TPM4;PIM1;IER2;FOSL2;HBEGF
ERBB signaling pathway	5/94	3.0977524617773156E-4	0.02227431532039879	0	0	8.51063829787234	68.76309392139166	MYC;ABL2;AREG;EREG;HBEGF
Translation	6/151	3.7590441927412045E-4	0.025800712413814632	0	0	6.357615894039735	50.13727566165551	EIF4A2;EEF1B2;EEF1A1;EEF1D;SEC61B;EEF2
