Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SMAD2 18955504 ChIP-ChIP HaCaT Human	39/1936	1.7825195416706583E-11	1.1497251043775746E-8	0	0	3.223140495867768	79.77404291554944	EIF4A2;PPP1R15A;ERRFI1;HSP90AB1;PDCD6;TXN;BACH1;CLDN1;MYC;COTL1;PIM1;ABL2;SEC61B;SLC38A2;CTNNAL1;CDV3;TPM4;HSPA5;TNFRSF12A;ITGA3;SH2D3A;LIF;PAWR;HSPE1;ELL2;F3;KLF3;EREG;FOSL2;FOSL1;PTP4A1;CLDN4;GPRC5A;STK17A;POLR1D;SNRPE;HDGF;HBEGF;AVPI1
SMAD3 18955504 ChIP-ChIP HaCaT Human	39/1936	1.7825195416706583E-11	5.748625521887873E-9	0	0	3.223140495867768	79.77404291554944	EIF4A2;PPP1R15A;ERRFI1;HSP90AB1;PDCD6;TXN;BACH1;CLDN1;MYC;COTL1;PIM1;ABL2;SEC61B;SLC38A2;CTNNAL1;CDV3;TPM4;HSPA5;TNFRSF12A;ITGA3;SH2D3A;LIF;PAWR;HSPE1;ELL2;F3;KLF3;EREG;FOSL2;FOSL1;PTP4A1;CLDN4;GPRC5A;STK17A;POLR1D;SNRPE;HDGF;HBEGF;AVPI1
ATF3 23680149 ChIP-Seq GBM1-GSC Human	37/2189	9.373222278895327E-9	2.0152427899624953E-6	0	0	2.704431247144815	49.99251746340755	EIF4A2;PPP1R15A;ERRFI1;HSP90AB1;AHCY;AREG;HERPUD1;TAF1D;MYC;TMSB4X;PIM1;ABL2;SEC61B;HNRNPA1;PHLDA1;DUSP4;CDV3;TPM4;HSPA5;TNFRSF12A;ITGA3;HMGA1;NEAT1;COX6C;DKK1;F3;KLF3;CCNB1IP1;FOSL2;EEF1A1;FOSL1;PTP4A1;CLDN4;GPRC5A;NDUFS5;MAFF;AVPI1
TAL1 20887958 ChIP-Seq HPC-7 Mouse	35/2067	2.5957514052583128E-8	4.18564914097903E-6	0	0	2.7092404450895016	47.32177376784724	EIF4A2;ERRFI1;HSP90AB1;NDUFB3;ACTG1;HERPUD1;SSFA2;PPM1G;EEF1B2;TAF1D;TMSB4X;CFL1;PIM1;ABL2;SNRNP35;PHLDA1;IER2;SOX4;DUSP4;MARCKSL1;TPM4;HSPA5;TNFRSF12A;IMP3;HMGA1;NEAT1;EEF2;DYNLL1;HSPE1;COASY;FOSL2;EEF1A1;VAMP8;DDIT3;VDAC1
NELFA 20434984 ChIP-Seq ESCs Mouse	34/2000	3.98293592407362E-8	5.13798734205497E-6	0	0	2.72	46.34515935407949	EIF4A2;ERRFI1;NDUFA13;HSP90AB1;UQCRB;DDX21;YBX1;PPM1G;TMSB4X;CFL1;COTL1;ABL2;PIM3;SLC38A2;IER2;MARCKSL1;HSPA5;TNFRSF12A;H3F3A;HMGA1;NME4;MIF;EEF2;DYNLL1;EEF1A1;CLDN4;TRAF4;EEF1D;DDIT3;TXNIP;VDAC1;P4HB;GAPDH;AVPI1
MYC 19030024 ChIP-ChIP MESCs Mouse	50/3868	7.210129814282503E-8	7.75088955035369E-6	0	0	2.0682523267838673	34.012810316572356	EIF4A2;HSP90AB1;PDCD6;YBX1;RND3;ACTG1;HERPUD1;EEF1B2;AKAP12;CFL1;PIM1;PIM3;SEC61B;IER2;DUSP4;CDV3;TPM4;TNFRSF12A;IMP3;NME4;MIF;F3;RBX1;EEF1A1;PTP4A1;MRPL51;TRAF4;EEF1D;NDUFS6;DDIT3;SNRPE;VDAC1;SLC25A5;GAPDH;AVPI1;AHCY;UQCRB;DDX21;PPM1G;ABL2;SLC38A2;HSPA5;H3F3A;HMGA1;EEF2;COX6C;HSPE1;FOSL2;HDGF;P4HB
UBF1/2 26484160 Chip-Seq HMECs Human	33/2000	1.361617499408085E-7	1.2546332673117355E-5	0	0	2.64	41.73687492509625	ERRFI1;ASAP1;RND3;ACTG1;HERPUD1;SSFA2;MYC;ABL2;PHLDA1;SLC38A2;IER2;SOX4;S100A11;DUSP4;CDV3;TPM4;IMP3;ITGA3;ARHGAP29;PAWR;NDUFC2;NEAT1;EEF2;ELL2;F3;FOSL2;EEF1A1;FOSL1;PTP4A1;POLR1D;HDGF;GAPDH;AVPI1
ZFP281 27345836 Chip-Seq ESCs Mouse	33/2000	1.361617499408085E-7	1.0978041088977687E-5	0	0	2.64	41.73687492509625	CITED4;DDX21;RND3;ACTG1;PPM1G;AKAP12;MYC;CFL1;ABL2;PIM3;RICTOR;SLC38A2;IER2;SOX4;DUSP4;H3F3A;HMGA1;LIF;NEAT1;EEF2;COX6C;HSPE1;ELL2;RBX1;FOSL2;CLDN4;TRAF4;LUC7L3;HDGF;P4HB;PFDN4;FERMT2;HBEGF
RELA 24523406 ChIP-Seq FIBROSARCOMA Human	24/1182	2.667914846100145E-7	1.912005639705104E-5	0	0	3.2487309644670046	49.17538579547081	EIF4A2;PPP1R15A;TPM4;SH2D3A;PAWR;ASAP1;BACH1;F3;KLF3;FOSL2;FOSL1;CLDN4;TAF1D;GPRC5A;TRAF4;MYC;MAFF;COTL1;PIM1;HDGF;PFDN4;PHLDA1;IER2;HSPA1A
E2F1 18555785 ChIP-Seq MESCs Mouse	51/4172	3.087759196209919E-7	1.9916046815553977E-5	0	0	1.9558964525407478	29.320159160853624	EIF4A2;HSP90AB1;PDCD6;CITED4;YBX1;BACH1;RND3;ACTG1;HERPUD1;EEF1B2;AKAP12;MYC;TMSB4X;CFL1;PIM1;AP1S1;PIM3;IER2;SOX4;TNFRSF12A;PAWR;NME4;MIF;DYNLL1;COASY;RBX1;EEF1A1;CLDN4;EEF1D;NDUFS6;DDIT3;TXNIP;SNRPE;SLC25A5;HBEGF;AHCY;UQCRB;NDUFB3;POLR2F;CTNNAL1;S100A11;MARCKSL1;HSPA5;H3F3A;EEF2;COX6C;HSPE1;ELL2;KLF3;MAFF;P4HB
XRN2 22483619 ChIP-Seq HELA Human	27/1529	6.753816939552647E-7	3.9601926600104156E-5	0	0	2.8253760627861344	40.142908724751486	EIF4A2;PPP1R15A;HSP90AB1;TXN;YBX1;RND3;ACTG1;TAF1D;MYC;HNRNPA1;SLC38A2;IER2;SOX4;MARCKSL1;TNFRSF12A;IMP3;HMGA1;NDUFC2;CNPY2;NEAT1;EEF2;EEF1A1;DDIT3;NDUFS5;HDGF;P4HB;GAPDH
ATF3 27146783 Chip-Seq COLON Human	31/2000	1.41024156847527E-6	7.580048430554577E-5	0	0	2.48	33.40993886686049	ERRFI1;HSP90AB1;BACH1;ACTG1;HERPUD1;CFL1;COTL1;ABL2;C19ORF33;SLC38A2;CTNNAL1;IER2;DUSP4;CDV3;HSPA5;TNFRSF12A;SH2D3A;NEAT1;EEF2;FOSL2;EEF1A1;FOSL1;CLDN4;TRAF4;DDIT3;LUC7L3;HDGF;GAPDH;FTL;HBEGF;AVPI1
DACH1 20351289 ChIP-Seq MDA-MB-231 Human	28/1698	1.5695256950659495E-6	7.787262102442596E-5	0	0	2.638398115429917	35.2614971496268	EIF4A2;ERRFI1;HSP90AB1;PDCD6;TXN;BACH1;CLDN1;PPM1G;PIM1;C19ORF33;PHLDA1;DUSP4;TRAPPC1;ITGA3;HMGA1;PAWR;DYNLL1;HSPE1;EEF1A1;FOSL1;MRPL51;TRAF4;EEF1D;NDUFS6;TXNIP;P4HB;FTL;AVPI1
WT1 20215353 ChIP-ChIP NEPHRON PROGENITOR Mouse	27/1663	3.3766387686016306E-6	1.5556657183914656E-4	0	0	2.597714972940469	32.72764924510595	HSP90AB1;RND3;ACTG1;SSFA2;TMSB4X;PIM1;PIM3;SLC38A2;IER2;SOX4;S100A11;DUSP4;MARCKSL1;TPM4;TNFRSF12A;ITGA3;H3F3A;HMGA1;DYNLL1;DKK1;KLF3;FOSL2;VAMP8;GPRC5A;DDIT3;VDAC1;SLC25A5
PPAR 26484153 Chip-Seq NCI-H1993 Human	22/1185	3.942348464034035E-6	1.695209839534635E-4	0	0	2.9704641350210967	36.96366542015397	DUSP4;CDV3;AHCY;HSPA5;PDCD6;LIF;ARHGAP29;DKK1;RND3;AREG;F3;EEF1A1;TRAF4;NDUFS5;COTL1;PIM1;AP1S1;HDGF;C19ORF33;PHLDA1;SLC38A2;HBEGF
FOXA1 26769127 Chip-Seq PDAC-Cell line Human	30/2000	4.266617115969393E-6	1.7199800248751616E-4	0	0	2.4	29.675254294125413	ERRFI1;AHCY;SSFA2;ABL2;RICTOR;PHLDA1;SLC38A2;CTNNAL1;IER2;S100A11;CDV3;TNFRSF12A;METRN;H3F3A;PAWR;DKK1;ELL2;F3;CCNB1IP1;FOSL1;PTP4A1;GPRC5A;TRAF4;NDUFS5;POLR1D;TXNIP;SNRPE;HDGF;GAPDH;AVPI1
ELK3 25401928 ChIP-Seq HUVEC Human	29/2000	1.2375449450743224E-5	4.6953911151349293E-4	0	0	2.32	26.215526559727603	PPP1R15A;YBX1;BACH1;RND3;ACTG1;HERPUD1;AKAP12;CFL1;PIM1;PIM3;HNRNPA1;PHLDA1;SLC38A2;IER2;SOX4;MARCKSL1;TPM4;TNFRSF12A;NEAT1;FOSL2;EEF1A1;FOSL1;PTP4A1;GPRC5A;TRAF4;NDUFS5;MAFF;GAPDH;FTL
TCF7 22412390 ChIP-Seq EML Mouse	29/2000	1.2375449450743224E-5	4.4345360531829886E-4	0	0	2.32	26.215526559727603	PPP1R15A;HSP90AB1;BACH1;ACTG1;HERPUD1;MYC;CFL1;PIM1;PIM3;PHLDA1;SLC38A2;IER2;SOX4;S100A11;DUSP4;MARCKSL1;HSPA5;HMGA1;NEAT1;EEF2;KLF3;EEF1A1;VAMP8;CLDN4;MAFF;TXNIP;HDGF;SLC25A5;GAPDH
RACK7 27058665 Chip-Seq MCF-7 Human	29/2000	1.2375449450743224E-5	4.2011394188049364E-4	0	0	2.32	26.215526559727603	ERRFI1;YBX1;ACTG1;CFL1;COTL1;AP1S1;PIM3;HNRNPA1;SLC38A2;S100A11;DUSP4;MARCKSL1;TPM4;TNFRSF12A;METRN;ARHGAP29;PAWR;NME4;NEAT1;COX6C;FOSL2;FOSL1;PTP4A1;TRAF4;DDIT3;TXNIP;HDGF;FTL;AVPI1
MITF 21258399 ChIP-Seq MELANOMA Human	57/5578	1.7145276152877827E-5	5.529351559303098E-4	0	0	1.6349946217282179	17.942084139710342	EIF4A2;ERRFI1;PDCD6;CITED4;YBX1;BACH1;HERPUD1;AKAP12;TMSB4X;COTL1;PIM1;AP1S1;PIM3;SNRNP35;PHLDA1;IER2;DUSP4;CDV3;IMP3;CNPY2;NME4;MIF;NEAT1;DYNLL1;CCNB1IP1;RBX1;PTP4A1;GPRC5A;TRAF4;NDUFS6;DDIT3;TXNIP;LUC7L3;SNRPE;VDAC1;GAPDH;FTL;HBEGF;AVPI1;PPP1R15A;AHCY;ASAP1;TXN;ABL2;POLR2F;RICTOR;SLC38A2;CTNNAL1;MARCKSL1;HMGA1;EEF2;KLF3;FOSL2;STK17A;MAFF;HDGF;P4HB
NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse	14/588	1.888486662770566E-5	5.800351892795311E-4	0	0	3.8095238095238093	41.43676062539038	PPP1R15A;ITGA3;HMGA1;PAWR;ASAP1;EEF2;F3;FOSL2;MYC;DDIT3;PIM1;RICTOR;HNRNPA1;GAPDH
MYC 19079543 ChIP-ChIP MESCs Mouse	23/1458	3.2402965418820596E-5	9.499960315972403E-4	0	0	2.5240054869684494	26.09130251016564	CDV3;H3F3A;HMGA1;DDX21;NME4;MIF;YBX1;EEF2;COX6C;RND3;ACTG1;EEF1B2;EEF1A1;AKAP12;PTP4A1;PIM1;TXNIP;PIM3;VDAC1;HDGF;P4HB;SLC38A2;IER2
JUND 26020271 ChIP-Seq SMOOTH MUSCLE Human	28/2000	3.4386074952332724E-5	9.643051454023742E-4	0	0	2.2399999999999998	23.022403876494423	HSP90AB1;AHCY;CITED4;DDX21;TAF1D;MYC;COTL1;ABL2;PIM3;C19ORF33;PHLDA1;CTNNAL1;S100A11;TPM4;HSPA5;TNFRSF12A;DYNLT1;ITGA3;PAWR;MIF;NEAT1;DKK1;F3;PTP4A1;GPRC5A;MAFF;PFDN4;FTL
RUNX2 24764292 ChIP-Seq MC3T3 Mouse	28/2000	3.4386074952332724E-5	9.241257643439419E-4	0	0	2.2399999999999998	23.022403876494423	HSP90AB1;ASAP1;RND3;ACTG1;PPM1G;MYC;TMSB4X;PIM1;PIM3;SNRNP35;PHLDA1;SLC38A2;IER2;S100A11;TPM4;TNFRSF12A;LIF;NME4;NEAT1;KLF3;RBX1;FOSL2;EEF1A1;FOSL1;GPRC5A;TRAF4;P4HB;AVPI1
JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human	28/2000	3.4386074952332724E-5	8.871607337701843E-4	0	0	2.2399999999999998	23.022403876494423	PPP1R15A;HSP90AB1;AHCY;CITED4;MYC;COTL1;ABL2;PIM3;C19ORF33;PHLDA1;CTNNAL1;S100A11;TPM4;HSPA5;TNFRSF12A;DYNLT1;HMGA1;PAWR;MIF;NEAT1;DKK1;F3;PTP4A1;CLDN4;GPRC5A;MAFF;SNRPE;FTL
SOX2 27498859 Chip-Seq STOMACH Mouse	28/2000	3.4386074952332724E-5	8.530391670867157E-4	0	0	2.2399999999999998	23.022403876494423	ERRFI1;UQCRB;CITED4;RND3;AKAP12;PIM1;POLR2F;PIM3;IER2;S100A11;DUSP4;HSPA5;ITGA3;ARHGAP29;PAWR;CNPY2;NEAT1;DYNLL1;F3;KLF3;FOSL2;PTP4A1;TRAF4;VDAC1;HDGF;P4HB;SLC25A5;HSPA1A
CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat	31/2393	5.3012597979425484E-5	0.0012664120628418309	0	0	2.0727120768909315	20.405810963504614	EIF4A2;PPP1R15A;HSP90AB1;NDUFB3;HERPUD1;PPM1G;CFL1;PIM1;PIM3;IER2;SOX4;CDV3;HSPA5;MIF;EEF2;HSPE1;ELL2;RBX1;FOSL2;EEF1A1;PTP4A1;TRAF4;EEF1D;DDIT3;MAFF;TXNIP;VDAC1;P4HB;SLC25A5;GAPDH;FERMT2
TTF2 22483619 ChIP-Seq HELA Human	23/1512	5.692047828620291E-5	0.0013112038748071743	0	0	2.4338624338624335	23.7882194482504	EIF4A2;ERRFI1;NDUFA13;HSP90AB1;UQCRB;HSPA5;H3F3A;DDX21;NEAT1;EEF2;HSPE1;RND3;ACTG1;EEF1A1;FOSL1;EEF1D;MYC;TXNIP;HDGF;P4HB;PHLDA1;GAPDH;AVPI1
MYC 18358816 ChIP-ChIP MESCs Mouse	39/3413	7.338248544501235E-5	0.0016321276935183783	0	0	1.8283035452680925	17.405130289157228	EIF4A2;NDUFA13;HSP90AB1;AHCY;PDCD6;DDX21;YBX1;BACH1;HERPUD1;EEF1B2;AKAP12;CFL1;PIM1;POLR2F;SEC61B;IER2;CDV3;TRAPPC1;IMP3;HMGA1;PAWR;NME4;MIF;EEF2;HSPE1;PTP4A1;MRPL51;TRAF4;EEF1D;NDUFS6;DDIT3;NDUFS5;VDAC1;HDGF;P4HB;SLC25A5;GAPDH;AVPI1;HSPA1A
EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse	20/1239	8.336259247131397E-5	0.0017922957381332504	0	0	2.5827280064568194	24.25778435703358	TPM4;UQCRB;H3F3A;NDUFB3;HMGA1;NME4;MIF;YBX1;EEF2;KLF3;ACTG1;EEF1A1;MYC;CFL1;PIM1;AP1S1;POLR2F;SNRPE;VDAC1;SLC25A5
OCT4 18692474 ChIP-Seq MEFs Mouse	27/1992	8.54495489531913E-5	0.0017779019056389802	0	0	2.1686746987951806	20.315243335456	EIF4A2;NDUFA13;PDCD6;YBX1;BACH1;EEF1B2;MYC;CFL1;PIM1;ABL2;IER2;SOX4;HSPA5;LIF;MIF;EEF2;COX6C;DKK1;KLF3;EEF1A1;CLDN4;MRPL51;DDIT3;TXNIP;VDAC1;GAPDH;HBEGF
KLF6 26769127 Chip-Seq PDAC-Cell line Human	27/2000	9.145071866034246E-5	0.0018433035479975277	0	0	2.1599999999999997	20.087374301249653	ERRFI1;CITED4;RND3;TAF1D;MYC;CFL1;ABL2;PIM3;PHLDA1;SLC38A2;IER2;S100A11;DUSP4;ITGA3;LIF;DKK1;ELL2;F3;FOSL2;FOSL1;PTP4A1;NDUFS5;MAFF;TXNIP;SNRPE;HDGF;FERMT2
RARG 19884340 ChIP-ChIP MEFs Mouse	10/390	1.7173535367417085E-4	0.0033566455490860667	0	0	4.102564102564102	35.56740885130005	DUSP4;GPRC5A;TNFRSF12A;METRN;DDIT3;HMGA1;SNRNP35;RND3;EREG;AVPI1
ZNF217 24962896 ChIP-Seq MCF-7 Human	22/1522	1.7693500758957114E-4	0.0033565611733903937	0	0	2.3127463863337714	19.98149989958108	ERRFI1;CDV3;CITED4;LIF;PAWR;ASAP1;NEAT1;DKK1;ELL2;RND3;AREG;KLF3;FOSL2;CLDN4;MYC;SNRPE;VDAC1;SEC61B;PHLDA1;SLC38A2;SOX4;S100A11
HIF1A 21447827 ChIP-Seq MCF-7 Human	9/321	1.8936542436180846E-4	0.003489734248953327	0	0	4.485981308411215	38.45307789490164	AKAP12;ERRFI1;VDAC1;MIF;DYNLL1;PFDN4;SLC38A2;ELL2;GAPDH
