"","gene","distance","Z","FC","p.value","p.adj"
"2803","Zdhhc17",0.00117948627593687,1.2936747738807,445.448494096028,7.05765275987704e-99,2.02484057680872e-95
"472","Chl1",0.000738149633467781,1.22951863954045,174.461871930013,7.84731383162133e-40,1.12569716914608e-36
"50","Abhd17b",0.000653348893196081,1.21300071861862,136.679074882044,1.41737147488026e-31,1.35547958714382e-28
"2019","Rchy1",0.000562651973582157,1.19287628415293,101.365788797112,7.64732283649228e-24,5.48504230447409e-21
"2415","Stmn2",0.000472220947783542,1.16942774446208,71.4006570357592,2.91575040812842e-17,1.67305758418409e-14
"2517","Tjp1",0.000417369019161022,1.15299681781924,55.776611733805,8.11917438835408e-14,3.88231855336464e-11
"1615","Nrbp2",0.000378260410243807,1.13995951676335,45.8135018906056,1.30063979148796e-11,5.33076508825567e-09
"1345","Ly6h",0.000375723156238874,1.13906947329474,45.2009575409572,1.77818123050188e-11,6.37700243788736e-09
"2310","Smarcd1",0.000345267242599249,1.12790972154802,38.1700267188002,6.48408189487562e-10,2.06698121737757e-07
"2043","Rhbdd2",0.000338862516180414,1.12544268499827,36.7670489912088,1.33121336810742e-09,3.81925115310019e-07
"1551","Ndfip1",0.000322595652069554,1.11896933816405,33.3218212643502,7.81013333559233e-09,2.03702477634676e-06
"1396","Mark2",0.000315530079416049,1.11605922824957,31.8781598967241,1.64152511230675e-08,3.92461295600672e-06
"1135","Icam5",0.000314172187041442,1.11549277673133,31.6043732156855,1.89003474354215e-08,4.17116129170956e-06
"852","Fam92a",0.000278862731983377,1.09987077393724,24.899616987649,6.03944223426471e-07,0.000123765426929325
"2036","Rgl1",0.000277213917255108,1.09909556933797,24.606042556583,7.03308529421375e-07,0.000134519478060662
"988","Gmcl1",0.000271734157150073,1.09648696212137,23.6428690607637,1.15974869876776e-06,0.000207957438547795
"612","Daam1",0.000260974625428987,1.09121432380363,21.807620304909,3.01400692245075e-06,0.000508657991794776
"920","Fxr1",0.000258775953295594,1.09011118578742,21.4417162984575,3.64748390073005e-06,0.000581368406177473
"1225","Kcnt2",0.000194288615626852,1.05294911579861,12.0866631514429,0.000507837805232292,0.0766835085900761
"760","Elavl3",0.00018995274608269,1.05003999896636,11.5532152257299,0.000676321988865771,0.0970183893027948
"1208","Kcnh7",0.000177579818848146,1.04137299979086,10.0971527981198,0.00148498580100415,0.202877345860996
"2371","Sptbn1",0.000172467789578214,1.03762130619432,9.52418243617096,0.0020278190530255,0.26444603923319
"2230","Shc2",0.000168159405829772,1.03437538286452,9.05428247522969,0.00262080234611392,0.326916605695689
"1775","Pi4ka",0.000157483952740739,1.02597441813013,7.94116691733323,0.00483226637919934,0.561733120670928
"165","Apoe",0.000157252908939167,1.02578660661553,7.91788312897785,0.00489485117350059,0.561733120670928
"1262","Klhl7",0.000155700210356639,1.02451751558661,7.76229439307668,0.00533481490184851,0.58867630590013
"375","Car11",0.00015440297301727,1.02344785493809,7.63348801260732,0.00572943942984297,0.592869096614161
"2679","Ube4a",0.00015422336162818,1.02329907222059,7.61573882156876,0.00578610481184961,0.592869096614161
"2195","Serinc5",0.000151568804336203,1.0210804917354,7.35582452458165,0.00668458476388135,0.661312885778468
"637","Ddx5",0.000147282754412116,1.01741822749768,6.94569176334776,0.00840213391156599,0.803524073076094
"2864","Zscan26",0.000145573802980588,1.01592933089897,6.78544237364995,0.00919042514682094,0.850559024071913
"1446","Mgea5",0.000143640927360856,1.0142249447342,6.60644938148632,0.0101610063354388,0.910997724261688
"918","Fut8",0.000142544354964865,1.01324816539208,6.50596552007765,0.0107513167943987,0.934712966155454
"2861","Zmynd8",0.000140996220837122,1.01185677655555,6.36541401108668,0.0116365941622174,0.981923195629459
"2247","Slc1a2",0.000139483245240749,1.01048271375033,6.2295374000834,0.0125636553714092,0.999999999999082
"427","Cdk14",0.000137437679190674,1.00860198564768,6.04816091097221,0.0139207888520928,0.999999999999082
"2473","Taok2",0.000137137465826549,1.00832370099575,6.02176704822611,0.0141304917136133,0.999999999999082
"1255","Klf7",0.000133429688633723,1.00483758698689,5.70054864856659,0.0169596107353854,0.999999999999082
"530","Comt",0.000132155548199474,1.00361807274372,5.59219764471706,0.0180406483009631,0.999999999999082
"1098","Hmbox1",0.000129861683531172,1.00139376263639,5.39975143710583,0.0201396195980284,0.999999999999082
"1733","Pde7a",0.000129595944612801,1.00113364271304,5.37767477971987,0.0203960443354307,0.999999999999082
"2356","Specc1",0.000128651350937428,1.00020485044521,5.29956731763377,0.0213307224150323,0.999999999999082
