"V1" "V2"
"S100A11" -1.11965134706815 -0.183807439824945
"ANXA5" -1.40966719492868 -0.393873085339168
"RPS18" -0.914025356576862 -0.705689277899344
"RPS12" -0.752377179080824 -0.413566739606127
"ANXA1" -0.955625990491284 -0.210065645514223
"LDHA" -1.22424722662441 0
"CFL1" -1.16006339144216 -0.62363238512035
"TPI1" -1.03882725832013 -0.551422319474836
"CD63" -1.47147385103011 -0.567833698030635
"MYL6" -1.25277337559429 -0.777899343544858
"LGALS3" -1.28843106180666 -0.223194748358862
"B2M" -1.36450079239303 -0.682713347921225
"ANXA2" -1.2337559429477 -0.390590809628009
"RPLP1" -0.842709984152139 -0.557986870897155
"ALDOA" -1.5 -0.154266958424508
"RPL13" -1.01980982567353 -0.833698030634573
"UBB" -1.07210776545166 -0.390590809628009
"RPL11" -0.16877971473851 -1.17177242888403
"RPS8" -0.556259904912837 -0.919037199124726
"RPL15" -0.140253565768621 -0.515317286652079
"RPS3A" -0.539619651347068 -0.439824945295405
"RPS14" -0.282884310618067 -1.37855579868709
"RPL10A" -0.993660855784469 -1.03719912472648
"RPS4X" -0.344690966719493 -0.38074398249453
"RPL10" -0.872424722662441 -1.37855579868709
"RPL8" -0.765451664025357 -1.2144420131291
"RPS6" -0.323296354992076 -1.07002188183807
"RPL12" -0.594294770206022 -0.213347921225383
"RPS3" -0.102218700475436 -0.932166301969366
"RPL6" -0.972266244057052 -1.21772428884026
"RPLP0" -0.446909667194929 -1.2308533916849
"RPS2" -0.59904912836767 -1.14223194748359
"TNFRSF12A" -0.375594294770206 -0.164113785557987
"H3F3B" -0.758320126782884 -0.764770240700219
"OAZ1" -0.692947702060222 -1.41137855579869
"RPL13A" -0.86053882725832 -0.915754923413567
"RPS9" -0.656101426307448 -0.590809628008753
"RPL3" -0.698890649762282 -1.0109409190372
"MT-ND1" -0.292393026941363 -0.617067833698031
"MT-CO1" -0.527733755942948 -0.731947483588621
"MT-CO3" -0.465927099841521 -1.5
"MT-ND4" -0.337559429477021 -0.86980306345733
