"","gene","distance","Z","FC","p.value","p.adj"
"3594","RPS10",0.00658800925750002,2.06136795804948,1234.50233015211,1.93672552330038e-270,2.17804152350361e-266
"3606","RPL10A",0.00591549806634807,2.03401900850742,995.327826669962,1.86135985160103e-218,1.04664264455526e-214
"6124","RPS3",0.00552764649062321,2.01689434281054,869.088561778899,5.14904192870109e-191,1.93020418433908e-187
"8355","RPS2",0.004963187974371,1.98985104963229,700.65618517583,2.15284355564172e-154,6.0527196566867e-151
"9193","RPL27",0.00467643528112618,1.97499190228118,622.032919465385,2.70150472996199e-137,6.0762244386305e-134
"5786","RPS13",0.00443023198532429,1.96153860242224,558.259920023791,2.00976824600935e-123,3.76697561577018e-120
"9049","RPL23A",0.00434437208319587,1.9566822695566,536.830943418211,9.22269415732888e-119,1.48169169276172e-115
"3576","RPS18",0.00423612008077405,1.95043002777227,510.411014180128,5.16166503856926e-113,7.25601062796874e-110
"5050","RPL30",0.00397826557271547,1.93491442575958,450.164305023233,6.64290859098015e-100,8.30068333490697e-97
"10500","RPS16",0.00396546719499327,1.93412008022222,447.272539592241,2.82937428595781e-99,3.18191432198816e-96
"10764","RPS9",0.00383428603673503,1.92583719595626,418.169668453145,6.10719264355705e-93,6.24377167904024e-90
"10839","RPS5",0.00383187869297543,1.92568273514518,417.644740415747,7.94510718433495e-93,7.44588961625257e-90
"10655","RPL18",0.00382303757044864,1.92511468935735,415.719737612859,2.08500564726333e-92,1.80369026993257e-89
"2104","RPL29",0.00361348965729702,1.91127893816145,371.3959336916,9.29517560957956e-83,7.46668177895227e-80
"1927","RPL32",0.0032968037317414,1.8888769243495,309.150318797057,3.34443553061633e-69,2.50743479848741e-66
"11031","RPL3",0.00327428651418748,1.88720846875537,304.941738011582,2.76160696010475e-68,1.94106449208363e-65
"10313","RPL18A",0.0032517955110104,1.885531223871,300.766849643284,2.24233946736565e-67,1.48337350882318e-64
"10678","RPL13A",0.00324076154113128,1.88470441096342,298.729192641575,6.23217182771417e-67,3.89372246524853e-64
"5752","RPL27A",0.00316604972630737,1.87903582770111,285.114284073995,5.76952862457018e-64,3.41495362694296e-61
"1161","RPS7",0.00297838265815643,1.86422641180527,252.315831733088,8.12038458188298e-57,4.5660922503928e-54
"1998","RPL14",0.00268241825534787,1.83899876172325,204.661665756707,2.00728512733691e-46,1.07494897819195e-43
"9128","RPL19",0.0025258609954297,1.8245821225291,181.468983093582,2.31573443132257e-41,1.18376133702971e-38
"10535","RPS19",0.0024119917247616,1.81356228940174,165.476047668319,7.19978120274469e-38,3.52037997417681e-35
