"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Parkinson disease","4/144",2.43917493192942e-06,0.000739070004374614,0,0,39.6825396825397,512.851218987863,"COX8A;UBB;COX4I1;ND3"
"BioPlanet_2019.1","Parkinson's disease","4/131",1.67230689599438e-06,0.00252518341295152,0,0,43.6205016357688,580.209662373355,"COX8A;UBB;COX4I1;ND3"
"KEGG_2019_Mouse.2","Oxidative phosphorylation","3/134",0.00010141301363285,0.0153640715653768,0,0,31.9829424307036,294.125025654613,"COX8A;COX4I1;ND3"
"KEGG_2019_Mouse.3","Alzheimer disease","3/175",0.000223274155612897,0.0225506897169026,0,0,24.4897959183673,205.888411695356,"COX8A;APP;COX4I1"
"BioPlanet_2019.2","Electron transport chain","3/105",4.90709900689209e-05,0.0370485975020353,0,0,40.8163265306122,404.989491077618,"COX8A;COX4I1;ND3"
"KEGG_2019_Mouse.4","Thermogenesis","3/231",0.000503875407463253,0.0381685621153414,0,0,18.5528756957328,140.875353021667,"COX8A;COX4I1;ND3"
"BioPlanet_2019.3","Oxidative phosphorylation","3/136",0.00010596976285507,0.0533381139703852,0,0,31.5126050420168,288.414603801356,"COX8A;COX4I1;ND3"
"BioPlanet_2019.4","Alzheimer's disease","3/169",0.000201462682804028,0.0760521627585205,0,0,25.3592561284869,215.804895791994,"COX8A;APP;COX4I1"
"KEGG_2019_Mouse.5","Cardiac muscle contraction","2/78",0.00132549742959788,0.0803251442336317,0,0,36.6300366300366,242.709431187964,"COX8A;COX4I1"
"Reactome_2016.21","TRIF-mediated TLR3/TLR4 signaling_Homo sapiens_R-HSA-937061","2/97",0.00203957484163008,0.148597595604477,0,0,29.4550810014728,182.47463634204,"APP;UBB"
"Reactome_2016.20","Toll Like Receptor 3 (TLR3) Cascade_Homo sapiens_R-HSA-168164","2/97",0.00203957484163008,0.156027475384701,0,0,29.4550810014728,182.47463634204,"APP;UBB"
"Reactome_2016.18","Toll Like Receptor 2 (TLR2) Cascade_Homo sapiens_R-HSA-181438","2/92",0.00183735657748435,0.15617530908617,0,0,31.055900621118,195.63439077619,"APP;UBB"
"Reactome_2016.19","MyD88-independent TLR3/TLR4 cascade_Homo sapiens_R-HSA-166166","2/97",0.00203957484163008,0.16423944777337,0,0,29.4550810014728,182.47463634204,"APP;UBB"
"Reactome_2016.17","Toll Like Receptor TLR6:TLR2 Cascade_Homo sapiens_R-HSA-168188","2/92",0.00183735657748435,0.165362091973592,0,0,31.055900621118,195.63439077619,"APP;UBB"
"Reactome_2016.25","Activated TLR4 signalling_Homo sapiens_R-HSA-166054","2/112",0.00270666984164533,0.165648194308694,0,0,25.5102040816327,150.817251032032,"APP;UBB"
"Reactome_2016.22","Platelet degranulation_Homo sapiens_R-HSA-114608","2/105",0.00238413763492131,0.165805935519528,0,0,27.2108843537415,164.324293841537,"APP;PSAP"
"Reactome_2016.24","Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005","2/110",0.00261252484135192,0.166548458636185,0,0,25.974025974026,154.478913067142,"APP;PSAP"
"Reactome_2016.23","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins._Homo sapiens_R-HSA-163200","2/109",0.00256604922499144,0.170698057140735,0,0,26.2123197903014,156.366653457978,"COX8A;COX4I1"
"Reactome_2016.16","Toll Like Receptor TLR1:TLR2 Cascade_Homo sapiens_R-HSA-168179","2/92",0.00183735657748435,0.175697222721941,0,0,31.055900621118,195.63439077619,"APP;UBB"
"Reactome_2016.14","Respiratory electron transport_Homo sapiens_R-HSA-611105","2/88",0.00168290740365374,0.183917737685016,0,0,32.4675324675325,207.377674802347,"COX8A;COX4I1"
"Reactome_2016.15","MyD88:Mal cascade initiated on plasma membrane_Homo sapiens_R-HSA-166058","2/92",0.00183735657748435,0.187410370903404,0,0,31.055900621118,195.63439077619,"APP;UBB"
"Reactome_2016.26","Toll Like Receptor 4 (TLR4) Cascade_Homo sapiens_R-HSA-166016","2/122",0.0032011408361539,0.188374826127518,0,0,23.4192037470726,134.525714787199,"APP;UBB"
"Reactome_2016.13","Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138","2/88",0.00168290740365374,0.198065255968478,0,0,32.4675324675325,207.377674802347,"APP;UBB"
"Reactome_2016.12","Transcriptional Regulation by TP53_Homo sapiens_R-HSA-3700989","3/348",0.00164853327386544,0.210187992417843,0,0,12.3152709359606,78.9146466912284,"COX8A;UBB;COX4I1"
"Reactome_2016.11","Toll Like Receptor 7/8 (TLR7/8) Cascade_Homo sapiens_R-HSA-168181","2/85",0.00157136499382216,0.218562585504355,0,0,33.6134453781513,217.00203746334,"APP;UBB"
"Reactome_2016.27","Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898","2/140",0.0041896761463583,0.23741498162697,0,0,20.4081632653061,111.737384491303,"APP;UBB"
"Reactome_2016.10","MyD88 dependent cascade initiated on endosome_Homo sapiens_R-HSA-975155","2/85",0.00157136499382216,0.24041884405479,0,0,33.6134453781513,217.00203746334,"APP;UBB"
"KEGG_2019_Mouse.6","Non-alcoholic fatty liver disease (NAFLD)","2/151",0.00485510126500317,0.24518261388266,0,0,18.9214758751183,100.808426103638,"COX8A;COX4I1"
"Reactome_2016.9","TP53 Regulates Metabolic Genes_Homo sapiens_R-HSA-5628897","2/84",0.00153500489684187,0.260950832463118,0,0,34.0136054421769,220.381690742281,"COX8A;COX4I1"
"Reactome_2016.28","The citric acid (TCA) cycle and respiratory electron transport_Homo sapiens_R-HSA-1428517","2/153",0.0049810202706738,0.272177179076104,0,0,18.6741363211951,99.012521667601,"COX8A;COX4I1"
"BioPlanet_2019.8","Response to elevated platelet cytosolic calcium","2/83",0.00149905600200145,0.282946820377773,0,0,34.4234079173838,223.852657521016,"APP;PSAP"
"Reactome_2016.71","Signaling by EGFR in Cancer_Homo sapiens_R-HSA-1643713","1/19",0.0132223341712321,0.284931989887114,0,0,75.187969924812,325.251721542168,"UBB"
"Reactome_2016.30","Formyl peptide receptors bind formyl peptides and many other ligands_Homo sapiens_R-HSA-444473","1/8",0.0055872022837974,0.284947316473667,0,0,178.571428571429,926.299393393548,"APP"
"Reactome_2016.8","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation_Homo sapiens_R-HSA-975138","2/83",0.00149905600200145,0.286694460382777,0,0,34.4234079173838,223.852657521016,"APP;UBB"
"Reactome_2016.70","Signaling by Ligand-Responsive EGFR Variants in Cancer_Homo sapiens_R-HSA-5637815","1/19",0.0132223341712321,0.289002446885501,0,0,75.187969924812,325.251721542168,"UBB"
"Reactome_2016.59","MAP3K8 (TPL2)-dependent MAPK1/3 activation_Homo sapiens_R-HSA-5684264","1/16",0.011145440218903,0.289025822625791,0,0,89.2857142857143,401.493286937121,"UBB"
"Reactome_2016.62","Inflammasomes_Homo sapiens_R-HSA-622312","1/17",0.0118381886593293,0.292135945947965,0,0,84.0336134453782,372.808793788538,"APP"
"KEGG_2019_Mouse.8","Huntington disease","2/192",0.00773316305808705,0.292893550825047,0,0,14.8809523809524,72.3547218388572,"COX8A;COX4I1"
"Reactome_2016.69","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants_Homo sapiens_R-HSA-1236382","1/19",0.0132223341712321,0.293190888144711,0,0,75.187969924812,325.251721542168,"UBB"
"Reactome_2016.58","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)_Homo sapiens_R-HSA-2173791","1/16",0.011145440218903,0.294009026464166,0,0,89.2857142857143,401.493286937121,"UBB"
"Reactome_2016.29","Downregulation of ERBB4 signaling_Homo sapiens_R-HSA-1253288","1/8",0.0055872022837974,0.294773086007242,0,0,178.571428571429,926.299393393548,"UBB"
"Reactome_2016.36","Glycogen storage diseases_Homo sapiens_R-HSA-3229121","1/10",0.00697947368021334,0.296627631409067,0,0,142.857142857143,709.254538433111,"UBB"
"Reactome_2016.61","Translesion synthesis by POLI_Homo sapiens_R-HSA-5656121","1/17",0.0118381886593293,0.296925059815964,0,0,84.0336134453782,372.808793788538,"UBB"
"Reactome_2016.68","Translesion Synthesis by POLH_Homo sapiens_R-HSA-110320","1/19",0.0132223341712321,0.297502518852722,0,0,75.187969924812,325.251721542168,"UBB"
"Reactome_2016.57","Spry regulation of FGF signaling_Homo sapiens_R-HSA-1295596","1/16",0.011145440218903,0.299167079560029,0,0,89.2857142857143,401.493286937121,"UBB"
"Reactome_2016.64","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon_Homo sapiens_R-HSA-936964","1/18",0.0125304865571367,0.299556944256549,0,0,79.3650793650794,347.586561861305,"UBB"
"Reactome_2016.46","Advanced glycosylation endproduct receptor signaling_Homo sapiens_R-HSA-879415","1/13",0.00906448902789392,0.301492787232124,0,0,109.89010989011,516.856132301462,"APP"
"Reactome_2016.53","Regulation of innate immune responses to cytosolic DNA_Homo sapiens_R-HSA-3134975","1/15",0.0104522409709381,0.301734503500666,0,0,95.2380952380952,434.375131103053,"UBB"
"Reactome_2016.60","Translesion synthesis by POLK_Homo sapiens_R-HSA-5655862","1/17",0.0118381886593293,0.301873810812897,0,0,84.0336134453782,372.808793788538,"UBB"
"Reactome_2016.67","Regulation of TP53 Activity through Methylation_Homo sapiens_R-HSA-6804760","1/19",0.0132223341712321,0.301942854955001,0,0,75.187969924812,325.251721542168,"UBB"
"Reactome_2016.74","RIP-mediated NFkB activation via ZBP1_Homo sapiens_R-HSA-1810476","1/21",0.0146046795939877,0.301961618632448,0,0,68.0272108843537,287.511107584171,"APP"
"Reactome_2016.63","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha_Homo sapiens_R-HSA-1234176","1/18",0.0125304865571367,0.304311816387605,0,0,79.3650793650794,347.586561861305,"UBB"
"Reactome_2016.56","TRAF6 mediated induction of TAK1 complex_Homo sapiens_R-HSA-937072","1/16",0.011145440218903,0.304509348837887,0,0,89.2857142857143,401.493286937121,"UBB"
"Reactome_2016.35","Myoclonic epilepsy of Lafora_Homo sapiens_R-HSA-3785653","1/10",0.00697947368021334,0.305102706592183,0,0,142.857142857143,709.254538433111,"UBB"
"Reactome_2016.73","NOTCH2 Activation and Transmission of Signal to the Nucleus_Homo sapiens_R-HSA-2979096","1/21",0.0146046795939877,0.306098079161659,0,0,68.0272108843537,287.511107584171,"UBB"
"Reactome_2016.39","Peptide ligand-binding receptors_Homo sapiens_R-HSA-375276","2/193",0.00781102097273379,0.306432361238018,0,0,14.8038490007402,71.8315262373373,"APP;PSAP"
"Reactome_2016.66","GABA synthesis, release, reuptake and degradation_Homo sapiens_R-HSA-888590","1/19",0.0132223341712321,0.306517746696744,0,0,75.187969924812,325.251721542168,"GAD1"
"Reactome_2016.90","TAK1 activates NFkB by phosphorylation and activation of IKKs complex_Homo sapiens_R-HSA-445989","1/26",0.0180526816175867,0.306895587498973,0,0,54.9450549450549,220.574782371803,"APP"
"Reactome_2016.52","Glycogen synthesis_Homo sapiens_R-HSA-3322077","1/15",0.0104522409709381,0.307537090106448,0,0,95.2380952380952,434.375131103053,"UBB"
"Reactome_2016.76","Mitophagy_Homo sapiens_R-HSA-5205647","1/22",0.0152951779293368,0.307916081998491,0,0,64.9350649350649,271.442705732262,"UBB"
"BioPlanet_2019.7","Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins","2/81",0.00142839386014191,0.308124961259184,0,0,35.2733686067019,231.083056108278,"COX8A;COX4I1"
"Reactome_2016.45","DEx/H-box helicases activate type I IFN and inflammatory cytokines production_Homo sapiens_R-HSA-3134963","1/13",0.00906448902789392,0.308192626948393,0,0,109.89010989011,516.856132301462,"APP"
"Reactome_2016.65","Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002","2/253",0.0131212873923695,0.308854918620389,0,0,11.2930547713156,48.9386716641635,"APP;PSAP"
"Reactome_2016.38","Synthesis And Processing Of GAG, GAGPOL Polyproteins_Homo sapiens_R-HSA-174495","1/11",0.00767493078754114,0.309016950129946,0,0,129.87012987013,632.441039410323,"UBB"
"Reactome_2016.79","APC/C:Cdc20 mediated degradation of Cyclin B_Homo sapiens_R-HSA-174048","1/23",0.015985227036696,0.309587308432215,0,0,62.111801242236,256.900018227471,"UBB"
"Reactome_2016.55","p75NTR signals via NF-kB_Homo sapiens_R-HSA-193639","1/16",0.011145440218903,0.310045882453121,0,0,89.2857142857143,401.493286937121,"UBB"
"Reactome_2016.31","PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1_Homo sapiens_R-HSA-8849469","1/9",0.00628356425809312,0.31012430048008,0,0,158.730158730159,804.733000393715,"UBB"
"Reactome_2016.89","ZBP1(DAI) mediated induction of type I IFNs_Homo sapiens_R-HSA-1606322","1/26",0.0180526816175867,0.310343852527052,0,0,54.9450549450549,220.574782371803,"APP"
"Reactome_2016.72","Regulation of FZD by ubiquitination_Homo sapiens_R-HSA-4641263","1/21",0.0146046795939877,0.310349441372238,0,0,68.0272108843537,287.511107584171,"UBB"
"Reactome_2016.75","Pink/Parkin Mediated Mitophagy_Homo sapiens_R-HSA-5205685","1/22",0.0152951779293368,0.312021629758471,0,0,64.9350649350649,271.442705732262,"UBB"
"Reactome_2016.78","Downregulation of SMAD2/3:SMAD4 transcriptional activity_Homo sapiens_R-HSA-2173795","1/23",0.015985227036696,0.313556376489038,0,0,62.111801242236,256.900018227471,"UBB"
"Reactome_2016.51","NRIF signals cell death from the nucleus_Homo sapiens_R-HSA-205043","1/15",0.0104522409709381,0.313567229128143,0,0,95.2380952380952,434.375131103053,"UBB"
"Reactome_2016.88","Attenuation phase_Homo sapiens_R-HSA-3371568","1/26",0.0180526816175867,0.313870487214859,0,0,54.9450549450549,220.574782371803,"UBB"
"Reactome_2016.34","Diseases of carbohydrate metabolism_Homo sapiens_R-HSA-5663084","1/10",0.00697947368021334,0.3140763156096,0,0,142.857142857143,709.254538433111,"UBB"
"Reactome_2016.81","IKK complex recruitment mediated by RIP1_Homo sapiens_R-HSA-937041","1/24",0.0166748271779813,0.314968957806314,0,0,59.5238095238095,243.681848296024,"UBB"
"Reactome_2016.91","EGFR downregulation_Homo sapiens_R-HSA-182971","1/27",0.0187409364492419,0.315094865575166,0,0,52.9100529100529,210.425663111629,"UBB"
"Reactome_2016.44","Downregulation of ERBB2:ERBB3 signaling_Homo sapiens_R-HSA-1358803","1/13",0.00906448902789392,0.315197004833584,0,0,109.89010989011,516.856132301462,"UBB"
"Reactome_2016.54","Translesion synthesis by REV1_Homo sapiens_R-HSA-110312","1/16",0.011145440218903,0.315787472868919,0,0,89.2857142857143,401.493286937121,"UBB"
"Reactome_2016.84","APC-Cdc20 mediated degradation of Nek2A_Homo sapiens_R-HSA-179409","1/25",0.0173639786153884,0.316272467637432,0,0,57.1428571428571,231.620423605385,"UBB"
"Reactome_2016.37","Membrane binding and targetting of GAG proteins_Homo sapiens_R-HSA-174490","1/11",0.00767493078754114,0.317368759592918,0,0,129.87012987013,632.441039410323,"UBB"
"Reactome_2016.87","Downregulation of TGF-beta receptor signaling_Homo sapiens_R-HSA-2173788","1/26",0.0180526816175867,0.317478193964455,0,0,54.9450549450549,220.574782371803,"UBB"
"Reactome_2016.77","Gap-filling DNA repair synthesis and ligation in GG-NER_Homo sapiens_R-HSA-5696397","1/23",0.015985227036696,0.317628537222662,0,0,62.111801242236,256.900018227471,"UBB"
"Reactome_2016.47","Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor_Homo sapiens_R-HSA-156988","1/14",0.00975859065995107,0.317673270419684,0,0,102.040816326531,472.408906997851,"UBB"
"Reactome_2016.80","TRAF6 mediated NF-kB activation_Homo sapiens_R-HSA-933542","1/24",0.0166748271779813,0.318906069778893,0,0,59.5238095238095,243.681848296024,"APP"
"Reactome_2016.93","Endosomal Sorting Complex Required For Transport (ESCRT)_Homo sapiens_R-HSA-917729","1/28",0.0194287433776429,0.319634165245093,0,0,51.0204081632653,201.071514899016,"UBB"
"Reactome_2016.50","Signaling by NOTCH1 HD Domain Mutants in Cancer_Homo sapiens_R-HSA-2691230","1/15",0.0104522409709381,0.319838573710706,0,0,95.2380952380952,434.375131103053,"UBB"
"Reactome_2016.7","MyD88 cascade initiated on plasma membrane_Homo sapiens_R-HSA-975871","2/82",0.00146351881966254,0.319883399154813,0,0,34.8432055749129,227.418522388934,"APP;UBB"
"Reactome_2016.83","Budding and maturation of HIV virion_Homo sapiens_R-HSA-162588","1/25",0.0173639786153884,0.320082979295714,0,0,57.1428571428571,231.620423605385,"UBB"
"Reactome_2016.40","The NLRP3 inflammasome_Homo sapiens_R-HSA-844456","1/12",0.00836993582094223,0.32015004515104,0,0,119.047619047619,569.417745507022,"APP"
"Reactome_2016.86","Cellular response to hypoxia_Homo sapiens_R-HSA-2262749","1/26",0.0180526816175867,0.321169800871019,0,0,54.9450549450549,220.574782371803,"UBB"
"Reactome_2016.43","Assembly Of The HIV Virion_Homo sapiens_R-HSA-175474","1/13",0.00906448902789392,0.322527167736691,0,0,109.89010989011,516.856132301462,"UBB"
"Reactome_2016.92","Recognition of DNA damage by PCNA-containing replication complex_Homo sapiens_R-HSA-110314","1/28",0.0194287433776429,0.323108449649931,0,0,51.0204081632653,201.071514899016,"UBB"
"Reactome_2016.105","TGF-beta receptor signaling activates SMADs_Homo sapiens_R-HSA-2173789","1/32",0.0221754973519546,0.32312867569991,0,0,44.6428571428571,170.034255470513,"UBB"
"Reactome_2016.33","IRAK2 mediated activation of TAK1 complex_Homo sapiens_R-HSA-937042","1/10",0.00697947368021334,0.323593779718982,0,0,142.857142857143,709.254538433111,"UBB"
"Reactome_2016.82","Generic Transcription Pathway_Homo sapiens_R-HSA-212436","3/812",0.0173580353049397,0.32387553678729,0,0,5.27797325826882,21.3953188766704,"COX8A;UBB;COX4I1"
"Reactome_2016.95","HSF1 activation_Homo sapiens_R-HSA-3371511","1/29",0.0201161026648451,0.323975127128557,0,0,49.2610837438424,192.425352563759,"UBB"
