"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Reactome_2016.1","Peptide chain elongation Homo sapiens R-HSA-156902","25/84",5.19281971335621e-56,7.945014161435e-53,0,0,192.012288786482,24442.682096899,"RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL13;RPL15;RPS12;RPL19;RPS9;RPS6;RPL13A;RPS3A;EEF1A1;RPS27;RPL27A;RPL28"
"Reactome_2016.2","Eukaryotic Translation Elongation Homo sapiens R-HSA-156842","25/89",2.82344165442572e-55,2.15993286563567e-52,0,0,181.225081551287,22762.6356522342,"RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL13;RPL15;RPS12;RPL19;RPS9;RPS6;RPL13A;RPS3A;EEF1A1;RPS27;RPL27A;RPL28"
"Reactome_2016.3","Viral mRNA Translation Homo sapiens R-HSA-192823","24/84",6.16023825722364e-53,3.14172151118406e-50,0,0,184.331797235023,22160.1648799569,"RPS9;RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS15A;RPS27;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12;RPL19"
"Reactome_2016.5","Eukaryotic Translation Termination Homo sapiens R-HSA-72764","24/87",1.6427861948689e-52,5.02692575629883e-50,0,0,177.97552836485,21221.4515926213,"RPS9;RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS15A;RPS27;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12;RPL19"
"Reactome_2016.4","Selenocysteine synthesis Homo sapiens R-HSA-2408557","24/87",1.6427861948689e-52,6.28365719537353e-50,0,0,177.97552836485,21221.4515926213,"RPS9;RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS15A;RPS27;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12;RPL19"
"Reactome_2016.6","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956","24/89",3.09099558680764e-52,7.88203874635948e-50,0,0,173.976078289235,20634.5948416609,"RPS9;RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS15A;RPS27;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12;RPL19"
"Reactome_2016.7","Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689","24/96",2.4956611101317e-51,5.45480214071642e-49,0,0,161.290322580645,18793.1106571922,"RPS9;RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS15A;RPS27;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12;RPL19"
"Reactome_2016.11","3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279","24/106",3.70456516573669e-50,5.1527133668883e-48,0,0,146.07425441266,16626.1261733924,"RPS9;RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS15A;RPS27;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12;RPL19"
"Reactome_2016.13","GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706","24/107",4.77428312109736e-50,5.61896398098382e-48,0,0,144.709074464878,16434.0323162493,"RPS9;RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS15A;RPS27;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12;RPL19"
"Reactome_2016.10","L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827","24/106",3.70456516573669e-50,5.66798470357713e-48,0,0,146.07425441266,16626.1261733924,"RPS9;RPL3;RPL10;RPL32;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS15A;RPS27;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12;RPL19"
