"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"BioPlanet_2019.1","Opioid signaling","5/80",9.93498400354e-08,0.000150018258453454,0,0,43.1034482758621,695.026658537138,"PPP3CA;GNAL;CAMK4;PPP1R1B;ADCY5"
"KEGG_2019_Mouse.1","cAMP signaling pathway","6/211",4.9811412485154e-07,0.000150928579830017,0,0,19.6110475567903,284.604084715956,"PDE10A;CAMK4;PPP1R1B;ATP2A2;ATP2B1;ADCY5"
"Reactome_2016.1","Opioid Signalling Homo sapiens R-HSA-111885","5/81",1.05780091321516e-07,0.00016184353972192,0,0,42.571306939123,683.776224265365,"PPP3CA;GNAL;CAMK4;PPP1R1B;ADCY5"
"KEGG_2019_Mouse.2","Amphetamine addiction","4/68",2.72197856651094e-06,0.000412379752826408,0,0,40.5679513184584,519.843875372632,"PPP3CA;CAMK4;PPP1R1B;ADCY5"
"KEGG_2019_Mouse.3","Calcium signaling pathway","5/189",7.05934314478245e-06,0.000712993657623028,0,0,18.2448458310527,216.40500911823,"PPP3CA;GNAL;CAMK4;ATP2A2;ATP2B1"
"KEGG_2019_Mouse.4","Pancreatic secretion","4/105",1.53968853098752e-05,0.00116631406222305,0,0,26.2725779967159,291.135509270437,"ATP2A2;CCK;ATP2B1;ADCY5"
"KEGG_2019_Mouse.5","Dopaminergic synapse","4/135",4.13622932159092e-05,0.0025065549688841,0,0,20.4342273307791,206.245535306099,"PPP3CA;GNAL;PPP1R1B;ADCY5"
"KEGG_2019_Mouse.6","Adrenergic signaling in cardiomyocytes","4/148",5.92096979939592e-05,0.00299008974869494,0,0,18.6393289841566,181.44315399861,"ATP2A2;ATP2B1;SCN4B;ADCY5"
"BioPlanet_2019.2","Calcium signaling pathway","5/178",5.27111476365499e-06,0.00397969164655951,0,0,19.3723363037582,235.437208207575,"PPP3CA;GNAL;CAMK4;ATP2A2;ATP2B1"
"KEGG_2019_Mouse.7","cGMP-PKG signaling pathway","4/172",0.000106053963002205,0.00459062154138115,0,0,16.0384923817161,146.777265572823,"PPP3CA;ATP2A2;ATP2B1;ADCY5"
"KEGG_2019_Mouse.8","Aldosterone synthesis and secretion","3/102",0.000427325072076029,0.0161849371048796,0,0,20.2839756592292,157.362384207992,"CAMK4;ATP2B1;ADCY5"
"BioPlanet_2019.3","G-protein-mediated events","3/44",3.48761695119704e-05,0.0175543386543584,0,0,47.0219435736677,482.619441253523,"GNAL;CAMK4;ADCY5"
"BioPlanet_2019.5","Calcium regulation in the cardiac cell","4/149",6.07822377983511e-05,0.018356235815102,0,0,18.5142328164777,179.740114846531,"CAMK4;ATP2A2;ATP2B1;ADCY5"
"BioPlanet_2019.4","Signaling by GPCR","8/977",5.3986885510703e-05,0.0203800492802904,0,0,5.64712526029718,55.4929977160676,"PPP3CA;PDE10A;GNAL;DGKB;CAMK4;PPP1R1B;CCK;ADCY5"
"BioPlanet_2019.6","Reduction of cytosolic calcium levels","2/10",9.06952185550059e-05,0.0228249633363432,0,0,137.931034482759,1283.86288543133,"ATP2A2;ATP2B1"
"Reactome_2016.2","G-protein mediated events Homo sapiens R-HSA-112040","3/45",3.73309484121466e-05,0.0285581755352921,0,0,45.9770114942529,468.767257894038,"GNAL;CAMK4;ADCY5"
"BioPlanet_2019.7","NFAT involvement in hypertrophy of the heart","3/69",0.000134653667724065,0.0290467197519054,0,0,29.9850074962519,267.250509749078,"PPP3CA;CAMK4;ATP2A2"
"BioPlanet_2019.8","Adenylate cyclase inhibitory pathway","2/13",0.000156781948116332,0.0295925927069577,0,0,106.100795755968,929.512422650894,"GNAL;ADCY5"
"BioPlanet_2019.10","LPA4-mediated signaling events","2/16",0.000240553683932347,0.0363236062737844,0,0,86.2068965517241,718.324765113274,"GNAL;ADCY5"
"BioPlanet_2019.9","Platelet homeostasis","3/82",0.000224738836818022,0.0377061826216903,0,0,25.2312867956266,211.957230155838,"PDE10A;ATP2A2;ATP2B1"
"BioPlanet_2019.13","G-protein signaling pathways","3/95",0.000346839968247705,0.0402867963118488,0,0,21.7785843920145,173.502295557228,"PPP3CA;GNAL;ADCY5"
"BioPlanet_2019.12","Mitochondrial gene expression","2/19",0.00034186617259173,0.043018160051126,0,0,72.5952813067151,579.389561211907,"PPP3CA;CAMK4"
"BioPlanet_2019.14","Pancreatic secretion","3/101",0.000415160402165322,0.044778014804974,0,0,20.4848071013998,159.512030068311,"ATP2A2;ATP2B1;ADCY5"
"Reactome_2016.3","Adenylate cyclase activating pathway Homo sapiens R-HSA-170660","2/10",9.06952185550059e-05,0.046254561463053,0,0,137.931034482759,1283.86288543133,"GNAL;ADCY5"
"Reactome_2016.6","Adenylate cyclase inhibitory pathway Homo sapiens R-HSA-170670","2/14",0.000182748000187653,0.0466007400478515,0,0,98.5221674876847,848.019941111318,"GNAL;ADCY5"
"BioPlanet_2019.11","Platelet calcium homeostasis","2/19",0.00034186617259173,0.0469289018739556,0,0,72.5952813067151,579.389561211907,"ATP2A2;ATP2B1"
"KEGG_2019_Mouse.9","Oxytocin signaling pathway","3/154",0.00141233004690556,0.0475484449124872,0,0,13.4348410210479,88.1663379707697,"PPP3CA;CAMK4;ADCY5"
