"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.3","Gastric acid secretion","4/74",1.73438999189535e-06,0.000175173389181431,0,0,45.0450450450451,597.515981805102,"CAMK2B;PRKCA;ATP1B1;CALM2"
"KEGG_2019_Mouse.2","Amphetamine addiction","4/68",1.23346673467388e-06,0.000186870210303093,0,0,49.0196078431373,666.945189685409,"CAMK2B;GRIA2;PRKCA;CALM2"
"KEGG_2019_Mouse.1","Long-term potentiation","4/67",1.16183910134849e-06,0.000352037247708592,0,0,49.7512437810945,679.87593911044,"CAMK2B;GRIA2;PRKCA;CALM2"
"KEGG_2019_Mouse.5","Aldosterone synthesis and secretion","4/102",6.26360308300384e-06,0.000379574346830033,0,0,32.6797385620915,391.527940067506,"CAMK2B;PRKCA;ATP1B1;CALM2"
"KEGG_2019_Mouse.4","Circadian entrainment","4/99",5.56179352200812e-06,0.000421305859292115,0,0,33.6700336700337,407.393600195874,"CAMK2B;GRIA2;PRKCA;CALM2"
"BioPlanet_2019.4","Nitric oxide signaling pathway","3/22",2.30314678199694e-06,0.000869437910203844,0,0,113.636363636364,1475.14025045795,"CAMK2B;PRKCA;CALM2"
"BioPlanet_2019.3","Gastric acid secretion","4/74",1.73438999189535e-06,0.000872976295920662,0,0,45.0450450450451,597.515981805102,"CAMK2B;PRKCA;ATP1B1;CALM2"
"KEGG_2019_Mouse.6","Dopaminergic synapse","4/135",1.89956596020216e-05,0.000959280809902092,0,0,24.6913580246914,268.427161651692,"CAMK2B;GRIA2;PRKCA;CALM2"
"BioPlanet_2019.2","Calcineurin in effects in keratinocyte differentiation","3/19",1.45260832701182e-06,0.00109671928689392,0,0,131.578947368421,1768.7039172767,"CAMK2B;PRKCA;CALM2"
"KEGG_2019_Mouse.7","Adrenergic signaling in cardiomyocytes","4/148",2.72626207476364e-05,0.00118008201236198,0,0,22.5225225225225,236.71157651739,"CAMK2B;PRKCA;ATP1B1;CALM2"
"BioPlanet_2019.5","Glutamate binding and activation of AMPA receptors and synaptic plasticity","3/30",6.03385830919973e-06,0.00182222520937832,0,0,83.3333333333333,1001.51032496429,"CAMK2B;GRIA2;PRKCA"
"BioPlanet_2019.1","Long-term potentiation","4/70",1.38650768576886e-06,0.00209362660551097,0,0,47.6190476190476,642.320115648472,"CAMK2B;GRIA2;PRKCA;CALM2"
"BioPlanet_2019.6","MEF2D role in T cell apoptosis","3/35",9.68881533984934e-06,0.00243835186052875,0,0,71.4285714285714,824.609885391783,"CAMK2B;PRKCA;CALM2"
"BioPlanet_2019.7","Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling","3/39",1.34863075744206e-05,0.00290918920533931,0,0,64.1025641025641,718.835618010891,"CAMK2B;PRKCA;CALM2"
"BioPlanet_2019.8","Bioactive peptide-induced signaling pathway","3/41",1.57060948565381e-05,0.00296452540417156,0,0,60.9756097560976,674.479372775623,"CAMK2B;PRKCA;CALM2"
"KEGG_2019_Mouse.11","Salivary secretion","3/78",0.000108871632609593,0.00299891860733698,0,0,32.0512820512821,292.478879879131,"PRKCA;ATP1B1;CALM2"
"KEGG_2019_Mouse.10","Cardiac muscle contraction","3/78",0.000108871632609593,0.00329881046807067,0,0,32.0512820512821,292.478879879131,"COX4I1;ATP1B1;COX7C"
