"","DB","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"93","BioPlanet","Interferon signaling","9/168",1.45457399306563e-12,2.1964067295291e-09,0,0,36.9458128078818,1007.00645491799,"Ifitm3, Egr1, Socs1, Ifi6, Hla-b, Isg15, Hla-a, Gbp1, B2m"
"94","BioPlanet","Interferon alpha/beta signaling","7/64",3.61618839107718e-12,2.73022223526327e-09,0,0,75.4310344827586,1987.27590547601,"Ifitm3, Egr1, Socs1, Ifi6, Hla-b, Isg15, Hla-a"
"408","Reactome","Interferon Signaling Homo sapiens R-HSA-913531","9/196",5.86105217476401e-12,4.48370491369446e-09,0,0,31.667839549613,819.01557983127,"Ifitm3, Egr1, Socs1, Ifi6, Hla-b, Isg15, Hla-a, Gbp1, B2m"
"407","Reactome","Interferon alpha/beta signaling Homo sapiens R-HSA-909733","7/68",5.62159354552473e-12,8.60103812465284e-09,0,0,70.9939148073022,1839.05518866458,"Ifitm3, Egr1, Socs1, Ifi6, Hla-b, Isg15, Hla-a"
"95","BioPlanet","Immune system signaling by interferons, interleukins, prolactin, and growth hormones","9/280",1.42404780301855e-10,7.16770727519339e-08,0,0,22.1674876847291,502.588985053713,"Ifitm3, Egr1, Socs1, Ifi6, Hla-b, Isg15, Hla-a, Gbp1, B2m"
"98","BioPlanet","Oncostatin M","8/311",1.00946813429908e-08,2.54049480465269e-06,0,0,17.7403259784899,326.621703541508,"Col1a1, Jun, Socs1, Fn1, Sod2, Junb, B2m, Ier3"
"96","BioPlanet","T cell receptor regulation of apoptosis","10/603",6.88149203615777e-09,2.59776324364956e-06,0,0,11.4370675358838,214.953169128982,"Ifitm3, Nfkbia, Egr1, Jun, Hla-b, Sod2, Gbp1, Junb, Bbc3, Ier3"
"97","BioPlanet","Type II interferon signaling (interferon-gamma)","5/50",9.0229094528266e-09,2.72491865475363e-06,0,0,68.9655172413793,1277.48268959559,"Socs1, Ifi6, Hla-b, Isg15, Gbp1"
"409","Reactome","Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215","10/620",8.97003708611968e-09,4.57471891392104e-06,0,0,11.1234705228031,206.110968035848,"Ifitm3, Egr1, Socs1, Ifi6, Hla-b, Fn1, Isg15, Hla-a, Gbp1, B2m"
"99","BioPlanet","CD8/T cell receptor downstream pathway","5/68",4.36000517868594e-08,9.40515402830825e-06,0,0,50.709939148073,859.442570934083,"Egr1, Jun, Hla-a, Junb, B2m"
"100","BioPlanet","Immune system","11/998",6.82518077166155e-08,1.28825287065112e-05,0,0,7.60140971598369,125.423730966733,"Ifitm3, Nfkbia, Egr1, Jun, Socs1, Ifi6, Hla-b, Isg15, Hla-a, Gbp1, B2m"
"410","Reactome","Immune System Homo sapiens R-HSA-168256","13/1547",7.0632964347465e-08,2.70171088629053e-05,0,0,5.79542161692263,95.426072931418,"Ifitm3, Egr1, Jun, Ifi6, Hla-b, Fn1, Isg15, Hla-a, Nfkbia, Socs1, Gbp1, B2m, Ier3"
"101","BioPlanet","Endosomal/vacuolar pathway","3/9",2.28867241751126e-07,3.83988372271333e-05,0,0,229.885057471264,3514.97097283798,"Hla-b, Hla-a, B2m"
"102","BioPlanet","Interferon-gamma signaling pathway","5/97",2.61841018712554e-07,3.95379938255956e-05,0,0,35.5492356914326,538.767448139682,"Socs1, Hla-b, Hla-a, Gbp1, B2m"
"411","Reactome","Interferon gamma signaling Homo sapiens R-HSA-877300","5/93",2.12004126205255e-07,6.48732626188079e-05,0,0,37.0782350760104,569.768635492454,"Socs1, Hla-b, Hla-a, Gbp1, B2m"
"103","BioPlanet","Interleukin-1 regulation of extracellular matrix","5/120",7.56676457645011e-07,0.000103871041003997,0,0,28.735632183908,405.009484931145,"Nfkbia, Zfp36, Jun, Hla-b, Sod2"
"412","Reactome","Endosomal/Vacuolar pathway Homo sapiens R-HSA-1236977","3/12",5.97670728193763e-07,0.00015240603568941,0,0,172.413793103448,2470.72859592986,"Hla-b, Hla-a, B2m"
"104","BioPlanet","AP-1 transcription factor network","4/70",3.05848234868735e-06,0.000384859028876491,0,0,39.4088669950739,500.397703626101,"Egr1, Jun, Hla-a, Junb"
