"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"Parkinson's disease",2.3857238286096e-05,0.00148970387793011,0.494681836157194,3.73960884391681,0,94,"PARK7;NDUFA4;COX6A1;SLC25A6;UBB;NDUFB10;UQCRQ;COX8A;ATP5D;SLC25A5;COX4I1;UQCRH;ATP5G2;NDUFB8;NDUFS5;NDUFS8;NDUFB2;COX5A;ATP5G3;NDUFS6;ATP5G1;COX5B;UQCR11;COX7A2L;NDUFB9;ATP5O;ATP5J;COX7A2;ATP5H;NDUFA6;UBE2L3;NDUFB7;UQCRB;NDUFC2;CYC1;COX7A1;NDUFAB1;UQCRFS1;COX6C;VDAC1;NDUFA8;NDUFB6;SDHD;ATP5B;UBE2L6;NDUFS7;SDHC;NDUFS4;VDAC2;VDAC3;ATP5C1;UBE2G2;ATP5A1;ATP5F1;UBE2J2;ATP5E;CYCS;UQCRC1;COX6B1;NDUFV2;UQCR10"
"Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",1.73004394311616e-05,0.00148376709944903,0.513767404775595,3.70926275303647,0,78,"NDUFA4;COX6A1;NDUFB11;NDUFB10;UQCRQ;COX8A;ATP5D;COX4I1;NDUFA11;UQCRH;NDUFB8;NDUFA13;ATP5L;ETFB;NDUFS5;NDUFS8;NDUFB2;COX5A;NDUFS6;ATP5G1;COX5B;UQCR11;COX7A2L;NDUFB9;ATP5O;ATP5J;ATP5H;NDUFA6;NDUFB7;UQCRB;NDUFC2;CYC1;NDUFAB1;UQCRFS1;COX6C;NDUFA8;NDUFB6;SDHD;ATP5B;NDUFS7;ATP5J2;SDHC;NDUFS4;ATP5C1;NDUFA12;ATP5A1;ATP5F1;ATP5E;CYCS;UQCRC1;COX6B1;NDUFV2;UQCR10"
"Interferon alpha/beta signaling",5.47774119863933e-06,0.00133109111126936,0.704340681390371,3.69180145266863,0,28,"EGR1;ISG15;HLA-B;IFI6;HLA-A;IFITM3;SOCS1;HLA-E;HLA-C;STAT1;IFITM1;IFI27;STAT2;XAF1;IFI35;SOCS3;ADAR;PSMB8"
"Oxidative phosphorylation",2.58458039337314e-05,0.00148970387793011,0.433370070881501,3.30714049519819,0,98,"NDUFA4;COX6A1;NDUFB10;UQCRQ;COX8A;ATP5D;COX4I1;NDUFA11;UQCRH;ATP5G2;NDUFB8;ATP6V0E1;ATP5L;NDUFS5;NDUFS8;NDUFB2;COX5A;ATP5G3;NDUFS6;ATP5G1;COX5B;UQCR11;COX7A2L;NDUFB9;ATP5O;ATP5J;COX7A2;ATP5H;NDUFA6;NDUFB7;UQCRB;ATP6V1F;NDUFC2;ATP6AP2;CYC1;COX7A1;NDUFAB1;UQCRFS1;COX6C;NDUFA8;NDUFB6;SDHD;ATP5B;NDUFS7;ATP5J2;SDHC;NDUFS4;ATP6V1G1;ATP5C1;ATP5A1;PPA2;ATP5F1;ATP5E;UQCRC1;ATP6V1D;COX6B1;NDUFV2;UQCR10"
"Interleukin-1 regulation of extracellular matrix",8.72417643774428e-06,0.00143350498359286,0.521302265707851,3.25764969586948,0,47,"SOD2;HLA-B;ZFP36;JUN;NFKBIA;COL1A2;TNFAIP2;MT2A;FOS;TNFAIP6;PLK2;RHOB;CXCL1;SLC25A28;FOSL1;FGF2;RUNX1;NFKB1;GREM1;DCN;LOX;DUSP6;RELA"
"Electron transport chain",2.02922077922078e-05,0.00148970387793011,0.435795656576473,3.22739750498175,0,86,"NDUFA4;COX6A1;SLC25A6;NDUFB10;UQCRQ;COX8A;ATP5D;SLC25A5;COX4I1;UQCRH;ATP5G2;NDUFB8;ATP5L;NDUFS5;NDUFS8;NDUFB2;COX5A;ATP5G3;NDUFS6;ATP5G1;COX5B;UQCR11;COX7A2L;NDUFB9;ATP5O;ATP5J;COX7A2;ATP5H;NDUFA6;NDUFB7;UQCRB;NDUFC2;COX7A1;NDUFAB1;UQCRFS1;COX6C;NDUFA8;NDUFB6;SDHD;ATP5B;NDUFS7;ATP5J2;SDHC;NDUFS4;ATP5C1;NDUFA12;ATP5A1;ATP5F1;ATP5E;UQCRC1;COX6B1;NDUFV2;UQCR10"
"Translation",1.2175522329908e-05,0.00143350498359286,0.460157226373941,3.12382263085504,0,62,"EEF1A1;EEF2;EEF1B2;UBA52;SSR4;SSR2;EEF1D;SRP14;FAU;EIF4EBP1;EIF3F;EIF3K;SRP9;PABPC1;SEC61G;EIF2S2;DDOST;SPCS1;EIF4A1;SEC11A;RSL24D1;EIF4A2;SPCS3;EIF1AX;SPCS2;SEC61B;EIF5B;SSR1;EIF3E;RPN1;EIF3H;RPN2;TRAM1;EIF3I;EIF5;EIF3D;EIF3G;SSR3;SEC11C"
"Proteasome degradation",1.09284840006994e-05,0.00143350498359286,0.467610401658855,3.09891494383767,0,57,"HLA-B;HLA-A;HLA-E;HLA-C;PSME2;PSMA7;H2AFZ;UBC;PSMB6;PSMB8;UBB;PSMB5;PSMB3;PSMD9;PSMA3;UBE2D2;PSMC3;PSMB1;PSMC5;PSMB2;RPN1;RPN2;PSMA4;PSMD8;PSMD2;PSMB7;PSMC4;PSMC2;H2AFX;PSMD11;PSMB9;UCHL1;PSMD7;PSMC1;PSME1;PSMA5;UBE2B;UBE2D3;PSMA2;PSMD12;PSMD1;PSMD4"
"Tricarboxylic acid (TCA) cycle and respiratory electron transport",3.06936771025169e-05,0.0015431510763955,0.397236648231044,3.09328669545527,0,107,"LDHA;BSG;NDUFA4;COX6A1;NDUFB11;NDUFB10;UQCRQ;COX8A;ATP5D;COX4I1;NDUFA11;UQCRH;NDUFB8;NDUFA13;ATP5L;ETFB;NDUFS5;NDUFS8;NDUFB2;COX5A;NDUFS6;LDHB;ATP5G1;COX5B;UQCR11;COX7A2L;NDUFB9;ATP5O;ATP5J;IDH2;ATP5H;NDUFA6;NDUFB7;UQCRB;NDUFC2;CYC1;NDUFAB1;UQCRFS1;COX6C;NDUFA8;NDUFB6;SDHD;ATP5B;SUCLG1;NDUFS7;MDH2;ATP5J2;SDHC;NDUFS4;ATP5C1;NDUFA12;ATP5A1;ATP5F1;ATP5E;CYCS;UQCRC1;COX6B1;NDUFV2;UQCR10"
"Antigen processing: cross presentation",1.24342538825958e-05,0.00143350498359286,0.440475899059837,3.00444381765946,0,63,"HLA-B;B2M;HLA-A;HLA-E;HLA-C;TAP1;PSME2;TAPBP;PSMA7;UBC;CALR;PSMB6;PSMB8;UBB;PSMB5;UBA52;PDIA3;CYBA;PSMB3;PSMD9;PSMA3;SEC61G;PSMC3;PSMB1;SEC61B;PSMC5;PSMB2;PSMA4;PSMD8;ITGB5;PSMD2;PSMB7;PSMC4;PSMC2;PSMD14;PSMD11;PSMB9;PSMD7;PSMC1;PSME1;PSMA5;PSMA2;PSMD12;PSMD1;PSMD4;MRC2;PSMA1;SEC61A1"
