"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"DNA replication",0.000100280786201364,0.0019802112581896,0.422296693426704,4.68002319706879,0,195,"UBA52;SSBP1;CDT1;PSME2;PSMB8;PSMA3;SKA2;PPP1CC;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;GMNN;POLE3;PSMB2;PSMD12;PSME3;PSMB1;UBC;SPC25;PSMD2;PPP2R5C;PSMC6;PSMC2;PSMA1;AURKB;PSMC4;CENPE;PSMA5;CENPF;UBB;PMF1;PLK1;PSMC1;CENPP;CDKN1A;SPC24;POLE4;PAFAH1B1;PSMB7;CENPH;PSMB5;RFC5;POLD2;E2F1;KIF2C;PSMC3;NUDC;PSMB9;CENPA;CENPN;RFC3;CDC20;GINS4;STAG2;FEN1;PSMA7;PSMC5;ITGB3BP;NUP37;CENPK;KIF20A;MCM4;MAD1L1;CDC6;PRIM1;POLD3;RFC4;ORC5;GINS2;PCNA;MCM2;NSL1;NUP43;DNA2;BUB3;RFC1;ERCC6L;NUF2;ORC1;NUP133;PSME1;TAOK1;RAD21;RANGAP1;MCM7;DBF4;KNTC1;KIF23;MAD2L1;MCM8;MCM10;PSMF1;BIRC5;SMC3;PSMD7;MCM6;ZWINT;MCM3;CDK2;BUB1;NUP85;NDC80;PPP2R1B;RANBP2;CENPO;PSMD14;SKA1;DSN1;PSMD8;CKAP5;PSMA6;POLE;SPDL1;MCM5;CDC45;CENPM;PPP2R1A;E2F2;NUP98;PSMB4;MAPRE1;CENPU;RFC2;PRIM2;PSMD5;KIF18A;PSMD13;CLASP2;CCNA2;FBXO5;CENPI;PPP2CA;PSMD3;LIG1;CDC7;SMC1A;ORC6;SEC13;CLIP1;NDE1;RPA1;RNASEH2C;PSMD11;RNASEH2A;PSMD4;INCENP;BUB1B;CENPL;POLA2;CDCA8;PSMD6;POLE2;GINS1;ORC3;PPP2R5E;CENPT;NUP107;XPO1;ZW10;RNASEH2B;POLD1;CENPC;RB1;CDKN1B;PPP2R5D;CENPQ;ORC4;STAG1"
"Capped intron-containing pre-mRNA processing",3.68622825125332e-05,0.000866556196842248,0.44074026655471,4.45950976015132,0,135,"YBX1;SRSF5;POLR2F;SNRPE;HNRNPA1;CCAR1;SNRPG;POLR2K;SRSF1;CSTF3;GTF2F2;HNRNPA2B1;SNRPD3;EFTUD2;SNRPA1;PCBP1;HNRNPF;HNRNPR;SNRPD1;RBM8A;LSM2;NUDT21;METTL3;SNRPF;PABPN1;NUP88;SRSF2;SF3B4;CSTF1;PCF11;RAE1;MAGOH;RNPS1;SUGP1;NXF1;ALYREF;PAPOLA;SF3B6;POLR2G;SNRPB;POLR2L;SF3B2;SRSF11;POLR2I;NUP37;SNRPB2;HNRNPA0;HNRNPM;UPF3B;U2AF2;HNRNPD;DNAJC8;NUP43;HNRNPUL1;NUP133;SF3B5;HNRNPK;SRSF7;POLR2J;HNRNPA3;SF3B3;SRSF3;NUP205;NUP85;RANBP2;TXNL4A;CSTF2;NUPL2;SRRM1;SF3B1;CPSF3;PTBP1;NUP50;POLR2H;POLR2C;FUS;NUP153;NUP98;SNRNP40;EIF4E;HNRNPU;SLBP;NUP54;SRSF6;AAAS;TPR;NUP155;SRSF4;SNRNP70;PHF5A;HNRNPL;RBMX;SMC1A;SRSF9;PRPF6;CLP1;HNRNPC;NCBP1;POLR2D;SF3A3;SF3A1;SNRPA;PRPF8;POLR2A;NUP107;NUP93;POLR2E;SNRPD2;DHX9;HNRNPH1;NUP62;HNRNPH2"
"Proteasome degradation",9.18653254329154e-06,0.000556635082668391,0.561347905871635,4.36121892589973,0,58,"H2AFZ;PSME2;HLA-B;PSMB8;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;H2AFX;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;PSMC2;PSMA1;PSMC4;PSMA5;UBB;PSMC1;RPN2;RPN1;PSMB7;PSMB5;UCHL3;PSMC3;HLA-A;PSMB9;PSMA7;PSMC5;HIST1H2AE;UBE2D1;HLA-F;HLA-C;PSME1;UBE2D2;PSMD7;NEDD4;PSMD8;PSMA6;UBA1;PSMB4;HLA-E;PSMD5;PSMD13;UBE2B;PSMD3;PSMD11;PSMD4"
"Licensing factor removal from origins",9.54244000190849e-06,0.000556635082668391,0.552935049924241,4.35005189100688,0,60,"CDT1;PSME2;PSMB8;NQO1;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;PTTG1;ODC1;GMNN;PSMB2;PSMD12;PSME3;PSMB1;PSMD2;PSMC6;PSMC2;PSMA1;PSMC4;PSMA5;PSMC1;PSMB7;AZIN1;PSMB5;PSMC3;PSMB9;CDC20;PSMA7;PSMC5;MCM4;CDC6;ORC5;MCM2;ORC1;PSME1;MCM7;MCM10;PSMF1;PSMD7;MCM6;MCM3;PSMD14;PSMD8;PSMA6;MCM5;PSMB4;PSMD5;PSMD13;PSMD3;ORC6;PSMD11;PSMD4"
"Cell cycle checkpoints",2.42842225406154e-05,0.000692885918976793,0.452819779770947,4.34981989787877,0,111,"UBA52;PSME2;PSMB8;CDC26;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;CCNB2;PSMC2;PSMA1;ANAPC7;WEE1;PSMC4;CCNB1;PSMA5;UBB;PSMC1;CDKN1A;UBE2E1;ANAPC5;PSMB7;PSMB5;RFC5;PSMC3;PSMB9;CCNE2;RFC3;CDC20;CLSPN;PSMA7;PSMC5;TP53;ANAPC4;MCM4;CDC23;MAD1L1;UBE2D1;CDC6;RAD1;ANAPC11;RFC4;ORC5;MCM2;BUB3;ORC1;PSME1;MCM7;DBF4;MAD2L1;MCM8;MCM10;PSMF1;PSMD7;MCM6;CDK1;MCM3;CHEK2;CDK2;UBE2C;PSMD14;PSMD8;CCNE1;PSMA6;MCM5;CHEK1;CDC45;PSMB4;CDC25A;RFC2;PSMD5;PSMD13;PSMD3;CDC7;ORC6;CDC25C;RPA1;PSMD11;PSMD4"
"S phase",2.27370910165753e-05,0.000692885918976793,0.448502935178629,4.26215453089564,0,107,"MYC;UBA52;CDT1;PSME2;PSMB8;PSMA3;PSMA4;SKP1;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;PSMC2;PSMA1;WEE1;PSMC4;PSMA5;UBB;PSMC1;CDKN1A;PSMB7;PSMB5;RFC5;POLD2;PSMC3;PSMB9;CCNE2;RFC3;GINS4;FEN1;PSMA7;PSMC5;MCM4;CDC6;PRIM1;POLD3;RFC4;ORC5;GINS2;PCNA;MCM2;DNA2;RFC1;ORC1;CDK4;PSME1;MCM7;MCM8;PSMF1;PSMD7;MCM6;CKS1B;MCM3;CDK2;PSMD14;PSMD8;CCNE1;PSMA6;POLE;CCNH;MCM5;SKP2;CDC45;PSMB4;CDC25A;RFC2;PRIM2;PSMD5;MNAT1;PSMD13;CCNA2;PSMD3;LIG1;ORC6;RPA1;PSMD11;PSMD4;POLA2;CUL1;PSMD6;POLE2;GINS1;ORC3"
"HIV factor interactions with host",2.42842225406154e-05,0.000692885918976793,0.430381895920463,4.13427994578459,0,111,"HMGA1;SLC25A5;RBX1;AP1S1;SLC25A6;NPM1;UBA52;BANF1;PSME2;PSMB8;PSMA3;PSMA4;SKP1;PPIA;PSMB3;ARF1;PSMB6;PSMA2;PSMD1;AP2B1;PSMB2;PSMD12;B2M;RANBP1;PSME3;PSMB1;UBC;PSMD2;PSMC6;PSMC2;SLC25A4;PSMA1;ATP6V1H;PSMC4;PSMA5;UBB;NUP88;PSMC1;PAK2;PSMB7;RAC1;RAE1;PSMB5;PSMC3;HLA-A;PSMB9;AP2S1;PSMA7;PSMC5;AP2M1;NUP37;PACS1;NUP43;NUP133;RAN;PSME1;RANGAP1;PSMF1;PSIP1;KPNB1;PSMD7;NUP205;CDK9;NUP85;RANBP2;PSMD14;AP1M2;NUPL2;PSMD8;PSMA6;NUP50;NUP153;NUP98;PSMB4;NUP54;PSMD5;AAAS;TPR;NUP155;AP2A2;PSMD13"
"Mitotic G1-G1/S phases",3.27096689781499e-05,0.000807383662610668,0.408703524440739,4.07910109313474,0,128,"MYC;UBA52;CDT1;PSME2;PSMB8;PSMA3;PSMA4;SKP1;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;HDAC1;PSMC2;PSMA1;WEE1;PSMC4;CCNB1;PSMA5;CDK6;UBB;PSMC1;CDKN1A;PSMB7;PSMB5;E2F1;PSMC3;PSMB9;CCNE2;PSMA7;PSMC5;MCM4;CDC6;PRIM1;MYBL2;ORC5;PCNA;PKMYT1;MCM2;ORC1;CDK4;PSME1;TFDP1;MCM7;DBF4;MCM8;MCM10;PSMF1;LIN9;TOP2A;PSMD7;MCM6;CDK1;CKS1B;RRM2;MCM3;CDK2;PPP2R1B;CDKN2C;PSMD14;PSMD8;CCNE1;PSMA6;POLE;CCNH;MCM5;SKP2;CDC45;TYMS;PPP2R1A;E2F2;PSMB4;CDC25A;PRIM2;DHFR;PSMD5;MNAT1;PSMD13;CCNA2;FBXO5;CDKN2D;PPP2CA;PSMD3;CDC7;ORC6;RPA1;RBL1;PSMD11;PSMD4"
"Antigen processing: cross presentation",1.03106601915721e-05,0.000556635082668391,0.505380160625621,4.06947933385532,0,64,"SEC61B;UBA52;PSME2;HLA-B;CALR;PSMB8;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;TAPBP;PSMB2;PSMD12;B2M;PSME3;PSMB1;UBC;PSMD2;CYBA;SEC61G;PSMC6;PSMC2;PSMA1;PSMC4;TAP2;PSMA5;TAP1;UBB;PSMC1;PSMB7;PSMB5;PSMC3;HLA-A;PSMB9;PSMA7;PSMC5;HLA-F;HLA-C;PSME1;PSMF1;PSMD7;NCF2;PSMD14;PSMD8;PDIA3;PSMA6;PSMB4;HLA-E;PSMD5;SEC61A1;PSMD13;PSMD3;ITGAV;PSMD11;PSMD4"
"DNA replication pre-Initiation",1.44548358653387e-05,0.000578584105853154,0.456212042030418,3.99384375578245,0,82,"UBA52;CDT1;PSME2;PSMB8;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;GMNN;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;PSMC2;PSMA1;PSMC4;PSMA5;UBB;PSMC1;CDKN1A;PSMB7;PSMB5;E2F1;PSMC3;PSMB9;PSMA7;PSMC5;MCM4;CDC6;PRIM1;ORC5;MCM2;ORC1;PSME1;MCM7;DBF4;MCM8;MCM10;PSMF1;PSMD7;MCM6;MCM3;CDK2;PSMD14;PSMD8;PSMA6;POLE;MCM5;CDC45;E2F2;PSMB4;PRIM2;PSMD5;PSMD13;CCNA2;PSMD3;CDC7;ORC6;RPA1;PSMD11;PSMD4"
