"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"Alzheimer's disease",2.00656145596099e-06,6.38153948258478e-05,0.530635782549109,6.37758519820515,0,115,"PPP3CA;ATP2A2;CALM2;GRIN2B;NDUFA1;ATP5G1;NDUFB10;CALM1;COX6B1;COX6A1;GNAQ;ATP5J;NDUFS8;COX8A;NDUFA4;NDUFB2;NDUFV1;COX7C;SDHD;CDK5R1;UQCR10;ATP5E;HSD17B10;ATP5C1;CYCS;COX7B;APP;ATP5A1;NDUFA7;CALM3;ATP5D;UQCR11;LPL;SNCA;ATP5H;ITPR1;MAPK1;PLCB4;GSK3B;GRIN1;NDUFC1;UQCRC2;NDUFB4;NDUFB8;UQCRC1;NDUFAB1;ATP5B;NDUFB6;NDUFB9;NDUFS6;MAPT;ATF6;UQCRH;COX5A;NDUFV2;PPP3R1;NDUFB3;UQCRB;ATP5G3;COX7A2L;PLCB1;BACE1;NDUFB7;UQCRQ;LRP1;COX4I1;CACNA1C;ATP5F1;ATP5O;MME;NDUFS3;PPP3CB;NDUFS7;APOE;NDUFA3;NDUFV3;NDUFS4;UQCRFS1;NDUFB5;NDUFS5;NDUFA8;APBB1;COX7A2;PSEN2;NDUFA5;CYC1;GAPDH;RYR3;NDUFA6;COX6C;SDHB;COX5B;ADAM10"
"Neuronal system",2.00940401077041e-06,6.38153948258478e-05,0.447742472267615,6.27131478170712,0,162,"AKAP5;ADCY5;GNAL;GRIN2B;AKAP9;SYN2;SLC17A7;PRKCA;GRIA2;KCNH7;GAD1;ARHGEF9;GNB2;CALM1;SLC1A2;KCND3;GABRA4;COMT;GABBR2;KCNQ5;DLG4;GNG3;NSF;RASGRF2;GRIA3;KCND2;ADCY1;VAMP2;KCNJ9;VAMP1;SLC6A1;GABRG2;GNB1;KCNC1;CACNA1A;NCALD;STXBP1;CAMK4;KCNMA1;RAB3A;CACNG2;BRAF;PRKCB;MAPK1;GABRA1;STX1A;RIMS1;GNB5;GRIK2;HSPA8;DNAJC5;CACNA2D1;KCNK2;CACNA1E;GNG7;GRIK5;GRIN1;KCNK1;CAMK2B;KCNH3;KCNA4;KCNAB1;GNG4;SLC38A2;GABRA2;KCNB1;CAMK2A;SYT2;DLG3;GNG2;CACNB2;CAMK2D;GABBR1;KCNQ3;SLC38A1;PLCB1;KCNA1;SNAP25;STX12;SYT1;SYN1;AP2A2;KCNQ2;ADCY9;GABRB3;KCNG1;CACNB1;KCNJ4;CREB1;CACNG4;GLUL;AP2B1;KCNV1;PRKCG;PDPK1;KCNC3;ACHE;GRIP1;ACTN2;ABAT;KCNJ3;RASGRF1;KCNS2;CACNB4;GRIA1;KCNMB4;KCNJ2;CACNA1B;GABRG3;GABRB1;ADCY2;STX7;CACNA2D3;KCNAB2;KCNF1;HCN2;KCNA5;GNAI1;CAMK2G;GABRA3;ADCY3;CACNA2D2;STX1B;KCNH1"
"Oxidative phosphorylation",2.00761689851296e-06,6.38153948258478e-05,0.542084504272367,5.96942155099519,0,95,"NDUFA1;ATP5G1;NDUFB10;COX6B1;COX6A1;ATP6V1D;COX17;ATP5J;NDUFS8;COX8A;NDUFA4;NDUFB2;NDUFV1;COX7C;ATP6V0B;ATP6V0A1;SDHD;UQCR10;ATP5E;ATP5L;ATP5C1;COX7B;ATP5A1;ATP6AP2;NDUFA7;ATP5D;UQCR11;ATP5H;ATP6V1F;NDUFA11;NDUFC1;UQCRC2;NDUFB4;NDUFB8;UQCRC1;NDUFAB1;ATP5B;ATP5J2;NDUFB6;ATP6V1E1;NDUFB9;NDUFS6;ATP6V1G2;UQCRH;COX5A;NDUFV2;NDUFB3;UQCRB;ATP6V0D1;ATP5G3;COX7A2L;NDUFB7;PPA1;UQCRQ;COX4I1;ATP6V1A;ATP5F1;ATP5O;NDUFS3;NDUFS7;NDUFA3;NDUFV3;NDUFS4;ATP6V0E2;UQCRFS1;ATP6V1G1;NDUFB5;NDUFS5;NDUFA8;COX7A2;ATP6AP1;NDUFA5;CYC1;ATP6V1B2;NDUFA6;COX6C;SDHB;COX5B"
"Huntington's disease",2.00903664683747e-06,6.38153948258478e-05,0.451725600840935,5.75665569768689,0,131,"GRIN2B;NDUFA1;ATP5G1;GRM5;NDUFB10;POLR2G;COX6B1;COX6A1;GNAQ;ATP5J;HAP1;NDUFS8;COX8A;NDUFA4;NDUFB2;DLG4;NDUFV1;COX7C;SDHD;POLR2J;UQCR10;ATP5E;CLTA;ATP5C1;CYCS;COX7B;SLC25A5;VDAC2;ATP5A1;NDUFA7;CLTC;SOD1;GRM1;ATP5D;UQCR11;ATP5H;ITPR1;POLR2E;PLCB4;GPX1;DCTN2;GRIN1;NDUFC1;IFT57;UQCRC2;NDUFB4;NDUFB8;UQCRC1;NDUFAB1;ATP5B;HDAC2;NDUFB6;NDUFB9;NDUFS6;PPID;UQCRH;COX5A;POLR2I;NDUFV2;NDUFB3;UQCRB;ATP5G3;COX7A2L;PLCB1;NDUFB7;CLTB;SLC25A4;AP2A2;CREBBP;UQCRQ;POLR2K;COX4I1;ATP5F1;CREB1;ATP5O;VDAC1;NDUFS3;AP2B1;NDUFS7;NDUFA3;NDUFV3;NDUFS4;UQCRFS1;PPARGC1A;NDUFB5;NDUFS5;NDUFA8;COX7A2;NDUFA5;CYC1;SOD2;NDUFA6;COX6C;SDHB;COX5B"
"Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",2.00615085853226e-06,6.38153948258478e-05,0.574132724498123,5.70355477900581,0,76,"NDUFA1;ATP5G1;NDUFB10;COX6B1;COX6A1;ATP5J;NDUFS8;COX8A;NDUFA4;NDUFB2;NDUFV1;COX7C;SDHD;UQCR10;ATP5E;ATP5L;ATP5C1;CYCS;COX7B;ATP5A1;NDUFA7;ATP5D;UQCR11;ATP5H;NDUFA11;NDUFC1;UQCRC2;NDUFA13;NDUFB4;NDUFB8;UQCRC1;NDUFAB1;ATP5B;ATP5J2;NDUFB6;NDUFB9;NDUFS6;UQCRH;COX5A;NDUFV2;NDUFB3;UQCRB;COX7A2L;NDUFB7;UQCRQ;COX4I1;ATP5F1;ATP5O;NDUFS3;NDUFS7;NDUFB11;NDUFA3;NDUFV3;NDUFS4;UQCRFS1;NDUFB5;NDUFS5;NDUFA8;NDUFA5;CYC1;NDUFA6;COX6C;NDUFA12;SDHB;COX5B"
"Parkinson's disease",2.00774991467063e-06,6.38153948258478e-05,0.519054491934968,5.57406430013371,0,90,"UBB;NDUFA1;ATP5G1;NDUFB10;COX6B1;COX6A1;ATP5J;NDUFS8;COX8A;NDUFA4;NDUFB2;NDUFV1;COX7C;SDHD;UQCR10;ATP5E;PARK7;ATP5C1;CYCS;COX7B;SLC25A5;VDAC2;ATP5A1;NDUFA7;ATP5D;UQCR11;SNCA;ATP5H;NDUFC1;UQCRC2;NDUFB4;NDUFB8;UQCRC1;NDUFAB1;ATP5B;NDUFB6;NDUFB9;NDUFS6;PPID;UQCRH;COX5A;NDUFV2;NDUFB3;UQCRB;ATP5G3;COX7A2L;NDUFB7;SLC25A4;UBE2L3;UQCRQ;COX4I1;ATP5F1;ATP5O;VDAC1;NDUFS3;NDUFS7;NDUFA3;NDUFV3;NDUFS4;UQCRFS1;NDUFB5;NDUFS5;NDUFA8;COX7A2;NDUFA5;CYC1;NDUFA6;COX6C;SDHB;COX5B;VDAC3;NDUFA2;UBE2J1;UCHL1;NDUFS1;LRRK2;NDUFC2"
"Transmission across chemical synapses",2.00781844502493e-06,6.38153948258478e-05,0.439141023831138,5.47878919054228,0,125,"AKAP5;ADCY5;GNAL;GRIN2B;AKAP9;SYN2;SLC17A7;PRKCA;GRIA2;GAD1;ARHGEF9;GNB2;CALM1;SLC1A2;GABRA4;COMT;GABBR2;DLG4;GNG3;NSF;RASGRF2;GRIA3;ADCY1;VAMP2;KCNJ9;SLC6A1;GABRG2;GNB1;CACNA1A;NCALD;STXBP1;CAMK4;RAB3A;CACNG2;BRAF;PRKCB;MAPK1;GABRA1;STX1A;RIMS1;GNB5;GRIK2;HSPA8;DNAJC5;CACNA2D1;CACNA1E;GNG7;GRIK5;GRIN1;CAMK2B;GNG4;SLC38A2;GABRA2;CAMK2A;DLG3;GNG2;CACNB2;CAMK2D;GABBR1;SLC38A1;PLCB1;SNAP25;SYT1;SYN1;AP2A2;ADCY9;GABRB3;CACNB1;KCNJ4;CREB1;CACNG4;GLUL;AP2B1;PRKCG;PDPK1;ACHE;GRIP1;ACTN2;ABAT;KCNJ3;RASGRF1;CACNB4;GRIA1;KCNJ2;CACNA1B;GABRG3;GABRB1;ADCY2;CACNA2D3;GNAI1;CAMK2G;GABRA3;ADCY3;CACNA2D2"
"Electron transport chain",2.00808858080348e-06,6.38153948258478e-05,0.525392616709724,5.40546370044478,0,82,"NDUFA1;ATP5G1;NDUFB10;ATPIF1;COX6B1;COX6A1;COX17;ATP5J;NDUFS8;COX8A;NDUFA4;NDUFB2;NDUFV1;COX7C;SDHD;UQCR10;ATP5E;ATP5L;ATP5C1;COX7B;SLC25A5;ATP5A1;NDUFA7;ATP5D;UQCR11;ATP5H;NDUFC1;UQCRC2;NDUFB4;NDUFB8;UQCRC1;NDUFAB1;ATP5B;ATP5J2;NDUFB6;NDUFB9;NDUFS6;UQCRH;COX5A;NDUFV2;NDUFB3;UQCRB;ATP5G3;COX7A2L;NDUFB7;SLC25A4;UQCRQ;COX4I1;ATP5F1;ATP5O;NDUFS3;NDUFS7;NDUFA3;NDUFV3;NDUFS4;UQCRFS1;NDUFB5;NDUFS5;NDUFA8;COX7A2;NDUFA5;NDUFA6;COX6C;NDUFA12;SDHB;COX5B"
"Tricarboxylic acid (TCA) cycle and respiratory electron transport",2.00702861420695e-06,6.38153948258478e-05,0.475982152103068,5.39032913906467,0,101,"BSG;NDUFA1;ATP5G1;NDUFB10;COX6B1;COX6A1;ATP5J;NDUFS8;COX8A;NDUFA4;NDUFB2;NDUFV1;COX7C;SDHD;UQCR10;ATP5E;ATP5L;ATP5C1;CYCS;COX7B;IDH3G;ATP5A1;NDUFA7;ATP5D;LDHB;PDP1;UQCR11;IDH3B;ATP5H;NDUFA11;NDUFC1;UQCRC2;NDUFA13;MDH2;NDUFB4;NDUFB8;UQCRC1;NDUFAB1;ATP5B;ATP5J2;NDUFB6;NDUFB9;NDUFS6;UQCRH;COX5A;IDH1;NDUFV2;NDUFB3;UQCRB;COX7A2L;SUCLG1;NDUFB7;IDH3A;UQCRQ;COX4I1;PDHA1;ATP5F1;ATP5O;NDUFS3;NDUFS7;NDUFB11;NDUFA3;NDUFV3;NDUFS4;UQCRFS1;NDUFB5;NDUFS5;NDUFA8;NDUFA5;CYC1;PDK1;NDUFA6;COX6C;NDUFA12;SDHB;COX5B"
"Signaling by GPCR",2.00752017055891e-06,6.38153948258478e-05,0.36864243161368,5.32986941867834,0,174,"PPP3CA;PPP1R1B;RGS9;ADCY5;GNAL;PENK;CCK;RAMP1;PDE1B;PRKCA;PDE10A;CX3CL1;RGS17;GRM5;ARHGEF9;GNB2;CALM1;PRKAR1B;RGS8;DGKB;GNAQ;RGS4;GABBR2;DGKE;GNG3;CNR1;ADCYAP1R1;RASGRF2;ADCY1;DGKG;PPP1CA;ARHGEF12;GNAS;GNB1;APP;GRM1;NPY;HBEGF;CAMK4;TAC1;DGKZ;ITPR1;PRKCB;MAPK1;MAP2K1;HEBP1;PLCB4;GNB5;ARHGEF25;GNG7;PRKAR1A;PDE1A;PDYN;PDE4A;RASGRP1;SST;GNG4;ADORA2A;ROCK2;PRKCE;PDE2A;PDE4B;PDE7B;PRKACA;PRKCH;FGD4;GNG2;KALRN;GABBR1;PPP3R1;PPP2R5D;P2RY1;PLCB1;RGS2;MCHR1;RGS10;ARHGEF2;OPRK1;HTR1B;RGS20;NGEF;OPRL1;ABR;ADCY9;GRM3;CREB1;MGLL;PPP3CB;CHRM1;FZD3;PRKCG;PDPK1;ARHGEF7;CDC42;ADORA1;DGKH;ADRA2C;GNAO1;RASGRF1;YWHAB;RGS14;HRH3;GRM4;RASGRP2;ARHGEF17;DGKI;RHOB;NPY1R;ADCY2;PREX1;TIAM2;GNAZ;GNAI1;SOS1;PDE1C;ADCY3;PRKAR2B;ITSN1;AKT2;KRAS;ADRBK1"
