"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"Parkinson disease",2.20604456210015e-05,0.00202399789029536,0.445849774038459,3.34308931544312,0,90,"PARK7;NDUFA4;COX6A1;NDUFB11;SLC25A6;UBB;NDUFB10;UQCRQ;COX8A;SLC25A5;COX4I1;NDUFA11;UQCRH;NDUFB8;NDUFA13;NDUFS5;NDUFS8;NDUFB2;COX5A;NDUFS6;COX5B;UQCR11;COX7A2L;NDUFB9;COX7A2;NDUFA6;UBE2L3;NDUFB7;UQCRB;NDUFC2;GNAI2;CYC1;COX7A1;NDUFAB1;UQCRFS1;COX6C;VDAC1;NDUFA8;PPIF;NDUFB6;SDHD;UBE2L6;NDUFS7;SDHC;NDUFS4;VDAC2;VDAC3;UBE2G2;NDUFA12;UBE2J2;CYCS;UQCRC1;COX6B1;NDUFV2;UQCR10"
"Oxidative phosphorylation",1.94912776532502e-05,0.00202399789029536,0.396681826221075,2.92658349620002,0,84,"NDUFA4;COX6A1;NDUFB11;NDUFB10;UQCRQ;COX8A;COX4I1;NDUFA11;UQCRH;NDUFB8;ATP6V0E1;NDUFA13;NDUFS5;NDUFS8;NDUFB2;COX5A;NDUFS6;COX5B;UQCR11;COX7A2L;NDUFB9;COX7A2;NDUFA6;NDUFB7;UQCRB;ATP6V1F;NDUFC2;CYC1;COX7A1;NDUFAB1;UQCRFS1;COX6C;NDUFA8;NDUFB6;SDHD;NDUFS7;SDHC;NDUFS4;ATP6V1G1;NDUFA12;PPA2;UQCRC1;ATP6V1D;COX6B1;NDUFV2;UQCR10"
"Huntington disease",4.79984640491504e-05,0.00217934520260102,0.336479974212789,2.73930792401924,0,129,"SOD2;BBC3;AP2S1;NDUFA4;COX6A1;NDUFB11;SLC25A6;NDUFB10;UQCRQ;COX8A;SLC25A5;COX4I1;NDUFA11;UQCRH;NDUFB8;NDUFA13;NDUFS5;NDUFS8;NDUFB2;COX5A;NDUFS6;GPX1;SOD1;POLR2J;COX5B;UQCR11;COX7A2L;AP2M1;NDUFB9;COX7A2;POLR2E;NDUFA6;NDUFB7;UQCRB;CLTA;NDUFC2;POLR2F;POLR2I;CYC1;COX7A1;NDUFAB1;UQCRFS1;COX6C;VDAC1;NDUFA8;PPIF;NDUFB6;SDHD;POLR2L;NDUFS7;SDHC;NDUFS4;VDAC2;VDAC3;BDNF;NDUFA12;TBPL1;POLR2G;REST;CYCS;UQCRC1;COX6B1;NDUFV2;UQCR10"
"Non-alcoholic fatty liver disease (NAFLD)",3.22030077609249e-05,0.00202399789029536,0.331628205725735,2.60286216908768,0,109,"JUN;SOCS3;ATF4;NDUFA4;COX6A1;NDUFB11;NDUFB10;UQCRQ;COX8A;RAC1;COX4I1;NDUFA11;UQCRH;NDUFB8;NDUFA13;NDUFS5;NDUFS8;NDUFB2;COX5A;NDUFS6;COX5B;UQCR11;COX7A2L;NDUFB9;TGFB1;COX7A2;NFKB1;NDUFA6;NDUFB7;UQCRB;NDUFC2;RELA;CYC1;COX7A1;NDUFAB1;UQCRFS1;COX6C;NDUFA8;NDUFB6;SDHD;CASP7;NDUFS7;SDHC;NDUFS4;XBP1;CDC42;DDIT3;NDUFA12;CYCS;UQCRC1;ADIPOR1;COX6B1;NDUFV2;UQCR10"
"Pathogenic Escherichia coli infection",3.12728682849334e-05,0.00202399789029536,0.460989037976749,2.56763736822986,4,33,"ACTB;TUBA1B;ARPC2;TUBB;ARPC1B;YWHAQ;ARPC1A;ACTG1;ITGB1;TUBB6;RHOA;ARPC3;TUBB4B;ARPC5;TUBA1A;TUBA1C;ARHGEF2;CDC42;ARPC5L"
"Antigen processing and presentation",8.72905027932961e-05,0.00293953955990688,0.458133108831145,2.46257396839832,14,30,"HLA-B;B2M;HLA-A;HLA-E;HLA-C;TAP1;PSME2;TAPBP;CALR;CTSB;PDIA3;HSPA8;HSPA5;HSP90AA1;LGMN"
"Cardiac muscle contraction",0.000105325521690475,0.00293953955990688,0.429285635036003,2.43920984528732,15,35,"COX6A1;UQCRQ;COX8A;COX4I1;UQCRH;TPM4;COX5A;COX5B;UQCR11;COX7A2L;COX7A2;UQCRB;TPM1;CYC1;COX7A1;UQCRFS1;COX6C;TPM3;ATP1B3;UQCRC1;TPM2;COX6B1;UQCR10;COX7C"
"Proteasome",6.85233969331973e-05,0.00262958535731145,0.40384768039058,2.41973429094913,8,41,"PSME2;PSMA7;PSMB6;PSMB8;PSMB5;PSMB3;PSMA3;PSMC3;PSMB1;PSMC5;PSMB2;PSMA4;ADRM1;POMP;PSMD8;PSMD2;PSMB7;PSMC4;PSMC2;PSMD14;PSMD11;PSMB9;PSMD7;PSMC1;PSME1;PSMA5;PSMA2;PSMD12;PSMD1;PSMD4;PSMA1"
"Glutathione metabolism",0.000101201319188961,0.00293953955990688,0.440908706786371,2.3998070029393,16,31,"GSTP1;MGST3;GPX4;SMS;SRM;GSTO1;GPX1;IDH2;MGST1;LAP3;GPX7;TXNDC12;GSTK1;GPX8;GGCT;RRM2;ODC1;G6PD;ANPEP"
"Alzheimer disease",3.2964135021097e-05,0.00202399789029536,0.291071104955539,2.2881792934829,0,110,"GAPDH;NDUFA4;COX6A1;NDUFB11;NDUFB10;UQCRQ;COX8A;CALM3;COX4I1;NDUFA11;UQCRH;NDUFB8;NDUFA13;NDUFS5;NDUFS8;NDUFB2;COX5A;CALM2;NDUFS6;COX5B;UQCR11;COX7A2L;NDUFB9;COX7A2;RTN4;NDUFA6;BAD;NDUFB7;UQCRB;NDUFC2;CALM1;CYC1;COX7A1;NDUFAB1;UQCRFS1;COX6C;LRP1;NDUFA8;NDUFB6;SDHD;CASP7;NDUFS7;SDHC;FADD;NDUFS4;PPP3CC;NDUFA12;CYCS;UQCRC1;BACE2;COX6B1;NDUFV2;UQCR10"
"Viral myocarditis",0.000553002319388369,0.00820815941640007,0.433230475710079,2.24124068182424,102,27,"HLA-B;HLA-A;HLA-E;HLA-C;ABL2;ACTB;RAC1;ACTG1;CAV1;CCND1;SGCB;LAMA2;CYCS"
"Ribosome",0.000170645552123684,0.00391232318083344,0.360074488663204,2.24071499705945,19,46,"UBA52;FAU;MRPL23;MRPL12;MRPL18;MRPL11;MRPS16;MRPS15;MRPL20;RSL24D1;MRPL27;MRPL34;MRPS12;MRPL14;MRPS2;MRPL19;MRPL15;MRPS7;MRPL36;MRPL3;MRPL28;MRPL24;MRPS11;MRPL16;MRPL13;MRPL22;MRPL32;MRPS18C;MRPS14;MRPL35;MRPL9;MRPL17"
"Pertussis",0.0003752744194192,0.00677701451539379,0.400295501142024,2.22958379135774,59,33,"JUN;CFL1;FOS;C1S;TICAM1;CALM3;ITGB1;CALM2;MYD88;RHOA;NFKB1;SERPING1;GNAI2;RELA;CALM1;CASP7;PYCARD"
