"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Parkinson disease",7.61806555227655e-21,1.36410951976076e-18,1.1778932614942,0.534997071930685,4.3828203689329,99,"COX7A2L;UBB;ATP5C1;ATP5A1;UQCRQ;UQCRH;COX7C;COX7A2;SLC25A5;CYCS;ATP5H;COX4I1;NDUFA9;UQCRC1;COX6C;ATP5E;UQCRC2;ATP5F1;COX5B;NDUFA2;COX5A;SDHD;NDUFA12;ATP5B;ATP5O;UQCRB;NDUFS3;NDUFB4;UQCR10;ATP5G1;VDAC2;NDUFV1;NDUFS6;COX6A1;SLC25A4;NDUFAB1;COX8A;NDUFC2;NDUFS2;NDUFB7;UQCRFS1;NDUFA3;SDHB;COX7B;PARK7;NDUFA6;NDUFA5;CYC1;NDUFV2;GNAI2;VDAC3;NDUFC1;NDUFB5;NDUFB8;ATP5D;NDUFB6;NDUFA1;VDAC1;NDUFB9;UBE2L3;UQCR11;NDUFS7;NDUFA7;ATP5J;NDUFB10;NDUFA4;ATP5G3;NDUFS4;LRRK2;PRKACA;COX6B1;ATP5G2;NDUFA11;NDUFS5;NDUFV3;NDUFA13;NDUFB2;NDUFB11;NDUFA8;COX6B2;NDUFS8"
"Oxidative phosphorylation",9.03383787921033e-21,1.36410951976076e-18,1.1778932614942,0.528698554736819,4.25676223522693,98,"COX7A2L;ATP5C1;ATP5A1;UQCRQ;UQCRH;COX7C;COX7A2;ATP5H;COX4I1;NDUFA9;UQCRC1;COX6C;ATP5E;UQCRC2;ATP5F1;COX5B;NDUFA2;COX5A;SDHD;NDUFA12;ATP5B;ATP5O;UQCRB;NDUFS3;NDUFB4;UQCR10;ATP5G1;ATP5L;NDUFV1;NDUFS6;ATP6V1A;COX6A1;PPA1;NDUFAB1;COX8A;NDUFC2;ATP5K;NDUFS2;NDUFB7;UQCRFS1;NDUFA3;SDHB;COX7B;ATP5J2;NDUFA6;ATP6V1G1;NDUFA5;CYC1;NDUFV2;NDUFC1;ATP6V1E1;NDUFB5;NDUFB8;ATP5D;NDUFB6;NDUFA1;NDUFB9;UQCR11;NDUFS7;NDUFA7;ATP5J;NDUFB10;ATP6V0D1;ATP6V0E;COX17;NDUFA4;ATP5G3;ATP6V1H;NDUFS4;COX6B1;ATP5G2;NDUFA11;ATP6V0A2;NDUFS5;PPA2;NDUFV3;NDUFA13;NDUFB2;NDUFB11;NDUFA8;COX6B2;NDUFS8"
"Huntington disease",5.11988941289662e-17,5.15402200898259e-15,1.06720998682811,0.406436381024613,3.723916693385,135,"COX7A2L;ATP5C1;CLTA;ATP5A1;UQCRQ;TGM2;UQCRH;COX7C;COX7A2;SLC25A5;CYCS;ATP5H;COX4I1;NDUFA9;UQCRC1;COX6C;ATP5E;UQCRC2;ATP5F1;COX5B;NDUFA2;COX5A;SDHD;NDUFA12;ATP5B;ATP5O;UQCRB;NDUFS3;NDUFB4;UQCR10;BAX;ATP5G1;VDAC2;NDUFV1;NDUFS6;COX6A1;SLC25A4;NDUFAB1;COX8A;NDUFC2;NDUFS2;NDUFB7;UQCRFS1;NDUFA3;SDHB;COX7B;NDUFA6;NDUFA5;CYC1;NDUFV2;VDAC3;DCTN2;NDUFC1;CLTC;NDUFB5;NDUFB8;ATP5D;NDUFB6;NDUFA1;VDAC1;NDUFB9;UQCR11;CREB3;NDUFS7;NDUFA7;ATP5J;NDUFB10;ITPR1;NDUFA4;POLR2J;ATP5G3;POLR2G;NDUFS4;POLR2L;BBC3;COX6B1;ATP5G2;NDUFA11;CREB3L2;AP2B1;NDUFS5;POLR2F;NDUFV3;NDUFA13;NDUFB2;POLR2H;NDUFB11;AP2A2;POLR2E;HDAC1;NDUFA8;SOD2;COX6B2;NDUFS8"
"ECM-receptor interaction",2.3122654626952e-11,1.16384028288992e-09,0.863415391606693,0.663375769809453,3.68780412146107,31,"THBS1;COL4A4;COL4A3;CD36;DAG1;NPNT;LAMA5;COL4A2;LAMC1;AGRN;HSPG2;LAMC2;COL4A1;THBS3;ITGB1;LAMA3;ITGA3;COL4A5;ITGB6;ITGA6;SDC4;ITGAV;ITGB3;LAMB2;ITGA9;SDC1;COL4A6"
"Proteasome",1.4350447403627e-09,6.19119302270767e-08,0.788186810800237,0.541083695515534,3.39105273381624,42,"PSMB1;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;POMP;PSMC5"
"Alzheimer disease",1.34917557685949e-13,8.14902048423132e-12,0.943632225232838,0.392416216373978,3.35909462809619,118,"COX7A2L;ATP5C1;ATP5A1;UQCRQ;ADAM10;UQCRH;COX7C;COX7A2;CYCS;ATP5H;COX4I1;NDUFA9;UQCRC1;COX6C;ATP5E;PPP3CA;UQCRC2;ATP5F1;COX5B;NDUFA2;COX5A;SDHD;NDUFA12;ATP5B;CALM2;ATP5O;UQCRB;NDUFS3;NDUFB4;APP;UQCR10;ATP5G1;NDUFV1;NDUFS6;HSD17B10;COX6A1;NDUFAB1;COX8A;GAPDH;NDUFC2;NDUFS2;NDUFB7;UQCRFS1;NDUFA3;SDHB;COX7B;NDUFA6;NDUFA5;CYC1;NDUFV2;NDUFC1;GSK3B;NDUFB5;NDUFB8;ATP5D;NDUFB6;NDUFA1;NDUFB9;CAPN2;CALM1;UQCR11;APBB1;NDUFS7;NDUFA7;ATP5J;NDUFB10;ITPR1;NDUFA4;ATP5G3;NDUFS4;COX6B1;ATP5G2;NDUFA11;ATP2A2;PSEN1;NDUFS5;NDUFV3;NDUFA13;NDUFB2;RTN4;NDUFB11;BAD;NDUFA8;COX6B2;NDUFS8"
"Thermogenesis",6.83251689190752e-14,5.15855025339018e-12,0.954541630725724,0.345091104014388,3.33877491607816,153,"COX7A2L;ACTG1;ATP5C1;ATP5A1;UQCRQ;UQCRH;COX7C;COX7A2;PRKAB1;ATP5H;COX4I1;NDUFA9;UQCRC1;COX6C;ATP5E;UQCRC2;ATP5F1;COX5B;ACSL4;NDUFA2;COX5A;SDHD;NDUFA12;ATP5B;ATP5O;UQCRB;NDUFS3;NDUFB4;UQCR10;ATP5G1;ATP5L;NDUFV1;NDUFS6;COX6A1;GNAS;NDUFAB1;COX8A;COX20;NDUFC2;ATP5K;NDUFS2;NDUFB7;UQCRFS1;NDUFA3;SDHB;COX7B;KRAS;ATP5J2;NDUFA6;NDUFA5;CYC1;NDUFV2;HRAS;NDUFC1;ACSL5;NDUFB5;NDUFB8;ATP5D;NDUFB6;NDUFA1;NDUFB9;SMARCD3;SMARCB1;UQCR11;CREB3;NDUFS7;NDUFA7;ATP5J;NDUFB10;MAPK13;COX17;COX14;NDUFA4;ATP5G3;NDUFS4;ARID1A;PRKACA;COX6B1;ATP5G2;NDUFA11;CREB3L2;COA3;NDUFAF4;MAP3K5;NDUFS5;PNPLA2;NDUFV3;NDUFA13;NDUFB2;NDUFAF2;NDUFB11"
"Cardiac muscle contraction",2.05000409651926e-07,5.62819306498923e-06,0.690132458796796,0.538271925681396,3.03934308857747,33,"ATP1B1;COX7A2L;UQCRQ;UQCRH;COX7C;COX7A2;COX4I1;UQCRC1;COX6C;UQCRC2;COX5B;COX5A;UQCRB;UQCR10;COX6A1;COX8A;UQCRFS1;COX7B;TPM4;ATP1B3;TPM3;CYC1"
"Systemic lupus erythematosus",3.62998246962525e-07,9.1354558818902e-06,0.674962860011025,0.622472265312735,3.03791027292733,22,"H2-AA;H3F3A;H2AFZ;ACTN4;HC;H2-AB1;H2-EB1;SNRPD1;H2AFJ;SNRPB;H2AFX;SNRPD3;H2-DMB1;SSB;H2AFV"
"Cholesterol metabolism",1.61130476440769e-06,3.10936406596187e-05,0.643551836150722,0.640473380445179,3.02126939061216,20,"NPC2;CD36;LRPAP1;APOC1;TSPO;VDAC2;VAPA;SOAT1;VDAC3;ABCA1;VDAC1;NCEH1;NPC1;OSBPL5;LIPA;SORT1"
