"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Reactome_2016.1","Peptide chain elongation Homo sapiens R-HSA-156902","23/84",7.58432274006951e-52,1.16040137923064e-48,0,0,195.578231292517,23021.1892421245,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;EEF1A1;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.2","Eukaryotic Translation Elongation Homo sapiens R-HSA-156842","23/89",3.51891227683753e-51,2.69196789178071e-48,0,0,184.590690208668,21444.5812175069,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;EEF1A1;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.3","Viral mRNA Translation Homo sapiens R-HSA-192823","22/84",9.34559189062731e-49,4.76625186421993e-46,0,0,187.074829931973,20688.9355881187,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.5","Eukaryotic Translation Termination Homo sapiens R-HSA-72764","22/87",2.26607614191802e-48,6.93419299426913e-46,0,0,180.623973727422,19815.5399293504,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.4","Selenocysteine synthesis Homo sapiens R-HSA-2408557","22/87",2.26607614191802e-48,8.66774124283641e-46,0,0,180.623973727422,19815.5399293504,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.6","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956","22/89",4.01147396248137e-48,1.02292586043275e-45,0,0,176.565008025682,19269.4090353237,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.7","Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689","22/96",2.65208918900439e-47,5.79670922739531e-45,0,0,163.690476190476,17555.1736361499,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.11","3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279","22/106",3.05161455836069e-46,4.24451843117442e-44,0,0,148.247978436658,15536.8689771092,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.13","GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706","22/107",3.84042437360131e-46,4.51988407046923e-44,0,0,146.862483311081,15357.8991379975,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.10","L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827","22/106",3.05161455836069e-46,4.66897027429186e-44,0,0,148.247978436658,15536.8689771092,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.12","SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339","22/107",3.84042437360131e-46,4.89654107634167e-44,0,0,146.862483311081,15357.8991379975,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.9","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957","22/106",3.05161455836069e-46,5.18774474921318e-44,0,0,148.247978436658,15536.8689771092,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.8","Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802","22/106",3.05161455836069e-46,5.83621284286482e-44,0,0,148.247978436658,15536.8689771092,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.14","Selenoamino acid metabolism Homo sapiens R-HSA-2408522","22/111",9.41005617025188e-46,1.02838471003467e-43,0,0,141.570141570142,14677.5867297853,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.16","Eukaryotic Translation Initiation Homo sapiens R-HSA-72613","22/114",1.8004191607417e-45,1.72165082245925e-43,0,0,137.844611528822,14201.8973242916,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
"Reactome_2016.15","Cap-dependent Translation Initiation Homo sapiens R-HSA-72737","22/114",1.8004191607417e-45,1.83642754395654e-43,0,0,137.844611528822,14201.8973242916,"RPS9;RPL3;RPL10;RPLP1;RPL12;RPL11;RPS6;RPL13A;RPS3A;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPL18A;RPS19;RPS18;RPL27A;RPL13;RPL15;RPL28;RPS12"
