"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.3","Parkinson disease","6/144",3.02926062247957e-06,0.000305955322870436,0,0,14.8809523809524,189.095118857204,"GNAL;UBB;ND1;CYTB;ND2;ADCY5"
"KEGG_2019_Mouse.2","Dopaminergic synapse","6/135",2.08184717856778e-06,0.000315399847553019,0,0,15.8730158730159,207.654841138568,"PPP3CA;GNAL;PPP1R1B;GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.1","Amphetamine addiction","5/68",1.30649594879834e-06,0.000395868272485896,0,0,26.2605042016807,355.781561260386,"PPP3CA;PPP1R1B;GRIN2B;CALM2;ADCY5"
"BioPlanet_2019.1","G-protein signaling pathways","6/95",2.62440631571448e-07,0.000396285353672887,0,0,22.5563909774436,341.802427351942,"PPP3CA;GNAL;AKAP9;AKAP5;CALM2;ADCY5"
"KEGG_2019_Mouse.4","Cocaine addiction","4/48",9.78462262932134e-06,0.000741185164171091,0,0,29.7619047619048,343.294598931607,"PPP1R1B;RGS9;GRIN2B;ADCY5"
"KEGG_2019_Mouse.5","cAMP signaling pathway","6/211",2.68622986956547e-05,0.00162785530095667,0,0,10.155721056195,106.886798814186,"PPP1R1B;ATP2A2;ATP2B1;GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.6","Adrenergic signaling in cardiomyocytes","5/148",5.84509857826078e-05,0.00295177478202169,0,0,12.0656370656371,117.607649671679,"ATP2A2;ATP2B1;SCN4B;CALM2;ADCY5"
"BioPlanet_2019.2","Myometrial relaxation and contraction pathways","6/155",4.6365902619029e-06,0.00350062564773669,0,0,13.8248847926267,169.790755565179,"ATP2A2;RGS9;CALM2;RAMP1;ACTB;ADCY5"
"KEGG_2019_Mouse.8","Alzheimer disease","5/175",0.000128950007306632,0.00488398152673869,0,0,10.2040816326531,91.3886302956572,"PPP3CA;ATP2A2;CYTB;GRIN2B;CALM2"
"KEGG_2019_Mouse.7","cGMP-PKG signaling pathway","5/172",0.000118903601447317,0.00514682731979103,0,0,10.3820598006645,93.8247245121423,"PPP3CA;ATP2A2;ATP2B1;CALM2;ADCY5"
"KEGG_2019_Mouse.9","Calcium signaling pathway","5/189",0.000184723438364379,0.00621902242493408,0,0,9.44822373393802,81.2230799240877,"PPP3CA;GNAL;ATP2A2;ATP2B1;CALM2"
"KEGG_2019_Mouse.10","Pancreatic secretion","4/105",0.000213564390600798,0.00647100103520419,0,0,13.6054421768707,114.987376536686,"ATP2A2;CCK;ATP2B1;ADCY5"
"BioPlanet_2019.3","Transmission across chemical synapses","6/190",1.48610026730339e-05,0.00748003801209372,0,0,11.2781954887218,125.377105785551,"GNAL;AKAP9;AKAP5;SYN2;GRIN2B;ADCY5"
"BioPlanet_2019.4","Nitric oxide signaling pathway","3/22",3.08327765384497e-05,0.0116393731432648,0,0,48.7012987012987,505.857090608255,"PPP3CA;GRIN2B;CALM2"
"KEGG_2019_Mouse.11","Thermogenesis","5/231",0.000465454040436414,0.0128211431138394,0,0,7.73036487322202,59.311202827223,"ND1;CYTB;ND2;ACTB;ADCY5"
"BioPlanet_2019.5","Calcium regulation in the cardiac cell","5/149",6.03523774339943e-05,0.0182264179850663,0,0,11.9846596356663,116.434686206803,"ATP2A2;ATP2B1;RGS9;CALM2;ADCY5"
"BioPlanet_2019.6","Opioid signaling","4/80",7.44190157873416e-05,0.0187287856398143,0,0,17.8571428571429,169.746411790051,"PPP3CA;GNAL;PPP1R1B;ADCY5"
"KEGG_2019_Mouse.14","Oxytocin signaling pathway","4/154",0.00090961501619905,0.0196866678505937,0,0,9.27643784786642,64.9581549822826,"PPP3CA;CALM2;ACTB;ADCY5"
"KEGG_2019_Mouse.13","Long-term potentiation","3/67",0.000877301480993328,0.0204478729800753,0,0,15.9914712153518,112.558526557115,"PPP3CA;GRIN2B;CALM2"
"KEGG_2019_Mouse.12","Retrograde endocannabinoid signaling","4/150",0.00082465584261724,0.0208225600260853,0,0,9.52380952380952,67.624232563135,"ND1;ND2;GABRG1;ADCY5"
"BioPlanet_2019.9","Calcium signaling pathway","5/178",0.000139635135837583,0.0234276727905277,0,0,10.0321027287319,89.0497362552518,"PPP3CA;GNAL;ATP2A2;ATP2B1;CALM2"
"BioPlanet_2019.7","Alzheimer's disease","5/169",0.000109469304216307,0.0236140927666605,0,0,10.5663567202029,96.3637613567026,"PPP3CA;ATP2A2;CYTB;GRIN2B;CALM2"
"KEGG_2019_Mouse.15","Gastric acid secretion","3/74",0.00117083137882735,0.0236507938523124,0,0,14.4787644787645,97.7322567903581,"CALM2;ACTB;ADCY5"
"KEGG_2019_Mouse.16","Renin secretion","3/76",0.00126472936117339,0.023950812277221,0,0,14.0977443609023,94.0727977926926,"PPP3CA;CALM2;ADCY5"
"KEGG_2019_Mouse.17","Salivary secretion","3/78",0.00136324535973488,0.0242978437646864,0,0,13.7362637362637,90.6303176921621,"ATP2B1;CALM2;ADCY5"
"Reactome_2016.3","Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314","5/142",4.79939664286169e-05,0.0244769228785946,0,0,12.5754527162978,125.055775331502,"GNAL;AKAP9;AKAP5;GRIN2B;ADCY5"
"BioPlanet_2019.8","Neuronal system","6/283",0.000136495518695882,0.0257635291538477,0,0,7.57193336698637,67.3842915745455,"GNAL;AKAP9;AKAP5;SYN2;GRIN2B;ADCY5"
"Reactome_2016.2","Cardiac conduction Homo sapiens R-HSA-5576891","5/135",3.76914399945582e-05,0.028833951595837,0,0,13.2275132275132,134.736475464797,"SCN8A;AKAP9;ATP2A2;ATP2B1;SCN4B"
"Reactome_2016.4","Opioid Signalling Homo sapiens R-HSA-111885","4/81",7.81226919070583e-05,0.0298819296544498,0,0,17.636684303351,166.794179787192,"PPP3CA;GNAL;PPP1R1B;ADCY5"
"KEGG_2019_Mouse.18","Dilated cardiomyopathy (DCM)","3/90",0.00205589937121261,0.0346076394154122,0,0,11.9047619047619,73.6552604351161,"ATP2A2;ACTB;ADCY5"
"KEGG_2019_Mouse.19","Alcoholism","4/199",0.00233194209513525,0.0371883397276832,0,0,7.17875089734386,43.5107957025246,"PPP1R1B;GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.22","Rap1 signaling pathway","4/209",0.00278337622343714,0.0383346816227933,0,0,6.83526999316473,40.2193480470819,"GRIN2B;CALM2;ACTB;ADCY5"
"KEGG_2019_Mouse.23","Aldosterone synthesis and secretion","3/102",0.00293448585713151,0.0386586615091672,0,0,10.5042016806723,61.2523426207257,"ATP2B1;CALM2;ADCY5"
"KEGG_2019_Mouse.21","Circadian entrainment","3/99",0.00269656795130871,0.0389076232974543,0,0,10.8225108225108,64.023543762843,"GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.20","Phototransduction","2/27",0.00258400542287355,0.0391476821565343,0,0,26.4550264550265,157.630015725627,"RGS9;CALM2"
"Reactome_2016.1","Transmission across Chemical Synapses Homo sapiens R-HSA-112315","6/211",2.68622986956547e-05,0.0410993170043516,0,0,10.155721056195,106.886798814186,"GNAL;AKAP9;AKAP5;SYN2;GRIN2B;ADCY5"
"Reactome_2016.7","Muscle contraction Homo sapiens R-HSA-397014","5/196",0.000218718230426306,0.0478055560788927,0,0,9.11078717201166,76.7832204410593,"SCN8A;AKAP9;ATP2A2;ATP2B1;SCN4B"
