"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"DNA Replication Homo sapiens R-HSA-69306",5.48463897240741e-15,2.65822168862679e-12,0.996986217533181,0.515674911312149,3.97760878297136,75,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;PCNA;GMNN;LIG1;PSMB7;DBF4;RPA2;PSMC2;ORC6;PSMD13;FEN1;RFC1;MCM6;PSMA1;RFC5;PSMC6;PSMD6;RFC2;PSMD7;PSME2;POLD2;MCM7;MCM2;RPA1;PSMC3;PSMD12;PSMC4;RFC4;PSMB8;PSMC5;UBA52;RPA3;RFC3;PSMD10;GINS4;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
"Synthesis of DNA Homo sapiens R-HSA-69239",3.79938871354901e-13,9.20718531583377e-11,0.932595211336209,0.503007835143398,3.81192291923154,71,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PCNA;LIG1;PSMB7;RPA2;PSMC2;ORC6;PSMD13;FEN1;RFC1;MCM6;PSMA1;RFC5;PSMC6;PSMD6;RFC2;PSMD7;PSME2;POLD2;MCM7;MCM2;RPA1;PSMC3;PSMD12;PSMC4;RFC4;PSMB8;PSMC5;UBA52;RPA3;RFC3;PSMD10;GINS4;PSMC1;PSMD2;PSMB10;PSMD14"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200",1.29371155038015e-15,1.88105659425273e-12,1.01754479730988,0.454678180843392,3.80133681677317,100,"COX7A2L;ATP5C1;ATP5A1;UQCRQ;UQCRH;COX7C;CYCS;ATP5H;COX4I1;NDUFA9;UQCRC1;COX6C;ATP5E;UQCRC2;ATP5F1;ETFB;COX5B;NDUFA2;COX5A;SDHD;NDUFA12;ATP5B;ATP5O;UQCRB;NDUFS3;ETFA;NDUFB4;UQCR10;ATP5G1;ATP5L;NDUFV1;NDUFS6;COX6A1;NDUFAB1;COX8A;COX20;NDUFC2;NDUFS2;NDUFB7;UQCRFS1;NDUFA3;SDHB;COX7B;ATP5J2;NDUFA6;NDUFA5;CYC1;NDUFV2;NDUFC1;NDUFB5;NDUFB8;ATP5D;NDUFB6;NDUFA1;NDUFB9;UQCR11;NDUFS7;NDUFA7;ATP5J;NDUFB10;COX14;NDUFA4;ATP5G3;NDUFS4;COX6B1;ATP5G2;NDUFA11;NDUFAF4;NDUFS5;NDUFV3;NDUFA13;UCP2;NDUFB2;NDUFAF2;NDUFB11"
"AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408",5.94409210334623e-12,7.20225826522118e-10,0.887074988399873,0.55650897099741,3.71525089737094,51,"PABPC1;PSMB1;UBB;PSMA2;HSPA8;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;HSPB1;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;HSPA1A;HNRNPD;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;EIF4G1;PSMD14"
"S Phase Homo sapiens R-HSA-69242",3.57858293292213e-14,1.30081489611719e-11,0.965327754226083,0.465103693557017,3.70165343992211,88,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;CKS1B;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PCNA;LIG1;PSMB7;RPA2;PSMC2;ORC6;PSMD13;FEN1;RFC1;MCM6;PSMA1;CDC25B;CDK4;RFC5;PSMC6;PSMD6;RFC2;PSMD7;PSME2;POLD2;MCM7;RAD21;MCM2;RPA1;PSMC3;PSMD12;PSMC4;PDS5A;RFC4;PSMB8;PSMC5;UBA52;MAX;RPA3;RFC3;SMC3;PSMD10;GINS4;PSMC1;PSMD2;PSMB10;PSMD14;SMC1A;POLD3;STAG1"
"Antigen processing-Cross presentation Homo sapiens R-HSA-1236975",9.0564047859007e-13,1.8811446512428e-10,0.921426003494898,0.526809783948952,3.68268375498983,60,"PSMB1;UBB;PSMA2;CD36;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;SEC61B;PSMB7;CYBA;PSMC2;CALR;PDIA3;PSMD13;B2M;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;CTSL;PSMC3;PSMD12;PSMC4;TAPBP;PSMB8;SEC61A1;PSMC5;UBA52;SEC61G;ITGAV;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Extracellular matrix organization Homo sapiens R-HSA-1474244",6.1855130517655e-14,1.79874719545341e-11,0.954541630725724,0.440117761707187,3.63042848625492,98,"CTSD;THBS1;SPARC;LTBP4;FBLN5;P4HB;CDH1;COL4A4;COL4A3;ADAM10;DAG1;ICAM1;MMP15;LAMA5;PPIB;PTPRS;COL4A2;LAMC1;PCOLCE;BSG;SERPINH1;AGRN;HSPG2;MMP14;TGFB2;LAMC2;COL4A1;LTBP3;PDGFA;ADAM9;ITGB1;COL12A1;MATN4;TIMP2;LAMA3;PLOD2;LOX;PLEC;TGFB3;ITGA3;COL4A5;MMP11;CAPNS1;CTSL;ITGB6;DDR1;BMP4;ITGA6;SDC4;CAPN2;EFEMP2;FURIN;ACTN1;ITGAV;HTRA1;F11R;CD151;ITGB3;LAMB2;ITGA9;PDGFB;SDC1;CTSB;COL4A6;PSEN1;EFEMP1"
"G1/S Transition Homo sapiens R-HSA-69206",1.93980243582441e-12,3.52559092711087e-10,0.898671232061694,0.470025338324073,3.62549519653715,75,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;CKS1B;PSMB4;PSMB5;UBC;TYMS;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;PCNA;PSMB7;RRM2;DBF4;RPA2;PSMC2;ORC6;PSMD13;MCM6;DHFR;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PKMYT1;MCM7;MCM2;RPA1;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;MAX"
"DNA Replication Pre-Initiation Homo sapiens R-HSA-69002",5.39626130731058e-12,7.13287630984507e-10,0.887074988399873,0.519472924786242,3.61090095363181,59,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;GMNN;PSMB7;DBF4;RPA2;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;RPA1;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;RPA3;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
"M/G1 Transition Homo sapiens R-HSA-68874",5.39626130731058e-12,7.13287630984507e-10,0.887074988399873,0.519472924786242,3.61090095363181,59,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;GMNN;PSMB7;DBF4;RPA2;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;RPA1;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;RPA3;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
"Ubiquitin-dependent degradation of Cyclin D Homo sapiens R-HSA-75815",2.94492691543385e-10,1.71276949401633e-08,0.814035837847908,0.539375133911909,3.60256377790323,47,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Ubiquitin-dependent degradation of Cyclin D1 Homo sapiens R-HSA-69229",2.94492691543385e-10,1.71276949401633e-08,0.814035837847908,0.539375133911909,3.60256377790323,47,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"The role of GTSE1 in G2/M progression after G2 checkpoint Homo sapiens R-HSA-8852276",2.96495799295939e-11,2.84624732921330e-09,0.851339057116899,0.533025821427581,3.56689253310049,49,"HSP90AB1;CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;HSP90AA1;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517",5.18431864871941e-15,2.65822168862679e-12,0.996986217533181,0.397723679306282,3.55522767735402,128,"COX7A2L;ATP5C1;ATP5A1;UQCRQ;UQCRH;COX7C;CYCS;IDH2;ATP5H;COX4I1;NDUFA9;UQCRC1;MDH2;COX6C;LDHA;BSG;ATP5E;UQCRC2;ATP5F1;ETFB;COX5B;NDUFA2;COX5A;SDHD;NDUFA12;ATP5B;ATP5O;UQCRB;NDUFS3;ETFA;NDUFB4;UQCR10;IDH3G;ATP5G1;SUCLG1;ATP5L;NDUFV1;MPC1;NDUFS6;COX6A1;NDUFAB1;COX8A;COX20;NDUFC2;NDUFS2;NDUFB7;UQCRFS1;NDUFA3;SDHB;COX7B;ATP5J2;NDUFA6;NDUFA5;CYC1;NDUFV2;NDUFC1;OGDH;NDUFB5;NDUFB8;ATP5D;NDUFB6;NDUFA1;NDUFB9;UQCR11;IDH3B;NDUFS7;NDUFA7;ATP5J;NDUFB10;COX14;NDUFA4;ATP5G3;NDUFS4;PPARD;COX6B1;ATP5G2;NDUFA11;NDUFAF4;LDHB;NDUFS5;IDH3A;HAGH;NDUFV3;NDUFA13;GLO1;UCP2;NDUFB2;NDUFAF2;NDUFB11"
"Regulation of ornithine decarboxylase (ODC) Homo sapiens R-HSA-350562",9.08837693485386e-10,3.97949911978206e-08,0.801215574617779,0.533639635040216,3.53172630519775,46,"PSMB1;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;ODC1;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;OAZ1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;OAZ2;PSMD12;PSMC4;PSMB8;PSMC5;AZIN1;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
