"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"Processing of Capped Intron-Containing Pre-mRNA Homo sapiens R-HSA-72203",9.16170407695831e-05,0.00097179503959165,0.431009262424258,4.74299462133932,0,187,"YBX1;SRSF5;POLR2F;SNRPE;SNRNP35;HNRNPA1;LSM3;CCAR1;SNRPG;POLR2K;SRSF1;CSTF3;GTF2F2;HNRNPA2B1;SNRPD3;HSPA8;EFTUD2;DDX39B;DDX5;SNRPA1;PCBP1;PDCD7;HNRNPF;HNRNPR;SNRPD1;RBM8A;LSM2;NUDT21;METTL3;SNRPF;PABPN1;PRPF31;EIF4A3;NUP88;LSM5;SRSF2;SNRNP25;ZMAT5;SF3B4;CSTF1;RNPC3;PCF11;RAE1;MAGOH;SARNP;BCAS2;RNPS1;SUGP1;THOC2;NXF1;ALYREF;PAPOLA;SF3B6;POLR2G;SNRPB;POLR2L;CWC15;SF3B2;FIP1L1;SRSF11;POLR2I;THOC5;NUP37;SNRPB2;HNRNPA0;HNRNPM;UPF3B;U2AF2;HNRNPD;DNAJC8;NUP43;CTNNBL1;SNRNP48;HNRNPUL1;NUP133;SF3B5;HNRNPK;SRSF7;SLU7;POLR2J;HNRNPA3;DDX39A;SF3B3;SRSF3;NUP205;PPIH;NUP85;RANBP2;LSM4;TXNL4A;CSTF2;NUPL2;SRRM1;SF3B1;CPSF3;THOC3;PTBP1;NUP50;POLR2H;LSM7;PLRG1;POLR2C;CHTOP;FUS;PRPF3;NUP153;NUP98;SNRNP40;EIF4E;HNRNPU;ELAVL1;SLBP;USP39;NUP54;SRSF6;AAAS;TPR;NUP155;SRSF4;SNRNP70;LSM6;PHF5A;TRA2B;HNRNPL;RBMX;SRSF9;PRPF6;THOC7;CLP1;HNRNPC;NCBP1;POLR2D;PRPF19;SF3A3;SF3A1;SNRPA;PRPF8;NDC1;POLR2A;NUP107;NUP93;THOC6;POLR2E;SNRPD2;LSM8;DHX9;HNRNPH1;NUP62;HNRNPH2"
"mRNA Splicing Homo sapiens R-HSA-72172",4.08713777741448e-05,0.000497491770447582,0.4477710452921,4.59518931946236,0,140,"YBX1;SRSF5;POLR2F;SNRPE;SNRNP35;HNRNPA1;LSM3;CCAR1;SNRPG;POLR2K;SRSF1;CSTF3;GTF2F2;HNRNPA2B1;SNRPD3;HSPA8;EFTUD2;DDX5;SNRPA1;PCBP1;PDCD7;HNRNPF;HNRNPR;SNRPD1;RBM8A;LSM2;NUDT21;SNRPF;PABPN1;PRPF31;EIF4A3;LSM5;SRSF2;SNRNP25;ZMAT5;SF3B4;CSTF1;RNPC3;PCF11;MAGOH;BCAS2;RNPS1;SUGP1;ALYREF;PAPOLA;SF3B6;POLR2G;SNRPB;POLR2L;CWC15;SF3B2;FIP1L1;SRSF11;POLR2I;SNRPB2;HNRNPA0;HNRNPM;UPF3B;U2AF2;HNRNPD;DNAJC8;CTNNBL1;SNRNP48;HNRNPUL1;SF3B5;HNRNPK;SRSF7;SLU7;POLR2J;HNRNPA3;SF3B3;SRSF3;PPIH;LSM4;TXNL4A;CSTF2;SRRM1;SF3B1;CPSF3;PTBP1;POLR2H;LSM7;PLRG1;POLR2C;FUS;PRPF3;SNRNP40;HNRNPU;ELAVL1;USP39;SRSF6;SRSF4;SNRNP70;LSM6;PHF5A;TRA2B;HNRNPL;RBMX;SRSF9;PRPF6;CLP1;HNRNPC;NCBP1;POLR2D;PRPF19;SF3A3;SF3A1;SNRPA;PRPF8;POLR2A;POLR2E;SNRPD2;LSM8;DHX9;HNRNPH1;HNRNPH2"
"mRNA Splicing - Major Pathway Homo sapiens R-HSA-72163",3.63385297430866e-05,0.000453468207298181,0.447066257723739,4.52290223730686,0,133,"YBX1;SRSF5;POLR2F;SNRPE;HNRNPA1;LSM3;CCAR1;SNRPG;POLR2K;SRSF1;CSTF3;GTF2F2;HNRNPA2B1;SNRPD3;HSPA8;EFTUD2;DDX5;SNRPA1;PCBP1;HNRNPF;HNRNPR;SNRPD1;RBM8A;LSM2;NUDT21;SNRPF;PABPN1;PRPF31;EIF4A3;LSM5;SRSF2;SF3B4;CSTF1;PCF11;MAGOH;BCAS2;RNPS1;SUGP1;ALYREF;PAPOLA;SF3B6;POLR2G;SNRPB;POLR2L;CWC15;SF3B2;FIP1L1;SRSF11;POLR2I;SNRPB2;HNRNPA0;HNRNPM;UPF3B;U2AF2;HNRNPD;DNAJC8;CTNNBL1;HNRNPUL1;SF3B5;HNRNPK;SRSF7;SLU7;POLR2J;HNRNPA3;SF3B3;SRSF3;PPIH;LSM4;TXNL4A;CSTF2;SRRM1;SF3B1;CPSF3;PTBP1;POLR2H;LSM7;PLRG1;POLR2C;FUS;PRPF3;SNRNP40;HNRNPU;ELAVL1;USP39;SRSF6;SRSF4;SNRNP70;LSM6;PHF5A;TRA2B;HNRNPL;RBMX;SRSF9;PRPF6;CLP1;HNRNPC;NCBP1;POLR2D;PRPF19;SF3A3;SF3A1;SNRPA;PRPF8;POLR2A;POLR2E;SNRPD2;LSM8;DHX9;HNRNPH1;HNRNPH2"
"G1/S Transition Homo sapiens R-HSA-69206",2.33530277200439e-05,0.000330278534897764,0.453772911314548,4.3314885985636,0,108,"MYC;UBA52;CDT1;PSME2;PSMB8;PSMA3;PSMA4;SKP1;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;PSMC2;PSMA1;WEE1;PSMC4;CCNB1;PSMA5;UBB;PSMC1;CDKN1A;PSMB7;PSMB5;E2F1;PSMC3;PSMB9;CCNE2;PSMA7;PSMC5;MCM4;CDC6;PRIM1;ORC5;PCNA;PKMYT1;MCM2;ORC1;CDK4;PSME1;TFDP1;MCM7;DBF4;MCM8;MCM10;PSMF1;PSMD7;MCM6;CDK1;CKS1B;RRM2;MCM3;CDK2;PPP2R1B;PSMD14;PSMD8;CCNE1;PSMA6;POLE;CCNH;MCM5;SKP2;CDC45;TYMS;PPP2R1A;PSMB4;CDC25A;PRIM2;DHFR;PSMD5;MNAT1;PSMD13;CCNA2;FBXO5;PPP2CA;PSMD3;CDC7;ORC6;RPA1;PSMD11;PSMD4"
"DNA Replication Homo sapiens R-HSA-69306",1.99159546712872e-05,0.000298739320069307,0.462012561266157,4.2973883091563,0,99,"UBA52;CDT1;PSME2;PSMB8;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;GMNN;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;PSMC2;PSMA1;PSMC4;PSMA5;UBB;PSMC1;CDKN1A;PSMB7;PSMB5;RFC5;POLD2;E2F1;PSMC3;PSMB9;RFC3;GINS4;FEN1;PSMA7;PSMC5;MCM4;CDC6;PRIM1;POLD3;RFC4;ORC5;GINS2;PCNA;MCM2;DNA2;RFC1;ORC1;PSME1;MCM7;DBF4;MCM8;GINS3;MCM10;PSMF1;PSMD7;MCM6;MCM3;CDK2;PSMD14;PSMD8;PSMA6;POLE;MCM5;CDC45;E2F2;PSMB4;RFC2;PRIM2;PSMD5;PSMD13;CCNA2;PSMD3;LIG1;CDC7;ORC6;RPA1;PSMD11;PSMD4;POLA2;PSMD6;POLE2;GINS1;ORC3"
"Mitotic Metaphase and Anaphase Homo sapiens R-HSA-2555396",6.1576354679803e-05,0.000692733990147783,0.402883460595879,4.29672301372176,0,164,"UBA52;LMNA;BANF1;PSME2;CDCA5;PSMB8;CDC26;PSMA3;SKA2;PPP1CC;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;PTTG1;PSMB2;PSMD12;PSME3;PSMB1;UBC;SPC25;PSMD2;PPP2R5C;PSMC6;PSMC2;PSMA1;ANAPC7;AURKB;PSMC4;CENPE;PSMA5;CENPF;UBB;PMF1;PLK1;PSMC1;LMNB1;CENPP;SPC24;PAFAH1B1;UBE2E1;ANAPC5;PSMB7;CENPH;PSMB5;KIF2C;PSMC3;NUDC;PSMB9;CENPA;CENPN;CDC20;STAG2;PSMA7;PSMC5;ITGB3BP;NUP37;CENPK;ANAPC4;CDC23;MAD1L1;UBE2D1;ANAPC11;NSL1;NUP43;BUB3;VRK1;ERCC6L;NUF2;NUP133;PSME1;TAOK1;RAD21;RANGAP1;KNTC1;MAD2L1;PSMF1;BIRC5;SMC3;PSMD7;ZWINT;BUB1;NUP85;NDC80;PPP2R1B;RANBP2;CENPO;UBE2C;PSMD14;SKA1;DSN1;PSMD8;CKAP5;PSMA6;SPDL1;CENPM;PPP2R1A;NUP98;PSMB4;MAPRE1;CENPU;ANAPC16;PSMD5;KIF18A;TMPO;LEMD3;PSMD13;CLASP2;FBXO5;CENPI;PPP2CA;PSMD3;SMC1A;SEC13;CLIP1;NDE1;PSMD11;PSMD4;INCENP;BUB1B;ANKLE2;LEMD2;CENPL;ANAPC2;PDS5B;CDCA8;PSMD6;ESPL1;PPP2R5E;CENPT;NUP107;XPO1;ZW10"
"Mitotic Anaphase Homo sapiens R-HSA-68882",6.05180343742435e-05,0.000686025046150776,0.40184110139537,4.28301979113888,0,163,"UBA52;LMNA;BANF1;PSME2;CDCA5;PSMB8;CDC26;PSMA3;SKA2;PPP1CC;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;PTTG1;PSMB2;PSMD12;PSME3;PSMB1;UBC;SPC25;PSMD2;PPP2R5C;PSMC6;PSMC2;PSMA1;ANAPC7;AURKB;PSMC4;CENPE;PSMA5;CENPF;UBB;PMF1;PLK1;PSMC1;LMNB1;CENPP;SPC24;PAFAH1B1;UBE2E1;ANAPC5;PSMB7;CENPH;PSMB5;KIF2C;PSMC3;NUDC;PSMB9;CENPA;CENPN;CDC20;STAG2;PSMA7;PSMC5;ITGB3BP;NUP37;CENPK;ANAPC4;CDC23;MAD1L1;UBE2D1;ANAPC11;NSL1;NUP43;BUB3;VRK1;ERCC6L;NUF2;NUP133;PSME1;TAOK1;RAD21;RANGAP1;KNTC1;MAD2L1;PSMF1;BIRC5;SMC3;PSMD7;ZWINT;BUB1;NUP85;NDC80;PPP2R1B;RANBP2;CENPO;UBE2C;PSMD14;SKA1;DSN1;PSMD8;CKAP5;PSMA6;SPDL1;CENPM;PPP2R1A;NUP98;PSMB4;MAPRE1;CENPU;ANAPC16;PSMD5;KIF18A;TMPO;LEMD3;PSMD13;CLASP2;CENPI;PPP2CA;PSMD3;SMC1A;SEC13;CLIP1;NDE1;PSMD11;PSMD4;INCENP;BUB1B;ANKLE2;LEMD2;CENPL;ANAPC2;PDS5B;CDCA8;PSMD6;ESPL1;PPP2R5E;CENPT;NUP107;XPO1;ZW10"
"Separation of Sister Chromatids Homo sapiens R-HSA-2467813",5.00976904964681e-05,0.000590437066565517,0.402725343578016,4.22613452850284,0,152,"UBA52;PSME2;CDCA5;PSMB8;CDC26;PSMA3;SKA2;PPP1CC;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;PTTG1;PSMB2;PSMD12;PSME3;PSMB1;UBC;SPC25;PSMD2;PPP2R5C;PSMC6;PSMC2;PSMA1;ANAPC7;AURKB;PSMC4;CENPE;PSMA5;CENPF;UBB;PMF1;PLK1;PSMC1;CENPP;SPC24;PAFAH1B1;UBE2E1;ANAPC5;PSMB7;CENPH;PSMB5;KIF2C;PSMC3;NUDC;PSMB9;CENPA;CENPN;CDC20;STAG2;PSMA7;PSMC5;ITGB3BP;NUP37;CENPK;ANAPC4;CDC23;MAD1L1;UBE2D1;ANAPC11;NSL1;NUP43;BUB3;ERCC6L;NUF2;NUP133;PSME1;TAOK1;RAD21;RANGAP1;KNTC1;MAD2L1;PSMF1;BIRC5;SMC3;PSMD7;ZWINT;BUB1;NUP85;NDC80;PPP2R1B;RANBP2;CENPO;UBE2C;PSMD14;SKA1;DSN1;PSMD8;CKAP5;PSMA6;SPDL1;CENPM;PPP2R1A;NUP98;PSMB4;MAPRE1;CENPU;ANAPC16;PSMD5;KIF18A;PSMD13;CLASP2;CENPI;PPP2CA;PSMD3;SMC1A;SEC13;CLIP1;NDE1;PSMD11;PSMD4;INCENP;BUB1B;CENPL;ANAPC2;PDS5B;CDCA8;PSMD6;ESPL1;PPP2R5E;CENPT;NUP107;XPO1;ZW10"
"Synthesis of DNA Homo sapiens R-HSA-69239",1.75799447989733e-05,0.00027480229501553,0.461094341297362,4.18941968410948,0,92,"UBA52;CDT1;PSME2;PSMB8;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;PSMC2;PSMA1;PSMC4;PSMA5;UBB;PSMC1;CDKN1A;PSMB7;PSMB5;RFC5;POLD2;PSMC3;PSMB9;RFC3;GINS4;FEN1;PSMA7;PSMC5;MCM4;CDC6;PRIM1;POLD3;RFC4;ORC5;GINS2;PCNA;MCM2;DNA2;RFC1;ORC1;PSME1;MCM7;MCM8;GINS3;PSMF1;PSMD7;MCM6;MCM3;CDK2;PSMD14;PSMD8;PSMA6;POLE;MCM5;CDC45;PSMB4;RFC2;PRIM2;PSMD5;PSMD13;CCNA2;PSMD3;LIG1;ORC6;RPA1;PSMD11;PSMD4;POLA2;PSMD6;POLE2;GINS1;ORC3"
"DNA Replication Pre-Initiation Homo sapiens R-HSA-69002",1.33306671998934e-05,0.00024745050989802,0.486955912318054,4.17365826603556,0,77,"UBA52;CDT1;PSME2;PSMB8;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;RPA3;GMNN;PSMB2;PSMD12;PSME3;PSMB1;UBC;PSMD2;PSMC6;PSMC2;PSMA1;PSMC4;PSMA5;UBB;PSMC1;PSMB7;PSMB5;E2F1;PSMC3;PSMB9;PSMA7;PSMC5;MCM4;CDC6;PRIM1;ORC5;MCM2;ORC1;PSME1;MCM7;DBF4;MCM8;MCM10;PSMF1;PSMD7;MCM6;MCM3;CDK2;PSMD14;PSMD8;PSMA6;POLE;MCM5;CDC45;E2F2;PSMB4;PRIM2;PSMD5;PSMD13;PSMD3;CDC7;ORC6;RPA1;PSMD11;PSMD4;POLA2;PSMD6;POLE2;ORC3"
