"","gene","distance","Z","FC","p.value","p.adj"
"658","Gad1",0.000985619387936091,1.29740911178668,700.864658646511,1.93945012169908e-154,1.45516942631082e-150
"1450","Gria2",0.000954237070787342,1.29457586881932,656.943854034851,6.9019527947552e-145,2.58926759095241e-141
"358","Pbx1",0.00084367914317623,1.28380225802658,513.535310952214,1.07903960153169e-113,2.69867804343075e-110
"5024","Inpp5j",0.000795781702418099,1.27869329589129,456.881511162592,2.29368229551959e-101,4.30237456582088e-98
"3007","Ptpro",0.00076889703076548,1.27569055148937,426.532426168481,9.23872878542725e-95,1.38636364154121e-91
"7298","Malat1",0.000679360334777315,1.26488214097151,332.978397145274,2.15822726081298e-74,2.69886318964663e-71
"346","Atp1b1",0.000603351580812243,1.25453622771349,262.637415056788,4.56702697117918e-59,4.89520048067963e-56
"4226","Ndrg4",0.000568544830892772,1.24935968049679,233.208897670897,1.19002506034394e-52,1.11609475347007e-49
"769","Meis2",0.000538713959349727,1.24466707785924,209.378528841444,1.87695617116851e-47,1.56475579469748e-44
"5052","Camk2b",0.000504407050806254,1.23894129010947,183.559972007708,8.09422056466976e-42,6.07309368967172e-39
"454","Celf2",0.000406722598714693,1.22023711879614,119.347216063248,8.79122844907327e-28,5.99641700485425e-25
"6091","Nrxn3",0.000406167822613042,1.22011864133727,119.021855106853,1.03581938545611e-27,6.47646070756431e-25
"7034","Calm2",0.000402869846285102,1.21941100449899,117.096849661437,2.73386343082239e-27,1.57785979395849e-24
"6359","Shisa8",0.000389745277056354,1.21653690415813,109.591635351028,1.20407584094726e-25,6.45298645330519e-23
"5550","Prkca",0.000349746744944506,1.20714687781644,88.2516934826316,5.76338834709245e-21,2.88284685121564e-18
"5826","Cox7c",0.000323002374432441,1.20025508728281,75.2709011043424,4.10363184672089e-18,1.92434685912168e-15
"1912","Rps8",0.000318716878879748,1.1990984841413,73.2868091150649,1.12114691184386e-17,4.94821487033204e-15
"4309","Cox4i1",0.000311963470479448,1.19724419838871,70.2139121490697,5.32098488440311e-17,2.21796386598203e-14
"1417","Dclk1",0.00031147628160198,1.19710889790209,69.9947792720181,5.94616251169722e-17,2.34810828027706e-14
"5224","Ubb",0.000262337761279227,1.18225857972495,49.6520634337735,1.835769121618e-12,6.88688785974993e-10
"3128","Rps19",0.000261830740359047,1.1820913946515,49.4603235391812,2.02424514570256e-12,7.23233872771729e-10
"6143","Ckb",0.000244500510950314,1.17617538857956,43.1295798537638,5.12318155591267e-11,1.74723778245512e-08
"4545","Itm2b",0.000222171769821132,1.16790899037835,35.6117597401646,2.40829301230022e-09,7.85627063969068e-07
"516","Gpsm1",0.000212900133718339,1.1642319990023,32.7014909544678,1.07454767117745e-08,3.35930465701851e-06
"5099","Rps27a",0.000164622017554391,1.14208207515328,19.5520151615573,9.78974158570395e-06,0.00293809724470147
"7233","Mbp",0.000128832857877765,1.12102172930487,11.9748192544267,0.000539242969829795,0.155613077024344
"119","Abi2",0.000126411783012454,1.11939401360184,11.528977707523,0.000685196830279488,0.190408585836556
"3860","Atp2b1",0.000123296022515196,1.11725322912205,10.9676559577879,0.000927159649340013,0.248445673178504
"1588","Slc6a17",0.000120029574916581,1.11495062203634,10.394227582915,0.00126409868242803,0.327052841870949
"6991","Dlgap1",0.000118511893083126,1.11385957735835,10.1330353196013,0.00145635388331031,0.364234106215909
"7274","Tmem151a",0.000110973202239766,1.10822648256964,8.88488726818935,0.0028754079698072,0.695941483789143
"7208","Tcf4",0.000109002846226944,1.10669169446027,8.57218157706916,0.00341337919880635,0.780754661111955
"6208","Rpl30",0.000108875120757221,1.10659125826362,8.55210422160337,0.00345123059948306,0.780754661111955
"3166","Rps16",0.000108587052269741,1.10636430836662,8.50690872515645,0.00353800592800299,0.780754661111955
"3624","Akap7",0.000107902489263642,1.10582258676405,8.39998698157344,0.00375223697248325,0.804372400129766
"7502","PISD",0.000105660420276158,1.10402422146767,8.05453277462049,0.00453899472034348,0.946002149631587
"5607","Aatk",0.000102826600560339,1.10169637666862,7.62828028708404,0.0057460064898036,0.999999999999663
"170","Scg2",0.000101614153805797,1.10068094782395,7.44944803920951,0.00634559054404348,0.999999999999663
"6510","Mkl2",9.98308722035398e-05,1.09916543483692,7.190273602722,0.00732998033019536,0.999999999999663
"4207","Gnao1",9.84978191901441e-05,1.09801493742586,6.99953058348715,0.00815310929455312,0.999999999999663
"4362","Synpr",9.77504898972046e-05,1.09736318953166,6.89371890236758,0.00864991290579658,0.999999999999663
"4968","Cspg5",9.73109276923085e-05,1.09697753822601,6.83185926002461,0.00895460058244242,0.999999999999663
"7122","Pura",9.67884196858621e-05,1.09651686441026,6.75868931813016,0.00932922591270443,0.999999999999663
"7368","Gnaq",9.64231490906159e-05,1.09619335584311,6.70777223404736,0.00959935748284275,0.999999999999663
"4850","Tmem30a",9.55388225055886e-05,1.09540508404511,6.58529832815912,0.0102824382558314,0.999999999999663
"951","Rbm39",9.44984828507827e-05,1.09446844504092,6.44266214727525,0.0111411561514383,0.999999999999663
"97","Hspe1",9.37160687159386e-05,1.09375727126767,6.33641786417255,0.011828352204009,0.999999999999663
"6807","Grm4",9.26957598674834e-05,1.09282098124175,6.19919679303836,0.0127808299754455,0.999999999999663
"4911","Atp2c1",9.24089178404654e-05,1.09255592192221,6.16088999411323,0.0130605477742116,0.999999999999663
"2448","Dynll1",9.16431333965062e-05,1.09184428101995,6.0592035906026,0.0138340057623481,0.999999999999663
