"","gene","distance","Z","FC","p.value","p.adj"
"2785","SOD2",0.0117131046993362,2.19347996677498,543.771319332243,2.85098661914063e-120,2.25341982376876e-116
"385","GBP1",0.0114860030293192,2.18715677729612,522.889715294931,9.9506025823172e-116,3.93247814053176e-112
"5603","WARS",0.0111353002560546,2.17716303728587,491.446346508629,6.90405957319361e-109,1.81898956221741e-105
"3139","ZC3HAV1",0.011075755840557,2.17543761199448,486.204521816706,9.54270342706667e-108,1.88563819718837e-104
"2287","EGR1",0.0109454208938353,2.17163096873942,474.828939224102,2.85080510476785e-105,4.50655270961702e-102
"7507","BBC3",0.0107620405934193,2.16620398400686,459.051592640475,7.73181661340603e-102,1.01853797520602e-98
"6","ISG15",0.0103897099573295,2.15491893775195,427.837742917409,4.80292535931215e-95,5.42318886285761e-92
"2516","HLA-B",0.0101518704553803,2.1475142772946,408.473965247233,7.87601500138359e-91,7.78150282136699e-88
"7423","ZFP36",0.00991465702730007,2.13996876557433,389.607795363873,1.00753651152575e-86,8.84840954122172e-84
"7525","PPP1R15A",0.00979331528115747,2.13604471816418,380.129626748618,1.1661098856059e-84,9.21693253582902e-82
"332","JUN",0.00973026963466473,2.13398824572345,375.25111994489,1.34550083087367e-83,9.66803506111407e-81
"165","IFI6",0.00954647814337753,2.12792261900835,361.209040898889,1.53574811908262e-80,1.01154609443575e-77
"7265","JUNB",0.00940075519035533,2.12303668576068,350.265798637254,3.70901208941797e-78,2.25507935036613e-75
"5712","B2M",0.00925700461020154,2.11814828640154,339.635600716667,7.66002883973191e-76,4.32463342494579e-73
"7710","APOL2",0.00911103782865064,2.11311269677478,329.009127468233,1.57979846021537e-73,8.32448468636155e-71
"2493","HLA-A",0.00851466569314683,2.09173812875838,287.347517281876,1.88155666879996e-64,9.2948899438718e-62
"2511","IER3",0.00778369486521032,2.06358010505356,240.128579492789,3.68696901112915e-54,1.71422370964499e-51
"3217","SAT1",0.00761874872192911,2.05689141310595,230.059169155396,5.78680417385274e-52,2.54105001056289e-49
"5441","NFKBIA",0.00635040237796599,2.00049983976602,159.836048829435,1.228767747888e-36,5.11167383121409e-34
"4425","NNMT",0.00554210871407181,1.95888575721899,121.736925163066,2.63569072526154e-28,1.04162497462336e-25
"1273","FN1",0.00423729101159866,1.87817998341448,71.162112247797,3.29046507893098e-17,1.23846838018431e-14
"4016","IFITM3",0.0036113547620165,1.83096401833116,51.6907167076472,6.49692155184028e-13,2.31130829519104e-10
"5605","MEG3",0.00360898025273969,1.83077100694825,51.6227645163563,6.72571998853669e-13,2.31130829519104e-10
"4259","NEAT1",0.00333094177626617,1.80732281653488,43.9750487608264,3.32588664757762e-11,1.09532533593556e-08
"6611","COL1A1",0.00278536155977022,1.75555762371972,30.7493119349515,2.93607933117002e-08,9.28270841342713e-06
"7524","PLEKHA4",0.0024875877464841,1.72322792085606,24.5261321832707,7.33088106046459e-07,0.000222858784238124
"2651","EEF1A1",0.00222151142091767,1.69117953777415,19.5600223838826,9.74879510961678e-06,0.00285386950171893
"6010","SOCS1",0.00203944467123393,1.66715130232757,16.4852714302672,4.90294733559918e-05,0.0138403199073485
"5705","SERF2",0.00194422457366831,1.65378888952136,14.9818382120942,0.000108550904211036,0.0295857360994493
"7694","SELM",0.00176395976462756,1.62675781955865,12.3324566172338,0.000445150198867852,0.117282239061717
"3015","COL1A2",0.0016099798525159,1.60157889188126,10.2733747218946,0.0013496371090921,0.344113926137546
"5975","IL32",0.00142745242366141,1.56869510990294,8.0759855174469,0.00448557056649952,0.999999999999954
"6723","RNF213",0.00139288352463732,1.56203533281194,7.68956637013165,0.00555409706738396,0.999999999999954
"2278","TGFBI",0.00101318598488215,1.47677836199838,4.06865245742543,0.0436861119508336,0.999999999999954
"6857","PMAIP1",0.00100137304520833,1.47367919977465,3.97433105913703,0.0461988001114827,0.999999999999954
"5618","TNFAIP2",0.000974625639526847,1.46653602362377,3.7648520250239,0.0523404891695002,0.999999999999954
"7038","ZNFX1",0.000965003953880863,1.46392238061437,3.69088430840829,0.0547106023843135,0.999999999999954
"7278","IER2",0.00091487344432061,1.44990526769669,3.31737288194682,0.0685512909473903,0.999999999999954
"2499","HLA-E",0.000863522071901753,1.43479587376178,2.95541948521014,0.0855900928991486,0.999999999999954
"376","CYR61",0.000787917343175091,1.41097649324686,2.46055777463488,0.116737321664556,0.999999999999954
