"","gene","distance","Z","FC","p.value","p.adj"
"3684","Cd24a",0.00520037265061757,1.74312407556636,584.921734562434,3.18794641528828e-129,2.44993682014904e-125
"4580","Clu",0.0047962172065428,1.72432064556626,497.538294992912,3.26279836366635e-110,1.25373027123879e-106
"1432","Muc1",0.004652647190196,1.71728305149716,468.197478568523,7.90700744794824e-104,2.02551174124941e-100
"3393","Stard10",0.00460604779098451,1.71495517254638,458.865818233822,8.48612571338637e-102,1.63039690268436e-98
"302","Glul",0.00432963358426176,1.70067723427135,405.444221706044,3.59596759353919e-90,5.52700219126974e-87
"3217","Fxyd3",0.00391828961624863,1.67776878327969,332.064076038351,3.41376029695063e-74,4.37245798034426e-71
"7653","Gsto1",0.00384115791376737,1.67322441986067,319.119359459797,2.25281033334316e-71,2.47326391596317e-68
"4903","Eef1a1",0.00371045817296966,1.66532576691988,297.77203469539,1.00733960136229e-66,9.67675604558651e-64
"1717","Bag1",0.00364018329506703,1.6609707293163,286.599436817727,2.73856524334714e-64,2.33843043279142e-61
"335","Atp1b1",0.00352701130253302,1.65378944168169,269.055906713012,1.8225169653688e-60,1.40060428788592e-57
"1505","Txnip",0.00336232792264347,1.64294536906592,244.516945778735,4.07236887600326e-55,2.84510498291682e-52
"3903","Csrp2",0.00330178669818738,1.6388337643504,235.79079954714,3.25486019249187e-53,2.08446671494167e-50
"1886","Tspan1",0.00327472497606278,1.63697307359797,231.941516440922,2.24873247972541e-52,1.32934685436075e-49
"3318","Nr2f2",0.00322613123444069,1.63359555887139,225.109015057119,6.95078399328111e-51,3.81548392774038e-48
"269","Elf3",0.00321519697115462,1.63282902614907,223.585685799454,1.4937644613731e-50,7.65305325710154e-48
"6267","Sepp1",0.00318954259638877,1.63102095782969,220.031895990095,8.90074306638717e-50,4.27513815407409e-47
"6319","Pabpc1",0.00309302862718871,1.62409493671753,206.917254427087,6.46333547327548e-47,2.92180783012483e-44
"1809","Lurap1l",0.00308227253593797,1.62331059953338,205.480635947801,1.33018795066409e-46,5.67916355602972e-44
"5203","Gnb2l1",0.00293354485262366,1.61219501188797,186.129106918618,2.22488787434404e-42,8.99908595491262e-40
"3831","Eef2",0.00278756504518249,1.60076065405363,168.065606865199,1.95736170165972e-38,7.52116233862746e-36
"5654","Smim6",0.00278385623603544,1.60046292447477,167.618687357089,2.45069879806985e-38,8.968390601508e-36
