"","gene","distance","Z","FC","p.value","p.adj"
"5308","Ppp3ca",0.000505417048373361,1.26143687072012,437.198288317673,4.40768994719738e-97,3.58697807902923e-93
"3249","Hpca",0.000451657236015799,1.25276279097486,349.137601126418,6.53040069781138e-78,2.65722004393945e-74
"4904","Pcp4l1",0.000438705249009184,1.25051894742307,329.400565198923,1.29821137908656e-73,3.52161473433548e-70
"5765","Rgs7bp",0.000371830392887577,1.23776669272685,236.629262230336,2.13647628099966e-53,4.3466609936938e-50
"420","Akap5",0.000369004744131193,1.23717861959993,233.046496374866,1.29113334899496e-52,2.10144863882419e-49
"6355","Slc24a2",0.000333127518957558,1.22929431919452,189.932681318935,3.28870765922748e-43,4.46058382179887e-40
"744","Atp2a2",0.000326076795319703,1.22764554458882,181.977823678152,1.79305622560393e-41,2.08455593770925e-38
"745","Atp2b1",0.000262899420597244,1.21105097415941,118.292697832796,1.49599904218171e-27,1.52180502565935e-24
"5285","Ppp1r1b",0.000237531355758234,1.20323458514361,96.5651843269749,8.63534895916247e-23,7.80827442551824e-20
"2657","Foxp1",0.000235087711474033,1.20243810963471,94.5885428494171,2.34370928982909e-22,1.90731062006292e-19
"6663","Spock3",0.000234686377468069,1.20230651033561,94.2658616238783,2.75867273221794e-22,2.04091624498087e-19
"667","Arpp19",0.000184147556089893,1.18363261707194,58.0377540427568,2.57135177357447e-14,1.74380506111242e-11
"3011","Gpr88",0.000179385093902765,1.18161552117424,55.0746040110918,1.16040599381045e-13,7.26414152125341e-11
"5767","Rgs9",0.000176011644363633,1.18015412568958,53.0226560876543,3.29723207968906e-13,1.91663390460783e-10
"335","Adcy5",0.000165149500946852,1.17525113832043,46.6802539474266,8.35668212757419e-12,4.53377861027992e-09
"2925","Gnal",0.000146689550792474,1.16612920561243,36.8279068448607,1.29030006254111e-09,6.5627886930997e-07
"7510","Ubb",0.000144812638551989,1.16513830570045,35.8915002445257,2.08616813108525e-09,9.98660955927749e-07
"6135","Scn4b",0.000141973181744153,1.16361460657076,34.4977927995614,4.2673494787658e-09,1.92931611434422e-06
"297","Actb",0.00014103305973599,1.16310341257787,34.042428570382,5.39233256482549e-09,2.30962117960789e-06
"1073","Calm2",0.000140194512462706,1.16264457244379,33.638816517017,6.63552788294168e-09,2.69999629556897e-06
"4976","Penk",0.000137206285602021,1.16098689068987,32.2200858708522,1.37660264798232e-08,5.33466302346672e-06
"4283","mt-Rnr1",0.000132468561652504,1.15828338147856,30.0333875452324,4.24671063557937e-08,1.57089687056113e-05
"668","Arpp21",0.000130443912192495,1.15709848851835,29.1223427899852,6.79488333371899e-08,2.40420698129587e-05
"5024","Phactr1",0.000120406031672583,1.15093891907498,24.8127651537296,6.31776933383404e-07,0.000214225028494756
"1194","Cck",0.000119606608753292,1.1504265336616,24.4843755583109,7.49148868396859e-07,0.000243862939640546
"2198","Eif1",0.000117922421408463,1.14933578524149,23.7996985034553,1.0689920438024e-06,0.000334594509710151
"4278","mt-Nd1",0.000110778835918118,1.14452961363855,21.0035291118176,4.58438145997157e-06,0.00138176653041662
"4277","mt-Cytb",0.000110138560455065,1.1440838355162,20.7614398903636,5.20198937609244e-06,0.0015119210550943
"6671","Spred1",0.00010886015356141,1.14318598203918,20.2822701911942,6.68168929167972e-06,0.00187502025709274
"4279","mt-Nd2",0.00010726531241906,1.1420510212022,19.6923380587036,9.09653552200542e-06,0.00246758686926934
"4276","mt-Co1",0.000103589925198615,1.13936998529869,18.365963530978,1.8228527663924e-05,0.00478528252029075
"3281","Hspa4l",0.000101727058134099,1.13797462682689,17.7113493371278,2.57088140450516e-05,0.00638513857196391
"4655","Nrn1",0.000101688251629285,1.13794528887926,17.6978389795399,2.58920585985266e-05,0.00638513857196391
"6136","Scn8a",0.000101237447131992,1.13760365680477,17.5412706317083,2.81138506380951e-05,0.00672913283802406
"1386","Chn1",0.000100641206463271,1.13714946981166,17.3352595067869,3.13319084805292e-05,0.00728511632041561
"1954","Diras2",9.85922551439658e-05,1.13556794723634,16.636588695992,4.52692543669978e-05,0.0102333664455174
"1599","Cpe",9.7099952009291e-05,1.1343953007937,16.1367737238148,5.89286408263537e-05,0.0129611156498612
"5621","Ramp1",9.68387945870028e-05,1.13418823641091,16.0500883878963,6.16887473338803e-05,0.0132111322579768
