"","gene","distance","Z","FC","p.value","p.adj"
"3696","EEF1A1",0.000218237417268275,1.29924954250862,149.214472233448,2.57430688787268e-34,2.86777787309016e-30
"3563","HMGA1",0.000211927252485813,1.29325924897576,140.710380054079,1.8615416394884e-32,1.03687869319504e-28
"5122","EEF1D",0.000151670840501818,1.22577455853159,72.0703626546083,2.07659263380989e-17,7.21641722669295e-14
"9397","ACTG1",0.000151210477112976,1.22516813418815,71.6335192484325,2.59117315141578e-17,7.21641722669295e-14
"7072","PHLDA1",0.000146703654657919,1.21913861261405,67.4270852906315,2.18624765385081e-16,4.87095977277961e-13
"3187","HBEGF",0.000128774922110091,1.19330152034964,51.9535361054317,5.68296177840376e-13,1.0551365701903e-09
"1743","EEF1B2",0.000124669453621949,1.18691374603146,48.6936839672732,2.99228522350257e-12,4.76200819854552e-09
"8717","COTL1",0.000123388017925102,1.18487967195131,47.697816257307,4.97245197263198e-12,6.92413937189003e-09
"8325","TNFRSF12A",0.000121793112360631,1.18232027533365,46.4727078039326,9.29034603251303e-12,1.14993838669106e-08
"7011","DDIT3",0.00011696057487284,1.17436966183827,42.857961356377,5.88620475998163e-11,6.55723210261953e-08
"5087","MYC",0.000115498383262844,1.17190351754376,41.7930754111586,1.01462118430081e-10,1.02753454482827e-07
"5963","FOSL1",0.000114923350177234,1.1709256659274,41.3779600607582,1.25464009652216e-10,1.16472422293807e-07
"7080","PAWR",0.000111194215310113,1.16447104001374,38.7361906224278,4.85130269939984e-10,4.15719323625494e-07
"356","YBX1",0.000109050073517126,1.16066767636333,37.2567052419892,1.03558311947887e-09,8.24028282213903e-07
"1448","CYTOR",0.000108660528081005,1.15996919698592,36.9910060590335,1.18675399821449e-09,8.81362636007295e-07
"2429","EIF4A2",0.000104967977951645,1.1532295399027,34.5196340486242,4.21973341042061e-09,2.93798938700535e-06
"3683","PTP4A1",0.000104386750782941,1.1521485643939,34.1384091988661,5.13280630386217e-09,3.36349777794262e-06
"10168","IER2",0.000103444095994799,1.15038339063341,33.524625704457,7.03674026370443e-09,4.35496036320374e-06
"1514","MIR4435-2HG",0.000102664183534803,1.14891156760072,33.0210163165459,9.11680356923481e-09,5.34532588217241e-06
"3882","AKAP12",0.000101108559214878,1.14594439663379,32.0278926404631,1.51974750897314e-08,8.46499362498037e-06
"1672","SSFA2",9.98872771667822e-05,1.14358491626793,31.2588409077978,2.25816766621221e-08,1.19790418102877e-05
"71","ERRFI1",9.76826341501327e-05,1.13925655886291,29.8942213150768,4.5627067509156e-08,2.31038878205454e-05
"9989","EEF2",9.63611880488391e-05,1.13661823346968,29.0908768698983,6.9061434408496e-08,3.3449755622202e-05
"9195","ITGA3",9.28341455982416e-05,1.12940728582389,27.0002639600233,2.03427679607401e-07,9.44243479511018e-05
"6861","SLC38A2",9.14992156902594e-05,1.12661113214239,26.2293339956183,3.03181966387467e-07,0.000135097884222255
"9211","LUC7L3",9.07693967935116e-05,1.12506629830401,25.8125802496941,3.76228258119421e-07,0.000161199338286552
"9718","AHCY",9.01182702363288e-05,1.1236782122368,25.4435798070741,4.55511009290344e-07,0.000187940468277572
"6732","GAPDH",8.91144708873766e-05,1.1215198307706,24.8799203773164,6.1014646154801e-07,0.000242751127915887
"6292","PROSER2",8.83100975719035e-05,1.11977380682302,24.4328005459458,7.69473930442979e-07,0.000288103283257999
"2915","RICTOR",8.82813095037933e-05,1.11971104269232,24.4168735228798,7.75861624572707e-07,0.000288103283257999
"271","MARCKSL1",8.61997580731815e-05,1.11512137696896,23.2790157616177,1.40120457890712e-06,0.000503529645452429
"4856","DUSP4",8.60698799134399e-05,1.11483158583497,23.2089190914488,1.45321773337464e-06,0.000505361586019266
"6730","MRPL51",8.59638983294322e-05,1.11459481126704,23.1517979793468,1.49703162824379e-06,0.000505361586019266
"815","HDGF",8.57688066274146e-05,1.11415824113243,23.0468330232093,1.58102724962677e-06,0.000518018928260066
"2630","EREG",8.55510344810152e-05,1.11366982063138,22.9299470182817,1.68013790973379e-06,0.000534763894698127
"3590","PIM1",8.49178087780065e-05,1.11224299319511,22.5917606721507,2.0034194905063e-06,0.000619947031228895
"1594","RND3",8.4722754023313e-05,1.11180148030602,22.488094093324,2.11450125005808e-06,0.000636636322314785
"11021","PIM3",8.42295132021929e-05,1.11068076364685,22.2270129194885,2.42241577323051e-06,0.000710150308257576
"6781","GPRC5A",8.39841900314942e-05,1.11012106855308,22.0977266329334,2.59116425670055e-06,0.00074014281588831
"5004","UQCRB",8.26417202508383e-05,1.10703096965471,21.3969177889175,3.73370929886668e-06,0.00103983803973437
"10922","MAFF",8.24838610942571e-05,1.10666453382814,21.3152526588321,3.89619087068586e-06,0.00104642154774243
"7646","FERMT2",8.24374689589697e-05,1.10655672001121,21.2912823454833,3.94521588915458e-06,0.00104642154774243
"7725","SRSF5",8.23321948696444e-05,1.10631185610663,21.2369383870556,4.05866720423919e-06,0.00105147796872615
"10035","SH2D3A",8.19525208256199e-05,1.10542631167918,21.0415221756981,4.49437043802692e-06,0.00113734582381677
"328","NDUFS5",8.1870424082208e-05,1.10523432708435,20.9993861879472,4.59430539243759e-06,0.00113734582381677
"4676","SLC25A5",8.14200937727453e-05,1.10417801328881,20.7690062457652,5.18147690929973e-06,0.00125481853846954
"5018","COX6C",8.09311646063003e-05,1.10302496445285,20.5203186492863,5.90016032169073e-06,0.0013984635315667
"2631","AREG",8.08044815599166e-05,1.10272514482734,20.4561272612256,6.10139100123625e-06,0.00141603116153691
"5090","ASAP1",8.06720464536204e-05,1.10241124214165,20.3891287661298,6.31877341930178e-06,0.00143655379369432
"10819","MIF",8.00319320476854e-05,1.10088720108044,20.0668462465324,7.47818721424222e-06,0.00166614011133317
"10393","C19orf33",7.94745349891337e-05,1.09955079947127,19.7883011684461,8.65105619985356e-06,0.00188966207973272
"2284","CDV3",7.84648171618375e-05,1.09710747725245,19.2886776230737,1.1237073641744e-05,0.00240732693017362
"6430","DDX21",7.77738323820951e-05,1.09541844611206,18.9504496848391,1.34157655559938e-05,0.0028198420432787
"10952","RBX1",7.68177807916054e-05,1.09305823189589,18.4874083324192,1.71030524905148e-05,0.00352829638415435
"6556","AVPI1",7.61812614597371e-05,1.09147158948849,18.1823008692642,2.007356785047e-05,0.00406580992462247
"10919","POLR2F",7.58689981284054e-05,1.09068868316192,18.0335496017644,2.17045997557651e-05,0.00431766502284327
"2567","KLF3",7.45340628224632e-05,1.08730743732825,17.4045224171335,3.02106318390172e-05,0.00590432348573074
"4497","TMSB4X",7.41646058241294e-05,1.08636164992008,17.2324055239905,3.30746319751537e-05,0.00627154943902629
"10580","FTL",7.41472200253878e-05,1.08631703500907,17.2243271686979,3.32155670469076e-05,0.00627154943902629
"10201","TPM4",7.39443480935345e-05,1.08579570779199,17.1302022059972,3.49028479758973e-05,0.0063805640714829
"8247","NME4",7.39401678005144e-05,1.08578495150458,17.1282654186046,3.49384567648525e-05,0.0063805640714829
"966","SNRPE",7.37288900043843e-05,1.08524057275253,17.0305201189378,3.67837927258661e-05,0.00660921695106691
"560","ARHGAP29",7.36465053428346e-05,1.08502790538853,16.9924815766549,3.7528129584736e-05,0.00663592640593586
"10577","PPP1R15A",7.35077637041379e-05,1.08466925573492,16.9285180786829,3.8814061839702e-05,0.00675607263897313
"4283","AP1S1",7.33261534959344e-05,1.08419883345036,16.844973329074,4.0560614379027e-05,0.00695146529511324
"11053","ATP5PF",7.27957872219616e-05,1.08281877797947,16.602176029806,4.60981006256564e-05,0.00777019979625414
"3649","HSP90AB1",7.27389086123137e-05,1.08267021819522,16.5762421176831,4.67327994927314e-05,0.00777019979625414
"7347","POLR1D",7.24532919994727e-05,1.08192257929317,16.4463211422099,5.00472088239834e-05,0.00819891038675257
"7234","DYNLL1",7.17884782769228e-05,1.08017162632653,16.1458909749723,5.86456587449051e-05,0.00946829910751077
"6990","CNPY2",7.13996438735029e-05,1.07914050191623,15.9714597632864,6.43046462237612e-05,0.01023362512761
"11061","BACH1",7.09134673300163e-05,1.07784383880676,15.7546936276853,7.21088091525509e-05,0.0113139737177383
"673","TXNIP",7.07413036845251e-05,1.07738267635435,15.6782880300705,7.50811247531263e-05,0.0114694318645085
"3066","ELL2",7.07368941058026e-05,1.07737085096912,15.6763335144767,7.51587545878925e-05,0.0114694318645085
"9248","VMP1",7.02638895818737e-05,1.07609835630241,15.4673849742332,8.39412554595073e-05,0.0125012411252445
"3142","VDAC1",7.02524840375571e-05,1.0760675740019,15.4623639135521,8.41645497660089e-05,0.0125012411252445
"1054","H3F3A",7.00591295247627e-05,1.07554502010459,15.3773675291076,8.80364687185198e-05,0.0129042929147936
"8140","IMP3",6.98955055129365e-05,1.07510176169139,15.3056233215043,9.14438934847652e-05,0.0132296749794842
"1433","VAMP8",6.97827333879221e-05,1.07479569685499,15.2562737898631,9.38644472140062e-05,0.0134057684867183
"4477","SLC25A6",6.96308533405758e-05,1.07438276184901,15.1899364053035,9.72201562573888e-05,0.0137092726671812
"7278","SNRNP35",6.9480484449947e-05,1.07397310589452,15.1244014446152,0.000100653828973474,0.0140160456845563
"8261","METRN",6.938078142314e-05,1.0737010242046,15.0810261953661,0.000102993321521421,0.0140363737898944
"3901","DYNLT1",6.93670377744157e-05,1.07366349023848,15.0750519819521,0.000103319807071036,0.0140363737898944
"5466","HSPA5",6.92129743787151e-05,1.0732422664541,15.008163308744,0.000107047113679576,0.0142285193360998
"6959","HNRNPA1",6.92031660347862e-05,1.07321541988106,15.0039099213298,0.000107288655676157,0.0142285193360998
"1721","NDUFB3",6.89505024536368e-05,1.07252262270544,14.8945501510309,0.000113690959101958,0.0146785568705743
"735","S100A11",6.89283884764791e-05,1.07246187394781,14.8849976485641,0.000114268137842146,0.0146785568705743
"4244","ATP5MF",6.89143853760291e-05,1.07242339696522,14.8789503594999,0.000114635049168758,0.0146785568705743
"6089","NDUFC2",6.82233519302924e-05,1.07051548170366,14.5820514738117,0.000134186571868778,0.0168399097302708
"4085","STK17A",6.82118257032771e-05,1.07048350548423,14.5771246611357,0.000134537878455485,0.0168399097302708
"5402","TXN",6.76599943521278e-05,1.06894667232822,14.3422218122818,0.000152408047509162,0.018864729436134
"9106","COASY",6.7471753782689e-05,1.06841974955893,14.2625282677323,0.000158998891313982,0.0194642598817336
"6112","TAF1D",6.7330723110345e-05,1.0680240762746,14.2029669950611,0.00016411154436975,0.0198717674378154
"10268","NDUFA13",6.72325672476218e-05,1.06774823475185,14.1615865304003,0.000167760756717422,0.0200952132240009
"9409","P4HB",6.66503153432629e-05,1.06610419310814,13.9173624446102,0.000191025717063397,0.0223736680928616
"1231","PPM1G",6.66360208147382e-05,1.06606366273938,13.9113933565476,0.00019163331679177,0.0223736680928616
"3520","HSPA1A",6.6608524153816e-05,1.06598567651839,13.8999149417023,0.000192807193618915,0.0223736680928616
"8563","HERPUD1",6.64111901419785e-05,1.06542511262873,13.8176773324335,0.000201432090927727,0.0231335411642771
"6611","ATP5MD",6.63509375189499e-05,1.06525364384706,13.7926160851085,0.000204136958542138,0.0232049563077492
"9845","PFDN4",6.62821450509046e-05,1.06505769422007,13.7640306192332,0.000207266902379748,0.023322760530408
"3416","SOX4",6.61488952307329e-05,1.06467760232295,13.7087454119006,0.000213458176533515,0.0237288191143336
"8889","TRAPPC1",6.61134180733076e-05,1.0645762840522,13.6940447310254,0.000215135613155089,0.0237288191143336
"8981","TRAF4",6.59520875728383e-05,1.06411490315377,13.6272936351526,0.00022292098370961,0.0243464682208338
"563","F3",6.55372259168739e-05,1.06292360349531,13.456391977586,0.000244172868415029,0.0264085995547905
"10146","WDR83OS",6.51570152131134e-05,1.06182560472721,13.3007118026613,0.000265305377113776,0.0284182875100718
"1705","HSPE1",6.5073851223193e-05,1.06158464060124,13.2667804035467,0.000270150767973987,0.0286617100498115
"7507","CCNB1IP1",6.49432702644154e-05,1.06120570687703,13.2135900447006,0.000277926498762381,0.0292085018510654
"148","MINOS1",6.46264452149771e-05,1.06028334423584,13.0849798081871,0.000297673042741314,0.0308340412146854
"4987","OTUD6B-AS1",6.46069558315935e-05,1.06022646762975,13.077088929018,0.000298929663481689,0.0308340412146854
"236","ATP5IF1",6.44179382357017e-05,1.05967401757575,13.0006827878135,0.000311377415511773,0.0318233432000106
"5397","CTNNAL1",6.43287566813583e-05,1.05941283686752,12.9647108654966,0.000317417476428497,0.0320898772951892
"2435","CLDN1",6.42947919686505e-05,1.05931327750799,12.9510240959985,0.000319746533192639,0.0320898772951892
"2851","PDCD6",6.41614630862794e-05,1.05892198060809,12.8973664005942,0.000329044805510153,0.0327282065480634
"1243","FOSL2",6.38292577272017e-05,1.05794370293204,12.7641561517679,0.000353324953600187,0.034826428868687
"5375","SEC61B",6.37851496499946e-05,1.0578134561317,12.74652135924,0.000356671905392967,0.034826428868687
"896","ABL2",6.37479353438367e-05,1.05770350051679,12.73165223768,0.000359518789937074,0.034826428868687
