"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.2","Parkinson disease","6/144",6.46056312634437e-08,9.78775313641171e-06,0,0,27.7777777777778,459.86011829712,"ATP6;ND1;CYTB;ND3;ND2;ND4"
"KEGG_2019_Mouse.1","Oxidative phosphorylation","6/134",4.20471927611698e-08,1.27402994066344e-05,0,0,29.8507462686567,506.999200367167,"ATP6;ND1;CYTB;ND3;ND2;ND4"
"BioPlanet_2019.1","Electron transport chain","6/105",9.71337652165278e-09,1.46671985476957e-05,0,0,38.0952380952381,702.848071564382,"ATP6;ND1;CYTB;ND3;ND2;ND4"
"BioPlanet_2019.3","Oxidative phosphorylation","6/136",4.59388983845295e-08,2.31225788535465e-05,0,0,29.4117647058824,496.939812335674,"ATP6;ND1;CYTB;ND3;ND2;ND4"
"BioPlanet_2019.2","Parkinson's disease","6/131",3.67227198312311e-08,2.77256534725795e-05,0,0,30.5343511450382,522.744128380432,"ATP6;ND1;CYTB;ND3;ND2;ND4"
"KEGG_2019_Mouse.3","Thermogenesis","6/231",1.04745379532195e-06,0.000105792833327517,0,0,17.3160173160173,238.426810313434,"ATP6;ND1;CYTB;ND3;ND2;ND4"
"KEGG_2019_Mouse.4","Retrograde endocannabinoid signaling","5/150",2.71874266815731e-06,0.000205944757112916,0,0,22.2222222222222,284.785356419617,"GRIA2;ND1;ND3;ND2;ND4"
"KEGG_2019_Mouse.5","Mineral absorption","3/44",3.86918469838655e-05,0.00234472592722225,0,0,45.4545454545455,461.812802380663,"FTH1;ATP2B1;ATP1B1"
"KEGG_2019_Mouse.6","cAMP signaling pathway","4/211",0.000266073284147258,0.0134367008494365,0,0,12.6382306477093,104.034613368896,"CAMK2B;GRIA2;ATP2B1;ATP1B1"
"KEGG_2019_Mouse.7","Aldosterone synthesis and secretion","3/102",0.00047305270010714,0.0204764240189234,0,0,19.6078431372549,150.123603116897,"CAMK2B;ATP2B1;ATP1B1"
"KEGG_2019_Mouse.8","Adrenergic signaling in cardiomyocytes","3/148",0.00139236837346299,0.0527359521449108,0,0,13.5135135135135,88.8749880536675,"CAMK2B;ATP2B1;ATP1B1"
"Reactome_2016.2","Ion transport by P-type ATPases_Homo sapiens_R-HSA-936837","3/55",7.57966804842115e-05,0.0579844605704218,0,0,36.3636363636364,344.998402158515,"CAMK2B;ATP2B1;ATP1B1"
"Reactome_2016.1","Ion homeostasis_Homo sapiens_R-HSA-5578775","3/51",6.04102776735879e-05,0.0924277248405895,0,0,39.2156862745098,380.954953229034,"CAMK2B;ATP2B1;ATP1B1"
"KEGG_2019_Mouse.9","Endocrine and other factor-regulated calcium reabsorption","2/55",0.00307432359663176,0.103502227753269,0,0,24.2424242424242,140.234433224129,"ATP2B1;ATP1B1"
"BioPlanet_2019.4","Unblocking of NMDA receptor, glutamate binding and activation","2/17",0.000291692862053019,0.110114055425015,0,0,78.4313725490196,638.416404043489,"CAMK2B;GRIA2"
"KEGG_2019_Mouse.11","Amphetamine addiction","2/68",0.00465940411292557,0.128345404201495,0,0,19.6078431372549,105.271915917329,"CAMK2B;GRIA2"
"KEGG_2019_Mouse.14","Salivary secretion","2/78",0.00608555107636544,0.131708712581338,0,0,17.0940170940171,87.2109058728094,"ATP2B1;ATP1B1"
"KEGG_2019_Mouse.10","Long-term potentiation","2/67",0.00452656526073793,0.137154927400359,0,0,19.9004975124378,107.418743237203,"CAMK2B;GRIA2"
"KEGG_2019_Mouse.12","Gastric acid secretion","2/74",0.00549391086102872,0.138721249240975,0,0,18.018018018018,93.7678363283988,"CAMK2B;ATP1B1"
"KEGG_2019_Mouse.13","Cardiac muscle contraction","2/78",0.00608555107636544,0.141840152010671,0,0,17.0940170940171,87.2109058728094,"CYTB;ATP1B1"
"KEGG_2019_Mouse.15","Insulin secretion","2/86",0.00735205304187803,0.148511471445936,0,0,15.5038759689922,76.1670647959053,"CAMK2B;ATP1B1"
