"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Hypertrophic cardiomyopathy (HCM)","3/86",0.000381514858068027,0.115599001994612,0,0,21.1416490486258,166.413546755922,"PRKAB2;DMD;ACTB"
"BioPlanet_2019.2","Epithelial cell signaling in Helicobacter pylori infection","3/68",0.000190641494244044,0.143934328154253,0,0,26.7379679144385,229.013793774438,"MAPK8;CSK;GIT1"
"KEGG_2019_Mouse.4","Non-alcoholic fatty liver disease (NAFLD)","3/151",0.00194952327419027,0.147676388019913,0,0,12.0409391932571,75.1375124752503,"MAPK8;PRKAB2;NDUFS3"
"KEGG_2019_Mouse.5","Tight junction","3/167",0.00259540963286959,0.157281823751897,0,0,10.8873162765378,64.8232000016512,"MAPK8;PRKAB2;ACTB"
"KEGG_2019_Mouse.18","Endocytosis","3/269",0.00974629771940665,0.164062678276679,0,0,6.75904021628929,31.3002216098086,"SMAD3;AP2B1;GIT1"
"KEGG_2019_Mouse.17","Progesterone-mediated oocyte maturation","2/90",0.00965755662392578,0.172131744532324,0,0,13.4680134680135,62.4917791277252,"MAPK8;CDC26"
"KEGG_2019_Mouse.13","Human T-cell leukemia virus 1 infection","3/245",0.00755476800087577,0.176084208020412,0,0,7.42115027829314,36.2565965992825,"MAPK8;SMAD3;CDC26"
"KEGG_2019_Mouse.21","Chagas disease (American trypanosomiasis)","2/103",0.0124993259294003,0.180347416981347,0,0,11.7681671079729,51.5690563315787,"MAPK8;SMAD3"
"KEGG_2019_Mouse.16","Dilated cardiomyopathy (DCM)","2/90",0.00965755662392578,0.182889978565594,0,0,13.4680134680135,62.4917791277252,"DMD;ACTB"
"KEGG_2019_Mouse.12","Salmonella infection","2/78",0.00733106299177252,0.185109340542256,0,0,15.5400155400155,76.3890404701858,"MAPK8;ACTB"
"KEGG_2019_Mouse.20","Th17 cell differentiation","2/102",0.0122691797110066,0.185878072621749,0,0,11.883541295306,52.2954827773356,"MAPK8;SMAD3"
"KEGG_2019_Mouse.15","Colorectal cancer","2/88",0.00924969463355444,0.1868438315978,0,0,13.7741046831956,64.506401385557,"MAPK8;SMAD3"
"KEGG_2019_Mouse.19","AGE-RAGE signaling pathway in diabetic complications","2/101",0.012040934245614,0.192021214548476,0,0,12.001200120012,53.0386228258163,"MAPK8;SMAD3"
"KEGG_2019_Mouse.3","Retrograde endocannabinoid signaling","3/150",0.00191293136534442,0.193206067899786,0,0,12.1212121212121,75.8681026325987,"MAPK8;NDUFS3;SLC17A7"
"KEGG_2019_Mouse.22","Insulin resistance","2/110",0.0141630269317427,0.195063507287184,0,0,11.0192837465565,46.9104181509127,"MAPK8;PRKAB2"
"KEGG_2019_Mouse.14","Viral myocarditis","2/87",0.00904875020945899,0.195840808104719,0,0,13.9324277255312,65.5538645657832,"DMD;ACTB"
"KEGG_2019_Mouse.11","Synaptic vesicle cycle","2/77",0.00715042387595368,0.196961675855815,0,0,15.7418339236521,77.7738471575481,"SLC17A7;AP2B1"
"KEGG_2019_Mouse.2","FoxO signaling pathway","3/132",0.00132648840059243,0.200962992689753,0,0,13.7741046831956,91.2564756032409,"MAPK8;PRKAB2;SMAD3"
"KEGG_2019_Mouse.10","Pancreatic cancer","2/75",0.00679535691271887,0.205899314455382,0,0,16.1616161616162,80.6709609207599,"MAPK8;SMAD3"
"KEGG_2019_Mouse.9","Thermogenesis","3/231",0.00642712457709322,0.216379860762139,0,0,7.87091696182605,39.7263127066803,"PRKAB2;NDUFS3;ACTB"
"BioPlanet_2019.1","Shigellosis","3/62",0.000144840049173455,0.218708474251918,0,0,29.3255131964809,259.234033242375,"MAPK8;CSK;ACTB"
"KEGG_2019_Mouse.24","Taurine and hypotaurine metabolism","1/11",0.0180053225963932,0.227317197779464,0,0,55.0964187327824,221.327155096249,"GAD1"
"KEGG_2019_Mouse.23","Cell cycle","2/123",0.0174915167113138,0.230431720153395,0,0,9.85464400098547,39.8722766685387,"SMAD3;CDC26"
"KEGG_2019_Mouse.8","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","2/72",0.00627838835574493,0.237793958973839,0,0,16.8350168350168,85.3643428061998,"DMD;ACTB"
"KEGG_2019_Mouse.25","Relaxin signaling pathway","2/131",0.019689168002717,0.238632716192931,0,0,9.2528336803146,36.3422312471675,"MAPK8;SMAD3"
"KEGG_2019_Mouse.29","Fluid shear stress and atherosclerosis","2/143",0.0231909014316237,0.242304935647655,0,0,8.47637211273575,31.9050244280892,"MAPK8;ACTB"
"KEGG_2019_Mouse.28","Apoptosis","2/141",0.0225905360183789,0.244461871913172,0,0,8.59660434128519,32.5830579897458,"MAPK8;ACTB"
"KEGG_2019_Mouse.27","Insulin signaling pathway","2/139",0.0219968042096488,0.246853025019392,0,0,8.72029649008066,33.2841342871011,"MAPK8;PRKAB2"
"KEGG_2019_Mouse.26","Apelin signaling pathway","2/138",0.0217024407653269,0.252916905842078,0,0,8.78348704435661,33.6436587360213,"PRKAB2;SMAD3"
"KEGG_2019_Mouse.34","Protein processing in endoplasmic reticulum","2/163",0.029549095029341,0.263334582173245,0,0,7.43632645473136,26.1885269430272,"MAPK8;MAN1A2"
"KEGG_2019_Mouse.30","Oxytocin signaling pathway","2/154",0.0266093817681742,0.268754755858559,0,0,7.87091696182605,28.5438128872583,"PRKAB2;ACTB"
"KEGG_2019_Mouse.32","Wnt signaling pathway","2/160",0.0285552058779992,0.270382105657305,0,0,7.57575757575758,26.938757704664,"MAPK8;SMAD3"
"KEGG_2019_Mouse.35","Influenza A","2/168",0.0312361263037161,0.270415607715028,0,0,7.21500721500721,25.0085134174565,"MAPK8;ACTB"
"KEGG_2019_Mouse.33","Hepatitis B","2/163",0.029549095029341,0.271314417996677,0,0,7.43632645473136,26.1885269430272,"MAPK8;SMAD3"
"KEGG_2019_Mouse.36","Hepatocellular carcinoma","2/171",0.032266428350829,0.271575771952811,0,0,7.08842814105972,24.3397338948531,"SMAD3;ACTB"
