"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Reactome_2016.28","Signalling to ERKs_Homo sapiens_R-HSA-187687","5/253",0.0023229754606145,0.126934016240721,0,0,5.41447831501435,32.8383041253511,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.27","Interleukin-2 signaling_Homo sapiens_R-HSA-451927","5/252",0.0022834641086865,0.129396299492235,0,0,5.43596434007393,33.0618702062345,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.25","VEGFR2 mediated cell proliferation_Homo sapiens_R-HSA-5218921","5/248",0.00213031019298288,0.130374983810552,0,0,5.52364118426867,33.9786106902094,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.24","Signalling to RAS_Homo sapiens_R-HSA-167044","5/246",0.0020566169127642,0.131109328188718,0,0,5.56854883617329,34.4509016680603,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.26","Translation_Homo sapiens_R-HSA-72766","4/151",0.00226905545006846,0.133525186100182,0,0,7.25755239045632,44.1868212673459,"EIF4A1;RPL15;RPL18;EEF2"
"Reactome_2016.23","Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526","5/245",0.00202047841118604,0.134405737787593,0,0,5.59127760693318,34.6906399686314,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.22","Signaling by Leptin_Homo sapiens_R-HSA-2586552","5/243",0.00194959946749017,0.13558578114818,0,0,5.63729635266926,35.1774695799724,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.21","Prolonged ERK activation events_Homo sapiens_R-HSA-169893","5/242",0.00191485175017905,0.139510627513045,0,0,5.66059096569682,35.4246296524189,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.29","Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988","5/261",0.00265724803064477,0.140192740927121,0,0,5.24851729386448,31.1261442642952,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.20","MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996","5/241",0.00188056035975322,0.143862867521121,0,0,5.68407889501506,35.6743334442899,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.30","NCAM signaling for neurite out-growth_Homo sapiens_R-HSA-375165","5/266",0.00288314048127652,0.147040164545103,0,0,5.14986095375425,30.1208936762271,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.19","Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215","8/620",0.0018626029499602,0.1499885533389,0,0,3.53513035793195,22.2210528823394,"EIF4A1;MAP2K4;PSMA6;RASGEF1A;FBXW11;NEFL;KSR2;SPTAN1"
"Reactome_2016.31","Downregulation of SMAD2/3:SMAD4 transcriptional activity_Homo sapiens_R-HSA-2173795","2/23",0.00316354871568693,0.156136436612935,0,0,23.8237045860631,137.130693750934,"SMAD3;NEDD4L"
"Reactome_2016.18","Frs2-mediated activation_Homo sapiens_R-HSA-170968","5/240",0.00184672166905839,0.156971341869964,0,0,5.70776255707763,35.9266169100796,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.39","IRS-related events triggered by IGF1R_Homo sapiens_R-HSA-2428928","5/288",0.00404494677724265,0.15868637356875,0,0,4.75646879756469,26.2095076399536,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.40","Eukaryotic Translation Elongation_Homo sapiens_R-HSA-156842","3/89",0.00423174021180326,0.161864063101475,0,0,9.23503155302447,50.470758561816,"RPL15;RPL18;EEF2"
"Reactome_2016.41","Uptake and actions of bacterial toxins_Homo sapiens_R-HSA-5339562","2/27",0.0043477988074706,0.16224712623,0,0,20.2942668696093,110.361960085736,"MAP2K4;EEF2"
"Reactome_2016.38","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)_Homo sapiens_R-HSA-2404192","5/288",0.00404494677724265,0.162862330767928,0,0,4.75646879756469,26.2095076399536,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.17","Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell_Homo sapiens_R-HSA-112314","4/142",0.00181409660244475,0.163268694220028,0,0,7.7175381053444,48.7143945581996,"KCNJ4;GABRA5;GRIK5;NEFL"
"Reactome_2016.37","IGF1R signaling cascade_Homo sapiens_R-HSA-2428924","5/288",0.00404494677724265,0.167264015383277,0,0,4.75646879756469,26.2095076399536,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.36","Downregulation of TGF-beta receptor signaling_Homo sapiens_R-HSA-2173788","2/26",0.00403522924105536,0.171497242744853,0,0,21.0748155953635,116.178970826665,"SMAD3;NEDD4L"
"Reactome_2016.34","IRS-mediated signalling_Homo sapiens_R-HSA-112399","5/284",0.00381234201875014,0.171555390843756,0,0,4.82346131584025,26.8643236330892,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.32","Peptide chain elongation_Homo sapiens_R-HSA-156902","3/84",0.00359699206321173,0.171981183022311,0,0,9.78473581213307,55.0651401249828,"RPL15;RPL18;EEF2"
"Reactome_2016.16","Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706","5/239",0.00181333205621468,0.173399877875528,0,0,5.73164440878088,36.1815166565944,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.35","Insulin receptor signalling cascade_Homo sapiens_R-HSA-74751","5/287",0.00398586661077342,0.174239311842381,0,0,4.77304185957711,26.3710587665679,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.33","MAPK family signaling cascades_Homo sapiens_R-HSA-5683057","5/284",0.00381234201875014,0.176754039051143,0,0,4.82346131584025,26.8643236330892,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.15","ARMS-mediated activation_Homo sapiens_R-HSA-170984","5/239",0.00181333205621468,0.184959869733897,0,0,5.73164440878088,36.1815166565944,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.14","FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693","5/236",0.00171582153302267,0.187514781823191,0,0,5.80450429533318,36.962289790225,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.58","Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315","4/211",0.00743109265903372,0.19602709945382,0,0,5.19379341686684,25.4604031455149,"KCNJ4;GABRA5;GRIK5;NEFL"
"Reactome_2016.43","Signaling by Insulin receptor_Homo sapiens_R-HSA-74752","5/311",0.00558380757847566,0.198679665001576,0,0,4.40470422411135,22.8510962144115,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.57","Signaling by FGFR3_Homo sapiens_R-HSA-5654741","5/333",0.00740599790502563,0.198792575345425,0,0,4.11370274383973,20.1796251567981,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.59","Signaling by FGFR1_Homo sapiens_R-HSA-5654736","5/336",0.00768313620554293,0.19924065075391,0,0,4.07697325505545,19.8496716205239,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.42","Metabolism of proteins_Homo sapiens_R-HSA-392499","10/1074",0.00547178645632373,0.199329363766079,0,0,2.55095533277212,13.2857583332517,"EIF4A1;NUS1;TMED9;WFS1;H3F3A;PFDN1;RPL15;RPL18;EEF2;SPTAN1"
"Reactome_2016.56","Downstream signaling of activated FGFR1_Homo sapiens_R-HSA-5654687","5/332",0.0073151954657856,0.199861590404499,0,0,4.12609341475491,20.2913084817572,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.13","FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706","5/236",0.00171582153302267,0.201938995809591,0,0,5.80450429533318,36.962289790225,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.54","Signaling by ERBB4_Homo sapiens_R-HSA-1236394","5/330",0.00713593547095665,0.202184838343772,0,0,4.151100041511,20.5172765732355,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.55","Signaling by FGFR4_Homo sapiens_R-HSA-5654743","5/332",0.0073151954657856,0.203495437502763,0,0,4.12609341475491,20.2913084817572,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.53","GTP hydrolysis and joining of the 60S ribosomal subunit_Homo sapiens_R-HSA-72706","3/107",0.00705882586238376,0.20377365225372,0,0,7.68147484316989,38.0500055031519,"EIF4A1;RPL15;RPL18"
"Reactome_2016.63","DAP12 signaling_Homo sapiens_R-HSA-2424491","5/344",0.00845746492903944,0.205395576848101,0,0,3.98215992354253,19.0056777797348,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
"Reactome_2016.62","Eukaryotic Translation Initiation_Homo sapiens_R-HSA-72613","3/114",0.00839818664312469,0.207245573612593,0,0,7.20980533525595,34.460991148204,"EIF4A1;RPL15;RPL18"
"Reactome_2016.52","Downstream signaling of activated FGFR3_Homo sapiens_R-HSA-5654708","5/329",0.00704747101912648,0.207358281908914,0,0,4.16371736686514,20.6315794945451,"PSMA6;RASGEF1A;NEFL;KSR2;SPTAN1"
