"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Oxytocin signaling pathway","5/154",0.000178865417508509,0.0541962215050782,0,0,9.54927425515661,82.3995119595539,"PPP3CB;MEF2C;CAMK1D;CAMK4;PPP1R12B"
"BioPlanet_2019.2","Stathmin and breast cancer resistance to antimicrotubule agents","3/31",0.000157828220281312,0.119160306312391,0,0,28.4629981024668,249.165180164856,"CAMK4;STMN1;UHMK1"
"BioPlanet_2019.1","PGC-1a regulation","3/26",9.24081080033793e-05,0.139536243085103,0,0,33.9366515837104,315.247596183666,"PPP3CB;MEF2C;CAMK4"
"BioPlanet_2019.3","Energy metabolism","3/48",0.000582727318677566,0.293306083734375,0,0,18.3823529411765,136.907926507244,"PPP3CB;MEF2C;CAMK4"
"BioPlanet_2019.4","Influenza viral RNA transcription and replication","4/125",0.00086946694387068,0.328223771311182,0,0,9.41176470588235,66.3306375745189,"POLR2G;RPS2;RPL18;RPL6"
"KEGG_2019_Mouse.2","Ribosome","4/170",0.00268797771702506,0.407228624129296,0,0,6.9204152249135,40.9617034335835,"RPS27RT;RPS2;RPL18;RPL6"
"BioPlanet_2019.5","Influenza infection","4/142",0.00139492781621664,0.421268200497426,0,0,8.28500414250207,54.4731782079136,"POLR2G;RPS2;RPL18;RPL6"
"BioPlanet_2019.6","NFAT involvement in hypertrophy of the heart","3/69",0.00167763677273377,0.422205254471332,0,0,12.7877237851662,81.7182756876052,"PPP3CB;MEF2C;CAMK4"
"BioPlanet_2019.7","Disease","8/674",0.00198547136051024,0.428294536338637,0,0,3.49101064758248,21.7207154191594,"CAMK4;POLR2G;HDGF;RPS2;RPL18;RPL6;VAMP2;HSP90B1"
"Reactome_2016.24","Eukaryotic Translation Initiation_Homo sapiens_R-HSA-72613","3/114",0.00690727228046358,0.440338607879553,0,0,7.73993808049536,38.5075887670882,"RPS2;RPL18;RPL6"
"Reactome_2016.20","GTP hydrolysis and joining of the 60S ribosomal subunit_Homo sapiens_R-HSA-72706","3/107",0.00579830974551231,0.443570695531691,0,0,8.24628916987356,42.4699463476302,"RPS2;RPL18;RPL6"
"Reactome_2016.22","Infectious disease_Homo sapiens_R-HSA-5663205","5/348",0.00659810948791573,0.458868523477776,0,0,4.22582826233942,21.2177658561814,"POLR2G;RPS2;RPL18;RPL6;VAMP2"
"Reactome_2016.23","Cap-dependent Translation Initiation_Homo sapiens_R-HSA-72737","3/114",0.00690727228046358,0.459483764743882,0,0,7.73993808049536,38.5075887670882,"RPS2;RPL18;RPL6"
"Reactome_2016.19","SRP-dependent cotranslational protein targeting to membrane_Homo sapiens_R-HSA-1799339","3/107",0.00579830974551231,0.466916521612307,0,0,8.24628916987356,42.4699463476302,"RPS2;RPL18;RPL6"
"Reactome_2016.21","Selenoamino acid metabolism_Homo sapiens_R-HSA-2408522","3/111",0.0064177457596978,0.467578619635126,0,0,7.94912559618442,40.1326577958107,"RPS2;RPL18;RPL6"
"Reactome_2016.14","Interaction between L1 and Ankyrins_Homo sapiens_R-HSA-445095","2/29",0.00435830273978445,0.47630022799073,0,0,20.2839756592292,110.257050249011,"SCN1A;SPTBN2"
"Reactome_2016.18","3' -UTR-mediated translational regulation_Homo sapiens_R-HSA-157279","3/106",0.005649328918916,0.48019295810786,0,0,8.32408435072142,43.0872795473744,"RPS2;RPL18;RPL6"
"Reactome_2016.11","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975956","3/89",0.00346467159944783,0.481904322468652,0,0,9.91407799074686,56.1646142828088,"RPS2;RPL18;RPL6"
"Reactome_2016.13","Formation of a pool of free 40S subunits_Homo sapiens_R-HSA-72689","3/96",0.00428605506562097,0.504435711569237,0,0,9.19117647058824,50.1138652042731,"RPS2;RPL18;RPL6"
