"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Adipocytokine signaling pathway","2/71",0.00506865918382835,1,0,0,18.7793427230047,99.2427973171517,"PRKAA2;ACSL4"
"KEGG_2019_Mouse.2","Fatty acid biosynthesis","1/14",0.02080301457834,1,0,0,47.6190476190476,184.41225576788,"ACSL4"
"KEGG_2019_Mouse.3","Circadian rhythm","1/30",0.0440658550450575,1,0,0,22.2222222222222,69.3793346320404,"PRKAA2"
"KEGG_2019_Mouse.4","Thermogenesis","2/231",0.0467502916921172,1,0,0,5.77200577200577,17.6792772517364,"PRKAA2;ACSL4"
"BioPlanet_2019.1","Fatty acid beta oxidation","2/34",0.00118432777490147,1,0,0,39.2156862745098,264.258037016571,"GPD2;ACSL4"
"BioPlanet_2019.2","Fatty acid, triacylglycerol, and ketone body metabolism","3/173",0.00217492801249792,1,0,0,11.5606936416185,70.8758348288016,"PRKAA2;GPD2;ACSL4"
"BioPlanet_2019.3","Adipocytokine signaling pathway","2/67",0.00452656526073793,1,0,0,19.9004975124378,107.418743237203,"PRKAA2;ACSL4"
"BioPlanet_2019.4","Lipid and lipoprotein metabolism","4/489",0.00584441726524174,1,0,0,5.453306066803,28.0423633920623,"PRKAA2;GPD2;ACSL4;CSNK1G2"
"BioPlanet_2019.5","AMPK inhibition of chREBP transcriptional activation activity","1/5",0.00747819282854126,1,0,0,133.333333333333,652.768548886432,"PRKAA2"
"BioPlanet_2019.6","Basic mechanisms of SUMOylation","1/6",0.00896733772752209,1,0,0,111.111111111111,523.796271593576,"UBE2I"
"BioPlanet_2019.7","Import of palmitoyl-CoA into the mitochondrial matrix","1/8",0.0119391531667427,1,0,0,83.3333333333333,368.994341465943,"PRKAA2"
"BioPlanet_2019.8","Rheb GTPase activity by AMPK regulation","1/10",0.0149023554252654,1,0,0,66.6666666666667,280.415733086122,"PRKAA2"
"BioPlanet_2019.9","Electron transport reaction in mitochondria","1/10",0.0149023554252654,1,0,0,66.6666666666667,280.415733086122,"GPD2"
"BioPlanet_2019.10","Reversal of insulin resistance by leptin","1/11",0.0163807339505409,1,0,0,60.6060606060606,249.19087235368,"PRKAA2"
"BioPlanet_2019.11","SUMOylation as a mechanism to modulate CtBP-dependent gene responses","1/11",0.0163807339505409,1,0,0,60.6060606060606,249.19087235368,"UBE2I"
"BioPlanet_2019.12","ABCA transporters in lipid homeostasis","1/17",0.0252060750668781,1,0,0,39.2156862745098,144.340009389646,"ABCA3"
"BioPlanet_2019.13","Energy-dependent regulation of mTOR by LKB1-AMPK","1/17",0.0252060750668781,1,0,0,39.2156862745098,144.340009389646,"PRKAA2"
"BioPlanet_2019.14","SUMOylation by RanBP2 regulates transcriptional repression","1/17",0.0252060750668781,1,0,0,39.2156862745098,144.340009389646,"UBE2I"
"BioPlanet_2019.15","Transcriptional activity regulation by PML","1/18",0.0266695046006179,1,0,0,37.037037037037,134.230908004284,"UBE2I"
"BioPlanet_2019.16","Activated AMPK stimulation of fatty-acid oxidation in muscle","1/18",0.0266695046006179,1,0,0,37.037037037037,134.230908004284,"PRKAA2"
"BioPlanet_2019.17","Fatty acyl-CoA biosynthesis","1/18",0.0266695046006179,1,0,0,37.037037037037,134.230908004284,"ACSL4"
"BioPlanet_2019.18","ER-associated degradation (ERAD) pathway","1/19",0.0281308104264749,1,0,0,35.0877192982456,125.294380591355,"UBE2I"
"BioPlanet_2019.19","ChREBP regulation by carbohydrates and cAMP","1/21",0.0310470628007074,1,0,0,31.7460317460317,110.230192725953,"PRKAA2"
"BioPlanet_2019.20","Mitochondrial fatty acid beta-oxidation","1/23",0.0339548558617346,1,0,0,28.9855072463768,98.0499537798404,"ACSL4"
"BioPlanet_2019.21","Fatty acid biosynthesis","1/25",0.0368542132262459,1,0,0,26.6666666666667,88.0209421969235,"ACSL4"
"BioPlanet_2019.22","PTM: gamma carboxylation, hypusine formation and arylsulfatase activation","1/28",0.0411874839013459,1,0,0,23.8095238095238,75.9433537519549,"DHPS"
"BioPlanet_2019.23","Endosomal sorting complex required for transport (ESCRT) pathway","1/28",0.0411874839013459,1,0,0,23.8095238095238,75.9433537519549,"CHMP2B"
"BioPlanet_2019.24","PKB-mediated events","1/28",0.0411874839013459,1,0,0,23.8095238095238,75.9433537519549,"PRKAA2"
"BioPlanet_2019.25","Sphingolipid de novo biosynthesis","1/32",0.0469358727577944,1,0,0,20.8333333333333,63.7286045486408,"CSNK1G2"
"BioPlanet_2019.26","TOR signaling","1/34",0.0497975604232895,1,0,0,19.6078431372549,58.8193977183451,"PRKAA2"
"BioPlanet_2019.27","N-cadherin signaling events","1/34",0.0497975604232895,1,0,0,19.6078431372549,58.8193977183451,"MAPRE1"
"Reactome_2016.1","Organelle biogenesis and maintenance_Homo sapiens_R-HSA-1852241","4/326",0.00135899290204404,1,0,0,8.1799591002045,53.9960030000198,"PRKAA2;IFT57;MAPRE1;MRPS5"
"Reactome_2016.2","Translocation of GLUT4 to the plasma membrane_Homo sapiens_R-HSA-1445148","2/60",0.0036473537827288,1,0,0,22.2222222222222,124.750074785645,"PRKAA2;RALGAPA2"
"Reactome_2016.3","Fatty acid, triacylglycerol, and ketone body metabolism_Homo sapiens_R-HSA-535734","3/217",0.00412077245762879,1,0,0,9.21658986175115,50.6148815067187,"PRKAA2;GPD2;ACSL4"
