"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Reactome_2016.1","Peptide chain elongation_Homo sapiens_R-HSA-156902","23/84",1.56237832831859e-50,2.39043884232744e-47,0,0,182.539682539683,20934.2067036475,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;EEF2;RPL6;RPS4X;EEF1A1;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.2","Eukaryotic Translation Elongation_Homo sapiens_R-HSA-156842","23/89",7.24547516876507e-50,5.54278850410528e-47,0,0,172.284644194757,19493.8140994575,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;EEF2;RPL6;RPS4X;EEF1A1;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.3","Viral mRNA Translation_Homo sapiens_R-HSA-192823","21/84",1.116158480855e-44,5.69240825236052e-42,0,0,166.666666666667,16867.3085383211,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.5","Eukaryotic Translation Termination_Homo sapiens_R-HSA-72764","21/87",2.5822493495169e-44,7.90168300952171e-42,0,0,160.919540229885,16150.7030487856,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.4","Selenocysteine synthesis_Homo sapiens_R-HSA-2408557","21/87",2.5822493495169e-44,9.87710376190213e-42,0,0,160.919540229885,16150.7030487856,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.6","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975956","21/89",4.43542065253652e-44,1.13103226639681e-41,0,0,157.303370786517,15702.6708185327,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.7","Translation_Homo sapiens_R-HSA-72766","23/151",5.24164155753407e-44,1.14567308328959e-41,0,0,101.545253863135,10119.7064700526,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;EEF2;RPL6;RPS4X;EEF1A1;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.8","Formation of a pool of free 40S subunits_Homo sapiens_R-HSA-72689","21/96",2.65594935044173e-43,5.07950313271981e-41,0,0,145.833333333333,14296.6770387547,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"BioPlanet_2019.1","Translation","23/151",5.24164155753407e-44,7.91487875187644e-41,0,0,101.545253863135,10119.7064700526,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;EEF2;RPL6;RPS4X;EEF1A1;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.12","3' -UTR-mediated translational regulation_Homo sapiens_R-HSA-157279","21/106",2.69256952000943e-42,3.43302613801203e-40,0,0,132.075471698113,12642.0102960968,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.14","GTP hydrolysis and joining of the 60S ribosomal subunit_Homo sapiens_R-HSA-72706","21/107",3.34867768403935e-42,3.65962632612872e-40,0,0,130.841121495327,12495.328196507,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.11","L13a-mediated translational silencing of Ceruloplasmin expression_Homo sapiens_R-HSA-156827","21/106",2.69256952000943e-42,3.74511942328585e-40,0,0,132.075471698113,12642.0102960968,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.13","SRP-dependent cotranslational protein targeting to membrane_Homo sapiens_R-HSA-1799339","21/107",3.34867768403935e-42,3.94113604352324e-40,0,0,130.841121495327,12495.328196507,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.10","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975957","21/106",2.69256952000943e-42,4.11963136561443e-40,0,0,132.075471698113,12642.0102960968,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.9","Nonsense-Mediated Decay (NMD)_Homo sapiens_R-HSA-927802","21/106",2.69256952000943e-42,4.57736818401603e-40,0,0,132.075471698113,12642.0102960968,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.15","Selenoamino acid metabolism_Homo sapiens_R-HSA-2408522","21/111",7.83588505865443e-42,7.99260275982752e-40,0,0,126.126126126126,11937.8201895318,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.17","Eukaryotic Translation Initiation_Homo sapiens_R-HSA-72613","21/114",1.45023534023004e-41,1.30521180620704e-39,0,0,122.80701754386,11548.0673817755,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.16","Cap-dependent Translation Initiation_Homo sapiens_R-HSA-72737","21/114",1.45023534023004e-41,1.38678754409498e-39,0,0,122.80701754386,11548.0673817755,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"BioPlanet_2019.2","Cytoplasmic ribosomal proteins","21/108",4.15526599000987e-42,3.13722582245746e-39,0,0,129.62962962963,12351.6552266388,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.18","Influenza Viral RNA Transcription and Replication_Homo sapiens_R-HSA-168273","21/128",2.0616002959608e-40,1.75236025156668e-38,0,0,109.375,9994.67888079577,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"BioPlanet_2019.3","Influenza viral RNA transcription and replication","21/125",1.20016728548355e-40,6.04084200360054e-38,0,0,112,10295.1455900288,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.19","Influenza Life Cycle_Homo sapiens_R-HSA-168255","21/136",8.17516316881419e-40,6.58315770962406e-38,0,0,102.941176470588,9264.94296037982,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"Reactome_2016.20","Influenza Infection_Homo sapiens_R-HSA-168254","21/147",4.73669033392776e-39,3.62356810545474e-37,0,0,95.2380952380952,8404.33142635548,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
"BioPlanet_2019.4","Influenza infection","21/142",2.1707818810154e-39,8.19470160083313e-37,0,0,98.5915492957746,8777.18476721079,"RPS9;RPL3;RPL10;RPL12;RPLP1;RPL11;RPS6;RPL13A;RPS3A;RPL6;RPS4X;RPS14;RPS19;RPL18A;RPS18;RPL27A;RPL13;RPL15;RPL26;RPL28;RPS12"
